team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,fGTotalAtt,fGTotal50PlusAtt,fGTotal50PlusMade,fGTotalLongest,fGTotalMade,fGAvgCompPct,kickoffTotalAtt,kickoffTotalTBs,xPTotalAtt,xPTotalMade,xPAvgCompPct
49ers,SF,14,,K,553388319,Jason Sanders,9,0,9349,10,17,44.00,17,6,4,58,12,70.59,72,11,43,41,95.35
Bears,CHI,0,,K,553388325,Cairo Santos,13,0,6576,8,17,56.00,20,1,1,50,18,90.00,76,17,35,32,91.43
Bengals,CIN,1,,K,553387767,Evan McPherson,6,0,1601,2,17,32.00,14,1,1,51,10,71.43,94,23,66,66,100.00
Bills,BUF,2,,K,553386148,Tyler Bass,7,0,85,2,17,47.00,20,4,1,51,15,75.00,0,0,49,49,100.00
Broncos,DEN,3,,K,553387909,Brayden Narveson,3,0,0,1,17,83.00,26,9,7,58,23,88.46,98,30,59,57,96.61
Browns,CLE,4,,K,553387860,Cam Falk,0,0,10321,16,17,27.00,17,6,0,43,9,52.94,76,24,45,41,91.11
Buccaneers,TB,5,,K,553387748,Chase McLaughlin,8,0,455,4,17,21.00,13,3,0,44,7,53.85,80,5,47,44,93.62
Cardinals,ARI,6,,K,553386687,Christopher Dunn,4,0,2127,15,13,21.00,15,2,0,44,7,46.67,0,0,13,12,92.31
Cardinals,ARI,6,,P,553387649,Braden Mann,7,0,442,9,17,0.00,0,0,0,0,0,0.00,38,16,0,0,0.00
Chargers,LAC,7,,K,553386635,Cameron Dicker,5,0,1359,11,17,35.00,17,5,1,51,11,64.71,72,35,35,31,88.57
Chiefs,KC,8,,K,553386370,Harrison Butker,10,0,8498,7,17,48.00,15,4,3,62,14,93.33,105,14,68,66,97.06
Colts,IND,9,,K,553388104,Eddy Pineiro,9,0,9024,13,15,55.00,19,3,2,58,17,89.47,0,0,37,37,100.00
Colts,IND,9,,P,553388317,Rigoberto Sanchez,10,0,9282,8,17,6.00,3,1,0,37,2,66.67,83,18,10,9,90.00
Commanders,WAS,25,,K,553386895,Matt Gay,8,0,9469,16,17,48.00,19,5,3,55,14,73.68,91,14,58,57,98.28
Cowboys,DAL,10,,K,553386084,Brandon Aubrey,5,0,10362,17,17,71.00,21,8,7,58,19,90.48,98,54,58,58,100.00
Dolphins,MIA,11,,K,553386406,Daniel Carlson,9,0,8838,8,17,38.00,17,5,4,55,10,58.82,67,14,36,35,97.22
Eagles,PHI,12,,K,553386730,Jake Elliott,10,0,8542,4,17,52.00,23,9,2,53,16,69.57,77,23,48,43,89.58
Falcons,ATL,13,,K,553388385,Spencer Shrader,3,0,10964,15,17,38.00,18,5,1,51,12,66.67,0,0,51,51,100.00
Falcons,ATL,13,,P,553388991,Ryan Wright,5,0,2671,17,17,0.00,0,0,0,0,0,0.00,79,14,0,0,0.00
Giants,NYG,15,,K,553387787,Harrison Mevis,3,0,10179,15,17,29.00,10,2,1,51,9,90.00,0,0,52,51,98.08
Giants,NYG,15,,P,553388523,Ryan Stonehouse,5,0,5015,4,17,0.00,0,0,0,0,0,0.00,80,35,0,0,0.00
Jaguars,JAX,16,,K,553387587,Cam Little,3,0,10159,39,17,50.00,23,3,1,59,16,69.57,89,14,52,50,96.15
Jets,NYJ,17,,K,553388115,Jack Podlesny,4,0,2357,16,1,0.00,0,0,0,0,0,0.00,2,0,0,0,0.00
Jets,NYJ,17,,P,553386072,Matt Araiza,5,0,1140,14,16,0.00,0,0,0,0,0,0.00,68,36,0,0,0.00
Jets,NYJ,17,,K,553388419,Joey Slye,8,0,577,3,15,54.00,23,10,3,56,16,69.57,0,0,26,24,92.31
Lions,DET,18,,K,553386154,Jake Bates,4,0,10871,39,17,70.00,21,6,5,59,20,95.24,88,26,52,50,96.15
Packers,GB,19,,P,553386755,Ethan Evans,4,0,3146,42,14,0.00,0,0,0,0,0,0.00,66,21,0,0,0.00
Packers,GB,19,,K,553388050,Riley Patterson,6,0,2110,47,16,59.00,26,4,1,57,19,73.08,14,4,36,35,97.22
Panthers,CAR,20,,P,553386976,Kai Ward,1,0,3466,12,17,3.00,2,1,0,31,1,50.00,93,8,11,10,90.91
Panthers,CAR,20,,K,553387628,Wil Lutz,11,0,8374,18,13,71.00,22,10,7,61,19,86.36,0,0,43,43,100.00
Patriots,NE,21,,K,553386240,Andres Borregales,2,0,10793,36,17,43.00,18,5,2,56,13,72.22,46,12,51,51,100.00
Patriots,NE,21,,P,553386124,Bryce Baringer,4,0,2645,17,7,0.00,0,0,0,0,0,0.00,34,4,0,0,0.00
Raiders,LV,22,,P,553386479,A.J. Cole,8,0,220,6,17,0.00,0,0,0,0,0,0.00,109,9,0,0,0.00
