team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,,QB,553388147,Brock Purdy,4,0,1899,13,1,27.52,27,17,62.96,1,50,109.90,3,3,219,8.11,219.00
Bears,CHI,0,,QB,553388871,Caleb Williams,2,0,10296,18,2,-1.00,57,42,73.68,4,85,111.50,3,7,616,10.81,308.00
Bears,CHI,0,,HB,553388560,D'Andre Swift,6,0,599,4,1,11.30,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,6,0,198,9,1,35.44,38,24,63.16,1,31,104.90,0,3,318,8.37,318.00
Bills,BUF,2,,QB,553386033,Josh Allen,8,0,8800,17,1,-0.20,15,12,80.00,0,71,158.30,1,4,289,19.27,289.00
Broncos,DEN,3,,QB,553386995,Jake Haener,3,0,2575,4,1,-0.10,4,4,100.00,0,24,113.50,0,0,45,11.25,45.00
Broncos,DEN,3,,QB,553387611,Jordan Love,6,0,433,10,1,8.90,25,20,80.00,0,24,142.40,0,3,217,8.68,217.00
Browns,CLE,4,,HB,553387429,Quinshon Judkins,1,0,10618,10,1,16.20,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Browns,CLE,4,,QB,553388322,Shedeur Sanders,1,0,10718,12,1,-0.20,24,16,66.67,2,28,94.40,1,3,184,7.67,184.00
Buccaneers,TB,5,,QB,553388941,Zach Reese,0,0,3403,9,1,1.80,48,20,41.67,3,24,43.30,0,2,215,4.48,215.00
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,8,0,8982,6,1,0.00,1,0,0.00,0,0,39.50,0,0,0,0.00,0.00
Cardinals,ARI,6,,WR,553388926,Michael Wilson,3,0,2480,14,1,1.80,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Cardinals,ARI,6,,QB,553387895,Kyler Murray,7,0,9583,1,2,3.80,44,16,36.36,5,36,20.40,11,1,196,4.45,98.00
Cardinals,ARI,6,,QB,553386286,Jacoby Brissett,10,0,7911,7,1,-2.16,7,2,28.57,1,0,0.00,1,0,-2,-0.29,-2.00
Chargers,LAC,7,,QB,553387119,Justin Herbert,6,0,346,10,2,43.28,58,45,77.59,4,36,89.90,3,3,491,8.47,245.50
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,9,0,8648,15,1,4.48,21,10,47.62,6,36,49.00,2,1,156,7.43,156.00
Colts,IND,9,,QB,553388215,Anthony Richardson Sr,3,0,2609,5,1,-0.30,20,13,65.00,1,25,105.80,0,2,178,8.90,178.00
Colts,IND,9,,WR,553386669,Josh Downs,3,0,2117,1,1,3.70,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Commanders,WAS,25,,QB,553386563,Jayden Daniels,2,0,10048,5,1,2.50,28,17,60.71,1,27,74.90,1,1,170,6.07,170.00
Cowboys,DAL,10,,QB,553388133,Dak Prescott,10,0,8179,4,2,14.80,45,30,66.67,3,63,101.10,0,4,355,7.89,177.50
Dolphins,MIA,11,,QB,553388565,Tua Tagovailoa,6,0,600,1,2,5.26,55,34,61.82,3,73,82.85,2,2,495,9.00,247.50
Eagles,PHI,12,,QB,553387229,Jalen Hurts,6,0,704,1,1,4.20,34,23,67.65,1,17,80.00,1,1,196,5.76,196.00
Falcons,ATL,13,,QB,553388068,Michael Penix Jr,2,0,10207,9,1,14.56,31,22,70.97,4,33,63.50,0,1,232,7.48,232.00
Giants,NYG,15,,QB,553386569,Jaxson Dart,1,0,10533,6,2,-0.30,38,28,73.68,1,82,123.80,2,6,417,10.97,208.50
Jaguars,JAX,16,,WR,553386314,Dyami Brown,5,0,1349,89,1,2.70,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Jaguars,JAX,16,,QB,553387544,Trevor Lawrence,5,0,1372,16,2,6.50,31,22,70.97,2,65,114.20,4,3,347,11.19,173.50
Jets,NYJ,17,,QB,553386800,Justin Fields,5,0,1366,7,1,41.76,33,21,63.64,2,48,112.20,2,3,422,12.79,422.00
Lions,DET,18,,QB,553386931,Jared Goff,10,0,8021,16,1,-0.10,20,12,60.00,2,32,85.80,1,4,162,8.10,162.00
Packers,GB,19,,QB,553387936,Bo Nix,2,0,10195,10,2,1.40,56,38,67.86,2,43,103.00,4,4,465,8.30,232.50
Panthers,CAR,20,,QB,553389004,Bryce Young,3,0,2638,9,1,25.60,28,17,60.71,1,35,98.00,7,2,245,8.75,245.00
Patriots,NE,21,,WR,553388010,Charles Stearn,0,0,3881,87,1,40.30,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Patriots,NE,21,,QB,553387686,Drake Maye,2,0,10165,10,1,-0.10,16,11,68.75,1,82,124.90,0,3,241,15.06,241.00
Raiders,LV,22,,QB,553387808,Joe Milton III,2,0,10180,1,1,22.64,13,10,76.92,1,54,125.80,0,2,208,16.00,208.00
Rams,LAR,23,,QB,553386358,Dillon Overton,0,0,3970,10,2,16.46,45,30,66.67,3,33,93.85,5,3,312,6.93,156.00
Ravens,BAL,24,,QB,553386006,Lance Strong,0,0,3370,18,1,7.40,23,16,69.57,1,28,110.70,1,2,220,9.57,220.00
Ravens,BAL,24,,QB,553387273,Lamar Jackson,8,0,8940,8,1,48.32,41,28,68.29,4,51,105.10,0,5,454,11.07,227.00
Saints,NO,26,,QB,553387768,Emmett Newby,0,0,4203,7,2,-0.10,56,43,76.79,0,28,127.85,2,6,431,7.70,215.50
Seahawks,SEA,27,,QB,553386429,Mac Thompson,0,0,10317,17,1,7.10,37,27,72.97,0,27,104.60,5,1,291,7.86,291.00
Steelers,PIT,28,,QB,553388429,DeVonte Bullitt,0,0,3358,7,1,6.90,31,23,74.19,3,51,81.40,0,1,345,11.13,345.00
Texans,HOU,31,,QB,553388538,C.J. Stroud,3,0,2417,7,2,37.04,63,47,74.60,4,65,113.55,1,7,626,9.94,313.00
Titans,TEN,29,,QB,553388785,Cam Ward,1,0,10768,1,1,-0.90,30,19,63.33,2,31,82.20,2,2,237,7.90,237.00
Titans,TEN,29,,QB,553387570,Will Levis,3,0,7889,8,1,0.00,14,5,35.71,2,14,7.10,1,0,50,3.57,50.00
Vikings,MIN,30,,QB,553387701,J.J. McCarthy,2,0,10167,9,1,8.10,30,17,56.67,0,28,71.30,4,0,159,5.30,159.00
