team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,puntsTotalBlocked,puntsTotalIn20,puntTotalLongest,puntTotalTBs,puntAvgNetYdsPerAtt,puntTotalNetYds,puntTotalAtt,puntAvgYdsPerAtt,puntTotalYds
49ers,SF,14,,P,553386913,Blake Gillikin,7,0,878,12,7,0,4,58,2,37.92,493,13,44.15,574
Bears,CHI,0,,P,553388585,Tory Taylor,3,0,10262,19,7,0,4,56,3,30.06,481,16,37.12,594
Bengals,CIN,1,,P,553388192,Ryan Rehkow,3,0,10223,8,8,0,4,51,4,26.71,454,17,36.88,627
Bills,BUF,2,,P,553386841,Jack Fox,9,0,9460,3,7,0,1,58,5,37.36,523,14,49.14,688
Broncos,DEN,3,,P,553386533,Jeremy Crawshaw,2,0,10530,16,8,0,3,72,1,41.11,781,19,46.68,887
Browns,CLE,4,,P,553388937,Reid Coleman,1,0,10318,5,8,0,3,61,3,39.93,559,14,43.00,602
Buccaneers,TB,5,,P,553386065,Bryan Anger,15,0,5023,0,6,0,1,53,3,33.14,464,14,41.36,579
Cardinals,ARI,6,,P,553387649,Braden Mann,7,0,442,9,9,0,2,55,7,36.21,1195,33,46.91,1548
Chargers,LAC,7,,P,553388348,J.K. Scott,9,0,9052,16,7,0,5,66,2,46.18,785,17,50.82,864
Chiefs,KC,8,,P,553386391,Jake Camarda,5,0,1243,16,6,0,1,57,1,39.33,354,9,46.78,421
Colts,IND,9,,P,553388317,Rigoberto Sanchez,10,0,9282,8,6,0,1,49,1,25.50,153,6,32.67,196
Commanders,WAS,25,,P,553387366,Cameron Johnston,9,0,8608,7,8,0,3,52,1,34.18,376,11,42.18,464
Cowboys,DAL,10,,P,553388974,Eric Poole,0,0,10324,19,6,0,2,58,1,41.12,329,8,48.88,391
Dolphins,MIA,11,,P,553386105,Jake Bailey,8,0,9373,16,6,0,1,61,3,40.92,532,13,49.62,645
Eagles,PHI,12,,P,553388736,Eddie Esparza,0,0,3422,15,6,0,3,61,1,37.06,667,18,41.17,741
Falcons,ATL,13,,P,553388991,Ryan Wright,5,0,2671,17,6,0,0,64,6,32.21,451,14,48.64,681
Giants,NYG,15,,P,553388523,Ryan Stonehouse,5,0,5015,4,8,0,4,56,2,36.50,511,14,44.57,624
Jaguars,JAX,16,,P,553386506,Logan Cooke,9,0,9331,9,7,0,3,59,1,37.00,444,12,43.25,519
Jets,NYJ,17,,P,553387085,Matthew Hayball,3,0,10910,4,1,0,0,49,0,37.00,37,1,49.00,49
Jets,NYJ,17,,P,553386072,Matt Araiza,5,0,1140,14,6,0,4,71,5,47.58,904,19,53.26,1012
Lions,DET,18,,P,553388948,Mitch Wishnowsky,8,0,9689,10,6,0,2,62,3,37.50,450,12,47.25,567
Packers,GB,19,,P,553386755,Ethan Evans,4,0,3146,42,8,0,4,55,1,40.81,653,16,47.44,759
Panthers,CAR,20,,P,553386976,Kai Ward,1,0,3466,12,6,0,3,56,2,33.00,528,16,40.44,647
Patriots,NE,21,,P,553386124,Bryce Baringer,4,0,2645,17,7,0,4,51,0,35.59,605,17,43.12,733
Raiders,LV,22,,P,553386479,A.J. Cole,8,0,220,6,9,0,3,54,2,30.21,423,14,38.50,539
Rams,LAR,23,,P,553388759,Corliss Waitman,7,0,2658,19,6,0,4,53,1,33.10,331,10,40.70,407
Ravens,BAL,24,,P,553388524,Jordan Stout,5,0,1957,7,7,0,3,60,1,33.08,397,12,35.08,421
Saints,NO,26,,P,553387763,Austin McNamara,3,0,10938,14,7,0,0,65,7,44.55,490,11,54.73,602
Seahawks,SEA,27,,P,553386638,Michael Dickson,9,0,8870,4,5,0,0,67,6,49.64,546,11,56.82,625
Steelers,PIT,28,,P,553388105,Bradley Pinion,12,0,7281,12,8,0,2,61,3,35.95,683,19,43.26,822
Texans,HOU,31,,P,553388672,Tommy Townsend,7,0,620,6,7,0,1,56,2,27.50,275,10,43.60,436
Titans,TEN,29,,P,553386223,Corey Bojorquez,9,0,9325,11,4,0,2,54,1,35.12,281,8,42.50,340
Vikings,MIN,30,,P,553386824,Jordan Santiago,1,0,3881,19,8,0,3,67,3,43.24,735,17,48.65,827
