team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,,TE,553388782,Hugh McAllister,0,0,3404,87,8,25.70,10,100.00,0,17,1,45,97,4.50,9.70,8.82
49ers,SF,14,,HB,553387292,Jordan James,1,0,10609,29,2,4.60,3,100.00,0,13,0,26,16,8.67,5.33,1.45
49ers,SF,14,,WR,553388059,Ricky Pearsall,2,0,10206,1,11,54.90,18,85.71,3,48,0,123,369,6.83,20.50,33.55
49ers,SF,14,,WR,553386014,Brandon Aiyuk,6,0,71,11,10,100.80,36,90.00,4,26,4,132,408,3.67,11.33,37.09
49ers,SF,14,,WR,553387316,Jauan Jennings,6,0,391,15,11,147.90,49,89.09,6,67,7,354,569,7.22,11.61,51.73
49ers,SF,14,,HB,553387697,Christian McCaffrey,9,16,8655,23,11,83.00,42,100.00,0,33,0,437,410,10.40,9.76,37.27
49ers,SF,14,,TE,553387484,George Kittle,9,0,8622,85,10,116.70,32,86.49,5,54,7,179,427,5.59,13.34,38.82
49ers,SF,14,,FB,553387434,Kyle Juszczyk,13,0,6869,44,2,3.70,2,100.00,0,10,0,9,17,4.50,8.50,1.55
Bears,CHI,0,,FB,553386721,Angelo Morales,0,0,3883,43,2,3.30,2,100.00,0,14,0,12,13,6.00,6.50,1.08
Bears,CHI,0,,TE,553387613,Colston Loveland,1,3,10639,84,11,217.20,57,91.94,5,85,10,444,1002,7.79,17.58,83.50
Bears,CHI,0,,HB,553387830,Kyle Monangai,1,0,10666,25,1,7.90,1,100.00,0,9,1,0,9,0.00,9.00,0.75
Bears,CHI,0,,WR,553386352,Luther Burden III,1,0,10510,10,11,109.20,36,94.74,2,40,4,180,492,5.00,13.67,41.00
Bears,CHI,0,,WR,553387964,Rome Odunze,2,0,10199,15,11,113.20,31,93.94,2,100,4,227,582,7.32,18.77,48.50
Bears,CHI,0,,TE,553387486,Cole Kmet,6,0,711,85,8,47.00,15,100.00,0,19,3,45,140,3.00,9.33,11.67
Bears,CHI,0,,HB,553388560,D'Andre Swift,6,0,599,4,12,71.10,29,100.00,0,29,3,244,241,8.41,8.31,20.08
Bears,CHI,0,,WR,553387844,DJ Moore,8,0,8995,2,12,192.60,46,95.83,2,76,9,336,926,7.30,20.13,77.17
Bengals,CIN,1,,TE,553386026,Erick All Jr,2,0,9997,83,5,16.00,6,100.00,0,15,1,22,40,3.67,6.67,3.33
Bengals,CIN,1,,WR,553386365,Jermaine Burton,2,0,10026,81,2,4.10,2,100.00,0,13,0,1,21,0.50,10.50,1.75
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,3,0,2229,80,12,190.30,58,85.29,10,38,8,269,843,4.64,14.53,70.25
Bengals,CIN,1,,HB,553386312,Chase Brown,3,0,1827,30,11,78.30,31,100.00,0,45,3,302,293,9.74,9.45,24.42
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,5,0,1370,1,12,214.30,73,94.81,4,74,7,342,993,4.68,13.60,82.75
Bengals,CIN,1,,WR,553387141,Tee Higgins,6,0,351,5,12,186.50,60,100.00,0,75,6,328,905,5.47,15.08,75.42
Bengals,CIN,1,,TE,553386900,Mike Gesicki,8,0,8900,88,12,101.70,37,92.50,3,26,4,162,407,4.38,11.00,33.92
Bengals,CIN,1,,HB,553388076,Samaje Perine,10,0,8685,34,1,1.70,1,50.00,1,7,0,5,7,5.00,7.00,0.58
Bills,BUF,2,,HB,553388172,D.J. Marrow,0,0,3347,26,8,24.70,15,100.00,0,14,0,113,97,7.53,6.47,8.82
Bills,BUF,2,,TE,553386586,Jeremiah Knox,0,0,3362,82,11,41.20,16,88.89,2,21,2,86,132,5.38,8.25,12.00
Bills,BUF,2,,TE,553387082,Jackson Hawes,1,0,10581,85,2,3.20,2,100.00,0,8,0,7,12,3.50,6.00,1.09
Bills,BUF,2,,WR,553386482,Keon Coleman,2,0,10038,0,11,134.80,31,91.18,3,76,7,235,618,7.58,19.94,56.18
Bills,BUF,2,,HB,553386594,Ray Davis,2,0,10051,22,1,1.70,1,100.00,0,7,0,2,7,2.00,7.00,0.64
Bills,BUF,2,,HB,553386505,James Cook III,4,0,1304,4,10,83.30,34,100.00,0,56,2,415,373,12.21,10.97,33.91
Bills,BUF,2,,WR,553388365,Khalil Shakir,4,0,1942,10,9,46.00,14,93.33,1,60,1,41,260,2.93,18.57,23.64
Bills,BUF,2,,WR,553386083,Tutu Atwell,5,0,1315,5,7,127.90,23,100.00,0,70,10,187,449,8.13,19.52,56.13
Bills,BUF,2,,TE,553387492,Dawson Knox,7,0,9546,88,11,157.50,46,93.88,3,55,10,244,515,5.30,11.20,46.82
Bills,BUF,2,,FB,553386214,Khari Blasingame,7,0,100,48,6,11.80,7,100.00,0,15,0,24,48,3.43,6.86,4.80
Bills,BUF,2,,WR,553388315,Curtis Samuel,9,0,8716,1,3,25.70,10,100.00,0,22,1,47,97,4.70,9.70,9.70
Broncos,DEN,3,,TE,553387294,Sheldon Jowers,0,0,3761,85,11,124.00,32,96.97,1,66,6,189,560,5.91,17.50,50.91
Broncos,DEN,3,,HB,553387072,RJ Harvey,1,0,10579,12,9,101.70,35,100.00,0,81,4,423,427,12.09,12.20,38.82
Broncos,DEN,3,,HB,553386748,Audric Estime,2,0,10067,37,1,3.10,2,100.00,0,6,0,19,11,9.50,5.50,1.00
Broncos,DEN,3,,WR,553386847,Troy Franklin,2,0,10077,11,2,12.80,2,100.00,0,36,1,40,48,20.00,24.00,9.60
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,3,0,2312,19,6,123.40,27,93.10,2,68,7,189,544,7.00,20.15,90.67
Broncos,DEN,3,,WR,553388490,Amon-Ra St. Brown,5,0,1313,15,10,140.20,37,100.00,0,42,9,154,492,4.16,13.30,44.73
Broncos,DEN,3,,WR,553388553,Courtland Sutton,8,0,9072,14,6,47.50,16,94.12,1,60,1,41,255,2.56,15.94,23.18
Broncos,DEN,3,,WR,553386436,D.J. Chark Jr,8,0,8843,83,11,94.40,33,94.29,2,51,2,116,494,3.52,14.97,44.91
Broncos,DEN,3,,TE,553386746,Zach Ertz,13,0,5790,87,3,10.30,3,100.00,0,8,1,8,13,2.67,4.33,1.18
Browns,CLE,4,,TE,553387368,Brian Garner,0,0,4203,88,4,16.10,4,80.00,1,33,1,26,61,6.50,15.25,5.55
Browns,CLE,4,,WR,553388721,Jordan Durham,0,0,10329,18,11,143.30,41,85.42,7,80,4,199,783,4.85,19.10,71.18
