id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1501023,774635520,MEGA,,49ers,SF,San Francisco,NFC,11,NFC West,0,14,Niners,4,87,11141120,11506269,kislik34,0,0,0,2027,766640128,0,0,0,324200000,23770000,300430000,0,1,0,1,0,1,769785863,0,NFC West,0,0,0,0,0,0,0,32,0,32,0,32,1,32,0,9,0,0,0,0,2,1,0,0,0,49ers,87,0,0,0,0.00,,,,
1501014,774635521,MEGA,,Bears,CHI,Chicago,NFC,11,NFC North,0,0,Bears,6,90,726570,15089920,Arturretti,0,0,0,2027,766640128,0,0,0,324200000,40020000,284180000,0,2,0,2,0,2,769785861,0,NFC North,0,0,0,0,0,0,0,31,0,31,0,31,2,31,0,12,0,0,0,0,2,1,0,0,0,Bears,90,0,0,0,0.00,,,,
1500997,774635522,MEGA,,Bengals,CIN,Cincinnati,AFC,11,AFC North,0,1,Bengals,7,89,16469780,0,staski23,0,0,0,2027,765198336,0,0,0,324200000,17430000,306770000,0,3,0,3,0,3,769785857,0,AFC North,0,0,0,0,0,0,0,30,0,30,0,30,3,30,0,1,0,0,0,0,2,1,0,0,0,Bengals,89,0,0,0,0.00,,,,
1501006,774635523,MEGA,,Bills,BUF,Buffalo,AFC,13,AFC East,0,2,Bills,2,83,798338,13961738,HMN Tails,0,0,0,2027,765198336,0,0,0,324200000,3690000,320510000,0,4,0,4,0,4,769785856,0,AFC East,0,0,0,0,0,0,0,29,0,29,0,29,4,29,0,15,0,0,0,0,2,1,0,0,0,Bills,83,0,0,0,0.00,,,,
1501008,774635524,MEGA,,Broncos,DEN,Denver,AFC,11,AFC West,0,3,Broncos,0,87,664387,16534530,BAJIEPA_23,0,0,0,2027,765198336,0,0,0,324200000,23540000,300660000,0,5,0,5,0,5,769785859,0,AFC West,0,0,0,0,0,0,0,28,0,28,0,28,5,28,0,3,0,0,0,0,2,1,0,0,0,Broncos,87,0,0,0,0.00,,,uploads/270cf8bf-04a6-4322-8c60-ba9aa1acb336.png,uploads/1b9322d6-1abc-42d4-b09c-2d80b7025c49.jpeg
1500998,774635525,MEGA,,Browns,CLE,Cleveland,AFC,20,AFC North,0,4,Browns,2,86,16727040,3218688,ellmanoso,0,0,0,2027,765198336,0,0,0,324200000,40900000,283300000,0,6,0,6,0,6,769785857,0,AFC North,0,0,0,0,0,0,0,27,0,27,0,27,6,27,0,6,0,0,0,0,2,1,0,0,0,Browns,86,0,0,0,0.00,,,,
1501018,774635526,MEGA,,Buccaneers,TB,Tampa Bay,NFC,17,NFC South,0,5,Bucs,2,89,10685741,4078133,ajoudojuau,0,0,0,2027,766640128,0,0,0,324200000,29660000,294540000,0,7,0,7,0,7,769785862,0,NFC South,0,0,0,0,0,0,0,26,0,26,0,26,7,26,0,32,0,0,0,0,2,1,0,0,0,Buccaneers,89,0,0,0,0.00,,,,
1501026,774635527,MEGA,,Cardinals,ARI,Arizona,NFC,13,NFC West,0,6,Cardinals,0,83,8847399,16777215,FhouThe,0,0,0,2027,766640128,0,0,0,324200000,46380000,277820000,0,8,0,8,0,8,769785863,0,NFC West,0,0,0,0,0,0,0,25,0,25,0,25,8,25,0,30,0,0,0,0,2,1,0,0,0,Cardinals,83,0,0,0,0.00,,,,
1501009,774635530,MEGA,,Chargers,LAC,Los Angeles,AFC,11,AFC West,0,7,Bolts,5,87,32966,16761358,MrBungle255,0,0,0,2027,765198336,0,0,0,324200000,20130000,304070000,0,9,0,9,0,9,769785859,0,AFC West,0,0,0,0,0,0,0,24,0,24,0,24,9,24,0,27,0,0,0,0,2,1,0,0,0,Chargers,87,0,0,0,0.00,привет!,,,
1501010,774635531,MEGA,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,10,87,14882871,15641886,VARVAR47,0,0,0,2027,765198336,0,0,0,324200000,19450000,304750000,0,10,0,10,0,10,769785859,0,AFC West,0,0,0,0,0,0,0,23,0,23,0,23,10,23,0,18,0,0,0,0,2,1,0,0,0,Chiefs,87,0,0,0,0.00,,,,
1501002,774635532,MEGA,,Colts,IND,Indianapolis,AFC,13,AFC South,0,9,Colts,0,85,78697,16777215,Mighty_Cowboy88,0,0,0,2027,765198336,0,0,0,324200000,850000,323350000,0,11,0,11,0,11,769785858,0,AFC South,0,0,0,0,0,0,0,22,0,22,0,22,11,22,0,21,0,0,0,0,2,1,0,0,0,Colts,85,0,0,0,0.00,,,,
1501022,774635533,MEGA,,Commanders,WAS,Washington,NFC,11,NFC East,0,25,Commanders,6,89,5903380,16758290,Marcus_Hoper,0,0,0,2027,766640128,0,0,0,324200000,49820000,274380000,0,12,0,12,0,12,769785860,0,NFC East,0,0,0,0,0,0,0,21,0,21,0,21,12,21,0,22,0,0,0,0,2,1,0,0,0,Commanders,89,0,0,0,0.00,,,uploads/39e50258-5e6c-4877-991a-478971370a88.png,uploads/39cd1e23-304c-42de-b4da-2360df836455.jpg
1501019,774635534,MEGA,,Cowboys,DAL,Dallas,NFC,15,NFC East,0,10,Cowboys,9,88,798338,11581372,Iespaul,0,0,0,2027,766640128,0,0,0,324200000,3820000,320380000,0,13,0,13,0,13,769785860,0,NFC East,0,0,0,0,0,0,0,20,0,20,0,20,13,20,0,7,0,0,0,0,2,1,0,0,0,Cowboys,88,0,0,0,0.00,,,,
1501003,774635535,MEGA,,Dolphins,MIA,Miami,AFC,11,AFC East,0,11,Phins,0,86,36503,16534530,manateedanvlc,0,0,0,2027,765198336,0,0,0,324200000,1070000,323130000,0,14,0,14,0,14,769785856,0,AFC East,0,0,0,0,0,0,0,19,0,19,0,19,14,19,0,29,0,0,0,0,2,1,0,0,0,Dolphins,86,0,0,0,0.00,,,,
1501020,774635536,MEGA,,Eagles,PHI,Philadelphia,NFC,11,NFC East,0,12,Eagles,0,88,18513,10660525,m1shgek,0,0,0,2027,766640128,0,0,0,324200000,29470000,294730000,0,15,0,15,0,15,769785860,0,NFC East,0,0,0,0,0,0,0,18,0,18,0,18,15,18,0,31,0,0,0,0,2,1,0,0,0,Eagles,88,0,0,0,0.00,,,,
1501015,774635537,MEGA,,Falcons,ATL,Atlanta,NFC,13,NFC South,0,13,Falcons,5,87,10685741,0,TaliSSman89,0,0,0,2027,766640128,0,0,0,324200000,13190000,311010000,0,16,0,16,0,16,769785862,0,NFC South,0,0,0,0,0,0,0,17,0,17,0,17,16,17,0,19,0,0,0,0,2,1,0,0,0,Falcons,87,0,0,0,0.00,,,,
