team,conference,W,L,T,remaining_games,ranked_sos_avg,ranked_sos_sum,past_ranked_sos_avg,total_ranked_sos
Raiders,AFC,0,0,0,17,0.5404,9.1875,0.0,9.1875
Colts,AFC,0,0,0,17,0.5267,8.9531,0.0,8.9531
Chiefs,AFC,0,0,0,17,0.5261,8.9437,0.0,8.9437
Jets,AFC,0,0,0,17,0.5228,8.8875,0.0,8.8875
Bills,AFC,0,0,0,17,0.5175,8.7969,0.0,8.7969
Broncos,AFC,0,0,0,17,0.5138,8.7344,0.0,8.7344
Ravens,AFC,0,0,0,17,0.5136,8.7313,0.0,8.7313
Chargers,AFC,0,0,0,17,0.5127,8.7156,0.0,8.7156
Jaguars,AFC,0,0,0,17,0.5092,8.6562,0.0,8.6562
Titans,AFC,0,0,0,17,0.5083,8.6406,0.0,8.6406
Browns,AFC,0,0,0,17,0.5077,8.6313,0.0,8.6313
Texans,AFC,0,0,0,17,0.5057,8.5969,0.0,8.5969
Dolphins,AFC,0,0,0,17,0.5042,8.5719,0.0,8.5719
Steelers,AFC,0,0,0,17,0.5039,8.5656,0.0,8.5656
Bengals,AFC,0,0,0,17,0.4917,8.3594,0.0,8.3594
Patriots,AFC,0,0,0,17,0.4917,8.3594,0.0,8.3594
Cardinals,NFC,0,0,0,17,0.5428,9.2281,0.0,9.2281
Rams,NFC,0,0,0,17,0.5397,9.175,0.0,9.175
Buccaneers,NFC,0,0,0,17,0.539,9.1625,0.0,9.1625
Lions,NFC,0,0,0,17,0.5325,9.0531,0.0,9.0531
Saints,NFC,0,0,0,17,0.5265,8.95,0.0,8.95
Falcons,NFC,0,0,0,17,0.5228,8.8875,0.0,8.8875
49ers,NFC,0,0,0,17,0.5213,8.8625,0.0,8.8625
Packers,NFC,0,0,0,17,0.5208,8.8531,0.0,8.8531
Seahawks,NFC,0,0,0,17,0.5143,8.7438,0.0,8.7438
Bears,NFC,0,0,0,17,0.5131,8.7219,0.0,8.7219
Commanders,NFC,0,0,0,17,0.5119,8.7031,0.0,8.7031
Giants,NFC,0,0,0,17,0.5085,8.6438,0.0,8.6438
Panthers,NFC,0,0,0,17,0.5085,8.6438,0.0,8.6438
Cowboys,NFC,0,0,0,17,0.5083,8.6406,0.0,8.6406
Vikings,NFC,0,0,0,17,0.4974,8.4563,0.0,8.4563
Eagles,NFC,0,0,0,17,0.4967,8.4438,0.0,8.4438
