team,games,avg_opp_elo,league_avg_opp_elo,plus_minus_vs_avg,sos_index,rank,conference,division
Raiders,20,1235.7,1213.6492597302079,22.050740269792186,119.96779430623228,1,AFC,AFC West
Browns,18,1233.6166666666666,1213.6492597302079,19.9674069364587,118.08125576093417,2,AFC,AFC North
49ers,18,1233.3833333333334,1213.6492597302079,19.73407360312558,117.86996344386098,3,NFC,NFC West
Titans,18,1232.3666666666666,1213.6492597302079,18.7174069364587,116.94933263375538,4,AFC,AFC South
Cowboys,21,1230.8285714285714,1213.6492597302079,17.179311698363563,115.55652817631261,5,NFC,NFC East
Eagles,17,1228.570588235294,1213.6492597302079,14.921328505086194,113.5118374585113,6,NFC,NFC East
Ravens,17,1226.6529411764704,1213.6492597302079,13.00368144626259,111.77533421399224,7,AFC,AFC North
Giants,18,1226.461111111111,1213.6492597302079,12.811851380903136,111.60162470401737,8,NFC,NFC East
Seahawks,18,1225.9166666666667,1213.6492597302079,12.267406936458883,111.10860929751301,9,NFC,NFC West
Cardinals,17,1225.6823529411763,1213.6492597302079,12.033093210968445,110.89642919759457,10,NFC,NFC West
Texans,17,1225.5647058823529,1213.6492597302079,11.915446152145023,110.78989525621313,11,AFC,AFC South
Chiefs,17,1224.870588235294,1213.6492597302079,11.221328505086149,110.16134500206205,12,AFC,AFC West
Rams,17,1222.1941176470589,1213.6492597302079,8.544857916851015,107.73769783563232,13,NFC,NFC West
Buccaneers,17,1221.4411764705883,1213.6492597302079,7.7919167403804295,107.05588061079051,14,NFC,NFC South
Jaguars,19,1218.7473684210527,1213.6492597302079,5.0981086908448106,104.61653370563072,15,AFC,AFC South
Bengals,18,1218.6833333333334,1213.6492597302079,5.034073603125535,104.55854746823843,16,AFC,AFC North
Broncos,18,1218.4222222222222,1213.6492597302079,4.772962492014358,104.32210130389436,17,AFC,AFC West
Chargers,17,1216.4823529411765,1213.6492597302079,2.8330932109686273,102.56547498155888,18,AFC,AFC West
Steelers,17,1215.3823529411766,1213.6492597302079,1.7330932109687183,101.56938262964162,19,AFC,AFC North
Falcons,17,1213.5470588235294,1213.6492597302079,-0.10220090667849036,99.90745314408959,20,NFC,NFC South
Colts,17,1209.8352941176472,1213.6492597302079,-3.8139656125606507,96.5463072935024,21,AFC,AFC South
Commanders,17,1209.0823529411766,1213.6492597302079,-4.566906789031236,95.86449006866059,22,NFC,NFC East
Saints,19,1204.3368421052633,1213.6492597302079,-9.312417624944601,91.5672472963023,23,NFC,NFC South
Dolphins,17,1203.9705882352941,1213.6492597302079,-9.678671494913715,91.23559031563288,24,AFC,AFC East
Panthers,20,1202.34,1213.6492597302079,-11.309259730207941,89.75902988808474,25,NFC,NFC South
Patriots,21,1200.0333333333333,1213.6492597302079,-13.615926396874556,87.67025441073086,26,AFC,AFC East
Jets,17,1197.4058823529413,1213.6492597302079,-16.243377377266597,85.29099638654341,27,AFC,AFC East
Bears,18,1187.9166666666667,1213.6492597302079,-25.732593063541117,76.69814623127793,28,NFC,NFC North
Vikings,17,1185.3117647058823,1213.6492597302079,-28.337495024325563,74.3393072125217,29,NFC,NFC North
Bills,17,1181.535294117647,1213.6492597302079,-32.11396561256083,70.91956769417453,30,AFC,AFC East
Packers,17,1181.2117647058822,1213.6492597302079,-32.4374950243257,70.62659935537516,31,NFC,NFC North
Lions,17,1179.2823529411764,1213.6492597302079,-34.36690678903142,68.87944271671819,32,NFC,NFC North
