id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
11120862,Ravens,0,1,4,1,0,4,3,0,15,7,28,1,6,29,2,21
11120852,Bills,0,1,4,3,0,1,27,0,29,15,21,13,19,19,5,16
11120874,Commanders,0,1,4,3,0,2,18,0,26,25,4,28,12,28,13,27
11120875,Rams,0,1,4,2,0,2,16,0,14,13,15,27,24,6,16,7
11120871,Buccaneers,0,1,4,3,0,2,20,0,10,17,22,20,23,16,31,24
11120851,Patriots,0,1,4,1,0,3,7,0,4,14,31,7,29,11,1,5
11120869,Falcons,0,1,4,2,0,2,15,0,12,19,17,23,22,12,10,10
11120868,Vikings,0,1,4,1,0,3,9,0,18,21,19,30,25,1,20,1
11120876,Cardinals,0,1,4,5,0,0,31,0,32,32,30,16,31,30,23,30
11120873,Giants,0,1,4,2,0,3,10,0,13,8,5,11,4,17,11,14
11120872,Cowboys,0,1,4,1,0,4,5,0,28,4,12,6,8,32,12,31
11120870,Panthers,0,1,4,2,0,3,12,0,5,22,7,17,13,15,8,11
11120850,Jets,0,1,4,3,0,2,22,0,31,1,1,24,1,31,30,32
11120853,Raiders,0,1,4,0,0,5,2,0,2,3,3,14,3,20,4,17
11120854,Broncos,0,1,4,1,0,4,4,0,8,6,23,3,7,21,27,25
11120861,Seahawks,0,1,4,2,0,3,13,0,16,9,8,10,11,26,9,20
11120863,Steelers,0,1,4,4,0,0,32,0,25,29,26,31,28,7,6,6
11120855,Chargers,0,1,4,3,0,2,19,0,22,28,13,19,18,24,14,19
11120847,Titans,0,1,4,1,0,4,6,0,3,11,2,12,2,14,18,13
11120848,Texans,0,1,4,3,0,2,23,0,19,26,10,32,20,22,21,23
11120846,Dolphins,0,1,4,2,0,3,11,0,11,5,6,25,14,18,29,26
