id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1501023,774635520,MEGA,,49ers,SF,San Francisco,NFC,11,NFC West,0,14,Niners,4,88,11141120,11506269,kislik34,0,0,0,2026,766640128,0,0,0,304200000,33870000,270330000,239,13,30,2,269,6,769785863,0,NFC West,0,0,0,0,1,7,194,24,67,23,261,29,5,23,1,16,14,21,12,6,1,1,0,0,1,49ers,88,1,1,1,1.00,,,,
1501014,774635521,MEGA,,Bears,CHI,Chicago,NFC,11,NFC North,2,0,Bears,6,85,726570,15089920,Arturretti,0,0,0,2026,766640128,1,0,1,304200000,22300000,281900000,384,24,227,30,611,26,769785861,0,NFC North,0,0,1,0,1,2,590,3,57,26,647,4,15,18,0,17,27,28,19,8,1,1,1,0,1,Bears,85,-2,1,255,0.50,,,,
1500997,774635522,MEGA,,Bengals,CIN,Cincinnati,AFC,11,AFC North,1,1,Bengals,1,88,16469780,0,staski23,0,0,0,2026,765198336,0,0,1,304200000,44310000,259890000,345,22,100,15,445,19,769785857,0,AFC North,0,1,0,0,1,3,318,13,49,30,367,17,23,9,1,12,31,34,9,4,1,1,0,0,1,Bengals,88,2,1,1,1.00,,,,
1501006,774635523,MEGA,,Bills,BUF,Buffalo,AFC,13,AFC East,0,2,Bills,2,83,798338,13961738,HMN Tails,0,0,0,2026,765198336,0,0,1,304200000,11470000,292730000,402,25,58,8,460,21,769785856,0,AFC East,0,1,0,0,1,9,278,16,173,7,451,12,19,3,1,26,30,39,7,5,1,1,0,0,1,Bills,83,2,1,1,1.00,,,,
1501008,774635524,MEGA,,Broncos,DEN,Denver,AFC,11,AFC West,1,3,Broncos,0,87,664387,16534530,BAJIEPA_23,0,0,0,2026,765198336,0,0,1,304200000,16990000,287210000,144,2,51,5,195,3,769785859,0,AFC West,0,1,0,0,1,34,262,18,134,13,396,15,3,2,1,1,7,41,4,2,1,1,0,0,1,Broncos,87,5,1,1,1.00,,,uploads/270cf8bf-04a6-4322-8c60-ba9aa1acb336.png,uploads/1b9322d6-1abc-42d4-b09c-2d80b7025c49.jpeg
1500998,774635525,MEGA,,Browns,CLE,Cleveland,AFC,11,AFC North,0,4,Browns,3,85,16727040,3218688,ellmanoso,0,0,0,2026,765198336,0,0,0,304200000,37840000,266360000,215,10,41,3,256,4,769785857,0,AFC North,0,0,0,0,1,15,173,27,135,12,308,21,6,16,1,23,15,30,11,7,1,1,0,0,1,Browns,85,1,1,1,1.00,,,,
1501018,774635526,MEGA,,Buccaneers,TB,Tampa Bay,NFC,11,NFC South,1,5,Bucs,2,83,10685741,4078133,ajoudojuau,1,0,0,2026,766640128,0,0,0,304200000,44820000,259380000,173,6,135,21,308,10,769785862,0,NFC South,0,0,0,0,0,-15,215,21,41,31,256,30,20,27,0,5,30,15,26,13,1,1,1,0,0,Buccaneers,83,-1,1,255,0.00,,,,
1501026,774635527,MEGA,,Cardinals,ARI,Arizona,NFC,13,NFC West,4,6,Cardinals,0,84,8847399,16777215,FhouThe,1,0,0,2026,766640128,1,0,0,304200000,35540000,268660000,525,29,288,32,813,32,769785863,0,NFC West,0,0,1,0,0,-68,111,32,152,10,263,27,28,32,0,32,37,3,21,10,1,1,2,0,0,Cardinals,84,-4,1,254,0.00,,,,
1501009,774635530,MEGA,,Chargers,LAC,Los Angeles,AFC,11,AFC West,1,7,Bolts,5,84,32966,16761358,MrBungle255,1,0,0,2026,765198336,0,0,0,304200000,2780000,301420000,339,21,184,25,523,23,769785859,0,AFC West,0,0,1,0,0,-11,467,5,118,15,585,8,10,26,0,14,21,15,22,12,1,1,2,0,0,Chargers,84,-2,1,254,0.00,привет!,,,
1501010,774635531,MEGA,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,10,88,14882871,15641886,VARVAR47,1,0,0,2026,765198336,1,0,0,304200000,6220000,297980000,262,14,134,20,396,18,769785859,1,AFC West,0,0,0,0,0,-34,144,31,51,29,195,32,31,31,0,27,41,7,30,16,1,1,1,0,0,Chiefs,88,-5,1,255,0.00,,,,
