team,conference,W,L,T,remaining_games,ranked_sos_avg,ranked_sos_sum,past_ranked_sos_avg,total_ranked_sos
Bengals,AFC,15,4,0,0,0.0,0.0,0.5219,9.9156
Bills,AFC,9,8,0,0,0.0,0.0,0.4818,8.1906
Broncos,AFC,12,6,0,0,0.0,0.0,0.4847,8.725
Browns,AFC,3,14,0,0,0.0,0.0,0.5991,10.1844
Chargers,AFC,4,13,0,0,0.0,0.0,0.5452,9.2688
Chiefs,AFC,8,9,0,0,0.0,0.0,0.5116,8.6969
Colts,AFC,11,7,0,0,0.0,0.0,0.4556,8.2
Dolphins,AFC,6,11,0,0,0.0,0.0,0.4785,8.1344
Jaguars,AFC,10,7,0,0,0.0,0.0,0.5553,9.4406
Jets,AFC,0,17,0,0,0.0,0.0,0.5132,8.725
Patriots,AFC,11,8,0,0,0.0,0.0,0.5488,10.4281
Raiders,AFC,13,5,0,0,0.0,0.0,0.5326,9.5875
Ravens,AFC,15,5,0,0,0.0,0.0,0.558,11.1594
Steelers,AFC,9,8,0,0,0.0,0.0,0.5187,8.8187
Texans,AFC,5,12,0,0,0.0,0.0,0.5265,8.95
Titans,AFC,11,8,0,0,0.0,0.0,0.5062,9.6188
49ers,NFC,8,9,0,0,0.0,0.0,0.5393,9.1688
Bears,NFC,6,11,0,0,0.0,0.0,0.5186,8.8156
Buccaneers,NFC,4,13,0,0,0.0,0.0,0.5187,8.8187
Cardinals,NFC,0,17,0,0,0.0,0.0,0.5627,9.5656
Commanders,NFC,13,4,1,0,0.0,0.0,0.5023,9.0406
Cowboys,NFC,12,7,0,0,0.0,0.0,0.5572,10.5875
Eagles,NFC,8,9,0,0,0.0,0.0,0.4836,8.2219
Falcons,NFC,5,12,0,0,0.0,0.0,0.5314,9.0344
Giants,NFC,10,6,1,0,0.0,0.0,0.5412,9.2
Lions,NFC,12,7,0,0,0.0,0.0,0.4813,9.1438
Packers,NFC,5,12,0,0,0.0,0.0,0.4908,8.3438
Panthers,NFC,13,7,0,0,0.0,0.0,0.5714,11.4281
Rams,NFC,13,5,0,0,0.0,0.0,0.5007,9.0125
Saints,NFC,12,6,0,0,0.0,0.0,0.5252,9.4531
Seahawks,NFC,16,3,0,0,0.0,0.0,0.5084,9.6594
Vikings,NFC,4,13,0,0,0.0,0.0,0.5167,8.7844
