team,conference,W,L,T,remaining_games,ranked_sos_avg,ranked_sos_sum,past_ranked_sos_avg,total_ranked_sos
Bengals,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Bills,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Broncos,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Browns,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Chargers,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Chiefs,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Colts,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Dolphins,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Jaguars,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Jets,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Patriots,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Raiders,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Ravens,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Steelers,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Texans,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Titans,AFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
49ers,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Bears,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Buccaneers,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Cardinals,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Commanders,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Cowboys,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Eagles,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Falcons,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Giants,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Lions,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Packers,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Panthers,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Rams,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Saints,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Seahawks,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
Vikings,NFC,0,0,0,17,0.5156,8.7656,0.0,8.7656
