id,rosterId,league,team,last_updated,trade_block,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,position,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
1388353454,553386146,MEGA,Cardinals,2025-12-09 06:36:24.922361,False,2037,False,,False,False,22,14,12,1946,Ohio State,8,1,Clyde,Clyde Stackhouse,Clyde Stackhouse,2208,72,34,PLACEHOLDER,0,97,True,False,False,False,38,Stackhouse,4,3402,HB,2181,87,87,24,2026,3,0,87,233,0,6410000,2180000,16920000,16920000,4,10960000,4,0,0,0,0,87,93,37,72,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Truzz', 'startActivated': False, 'signatureLogoId': 1245, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most effective ball carriers prioritize maintaining possession over all else. When they enter the zone, no tackles made against them will result in a fumble.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 1+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,93,79,34,92,90,94,96,81,85,36,27,36,24,62,44,42,41,25,30,27,27,10,13,19,26,42,82,89,64,87,56,92,92,86,86,82,92,64,41,53,50,55,46,46,44,38,30,27,33,25,39,45,39,28,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353734,553388237,MEGA,Cowboys,2025-12-09 06:36:28.533931,False,1698,False,,False,False,22,24,11,2001,Alabama,3,1,Jonathan,Jonathan Elias,Jonathan Elias,761,69,28,PLACEHOLDER,0,97,True,False,False,False,28,Elias,18,10323,SS,2318,86,86,24,2026,6,0,86,207,0,10420000,3050000,29480000,29480000,4,15560000,4,0,0,0,0,86,87,51,75,[],[],95,94,80,63,90,84,94,80,64,81,58,31,32,39,27,30,37,45,27,20,36,18,26,10,12,38,27,80,24,72,72,46,58,53,66,45,39,83,47,26,37,42,39,32,76,51,74,80,44,70,84,76,88,42,41,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353735,553388064,MEGA,Cowboys,2025-12-09 06:36:28.534164,False,1512,False,,False,False,22,9,14,1992,Oregon,4,1,Jordan,Jordan Carvajal,Jordan Carvajal,227,71,26,PLACEHOLDER,0,97,True,False,False,False,22,Carvajal,9,3945,FS,2324,85,85,24,2026,10,0,85,197,0,10080000,2990000,28360000,28360000,4,15240000,4,0,0,0,0,85,88,43,90,[],[],94,92,80,63,87,91,93,79,66,83,56,39,37,36,27,41,43,29,27,13,16,26,16,18,26,41,34,83,40,72,70,27,58,65,66,41,39,87,44,45,38,29,46,28,80,59,70,79,34,64,82,75,86,24,26,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353625,553388870,MEGA,Colts,2025-12-09 06:36:27.177147,False,1502,False,,False,False,21,3,3,2002,LSU,6,1,Jameson,Jameson Maxwell,Jameson Maxwell,1830,76,47,PLACEHOLDER,0,97,True,False,False,False,62,Maxwell,23,10350,LG,2222,84,84,24,2026,1,0,76,330,0,8270000,2590000,22720000,22720000,4,13120000,4,0,0,0,0,76,92,85,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",78,65,83,69,79,60,65,96,95,82,96,89,71,83,84,70,82,82,36,33,12,36,22,17,35,36,31,37,32,25,51,27,37,32,40,36,35,55,46,32,24,36,38,37,47,37,47,45,46,27,48,38,47,24,47,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353051,553388791,MEGA,49ers,2025-12-09 06:36:20.249731,False,1411,False,,False,False,22,23,11,1999,Oklahoma State,17,1,Robbie,Robbie Franklin,Robbie Franklin,4586,76,45,PLACEHOLDER,0,97,True,False,False,False,72,Franklin,20,4135,LG,2228,84,84,24,2026,2,0,76,345,0,4340000,1740000,10400000,10400000,4,8560000,4,0,0,0,0,76,90,75,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",83,68,79,63,78,66,63,79,92,83,94,88,66,79,80,79,89,92,42,32,21,10,26,20,27,36,41,27,47,40,54,37,45,41,38,26,33,55,40,47,24,41,41,36,39,38,33,40,28,42,34,32,46,41,29,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353334,553388721,MEGA,Browns,2025-12-09 06:36:23.590247,False,1287,False,,False,False,22,14,2,1964,Washington State,10,1,Jordan,Jordan Durham,Jordan Durham,920,76,9,PLACEHOLDER,0,97,True,False,False,False,18,Durham,2,10329,WR,2408,83,83,24,2026,0,0,81,227,0,6120000,2120000,16000000,16000000,4,10600000,4,0,0,0,0,81,91,53,99,[],[],92,90,80,63,31,91,93,98,76,82,60,42,38,30,34,40,36,53,30,31,24,21,30,26,18,37,41,79,82,87,80,85,81,69,82,82,70,92,88,78,87,85,92,25,29,37,33,32,29,45,32,31,48,27,45,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353511,553388123,MEGA,Chargers,2025-12-09 06:36:25.588371,False,1279,False,,False,False,21,28,1,2025,Baylor,19,1,Brian,Brian Jennings,Brian Jennings,417,72,29,PLACEHOLDER,0,97,True,False,False,False,1,Jennings,19,3372,CB,2052,82,82,24,2026,10,0,82,183,0,4160000,1700000,9840000,9840000,4,8320000,4,0,0,0,0,82,89,75,98,[],[],94,87,78,74,79,84,92,80,70,78,46,41,45,46,45,37,39,45,30,14,17,35,28,27,27,40,36,56,25,63,63,29,80,72,70,26,32,91,39,43,26,43,31,37,74,58,79,78,46,75,73,68,88,25,34,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388354553,553386429,MEGA,Seahawks,2025-12-09 06:36:38.762038,False,1565,False,,False,False,22,2,2,1955,Penn State,29,1,Mac,Mac Thompson,Mac Thompson,3743,77,38,PLACEHOLDER,0,97,True,False,False,False,17,Thompson,1031,10317,QB,2019,82,82,24,2026,2,0,79,233,0,3580000,1570000,8040000,8040000,4,7640000,4,0,0,0,0,79,0,64,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Escape Artist', 'startActivated': False, 'signatureLogoId': 1134, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The slipperiest quarterbacks are capable of exploding out of the pocket at the slightest sign of trouble. When they enter the zone, their scramble speed is increased.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Scramble for 10+ yards', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Anchored Extender', 'startActivated': False, 'signatureLogoId': 1172, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to break the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,77,79,99,79,68,70,80,72,84,24,42,48,34,38,36,38,31,80,83,85,12,82,76,99,79,78,54,67,43,62,48,65,39,55,55,59,85,45,31,45,26,42,44,35,39,45,35,37,42,36,42,28,38,31,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388354617,553388429,MEGA,Steelers,2025-12-09 06:36:39.453303,False,1454,False,,False,False,22,28,11,2026,San Diego State,1,1,DeVonte,DeVonte Bullitt,DeVonte Bullitt,3026,73,5,PLACEHOLDER,0,97,True,False,False,False,7,Bullitt,11,3358,QB,2020,82,82,24,2026,0,0,80,224,0,11290000,3260000,32120000,32120000,4,16640000,4,0,0,0,0,80,0,56,90,[],[],88,86,79,69,98,66,82,86,59,85,28,45,32,42,41,38,43,47,85,89,81,23,89,90,94,83,70,64,72,34,65,25,60,30,72,67,56,87,38,29,42,32,29,44,29,39,35,42,31,43,27,47,47,40,48,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388353335,553386235,MEGA,Browns,2025-12-09 06:36:23.590485,False,1131,False,,False,False,21,5,5,1987,South Carolina,15,1,Vinny,Vinny Cummings,Vinny Cummings,3138,77,36,PLACEHOLDER,0,97,True,False,False,False,61,Cummings,14,3455,RG,2232,81,81,24,2026,2,0,81,330,0,4700000,1810000,11560000,11560000,4,8960000,4,0,0,0,0,81,91,75,99,[],[],81,75,78,58,86,63,62,87,95,84,89,91,79,69,79,84,70,81,34,19,36,11,11,33,36,29,26,32,39,24,51,28,47,42,41,28,31,59,38,43,30,42,39,33,39,44,32,24,42,47,40,33,35,47,43,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
