team,games,avg_opp_elo,league_avg_opp_elo,plus_minus_vs_avg,sos_index,rank,conference,division
Ravens,17,1213.5117647058828,1201.534375,11.977389705882842,136.69297990383475,1,AFC,AFC North
Buccaneers,17,1209.6058823529413,1201.534375,8.071507352941353,124.72722891780545,2,NFC,NFC South
Browns,17,1207.8882352941175,1201.534375,6.353860294117567,119.4651817974428,3,AFC,AFC North
Bengals,17,1207.7176470588236,1201.534375,6.183272058823604,118.94258122727035,4,AFC,AFC North
Falcons,17,1207.5470588235296,1201.534375,6.012683823529642,118.4199806570979,5,NFC,NFC South
Saints,17,1206.7882352941176,1201.534375,5.253860294117658,116.09530915529353,6,NFC,NFC South
Titans,17,1205.2294117647057,1201.534375,3.695036764705719,111.31982118647144,7,AFC,AFC South
Jaguars,17,1205.1117647058823,1201.534375,3.5773897058822968,110.95940700014562,8,AFC,AFC South
Giants,17,1204.641176470588,1201.534375,3.1068014705881524,109.5177502548409,9,NFC,NFC East
Colts,17,1203.3999999999996,1201.534375,1.8656249999996817,105.71538058909925,10,AFC,AFC South
Steelers,17,1203.3,1201.534375,1.765625,105.40902853072299,11,AFC,AFC North
Seahawks,17,1202.5823529411764,1201.534375,1.0479779411764412,103.21050199413337,12,NFC,NFC West
Panthers,17,1202.0176470588237,1201.534375,0.4832720588237862,101.4805138997687,13,NFC,NFC South
Texans,17,1201.9941176470588,1201.534375,0.45974264705887435,101.40843106250283,14,AFC,AFC South
Broncos,17,1201.8470588235296,1201.534375,0.31268382352959634,100.95791332959556,15,AFC,AFC West
Chargers,17,1201.4176470588234,1201.534375,-0.11672794117657759,99.64240154950419,16,AFC,AFC West
Raiders,17,1201.3529411764707,1201.534375,-0.18143382352923254,99.44417374702569,17,AFC,AFC West
Vikings,17,1200.8,1201.534375,-0.734375,97.7502270712922,18,NFC,NFC North
Chiefs,17,1200.7941176470588,1201.534375,-0.7402573529411711,97.73220636197591,19,AFC,AFC West
Cardinals,17,1200.6294117647062,1201.534375,-0.9049632352937351,97.22762650112045,20,NFC,NFC West
Patriots,17,1200.4176470588234,1201.534375,-1.1167279411765776,96.57888096573187,21,AFC,AFC East
Bills,17,1199.5235294117647,1201.534375,-2.01084558823527,93.8397331496535,22,AFC,AFC East
Cowboys,17,1199.3117647058823,1201.534375,-2.2226102941176578,93.1909876142663,23,NFC,NFC East
Dolphins,17,1199.2764705882353,1201.534375,-2.2579044117646845,93.08286335836856,24,AFC,AFC East
Lions,17,1198.805882352941,1201.534375,-2.7284926470590563,91.64120661306316,25,NFC,NFC North
Bears,17,1198.1411764705879,1201.534375,-3.393198529412075,89.60486646032015,26,NFC,NFC North
49ers,17,1197.4823529411765,1201.534375,-4.052022058823468,87.58654701689483,27,NFC,NFC West
Eagles,17,1195.1235294117644,1201.534375,-6.410845588235588,80.36024258105432,28,NFC,NFC East
Jets,17,1193.9823529411767,1201.534375,-7.5520220588232405,76.8642249736924,29,AFC,AFC East
Commanders,17,1193.1764705882351,1201.534375,-8.357904411764821,74.395387797357,30,NFC,NFC East
Rams,17,1193.0294117647056,1201.534375,-8.504963235294326,73.94487006444902,31,NFC,NFC West
Packers,17,1192.6529411764704,1201.534375,-8.881433823529505,72.79154466820569,32,NFC,NFC North
