team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
49ers,14,NFC,7.0,9.0,0.0,0.4375,324.0,221.0,2645.0,25.0,20.0,20.0,0.0,15.0,92.69,187.0,795.0,7.0,9.0,43.0,257.0,7.0,221.0,2645.0,25.0,24.0,1377.0,18.5,22.0,7.0,1.0,2.0,291.0,48.0,18.0,44.06,37.89,6.0,3.0,14.0,10.0,5.0,4.0,30.0,28.0,7.0,511.0,3440.0,32.0,29.0,23.0,8.16358024691358,4.251336898395722,68.20987654320987,7.716049382716049,6.172839506172839,4.424778761061947,3.7433155080213902,0.22994652406417113,32.32704402515723,3.7433155080213902,9.70464135021097,52.06049149338374,11.968325791855204,0.06262230919765166,6.731898238747553,-6.0,165.3125,49.6875,165.3125,215.0,20.25,11.6875,1.125,1.15625,1.375,1.25,0.9375,7.0,0.4375,1.732620320855615,71.42857142857143,80.0,93.33333333333333,33.33333333333333
Bears,0,NFC,6.0,9.0,0.0,0.4,377.0,233.0,3150.0,20.0,22.0,22.0,0.0,30.0,84.21,257.0,991.0,10.0,9.0,61.0,357.0,6.0,233.0,3150.0,20.0,22.0,1368.0,23.0,33.0,5.0,2.0,2.0,285.0,31.0,28.0,38.25,32.14,8.0,4.0,17.0,16.0,1.0,1.0,28.0,25.0,10.0,634.0,4141.0,30.0,31.0,35.0,8.355437665782494,3.8560311284046693,61.80371352785146,5.305039787798409,5.835543766578249,7.371007371007371,3.8910505836575875,0.23735408560311283,36.02421796165489,2.3346303501945527,8.799999999999999,43.42857142857143,13.51931330472103,0.0473186119873817,6.531545741324921,4.0,210.0,66.06666666666666,210.0,276.06666666666666,25.133333333333333,17.133333333333333,1.8666666666666667,1.5333333333333334,2.2,1.4666666666666666,2.0,6.0,0.4,1.4669260700389104,94.11764705882352,100.0,89.28571428571429,28.57142857142857
Bengals,1,AFC,13.0,3.0,0.0,0.8125,362.0,256.0,3412.0,33.0,12.0,12.0,0.0,19.0,112.41,250.0,1162.0,14.0,7.0,56.0,357.0,9.0,256.0,3429.0,33.0,18.0,1500.0,33.5,28.0,24.0,11.0,10.0,318.0,56.0,25.0,35.72,25.4,6.0,8.0,10.0,7.0,0.0,0.0,58.0,58.0,15.0,612.0,4574.0,47.0,19.0,39.0,9.425414364640885,4.648,70.71823204419888,9.116022099447514,3.314917127071823,4.986876640419948,5.6000000000000005,0.224,30.72289156626506,3.5999999999999996,6.569343065693431,43.74453193350831,13.39453125,0.07679738562091504,7.473856209150327,20.0,213.25,72.625,214.3125,285.875,22.625,15.625,1.5625,2.09375,1.75,0.75,1.1875,9.0,0.5625,1.448,70.0,0,100.0,24.0
Bills,2,AFC,7.0,8.0,0.0,0.4666666666666667,360.0,236.0,2899.0,19.0,23.0,23.0,0.0,19.0,92.59,277.0,1250.0,17.0,5.0,56.0,371.0,6.0,236.0,2899.0,19.0,25.0,1392.0,18.5,26.0,5.0,2.0,1.0,284.0,42.0,25.0,50.48,36.8,1.0,10.0,17.0,13.0,4.0,1.0,37.0,37.0,0.0,637.0,4149.0,36.0,28.0,28.0,8.052777777777777,4.512635379061372,65.55555555555556,5.277777777777778,6.388888888888888,5.013192612137203,6.137184115523466,0.20216606498194944,29.68,2.166064981949458,9.765625,48.01655743359779,12.283898305084746,0.0565149136577708,6.5133437990580845,0.0,193.26666666666668,83.33333333333333,193.26666666666668,276.6,24.0,18.466666666666665,1.6666666666666667,1.2333333333333334,1.7333333333333334,1.5333333333333334,1.2666666666666666,6.0,0.4,1.2996389891696751,76.47058823529412,25.0,100.0,4.0
Broncos,3,AFC,11.0,4.0,0.0,0.7333333333333333,311.0,218.0,2995.0,34.0,13.0,13.0,0.0,21.0,119.06,288.0,2002.0,15.0,5.0,67.0,469.0,20.0,218.0,2993.0,34.0,13.0,1465.0,21.0,24.0,7.0,3.0,2.0,295.0,36.0,23.0,47.04,41.35,4.0,1.0,17.0,17.0,4.0,4.0,48.0,47.0,21.0,599.0,4997.0,49.0,18.0,27.0,9.630225080385852,6.951388888888889,70.09646302250803,10.932475884244374,4.180064308681672,6.325301204819277,5.208333333333334,0.2326388888888889,23.426573426573427,6.944444444444445,5.429864253393665,48.94754426996325,13.729357798165138,0.08180300500834725,8.342237061769616,9.0,199.66666666666666,133.46666666666667,199.53333333333333,333.1333333333333,20.733333333333334,19.2,1.5333333333333334,1.4,1.6,0.8666666666666667,1.4,20.0,1.3333333333333333,1.0798611111111112,100.0,100.0,97.91666666666666,17.391304347826086
Browns,4,AFC,3.0,12.0,0.0,0.2,376.0,259.0,3332.0,30.0,22.0,22.0,0.0,24.0,99.79,249.0,1273.0,13.0,6.0,53.0,215.0,5.0,259.0,3362.0,30.0,17.0,1457.0,15.0,6.0,3.0,1.0,0.0,374.0,40.0,28.0,44.25,41.39,9.0,4.0,12.0,6.0,4.0,0.0,38.0,35.0,24.0,625.0,4605.0,43.0,28.0,7.0,8.861702127659575,5.112449799196787,68.88297872340425,7.9787234042553195,5.851063829787234,6.0,5.220883534136546,0.21285140562248997,16.889238020424195,2.0080321285140563,6.343283582089552,43.337299226650806,12.980694980694981,0.0688,7.368,-21.0,222.13333333333333,84.86666666666666,224.13333333333333,307.0,25.066666666666666,16.6,1.8666666666666667,1.0,0.4,1.4666666666666666,1.6,5.0,0.3333333333333333,1.5100401606425702,50.0,0.0,92.10526315789474,32.142857142857146
Buccaneers,5,NFC,4.0,12.0,0.0,0.25,381.0,249.0,3255.0,28.0,38.0,38.0,0.0,36.0,84.59,209.0,1300.0,13.0,12.0,54.0,286.0,10.0,283.0,3745.0,32.0,31.0,1466.0,21.0,15.0,8.0,3.0,2.0,330.0,38.0,22.0,41.64,35.09,3.0,3.0,11.0,5.0,3.0,0.0,36.0,34.0,5.0,590.0,4555.0,41.0,50.0,18.0,8.543307086614174,6.220095693779904,65.35433070866141,7.349081364829396,9.973753280839896,8.633093525179856,6.220095693779904,0.2583732057416268,22.0,4.784688995215311,10.130718954248366,39.14552736982643,13.23321554770318,0.06949152542372881,7.720338983050848,-32.0,203.4375,81.25,234.0625,284.6875,23.8125,13.0625,1.375,1.3125,0.9375,2.375,2.25,10.0,0.625,1.8229665071770336,45.45454545454545,0.0,94.44444444444444,13.636363636363635
Cardinals,6,NFC,0.0,15.0,0.0,0.0,355.0,184.0,2038.0,7.0,41.0,41.0,0.0,51.0,43.02,174.0,917.0,5.0,9.0,66.0,212.0,8.0,184.0,2038.0,7.0,26.0,742.0,13.0,11.0,5.0,3.0,0.0,323.0,27.0,46.0,47.26,37.89,4.0,8.0,11.0,3.0,2.0,0.0,10.0,9.0,11.0,529.0,2955.0,12.0,50.0,14.0,5.740845070422536,5.2701149425287355,51.83098591549295,1.971830985915493,11.549295774647888,12.561576354679804,2.8735632183908044,0.3793103448275862,23.11886586695747,4.597701149425287,12.62135922330097,36.40824337585868,11.076086956521738,0.022684310018903593,5.586011342155009,-36.0,135.86666666666667,61.13333333333333,135.86666666666667,197.0,23.666666666666668,11.6,3.066666666666667,0.8666666666666667,0.7333333333333333,2.7333333333333334,3.4,8.0,0.5333333333333333,2.0402298850574714,27.27272727272727,0.0,90.0,8.695652173913043
Chargers,7,AFC,4.0,11.0,0.0,0.26666666666666666,431.0,291.0,3275.0,27.0,34.0,34.0,0.0,22.0,110.625,217.0,974.0,8.0,3.0,57.0,284.0,5.0,292.0,3287.0,27.0,26.0,1266.0,12.0,18.0,6.0,3.0,3.0,341.0,37.0,23.0,46.43,41.0,5.0,3.0,13.0,9.0,3.0,1.0,28.0,24.0,25.0,648.0,4249.0,35.0,37.0,21.0,7.598607888631091,4.488479262672811,67.51740139211137,6.2645011600928076,7.888631090487238,4.856512141280353,3.686635944700461,0.2626728110599078,29.158110882956876,2.3041474654377883,8.038585209003216,38.51536355339215,11.256849315068493,0.05401234567901234,6.557098765432099,-16.0,218.33333333333334,64.93333333333334,219.13333333333333,283.26666666666665,28.733333333333334,14.466666666666667,1.5333333333333334,0.8,1.2,2.2666666666666666,1.4666666666666666,5.0,0.3333333333333333,1.9861751152073732,69.23076923076923,33.33333333333333,85.71428571428571,21.73913043478261
Chiefs,8,AFC,7.0,9.0,0.0,0.4375,370.0,263.0,3538.0,40.0,19.0,19.0,0.0,15.0,112.11,250.0,1692.0,19.0,8.0,91.0,478.0,15.0,263.0,3538.0,40.0,15.0,1808.0,19.0,20.0,6.0,3.0,1.0,362.0,50.0,14.0,44.79,38.43,2.0,2.0,12.0,11.0,3.0,2.0,58.0,56.0,13.0,620.0,5230.0,59.0,27.0,23.0,9.562162162162162,6.768,71.08108108108108,10.81081081081081,5.135135135135135,3.896103896103896,7.6,0.364,28.250591016548466,6.0,5.4945054945054945,51.10231769361221,13.452471482889734,0.09516129032258064,8.435483870967742,-4.0,221.125,105.75,221.125,326.875,23.125,15.625,0.875,1.1875,1.25,1.1875,0.9375,15.0,0.9375,1.48,91.66666666666666,66.66666666666666,96.55172413793103,14.285714285714285
