team,logoId,conference,wins,losses,ties,win_pct,wr_target_share,te_target_share,rb_target_share,wr1_catches,wr1_name,wr1_position,wr1_share,wr2_catches,wr2_name,wr2_share,wr3_catches,wr3_name,wr3_share,top3_share,pass_concentration,te1_name,te1_catches,rb1_rushes,rb1_name,rb1_position,rb1_share,rb2_rushes,rb2_name,rb2_share,rbbc,rush_concentration,pass_distribution_style,rush_distribution_style,qb_rating,pass_int_pct,sack_rate,pass_td_pct,pass_comp_pct,rush_broken_tackle_rate,rush_yds_per_att,pass_yds_per_att,yds_per_play,td_per_play,turnover_diff,explosive_plays_per_game,def_sacks_per_game,rush_td_pct,drop_rate,rec_yac_pct,total_turnovers,pass_rush_ratio
49ers,14,NFC,8.0,9.0,0.0,0.47058823529411764,48.63945578231292,22.108843537414966,29.25170068027211,80.0,Christian McCaffrey,HB,27.2108843537415,75.0,Jauan Jennings,25.510204081632654,37.0,George Kittle,12.585034013605442,65.3061224489796,1895.5065019204965,George Kittle,37.0,212.0,Christian McCaffrey,HB,89.07563025210085,10.0,Jermaine Peppers,4.201680672268908,False,7969.776145752419,Concentrated,Bellcow,99.0,5.980861244019139,4.5662100456621,8.61244019138756,70.33492822966507,0.23529411764705882,4.117647058823529,8.466507177033494,6.888719512195122,0.06554878048780488,-5.0,0.5294117647058824,1.2058823529411764,2.941176470588235,8.80503144654088,52.0486012998022,34.0,1.7563025210084033
Bears,0,NFC,6.0,11.0,0.0,0.35294117647058826,42.704626334519574,40.569395017793596,16.72597864768683,86.0,Colston Loveland,TE,30.604982206405694,45.0,DJ Moore,16.014234875444842,43.0,Luther Burden III,15.302491103202847,61.92170818505338,1760.742645103279,Colston Loveland,86.0,211.0,Anthony Hall,HB,65.9375,49.0,D'Andre Swift,15.312500000000002,False,4779.98046875,Concentrated,Feature Back,81.56,6.086956521739131,8.0,5.0,61.08695652173913,0.24375,3.990625,8.3,6.532051282051282,0.047435897435897434,-1.0,0.35294117647058826,1.7647058823529411,4.375,8.333333333333332,43.740178103719224,40.0,1.4375
Bengals,1,AFC,14.0,3.0,0.0,0.8235294117647058,61.791044776119406,23.88059701492537,14.328358208955224,91.0,Ja'Marr Chase,WR,27.164179104477608,55.0,Tee Higgins,16.417910447761194,54.0,Mike Gesicki,16.119402985074625,59.70149253731343,1641.434617955001,Mike Gesicki,54.0,139.0,Jaden Peterson,HB,46.179401993355484,116.0,Chase Brown,38.53820598006645,True,3777.1106279180144,Concentrated,RBBC,94.745,3.556485355648536,5.346534653465347,8.368200836820083,70.0836820083682,0.24916943521594684,4.312292358803987,9.158995815899582,7.2862644415917845,0.07060333761232349,21.0,0.5294117647058824,2.1470588235294117,4.983388704318937,5.698005698005698,41.63822525597269,24.0,1.5880398671096345
Bills,2,AFC,9.0,8.0,0.0,0.5294117647058824,43.24324324324324,27.027027027027028,29.72972972972973,73.0,D.J. Marrow,HB,24.66216216216216,52.0,Hunter Henry,17.56756756756757,45.0,Keon Coleman,15.202702702702704,57.43243243243243,1600.9632943754568,Hunter Henry,52.0,226.0,D.J. Marrow,HB,68.27794561933534,55.0,Ray Davis,16.61631419939577,False,5049.789614917717,Concentrated,Feature Back,94.1,6.081081081081082,5.531914893617021,6.306306306306306,66.66666666666666,0.20241691842900303,4.350453172205438,8.076576576576576,6.485161290322581,0.06064516129032258,7.0,0.4117647058823529,1.3235294117647058,5.740181268882175,8.77742946708464,47.88064696040156,32.0,1.3413897280966767
Broncos,3,AFC,12.0,5.0,0.0,0.7058823529411765,54.882154882154886,21.548821548821547,23.56902356902357,61.0,RJ Harvey,HB,20.53872053872054,58.0,Sheldon Jowers,19.52861952861953,58.0,Amon-Ra St. Brown,19.52861952861953,59.5959595959596,1702.887460463218,Sheldon Jowers,58.0,276.0,RJ Harvey,HB,74.19354838709677,45.0,Jordan Love,12.096774193548388,False,5707.090415076887,Concentrated,Bellcow,114.84,3.9719626168224296,6.140350877192982,9.11214953271028,69.39252336448598,0.25,6.741935483870968,9.595794392523365,8.26875,0.07625,8.0,1.411764705882353,1.5294117647058822,5.913978494623656,4.590163934426229,46.13885505481121,23.0,1.1505376344086022
Browns,4,AFC,3.0,14.0,0.0,0.17647058823529413,54.02985074626866,25.07462686567164,20.8955223880597,76.0,Jordan Durham,WR,22.686567164179106,61.0,Donnie Tucker,18.208955223880597,44.0,Quinshon Judkins,13.134328358208954,54.02985074626866,1413.6778792604143,Donnie Tucker,61.0,137.0,Quinshon Judkins,HB,47.07903780068728,115.0,David McDonald,39.51890034364261,True,3846.1992654786786,Balanced,RBBC,98.35,5.154639175257731,4.901960784313726,7.010309278350515,69.27835051546391,0.24742268041237114,4.879725085910653,8.439175257731959,7.104381443298969,0.06314432989690721,-18.0,0.29411764705882354,1.2941176470588236,5.154639175257731,9.217877094972067,45.91317002182876,31.0,1.6666666666666667
Buccaneers,5,NFC,4.0,13.0,0.0,0.23529411764705882,54.24242424242425,24.545454545454547,21.21212121212121,70.0,Jesse Rivera,WR,21.21212121212121,61.0,Zach Coleman,18.484848484848484,58.0,Denard Simms,17.575757575757574,57.272727272727266,1518.273645546373,Zach Coleman,61.0,156.0,Denard Simms,HB,59.353202282815474,53.0,Elijah Kennedy,20.164870006341157,False,4161.035558313084,Concentrated,Feature Back,83.49,9.977827050997783,8.704453441295547,7.317073170731707,65.6319290465632,0.22067216233354472,6.490805326569436,8.503325942350333,7.76231613355125,0.07284613588606118,-33.0,0.9411764705882353,1.588235294117647,7.2289156626506035,10.614525139664805,37.6878612716763,58.0,1.7159162967660115
Cardinals,6,NFC,0.0,17.0,0.0,0.0,43.77510040160642,35.7429718875502,20.481927710843372,62.0,Trey McBride,TE,24.899598393574294,43.0,Marvin Harrison Jr,17.269076305220885,35.0,Konata Mumpfield,14.056224899598394,56.22489959839358,1532.8785019596457,Trey McBride,62.0,138.0,Clyde Stackhouse,HB,57.49999999999999,61.0,Lamar Jackson,25.416666666666664,True,4164.930555555555,Concentrated,RBBC,46.11,10.75268817204301,12.098298676748582,1.935483870967742,53.5483870967742,0.3125,4.920833333333333,5.763440860215054,5.476595744680851,0.02127659574468085,-47.0,0.5294117647058824,1.0,2.5,11.594202898550725,37.23880597014925,61.0,1.9375
Chargers,7,AFC,4.0,13.0,0.0,0.23529411764705882,49.586776859504134,30.853994490358126,19.55922865013774,78.0,Oronde Gadsden II,TE,21.487603305785125,66.0,Tre Harris,18.181818181818183,57.0,DeMario Douglas,15.702479338842975,55.371900826446286,1469.0101617224084,Oronde Gadsden II,78.0,151.0,Omarion Hampton,HB,56.87074338796235,62.60702875399361,Josh Jacobs,23.579524944047357,False,3924.889418744412,Balanced,Feature Back,111.905,6.981132075471698,4.676258992805756,6.226415094339623,68.30188679245282,0.26147329916010875,4.5270618246576655,7.503773584905661,6.5102531767578595,0.05244662564860479,-19.0,0.3474910731065589,1.0,3.28496137462999,7.03125,38.43068438205064,41.0,1.9961254301735132
Chiefs,8,AFC,8.0,9.0,0.0,0.47058823529411764,62.96296296296296,22.530864197530864,14.506172839506174,80.0,Kemani White,WR,24.691358024691358,65.0,Travis Kelce,20.061728395061728,63.0,Xavier Worthy,19.444444444444446,64.19753086419753,1786.598841639994,Travis Kelce,65.0,236.0,Isiah Pacheco,HB,82.22996515679442,37.0,Alvin Kamara,12.89198606271777,False,6945.4527795651275,Concentrated,Bellcow,112.28,5.3097345132743365,3.829787234042553,11.061946902654867,71.68141592920354,0.3588850174216028,6.337979094076655,9.577433628318584,8.31935047361299,0.09336941813261164,-4.0,0.9411764705882353,1.3529411764705883,6.620209059233449,5.278592375366569,53.1069531069531,32.0,1.5749128919860627
