team,logoId,conference,division,teamOvr,totalWins,totalLosses,totalTies,winPct,homeWins,homeLosses,awayWins,awayLosses,homeWinPct,awayWinPct,games,offPassYds,offRushYds,offTotalYds,defPassYds,defRushYds,defTotalYds,ptsFor,ptsAgainst,netPts,tODiff,capSpent,capAvailable,offScheme,defScheme,rank,offTotalYdsRank,defTotalYdsRank,offPassYdsRank,offRushYdsRank,defPassYdsRank,defRushYdsRank,ptsForRank,ptsAgainstRank,rankVolatility,earlySeasonRank,lateSeasonRank,rankImprovement,eloIndex,eloStart,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct,offDefRankDiff,combinedRank,offPassRushDiff,defPassRushDiff,offYdsPerPt,defYdsPerPt,passRushRatio,defPassRushRatio,offYdsPct,defYdsPct,offTotalYdsPg,defTotalYdsPg,ptsForPg,ptsAgainstPg,netPtsPg,tODiffPerGame,ptsPer100Yds,oppPtsPer100Yds,passShare,rushShare,winsPerMillion,ovrPerMillion,pythExpWinPct,pythOverUnder,ptsRankEfficiency,defRankEfficiency,offenseIndexZ,defenseIndexZ,teamStrengthIndex
Bengals,1,AFC,AFC North,92,14,3,0,0.82,7,1,7,2,0.875,0.7777777777777778,17,4200,1298,5498,2821,1358,4179,29,16,228,29,309040000,15160000,7,11,1,9,1,4,25,1,6,8,1,3.4174023675006238,6.2727272727272725,3.5833333333333335,2.689393939393939,4,1270.0,14.0,3.0,0.0,0.8235294117647058,362.0,256.0,3412.0,33.0,12.0,12.0,0.0,19.0,94.745,250.0,1162.0,14.0,7.0,56.0,357.0,9.0,256.0,3429.0,33.0,18.0,1500.0,36.5,34.0,25.0,11.0,11.0,383.0,68.0,30.0,37.9,27.67,7.0,9.0,14.0,10.0,1.0,1.0,66.0,66.0,23.0,612.0,4574.0,47.0,19.0,45.0,9.425414364640885,4.648,70.71823204419888,9.116022099447514,3.314917127071823,4.986876640419948,5.6000000000000005,0.224,30.72289156626506,3.5999999999999996,6.569343065693431,43.74453193350831,13.39453125,0.07679738562091504,7.473856209150327,26.0,200.7058823529412,68.3529411764706,201.7058823529412,269.05882352941177,21.294117647058822,14.705882352941176,1.7647058823529411,2.1470588235294117,2.0,0.7058823529411765,1.1176470588235294,9.0,0.5294117647058824,1.448,71.42857142857143,100.0,100.0,23.333333333333332,8,5.0,-21,-5,189.58620689655172,261.1875,3.235747303543914,2.077319587628866,56.81512865557507,43.18487134442493,323.4117647058824,245.8235294117647,1.7058823529411764,0.9411764705882353,13.411764705882353,1.7058823529411764,0.5274645325572935,0.382866714525006,0.7639141506002183,0.23608584939978175,0.04530157908361377,0.29769609112089046,0.8036801019754362,0.016319898024563795,-1,0,0.8414461689025631,1.9477639123932826,2.789210081295846
Seahawks,27,NFC,NFC West,91,14,3,0,0.82,8,1,6,2,0.8888888888888888,0.75,17,3908,1920,5828,4126,1210,5336,32,21,182,17,309690000,14510000,2,11,2,6,20,10,8,30,1,2,8,7.150026108059727,9.0,1.5,7.5,2,1285.6,14.0,3.0,0.0,0.8235294117647058,359.0,265.0,3261.0,37.0,11.0,11.0,0.0,11.0,127.915,256.0,1387.0,16.0,4.0,52.0,342.0,10.0,276.0,3399.0,40.0,14.0,1609.0,31.5,25.0,9.0,6.0,2.0,416.0,72.0,25.0,53.4,46.92,4.0,11.0,20.0,17.0,6.0,3.0,66.0,66.0,18.0,615.0,4648.0,53.0,15.0,31.0,9.083565459610028,5.41796875,73.81615598885793,10.30640668523677,3.064066852367688,2.9729729729729732,6.25,0.203125,24.65753424657534,3.90625,4.844290657439446,47.33745219182112,12.315217391304348,0.08617886178861789,7.557723577235772,16.0,191.8235294117647,81.58823529411765,199.94117647058823,273.4117647058824,21.11764705882353,15.058823529411764,1.4705882352941178,1.8529411764705883,1.4705882352941178,0.6470588235294118,0.6470588235294118,10.0,0.5882352941176471,1.40234375,85.0,50.0,100.0,16.0,-14,13.0,2,29,182.125,254.0952380952381,2.035416666666667,3.409917355371901,52.20351128627732,47.79648871372268,342.8235294117647,313.88235294117646,1.8823529411764706,1.2352941176470589,10.705882352941176,1.0,0.5490734385724091,0.39355322338830584,0.6705559368565546,0.32944406314344543,0.04520649681940005,0.2938422293261003,0.7307194673944937,0.08928053260550628,-4,12,1.3985415634863294,0.7805645641426264,2.179106127628956
Commanders,25,NFC,NFC East,92,13,3,1,0.79,6,2,7,1,0.75,0.875,17,3360,1864,5224,3396,1383,4779,28,19,144,17,288660000,35540000,1,11,3,18,6,20,10,11,7,9,3,7.038108527481832,11.090909090909092,2.9166666666666665,8.174242424242426,13,1213.7,13.0,3.0,1.0,0.7941176470588235,286.0,226.0,2602.0,14.0,7.0,7.0,0.0,9.0,109.38999999999999,276.0,1566.0,33.0,5.0,57.0,447.0,13.0,207.0,2602.0,14.0,8.0,1474.0,39.0,30.0,5.0,4.0,4.0,396.0,67.0,28.0,38.32,31.71,7.0,3.0,19.0,14.0,5.0,3.0,58.0,57.0,14.0,562.0,4168.0,47.0,12.0,34.0,9.097902097902098,5.673913043478261,79.02097902097903,4.895104895104895,2.4475524475524475,3.050847457627119,11.956521739130435,0.20652173913043478,28.544061302681996,4.710144927536232,3.8461538461538463,56.648731744811684,12.570048309178745,0.08362989323843416,7.4163701067615655,22.0,153.05882352941177,92.11764705882354,153.05882352941177,245.1764705882353,16.823529411764707,16.235294117647058,1.6470588235294117,2.2941176470588234,1.7647058823529411,0.4117647058823529,0.5294117647058824,13.0,0.7647058823529411,1.036231884057971,73.68421052631578,60.0,98.27586206896551,25.0,12,12.0,10,4,186.57142857142858,251.52631578947367,1.8025751072961373,2.455531453362256,52.22433270018995,47.77566729981006,307.29411764705884,281.11764705882354,1.6470588235294117,1.1176470588235294,8.470588235294118,1.0,0.5359877488514548,0.39757271395689475,0.6431852986217458,0.3568147013782542,0.04503568211736991,0.3187140580613871,0.7148391832608109,0.07516081673918917,-9,3,0.6557477040413077,1.247444303442889,1.9031920074841966
Raiders,22,AFC,AFC West,90,13,4,0,0.77,6,2,7,2,0.75,0.7777777777777778,17,3707,1771,5478,3717,1623,5340,35,23,208,17,320810000,3390000,5,20,4,10,21,15,12,22,18,1,14,7.13785404042822,11.363636363636363,3.1666666666666665,8.196969696969697,10,1236.5,13.0,4.0,0.0,0.7647058823529411,337.0,236.0,3040.0,35.0,20.0,20.0,0.0,16.0,106.55,269.0,1422.0,16.0,8.0,93.0,521.0,8.0,239.0,3057.0,35.0,18.0,1300.0,31.0,42.0,10.0,3.0,10.0,422.0,57.0,27.0,37.22,27.41,7.0,5.0,19.0,15.0,4.0,2.0,77.0,74.0,9.0,606.0,4462.0,51.0,28.0,45.0,9.020771513353116,5.286245353159852,70.02967359050444,10.385756676557865,5.934718100890208,4.53257790368272,5.947955390334572,0.34572490706319703,36.63853727144866,2.973977695167286,7.199999999999999,42.52535165194635,12.790794979079498,0.08415841584158416,7.363036303630363,17.0,178.8235294117647,83.6470588235294,179.8235294117647,262.47058823529414,19.823529411764707,15.823529411764707,1.588235294117647,1.8235294117647058,2.4705882352941178,1.1764705882352942,0.9411764705882353,8.0,0.47058823529411764,1.2527881040892193,78.94736842105263,50.0,96.1038961038961,25.925925925925924,-11,15.5,3,4,156.5142857142857,232.17391304347825,2.093167701863354,2.290203327171904,50.637825845812536,49.362174154187464,322.2352941176471,314.11764705882354,2.0588235294117645,1.3529411764705883,12.235294117647058,1.0,0.6389193136181087,0.4307116104868914,0.6767068273092369,0.3232931726907631,0.04052242760512453,0.2805398834200929,0.7300849493310335,0.0399150506689665,-9,7,1.9556369580700952,0.313684824842364,2.269321782912459
Rams,23,NFC,NFC West,86,13,4,0,0.77,8,1,5,3,0.8888888888888888,0.625,17,3971,1485,5456,3368,1418,4786,27,20,111,11,323460000,740000,0,11,5,11,7,7,18,9,9,11,7,6.3287384253665255,13.545454545454545,5.5,8.045454545454545,21,1185.1,13.0,4.0,0.0,0.7647058823529411,339.0,260.0,3140.0,22.0,12.0,12.0,0.0,10.0,121.62,238.0,1055.0,15.0,5.0,58.0,348.0,10.0,258.0,3120.0,22.0,14.0,1667.0,25.0,27.0,7.0,2.0,3.0,403.0,59.0,19.0,44.26,35.42,5.0,2.0,23.0,23.0,2.0,2.0,50.0,50.0,18.0,577.0,4195.0,37.0,17.0,29.0,9.262536873156343,4.432773109243698,76.69616519174042,6.489675516224189,3.5398230088495577,2.865329512893983,6.302521008403361,0.24369747899159663,32.98578199052133,4.201680672268908,5.363984674329502,53.429487179487175,12.093023255813954,0.06412478336221837,7.270363951473137,12.0,184.7058823529412,62.05882352941177,183.52941176470588,246.76470588235293,19.941176470588236,14.0,1.1176470588235294,1.4705882352941178,1.588235294117647,0.7058823529411765,0.5882352941176471,10.0,0.5882352941176471,1.4243697478991597,100.0,100.0,100.0,26.31578947368421,4,9.0,-11,0,202.07407407407408,239.3,2.674074074074074,2.3751763046544427,53.27084553798086,46.72915446201913,320.94117647058823,281.52941176470586,1.588235294117647,1.1764705882352942,6.529411764705882,0.6470588235294118,0.49486803519061584,0.41788549937317176,0.7278225806451613,0.2721774193548387,0.040190440858220496,0.2658752241389971,0.6706768379236326,0.09932316207636738,0,0,0.4700492391800522,1.0140044337927576,1.4840536729728098
Saints,26,NFC,NFC South,86,12,5,0,0.71,7,2,5,3,0.7777777777777778,0.625,17,4190,2187,6377,3485,1642,5127,30,25,80,6,298530000,25670000,2,11,6,1,14,5,6,16,19,5,20,5.671872030039269,14.0,10.583333333333334,3.416666666666666,7,1254.0,12.0,5.0,0.0,0.7058823529411765,365.0,279.0,3240.0,32.0,9.0,9.0,0.0,16.0,116.23,279.0,1801.0,17.0,5.0,51.0,337.0,21.0,302.0,3532.0,34.0,20.0,1655.0,23.0,23.0,7.0,3.0,1.0,401.0,65.0,20.0,50.3,41.5,4.0,8.0,32.0,28.0,10.0,7.0,52.0,50.0,20.0,644.0,5041.0,49.0,14.0,26.0,8.876712328767123,6.455197132616488,76.43835616438356,8.767123287671232,2.4657534246575343,4.199475065616798,6.093189964157706,0.1827956989247312,18.711826762909496,7.526881720430108,6.289308176100629,46.857304643261614,11.695364238410596,0.07608695652173914,7.827639751552795,12.0,190.58823529411765,105.94117647058823,207.76470588235293,296.52941176470586,21.470588235294116,16.41176470588235,1.1764705882352942,1.3529411764705883,1.3529411764705883,0.5294117647058824,0.9411764705882353,21.0,1.2352941176470589,1.3082437275985663,87.5,70.0,96.15384615384616,20.0,-13,7.5,-1,-3,212.56666666666666,205.08,1.9158664837677184,2.122411693057247,55.43289290681502,44.56710709318498,375.11764705882354,301.5882352941176,1.7647058823529411,1.4705882352941178,4.705882352941177,0.35294117647058826,0.4704406460718206,0.4876145894285157,0.6570487690136427,0.3429512309863572,0.040196965129132754,0.28807825009211807,0.6063755161446597,0.10362448385534029,4,-6,1.0271446337638186,-0.15319491445789848,0.8739497193059201
Ravens,24,AFC,AFC North,89,12,5,0,0.71,4,4,8,1,0.5,0.8888888888888888,17,3770,1541,5311,3319,1864,5183,24,22,22,4,323020000,1180000,5,11,7,15,16,14,16,7,26,16,11,7.476744032214252,22.0,9.5,12.5,25,1159.2,12.0,5.0,0.0,0.7058823529411765,341.0,219.0,2929.0,24.0,20.0,20.0,0.0,24.0,92.67,239.0,1088.0,13.0,7.0,66.0,306.0,8.0,219.0,2929.0,24.0,21.0,1381.0,30.0,28.0,17.0,9.0,3.0,415.0,70.0,32.0,38.56,36.25,7.0,4.0,14.0,11.0,2.0,0.0,49.0,45.0,23.0,580.0,4017.0,37.0,27.0,37.0,8.589442815249267,4.552301255230126,64.22287390029325,7.038123167155426,5.865102639296188,6.575342465753424,5.439330543933055,0.27615062761506276,28.125,3.3472803347280333,8.974358974358974,47.149197678388525,13.374429223744292,0.06379310344827586,6.925862068965517,10.0,172.2941176470588,64.0,172.2941176470588,236.2941176470588,20.058823529411764,14.058823529411764,1.8823529411764706,1.7647058823529411,1.6470588235294117,1.1764705882352942,1.411764705882353,8.0,0.47058823529411764,1.4267782426778242,78.57142857142857,0.0,91.83673469387756,21.875,-1,15.5,-2,-19,221.29166666666666,235.5909090909091,2.4464633354964307,1.780579399141631,50.60987230798551,49.39012769201449,312.4117647058824,304.88235294117646,1.411764705882353,1.2941176470588236,1.2941176470588236,0.23529411764705882,0.4518922990020712,0.4244645957939417,0.7098474863490868,0.2901525136509132,0.03714940251377624,0.2755247353105071,0.5513723172510174,0.15862768274898253,1,5,-0.08704615540371352,0.5471246944924952,0.4600785390887817
Broncos,3,AFC,AFC West,86,12,5,0,0.71,7,1,5,4,0.875,0.5555555555555556,17,3864,2508,6372,3972,1305,5277,31,27,73,14,277740000,46460000,0,11,8,2,18,12,1,28,3,4,23,4.988834413876023,8.909090909090908,6.666666666666667,2.2424242424242413,1,1310.075527,12.0,5.0,0.0,0.7058823529411765,311.0,218.0,2995.0,34.0,13.0,13.0,0.0,21.0,114.84,288.0,2002.0,15.0,5.0,67.0,469.0,20.0,218.0,2993.0,34.0,13.0,1465.0,26.0,28.0,7.0,3.0,3.0,388.0,47.0,28.0,46.39,40.25,4.0,1.0,26.0,23.0,9.0,7.0,59.0,57.0,30.0,599.0,4997.0,49.0,18.0,31.0,9.630225080385852,6.951388888888889,70.09646302250803,10.932475884244374,4.180064308681672,6.325301204819277,5.208333333333334,0.2326388888888889,23.426573426573427,6.944444444444445,5.429864253393665,48.94754426996325,13.729357798165138,0.08180300500834725,8.342237061769616,13.0,176.1764705882353,117.76470588235294,176.05882352941177,293.94117647058823,18.294117647058822,16.941176470588236,1.6470588235294117,1.5294117647058822,1.6470588235294117,0.7647058823529411,1.2352941176470589,20.0,1.1764705882352942,1.0798611111111112,88.46153846153845,77.77777777777779,96.61016949152543,14.285714285714285,-16,10.0,11,25,205.5483870967742,195.44444444444446,1.5406698564593302,3.0436781609195402,54.69997424671645,45.30002575328355,374.8235294117647,310.4117647058824,1.8235294117647058,1.588235294117647,4.294117647058823,0.8235294117647058,0.4865034526051475,0.511654349061967,0.6064030131826742,0.3935969868173258,0.04320587599913588,0.3096421113271405,0.5811305908910182,0.12886940910898181,2,-5,1.212843098625074,-0.6200746537581601,0.5927684448669139
Cowboys,10,NFC,NFC East,89,11,6,0,0.65,7,2,4,4,0.7777777777777778,0.5,17,3251,2369,5620,3375,2000,5375,29,24,79,5,315360000,8840000,5,15,9,8,22,25,3,10,28,7,16,4.244867912159625,12.0,10.583333333333334,1.416666666666666,8,1243.4,11.0,6.0,0.0,0.6470588235294118,321.0,204.0,2413.0,23.0,21.0,21.0,0.0,17.0,87.26,304.0,1901.0,19.0,4.0,87.0,595.0,15.0,204.0,2413.0,23.0,19.0,1026.0,25.0,33.0,9.0,5.0,4.0,396.0,50.0,22.0,47.91,40.86,6.0,1.0,21.0,19.0,8.0,7.0,58.0,58.0,54.0,625.0,4314.0,42.0,25.0,38.0,7.517133956386293,6.253289473684211,63.55140186915887,7.165109034267912,6.5420560747663545,5.029585798816568,6.25,0.28618421052631576,31.299316149395057,4.934210526315789,8.636363636363637,42.51968503937008,11.82843137254902,0.0672,6.9024,13.0,141.94117647058823,111.82352941176471,141.94117647058823,253.76470588235293,18.88235294117647,17.88235294117647,1.2941176470588236,1.4705882352941178,1.9411764705882353,1.2352941176470589,1.0,15.0,0.8823529411764706,1.055921052631579,90.47619047619048,87.5,100.0,27.27272727272727,-14,15.0,22,-18,193.79310344827587,223.95833333333334,1.3723089911355002,1.6875,51.114142792178264,48.885857207821736,330.5882352941176,316.1764705882353,1.7058823529411764,1.411764705882353,4.647058823529412,0.29411764705882354,0.5160142348754448,0.44651162790697674,0.5784697508896797,0.4215302491103203,0.03488077118214104,0.2822171486555048,0.6102833781207141,0.03971662187928593,-1,6,0.8414461689025631,0.08024495519223275,0.9216911240947958
Panthers,20,NFC,NFC South,86,11,6,0,0.65,6,3,5,3,0.6666666666666666,0.625,17,2855,2357,5212,3348,1708,5056,27,23,71,28,304990000,19210000,2,16,10,19,12,30,4,8,22,12,13,5.671205417587059,19.818181818181817,15.333333333333334,4.484848484848483,17,1205.8,11.0,6.0,0.0,0.6470588235294118,327.0,212.0,2658.0,16.0,16.0,16.0,0.0,32.0,85.95,284.0,1892.0,26.0,9.0,70.0,533.0,19.0,212.0,2658.0,16.0,15.0,1229.0,28.0,38.0,19.0,11.0,5.0,381.0,42.0,30.0,41.77,34.33,8.0,3.0,24.0,20.0,11.0,7.0,54.0,53.0,8.0,611.0,4550.0,42.0,25.0,49.0,8.128440366972477,6.661971830985915,64.83180428134557,4.892966360856269,4.892966360856269,8.913649025069638,9.15492957746479,0.24647887323943662,28.171247357293872,6.690140845070422,6.637168141592921,46.237772761474794,12.537735849056604,0.06873977086743044,7.446808510638298,24.0,156.35294117647058,111.29411764705883,156.35294117647058,267.6470588235294,19.235294117647058,16.705882352941178,1.7647058823529411,1.6470588235294117,2.235294117647059,0.9411764705882353,1.8823529411764706,19.0,1.1176470588235294,1.1514084507042253,83.33333333333334,63.63636363636363,98.14814814814815,26.666666666666668,7,15.5,26,-14,193.03703703703704,219.82608695652175,1.2112855324565126,1.9601873536299765,50.75964160498636,49.24035839501364,306.5882352941176,297.4117647058824,1.588235294117647,1.3529411764705883,4.176470588235294,1.6470588235294117,0.5180353031465847,0.4549050632911392,0.5477743668457405,0.4522256331542594,0.03606675628709138,0.2819764582445326,0.5938760166435197,0.05612398335648028,-7,-1,0.4700492391800522,0.313684824842364,0.7837340640224162
