team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
ARI,Cardinals,1313381675,Lamar Jackson,QB,QB,98,2,1313381675,553387273,MEGA,Cardinals,2026-04-16 20:25:07.968237,False,False,4297,False,,False,False,31,7,1,1997,Louisville,32,1,Lamar,Lamar Jackson,Lamar Jackson,22195,74,8,Pompano Beach,0,97,True,False,False,False,8,Jackson,20084,8940,13092,98,98,24,2020,0,0,96,210,10,77030000,17200000,299150000,299150000,7,195610000,6,0,0,0,0,96,0,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fastbreak', 'startActivated': False, 'signatureLogoId': 1135, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better blocking support on designed quarterback run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,94,96,50,89,91,96,93,63,96,29,21,13,13,13,14,14,14,96,89,94,90,96,96,93,99,98,98,82,64,70,17,91,10,83,80,39,95,17,13,15,20,15,10,27,16,12,10,12,10,38,35,12,19,12,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380540,Trey McBride,TE,TE,95,1,1313380540,553387696,MEGA,Cardinals,2026-04-16 20:25:07.972780,False,False,1185,False,,False,False,28,22,11,1999,Colorado State,23,2,Trey,Trey McBride,Trey McBride,21173,76,5,Fort Morgan,0,97,True,False,False,False,85,McBride,290,1830,22093,95,95,24,2024,4,0,94,246,6,24170000,20870000,6600000,27170000,5,54580000,2,0,0,0,0,94,79,0,94,[],[],90,76,98,50,92,94,87,88,73,87,67,52,61,60,60,59,56,61,17,6,10,35,15,10,33,10,6,81,75,98,75,94,73,35,64,68,69,72,82,77,84,89,90,29,32,45,15,32,25,10,41,38,20,20,22,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380936,De'Von Achane,HB,RB,94,2,1313380936,553385991,MEGA,Cardinals,2026-04-16 20:25:07.960251,False,False,1938,False,,False,False,26,13,10,2001,Texas A&M,21,3,De'Von,De'Von Achane,DeVon Achane,14489,69,42,Missouri City,0,97,True,False,False,False,20,Achane,1932,676,22692,94,94,24,2022,6,0,94,188,5,1980000,1980000,0,0,6,13490000,4,0,0,0,0,94,93,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,91,88,50,90,82,96,84,68,87,37,33,24,30,45,29,23,32,33,30,35,28,40,34,44,27,28,94,82,81,95,60,92,81,92,69,69,91,58,57,63,69,54,10,23,28,13,20,10,14,39,30,19,13,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380513,Marvin Harrison Jr,WR,WR,88,3,1313380513,553387062,MEGA,Cardinals,2026-04-16 20:25:07.966860,False,False,635,False,,False,False,26,11,8,2002,Ohio State,4,1,Marvin,Marvin Harrison Jr,Marvin Harrison Jr,8628,75,37,Philadelphia,0,97,True,False,False,False,18,Harrison Jr,22,10102,14643,88,88,0,2023,0,0,87,209,4,30090000,1100000,28990000,51550000,5,13930000,1,0,0,0,0,87,90,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Me', 'startActivated': False, 'signatureLogoId': 1103, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard catches', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,91,85,50,86,95,93,90,57,88,38,21,15,18,22,16,23,48,22,6,10,22,15,10,27,23,6,91,76,88,79,90,84,50,75,45,40,93,85,93,91,86,91,18,19,15,17,28,12,19,24,24,25,15,25,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380522,Walter Nolen,DT,DT,88,1,1313380522,553387943,MEGA,Cardinals,2026-04-16 20:25:07.974192,False,False,1285,False,,False,False,24,14,10,2003,Ole Miss,16,1,Walter,Walter Nolen,Walter Nolen,7751,76,41,Powell,0,97,True,False,False,False,97,Nolen,401,10681,15235,88,88,24,2025,0,0,88,300,3,4780000,2750000,27380000,33470000,5,7440000,2,0,0,0,0,88,86,0,99,[],[],88,81,85,50,90,81,81,79,87,90,82,22,45,45,45,45,45,45,19,7,10,30,15,18,22,13,14,35,27,41,43,31,32,29,28,36,31,71,14,12,16,20,33,66,84,91,18,85,76,21,87,91,22,18,23,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380543,Paris Johnson Jr,LT,OL,87,1,1313380543,553387329,MEGA,Cardinals,2026-04-16 20:25:07.968928,False,False,511,False,,False,False,27,3,7,2001,Ohio State,6,1,Paris,Paris Johnson Jr,Paris Johnson Jr,5278,78,34,Cincinnati,0,97,True,False,False,False,70,Johnson Jr,59,2239,22699,87,87,24,2022,0,0,84,313,5,22120000,9900000,36660000,52450000,4,34860000,3,0,0,0,0,84,88,0,99,[],[],80,75,88,50,93,79,73,87,89,87,90,88,88,91,88,85,79,82,12,6,6,30,6,6,22,10,6,15,15,32,35,26,10,10,10,21,25,58,13,10,12,21,23,40,41,46,10,35,44,10,35,40,12,26,30,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380510,Josh Sweat,REDGE,DE,87,2,1313380510,553388556,MEGA,Cardinals,2026-04-16 20:25:07.976341,False,False,310,False,,False,False,31,29,3,1997,Florida State,30,4,Josh,Josh Sweat,Josh Sweat,4955,77,45,Chesapeake,0,97,True,False,False,False,10,Sweat,5076,9073,13259,87,87,0,2020,11,0,85,265,10,23600000,19900000,3700000,30080000,4,40800000,1,0,0,0,0,85,85,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,83,88,50,91,90,85,81,81,84,89,18,45,45,45,45,45,45,12,6,6,26,6,6,20,18,6,35,25,50,47,28,35,10,26,42,27,70,16,4,8,15,30,89,79,85,37,85,81,28,87,89,49,12,19,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380534,Jalen Thompson,FS,S,84,1,1313380534,553388631,MEGA,Cardinals,2026-04-16 20:25:07.977030,False,False,288,False,,False,False,30,18,7,1998,Washington State,1,5,Jalen,Jalen Thompson,Jalen Thompson,15201,71,4,Downey,0,97,True,False,False,False,34,Thompson,2099,1532,20813,84,84,0,2021,11,0,84,190,9,9010000,2710000,6300000,22920000,4,16630000,1,0,0,0,0,84,83,0,90,[],[],93,83,85,50,89,82,90,95,60,85,58,14,35,35,35,35,35,35,10,6,6,22,6,6,22,16,6,51,44,78,58,50,70,60,64,45,37,84,15,10,10,20,69,53,70,58,65,85,50,68,85,84,81,21,21,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380524,Will Johnson,CB,CB,83,1,1313380524,553387364,MEGA,Cardinals,2026-04-16 20:25:07.969645,False,False,523,False,,False,False,25,29,3,2003,Michigan,15,2,Will,Will Johnson,Will Johnson,2095,74,21,Detroit,0,97,True,False,False,False,0,Johnson,112,10614,15267,83,83,0,2025,0,0,81,194,3,2460000,1760000,700000,2800000,4,4930000,1,0,0,0,0,81,87,0,96,[],[],90,87,80,50,81,89,89,83,62,81,52,25,35,25,25,35,25,25,12,6,6,30,6,6,14,10,6,79,59,78,69,66,76,53,69,43,41,83,46,41,38,41,73,42,66,49,82,91,34,79,74,72,89,21,27,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313381993,Dave Frazier,MIKE,LB,83,1,1313381993,553386529,MEGA,Cardinals,2026-04-16 20:25:07.964153,False,False,783,False,,False,False,24,20,14,1959,Ohio State,9,1,Dave,Dave Frazier,Dave Frazier,1423,72,48,PLACEHOLDER,0,97,True,False,False,False,94,Frazier,568,3673,2633,83,83,24,2027,8,0,83,237,1,6700000,2510000,12570000,16760000,4,10920000,3,0,0,0,0,83,87,0,85,[],[],91,87,83,50,78,78,91,79,79,79,81,33,25,38,45,44,25,31,45,30,17,12,20,24,28,39,43,24,40,69,55,32,24,26,39,40,44,75,45,29,40,46,34,67,85,76,69,86,61,34,90,84,71,33,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
