team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
ARI,Cardinals,1313380522,Walter Nolen,DT,DT,88,1,1313380522,553387943,MEGA,Cardinals,2026-04-16 20:25:07.974192,False,False,1285,False,,False,False,24,14,10,2003,Ole Miss,16,1,Walter,Walter Nolen,Walter Nolen,7751,76,41,Powell,0,97,True,False,False,False,97,Nolen,401,10681,15235,88,88,24,2025,0,0,88,300,3,4780000,2750000,27380000,33470000,5,7440000,2,0,0,0,0,88,86,0,99,[],[],88,81,85,50,90,81,81,79,87,90,82,22,45,45,45,45,45,45,19,7,10,30,15,18,22,13,14,35,27,41,43,31,32,29,28,36,31,71,14,12,16,20,33,66,84,91,18,85,76,21,87,91,22,18,23,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380510,Josh Sweat,REDGE,DE,87,2,1313380510,553388556,MEGA,Cardinals,2026-04-16 20:25:07.976341,False,False,310,False,,False,False,31,29,3,1997,Florida State,30,4,Josh,Josh Sweat,Josh Sweat,4955,77,45,Chesapeake,0,97,True,False,False,False,10,Sweat,5076,9073,13259,87,87,0,2020,11,0,85,265,10,23600000,19900000,3700000,30080000,4,40800000,1,0,0,0,0,85,85,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,83,88,50,91,90,85,81,81,84,89,18,45,45,45,45,45,45,12,6,6,26,6,6,20,18,6,35,25,50,47,28,35,10,26,42,27,70,16,4,8,15,30,89,79,85,37,85,81,28,87,89,49,12,19,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380534,Jalen Thompson,FS,S,84,1,1313380534,553388631,MEGA,Cardinals,2026-04-16 20:25:07.977030,False,False,288,False,,False,False,30,18,7,1998,Washington State,1,5,Jalen,Jalen Thompson,Jalen Thompson,15201,71,4,Downey,0,97,True,False,False,False,34,Thompson,2099,1532,20813,84,84,0,2021,11,0,84,190,9,9010000,2710000,6300000,22920000,4,16630000,1,0,0,0,0,84,83,0,90,[],[],93,83,85,50,89,82,90,95,60,85,58,14,35,35,35,35,35,35,10,6,6,22,6,6,22,16,6,51,44,78,58,50,70,60,64,45,37,84,15,10,10,20,69,53,70,58,65,85,50,68,85,84,81,21,21,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380524,Will Johnson,CB,CB,83,1,1313380524,553387364,MEGA,Cardinals,2026-04-16 20:25:07.969645,False,False,523,False,,False,False,25,29,3,2003,Michigan,15,2,Will,Will Johnson,Will Johnson,2095,74,21,Detroit,0,97,True,False,False,False,0,Johnson,112,10614,15267,83,83,0,2025,0,0,81,194,3,2460000,1760000,700000,2800000,4,4930000,1,0,0,0,0,81,87,0,96,[],[],90,87,80,50,81,89,89,83,62,81,52,25,35,25,25,35,25,25,12,6,6,30,6,6,14,10,6,79,59,78,69,66,76,53,69,43,41,83,46,41,38,41,73,42,66,49,82,91,34,79,74,72,89,21,27,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313381993,Dave Frazier,MIKE,LB,83,1,1313381993,553386529,MEGA,Cardinals,2026-04-16 20:25:07.964153,False,False,783,False,,False,False,24,20,14,1959,Ohio State,9,1,Dave,Dave Frazier,Dave Frazier,1423,72,48,PLACEHOLDER,0,97,True,False,False,False,94,Frazier,568,3673,2633,83,83,24,2027,8,0,83,237,1,6700000,2510000,12570000,16760000,4,10920000,3,0,0,0,0,83,87,0,85,[],[],91,87,83,50,78,78,91,79,79,79,81,33,25,38,45,44,25,31,45,30,17,12,20,24,28,39,43,24,40,69,55,32,24,26,39,40,44,75,45,29,40,46,34,67,85,76,69,86,61,34,90,84,71,33,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380547,Garrett Williams,CB,CB,82,0,1313380547,553388880,MEGA,Cardinals,2026-04-16 20:25:07.979172,False,False,268,False,,False,False,27,1,6,2001,Syracuse,9,3,Garrett,Garrett Williams,Garrett Williams,10824,70,32,Harrisburg,0,97,True,False,False,False,21,Williams,408,2478,23028,82,82,0,2022,11,0,80,192,5,9670000,4070000,5600000,11470000,3,9120000,1,0,0,0,0,80,87,0,99,[],[],90,90,84,50,86,87,88,87,63,84,46,17,34,33,25,34,33,25,53,44,48,26,52,51,51,35,45,65,67,72,55,59,73,67,68,35,35,90,20,11,14,24,66,36,72,57,78,85,27,81,77,70,86,17,18,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1388353455,Marc Ruiz,DT,DT,80,0,1388353455,553387207,MEGA,Cardinals,2026-04-16 20:25:07.967892,False,False,542,False,,False,False,24,18,7,2048,TCU,1,2,Marc,Marc Ruiz,Marc Ruiz,6211,73,12,PLACEHOLDER,0,97,True,False,False,False,96,Ruiz,37,3872,2114,80,80,24,2026,6,0,80,301,2,3020000,1720000,2600000,5200000,4,6600000,2,0,0,0,0,80,86,0,90,[],[],79,75,68,50,85,83,77,74,93,80,84,40,32,41,47,27,38,38,38,30,33,23,21,19,29,35,29,26,25,48,53,46,39,44,48,37,36,63,48,28,35,27,37,69,77,82,39,79,78,24,83,84,42,48,35,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380521,Jordan Burch,REDGE,DE,80,1,1313380521,553386351,MEGA,Cardinals,2026-04-16 20:25:07.962398,False,False,360,False,,False,False,26,10,10,2001,Oregon,14,3,Jordan,Jordan Burch,Jordan Burch,7961,76,39,Columbia,0,97,True,False,False,False,52,Burch,79,10509,15178,80,80,0,2025,0,0,75,279,3,1680000,1420000,260000,1040000,4,4180000,1,0,0,0,0,75,83,0,95,[],[],85,81,76,50,85,88,83,83,81,83,81,25,45,45,45,45,45,45,12,9,10,30,15,10,29,15,15,43,32,52,52,29,51,35,39,40,32,72,15,5,10,17,43,67,85,75,38,70,87,35,85,85,45,23,21,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1388353789,Jordan Ellis,SS,S,79,0,1388353789,553386317,MEGA,Cardinals,2026-04-16 20:25:07.961719,False,False,696,False,,False,False,23,16,2,2005,California,13,3,Jordan,Jordan Ellis,Jordan Ellis,5933,74,44,PLACEHOLDER,0,97,True,False,False,False,30,Ellis,67,3667,2339,79,79,24,2026,9,0,79,212,2,1310000,1310000,0,0,4,5120000,2,0,0,0,0,79,85,0,97,[],[],89,84,72,50,89,82,87,98,73,86,60,47,44,24,38,24,39,48,44,37,25,25,37,25,28,41,37,61,31,71,58,30,59,61,58,39,63,84,47,34,47,24,37,47,96,65,69,78,35,61,81,81,75,46,42,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1388353456,Joey Hilton,WILL,LB,78,1,1388353456,553386262,MEGA,Cardinals,2026-04-16 20:25:07.961005,False,False,699,False,,False,False,23,5,11,2044,Washington State,1,3,Joey,Joey Hilton,Joey Hilton,1513,74,35,PLACEHOLDER,0,97,True,False,False,False,57,Hilton,83,3666,2256,78,78,24,2026,10,0,78,228,2,1720000,1330000,780000,1560000,4,5200000,2,0,0,0,0,78,84,0,99,[],[],90,89,78,50,97,78,89,87,70,78,68,43,31,29,48,47,32,44,46,19,15,26,13,28,13,25,29,29,43,61,55,35,34,26,37,37,28,75,41,40,29,30,34,59,73,67,71,72,56,38,79,81,82,29,39,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
