team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
ARI,Cardinals,1313381675,Lamar Jackson,QB,QB,98,2,1313381675,553387273,MEGA,Cardinals,2026-04-16 20:25:07.968237,False,False,4297,False,,False,False,31,7,1,1997,Louisville,32,1,Lamar,Lamar Jackson,Lamar Jackson,22195,74,8,Pompano Beach,0,97,True,False,False,False,8,Jackson,20084,8940,13092,98,98,24,2020,0,0,96,210,10,77030000,17200000,299150000,299150000,7,195610000,6,0,0,0,0,96,0,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fastbreak', 'startActivated': False, 'signatureLogoId': 1135, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better blocking support on designed quarterback run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,94,96,50,89,91,96,93,63,96,29,21,13,13,13,14,14,14,96,89,94,90,96,96,93,99,98,98,82,64,70,17,91,10,83,80,39,95,17,13,15,20,15,10,27,16,12,10,12,10,38,35,12,19,12,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380540,Trey McBride,TE,TE,95,1,1313380540,553387696,MEGA,Cardinals,2026-04-16 20:25:07.972780,False,False,1185,False,,False,False,28,22,11,1999,Colorado State,23,2,Trey,Trey McBride,Trey McBride,21173,76,5,Fort Morgan,0,97,True,False,False,False,85,McBride,290,1830,22093,95,95,24,2024,4,0,94,246,6,24170000,20870000,6600000,27170000,5,54580000,2,0,0,0,0,94,79,0,94,[],[],90,76,98,50,92,94,87,88,73,87,67,52,61,60,60,59,56,61,17,6,10,35,15,10,33,10,6,81,75,98,75,94,73,35,64,68,69,72,82,77,84,89,90,29,32,45,15,32,25,10,41,38,20,20,22,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380936,De'Von Achane,HB,RB,94,2,1313380936,553385991,MEGA,Cardinals,2026-04-16 20:25:07.960251,False,False,1938,False,,False,False,26,13,10,2001,Texas A&M,21,3,De'Von,De'Von Achane,DeVon Achane,14489,69,42,Missouri City,0,97,True,False,False,False,20,Achane,1932,676,22692,94,94,24,2022,6,0,94,188,5,1980000,1980000,0,0,6,13490000,4,0,0,0,0,94,93,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,91,88,50,90,82,96,84,68,87,37,33,24,30,45,29,23,32,33,30,35,28,40,34,44,27,28,94,82,81,95,60,92,81,92,69,69,91,58,57,63,69,54,10,23,28,13,20,10,14,39,30,19,13,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380513,Marvin Harrison Jr,WR,WR,88,3,1313380513,553387062,MEGA,Cardinals,2026-04-16 20:25:07.966860,False,False,635,False,,False,False,26,11,8,2002,Ohio State,4,1,Marvin,Marvin Harrison Jr,Marvin Harrison Jr,8628,75,37,Philadelphia,0,97,True,False,False,False,18,Harrison Jr,22,10102,14643,88,88,0,2023,0,0,87,209,4,30090000,1100000,28990000,51550000,5,13930000,1,0,0,0,0,87,90,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Me', 'startActivated': False, 'signatureLogoId': 1103, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard catches', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,91,85,50,86,95,93,90,57,88,38,21,15,18,22,16,23,48,22,6,10,22,15,10,27,23,6,91,76,88,79,90,84,50,75,45,40,93,85,93,91,86,91,18,19,15,17,28,12,19,24,24,25,15,25,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313380543,Paris Johnson Jr,LT,OL,87,1,1313380543,553387329,MEGA,Cardinals,2026-04-16 20:25:07.968928,False,False,511,False,,False,False,27,3,7,2001,Ohio State,6,1,Paris,Paris Johnson Jr,Paris Johnson Jr,5278,78,34,Cincinnati,0,97,True,False,False,False,70,Johnson Jr,59,2239,22699,87,87,24,2022,0,0,84,313,5,22120000,9900000,36660000,52450000,4,34860000,3,0,0,0,0,84,88,0,99,[],[],80,75,88,50,93,79,73,87,89,87,90,88,88,91,88,85,79,82,12,6,6,30,6,6,22,10,6,15,15,32,35,26,10,10,10,21,25,58,13,10,12,21,23,40,41,46,10,35,44,10,35,40,12,26,30,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313382146,Al Warmack,QB,QB,79,2,1313382146,553386390,MEGA,Cardinals,2026-04-16 20:25:07.963125,False,False,1301,False,,False,False,21,28,15,1955,Florida,2,3,Al,Al Warmack,Al Warmack,0,75,1,PLACEHOLDER,0,97,True,False,False,False,16,Warmack,0,3704,2864,79,79,24,2028,0,0,74,226,0,1580000,1190000,1560000,1560000,4,5200000,4,0,0,0,0,74,0,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tight Out', 'startActivated': False, 'signatureLogoId': 1353, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all tight ends who are open on pass plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,84,76,50,93,67,83,85,58,82,41,30,39,40,27,29,25,25,88,82,74,37,85,88,96,83,72,68,71,33,64,44,62,28,69,41,62,87,46,34,48,36,24,48,30,30,38,40,29,37,29,43,29,27,37,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1685492030,Ahmad Sellers,WR,WR,77,2,1685492030,553388436,MEGA,Cardinals,2026-04-16 20:25:07.975302,False,False,672,False,,False,False,23,7,6,1974,UCF,2,2,Ahmad,Ahmad Sellers,Ahmad Sellers,0,76,3,PLACEHOLDER,0,97,True,False,False,False,87,Sellers,0,4207,3218,77,77,24,2028,0,0,75,235,0,2670000,1380000,5160000,5160000,4,6520000,4,0,0,0,0,75,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,89,77,50,35,90,90,82,75,83,58,42,37,32,42,38,26,60,28,28,36,36,17,11,15,38,29,76,78,82,74,87,79,76,77,73,70,89,83,76,78,78,84,38,40,44,48,34,40,43,47,25,34,40,25,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313381224,Jack Dent,HB,RB,76,2,1313381224,553388573,MEGA,Cardinals,2026-04-16 20:25:07.976690,False,False,631,False,,False,False,23,26,1,1940,Oregon,2,6,Jack,Jack Dent,Jack Dent,0,73,13,PLACEHOLDER,0,97,True,False,False,False,25,Dent,0,4203,3015,76,76,24,2028,2,0,75,234,0,1070000,970000,400000,400000,4,4200000,4,0,0,0,0,75,89,0,71,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,90,77,50,46,84,91,78,87,81,34,26,30,41,60,36,37,26,31,11,12,12,11,18,15,45,43,79,81,64,88,53,81,27,72,81,80,77,43,49,49,49,63,34,27,36,26,28,40,38,38,48,27,36,47,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313381729,Austin Thomas,LG,OL,76,1,1313381729,553386966,MEGA,Cardinals,2026-04-16 20:25:07.966482,False,False,816,False,,False,False,21,20,2,2036,USC,2,7,Austin,Austin Thomas,Austin Thomas,0,76,51,PLACEHOLDER,0,97,True,False,False,False,54,Thomas,0,10311,3063,76,76,24,2028,3,0,67,341,0,1030000,970000,240000,240000,4,4200000,4,0,0,0,0,67,88,0,99,[],[],80,64,71,50,90,66,70,89,90,81,91,86,68,76,73,64,81,75,32,37,13,27,34,35,10,37,40,42,36,30,56,35,40,34,38,33,34,57,39,36,37,36,39,41,42,31,33,37,28,46,46,41,28,30,42,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,Cardinals,1313381131,Max Herbert,RT,OL,76,1,1313381131,553387473,MEGA,Cardinals,2026-04-16 20:25:07.970335,False,False,757,False,,False,False,22,10,9,1969,Auburn,2,5,Max,Max Herbert,Max Herbert,0,80,46,PLACEHOLDER,0,97,True,False,False,False,77,Herbert,0,10309,3131,76,76,24,2028,2,0,67,335,0,1190000,970000,880000,880000,4,4200000,4,0,0,0,0,67,87,0,99,[],[],81,69,73,50,93,63,67,80,93,86,79,79,71,79,76,66,83,76,25,17,33,22,24,22,11,27,44,30,29,44,56,28,33,25,25,44,26,58,45,44,39,24,33,43,37,43,25,38,27,26,44,25,34,41,44,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
