team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
ATL,Falcons,1313381028,Jessie Bates III,FS,S,95,1,1313381028,553386152,MEGA,Falcons,2026-04-16 20:25:11.012281,False,False,905,False,,False,False,31,26,2,1997,Wake Forest,22,2,Jessie,Jessie Bates III,Jessie Bates III,35670,73,13,Fort Wayne,0,97,True,False,False,False,3,Bates III,6585,8815,13202,95,95,24,2020,11,0,95,200,10,19100000,2300000,50400000,81220000,5,18650000,3,0,0,0,0,95,85,0,98,[],[],91,88,97,50,92,85,90,97,59,88,61,20,35,35,35,35,35,35,10,10,10,25,10,10,25,23,10,77,48,83,69,65,78,78,69,36,41,84,13,10,15,20,70,37,85,56,86,96,25,66,93,80,95,12,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381041,Xavier Watts,SS,S,92,3,1313381041,553388824,MEGA,Falcons,2026-04-16 20:25:11.026611,False,False,1330,False,,False,False,26,22,11,2001,Notre Dame,32,3,Xavier,Xavier Watts,Xavier Watts,5016,72,26,Omaha,0,97,True,False,False,False,31,Watts,2962,10771,15331,92,92,0,2025,0,0,92,205,3,1690000,1470000,220000,880000,4,4450000,1,0,0,0,0,92,80,0,89,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Universal Coverage', 'startActivated': False, 'signatureLogoId': 1206, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most physical coverage defenders prevent catches from happening even when their target has hands on the ball. When they enter the zone, they are nearly guaranteed knockouts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,82,85,50,93,84,86,90,63,90,57,25,35,35,35,35,35,35,29,17,21,9,25,25,31,22,20,70,59,77,65,60,71,80,63,51,52,82,36,30,35,40,65,33,80,57,68,95,36,68,94,93,96,17,20,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381048,A.J. Terrell Jr,CB,CB,91,2,1313381048,553388601,MEGA,Falcons,2026-04-16 20:25:11.025029,False,False,657,False,,False,False,29,23,9,1998,Clemson,16,1,A.J.,A.J. Terrell Jr,AJ Terrell Jr,12747,75,9,Atlanta,0,97,True,False,False,False,24,Terrell Jr,1504,610,21002,91,91,0,2022,11,0,91,195,8,26500000,19000000,7500000,37840000,5,53000000,1,0,0,0,0,91,88,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Shade', 'startActivated': False, 'signatureLogoId': 1396, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Route KO', 'startActivated': False, 'signatureLogoId': 1321, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus deep routes 20+ yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,89,91,50,91,85,91,92,60,83,50,19,35,35,35,35,35,35,15,6,6,30,6,6,22,13,6,67,58,70,58,55,75,40,66,47,35,90,38,20,26,31,62,43,56,49,94,92,28,95,76,58,94,12,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381039,James Pearce Jr.,REDGE,DE,91,2,1313381039,553388057,MEGA,Falcons,2026-04-16 20:25:11.022243,False,False,1852,False,,False,False,24,12,10,2003,Tennessee,26,1,James,James Pearce Jr.,James Pearce Jr,7647,77,32,Charlotte,0,97,True,False,False,False,27,Pearce Jr.,1380,10689,15202,91,91,0,2025,0,0,89,245,3,4220000,2560000,1660000,6640000,4,6610000,1,0,0,0,0,89,85,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,74,86,50,86,76,90,73,76,78,66,29,40,40,40,40,40,40,12,12,13,20,20,10,31,10,15,44,31,53,48,33,40,30,34,42,35,67,14,5,10,15,33,96,82,96,40,84,84,31,90,94,50,21,24,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381040,Jalon Walker,LEDGE,DE,89,1,1313381040,553388768,MEGA,Falcons,2026-04-16 20:25:11.026338,False,False,1432,False,,False,False,24,24,2,2004,Georgia,15,1,Jalon,Jalon Walker,Jalon Walker,5081,73,32,Salisbury,0,97,True,False,False,False,11,Walker,311,10766,15265,89,89,0,2025,0,0,86,243,3,6540000,3650000,2890000,11560000,4,8980000,1,0,0,0,0,86,87,0,89,[],[],92,85,87,50,88,81,86,73,81,85,70,38,45,45,45,45,45,45,25,18,18,18,18,16,21,27,25,47,30,51,49,39,51,35,43,32,29,76,36,28,33,39,40,91,87,86,35,84,86,36,92,86,47,25,27,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381860,Ramon Medrano,MIKE,LB,84,2,1313381860,553388417,MEGA,Falcons,2026-04-16 20:25:11.024113,False,False,1216,False,,False,False,23,23,1,2006,Wisconsin,14,4,Ramon,Ramon Medrano,Ramon Medrano,1922,75,32,PLACEHOLDER,0,97,True,False,False,False,44,Medrano,566,3937,2639,84,84,24,2027,9,0,82,238,1,1280000,1020000,780000,1040000,4,4200000,3,0,0,0,0,82,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Pop', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a greater chance of forcing fumbles when landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,84,79,50,82,78,86,90,76,82,82,46,35,44,38,29,30,25,36,34,25,24,26,10,36,24,45,31,37,67,57,24,30,43,40,40,46,68,50,35,33,33,46,63,83,83,57,92,59,25,87,92,66,40,29,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313382675,DeVaunte Yancey,DT,DT,83,1,1313382675,553387737,MEGA,Falcons,2026-04-16 20:25:11.020506,False,False,801,False,,False,False,24,9,9,1943,Iowa State,14,2,DeVaunte,DeVaunte Yancey,DeVaunte Yancey,1177,75,9,PLACEHOLDER,0,97,True,False,False,False,61,Yancey,32,10336,2545,83,83,24,2027,9,0,83,309,1,2350000,1430000,2760000,3680000,4,6040000,3,0,0,0,0,83,85,0,99,[],[],83,75,79,50,90,76,70,83,92,79,82,42,34,35,29,39,41,48,41,29,37,13,20,25,26,46,41,27,30,24,51,45,29,34,45,40,48,60,45,44,43,34,47,67,79,84,41,85,80,30,84,86,35,26,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313382390,Mitch Hendricks,DT,DT,83,2,1313382390,553388844,MEGA,Falcons,2026-04-16 20:25:11.027109,False,False,1085,False,,False,False,23,25,4,1965,Georgia,14,3,Mitch,Mitch Hendricks,Mitch Hendricks,3154,77,27,PLACEHOLDER,0,97,True,False,False,False,75,Hendricks,29,3816,2524,83,83,24,2027,13,0,83,333,1,1580000,1240000,1020000,1360000,4,5120000,3,0,0,0,0,83,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,70,76,50,92,72,75,94,92,81,79,34,37,35,47,26,30,45,26,18,24,17,12,36,38,42,36,39,44,35,57,25,36,29,26,42,38,54,43,46,36,27,36,67,76,84,47,82,70,42,78,91,25,34,37,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313381065,Clark Phillips III,CB,CB,82,2,1313381065,553388087,MEGA,Falcons,2026-04-16 20:25:11.022730,False,False,416,False,,False,False,26,19,12,2001,Utah,11,4,Clark,Clark Phillips III,Clark Phillips III,2980,70,4,Lakewood,0,97,True,False,False,False,22,Phillips III,916,2354,23035,82,82,24,2022,12,0,80,183,5,6180000,2580000,7200000,10990000,4,8940000,2,0,0,0,0,80,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Flat Zone KO', 'startActivated': False, 'signatureLogoId': 1327, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any flat zone coverage, less than 10 yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,89,79,50,93,80,89,91,60,81,41,18,35,35,35,35,35,35,12,10,12,29,15,7,23,15,8,76,65,77,57,64,75,55,70,58,30,90,28,21,24,29,67,39,58,41,81,84,31,72,70,62,89,11,13,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Falcons,1313382321,Deontae Ware,CB,CB,82,0,1313382321,553388402,MEGA,Falcons,2026-04-16 20:25:11.023881,False,False,663,False,,False,False,24,24,16,1998,Texas Tech,14,1,Deontae,Deontae Ware,Deontae Ware,3720,71,39,PLACEHOLDER,0,97,True,False,False,False,26,Ware,31,10356,2443,82,82,24,2027,9,0,80,210,1,5060000,2090000,8910000,11880000,4,9040000,3,0,0,0,0,80,91,0,99,[],[],94,90,74,50,88,91,93,83,64,86,60,42,45,47,31,31,37,32,46,25,16,35,36,23,29,27,31,70,38,65,58,46,81,78,79,46,42,93,38,29,39,44,44,43,71,56,78,86,34,77,75,62,86,44,31,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
