team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
BUF,Bills,1313380254,Josh Allen,QB,QB,96,2,1313380254,553386033,MEGA,Bills,2026-04-16 20:25:06.041369,False,False,2632,False,,False,False,32,21,5,1996,Wyoming,7,1,Josh,Josh Allen,Josh Allen,54698,77,4,Firebaugh,0,97,True,False,False,False,17,Allen,21218,8800,13197,96,96,24,2020,3,0,93,237,10,66460000,41260000,50820000,172960000,6,198110000,3,0,0,0,0,93,94,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Dashing Deadeye', 'startActivated': False, 'signatureLogoId': 1129, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws under 40 yards while running outside the pocket (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fastbreak', 'startActivated': False, 'signatureLogoId': 1135, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better blocking support on designed quarterback run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,84,94,50,99,92,88,98,81,98,26,17,10,15,14,10,10,17,95,92,92,78,92,94,98,94,97,97,86,40,61,20,81,13,78,83,76,82,18,13,15,22,23,9,11,23,12,15,9,9,33,32,18,14,22,0,2,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380279,Greg Rousseau,LEDGE,DE,91,1,1313380279,553388286,MEGA,Bills,2026-04-16 20:25:06.058990,False,False,757,False,,False,False,28,5,4,2000,Miami,30,1,Greg,Greg Rousseau,Greg Rousseau,20469,78,8,Coconut Creek,0,97,True,False,False,False,50,Rousseau,529,928,21517,91,91,24,2023,12,0,91,266,7,24300000,20800000,7000000,27180000,5,63400000,2,0,0,0,0,91,86,0,99,[],[],90,82,96,50,90,83,86,89,84,83,83,29,44,46,44,45,44,44,12,6,6,20,6,6,22,17,6,49,29,51,48,40,42,9,35,44,32,68,31,21,26,30,44,84,84,87,35,93,93,31,94,86,44,19,20,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380251,Dion Dawkins,LT,OL,88,1,1313380251,553386603,MEGA,Bills,2026-04-16 20:25:06.046316,False,False,9,False,,False,False,34,26,4,1994,Temple,31,2,Dion,Dion Dawkins,Dion Dawkins,59101,77,29,Rahway,0,97,True,False,False,False,73,Dawkins,5780,8529,12622,88,88,0,2019,4,0,88,320,11,25900000,9800000,16100000,26670000,2,30670000,1,0,0,0,0,88,89,0,99,[],[],70,69,97,50,94,66,75,91,92,86,90,87,88,89,89,80,85,82,12,6,6,25,6,6,23,14,6,17,8,41,28,10,22,10,11,27,33,52,19,10,14,25,12,10,40,27,12,13,10,10,24,31,15,22,24,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1388353219,D.J. Marrow,HB,RB,88,1,1388353219,553388172,MEGA,Bills,2026-04-16 20:25:06.057868,False,False,1373,False,,False,False,24,0,6,1972,UCLA,7,5,D.J.,D.J. Marrow,DJ Marrow,8145,69,5,PLACEHOLDER,0,97,True,False,False,False,26,Marrow,694,3347,2160,88,88,24,2026,3,0,88,203,2,1240000,1070000,340000,680000,4,4200000,2,0,0,0,0,88,92,0,97,[],[],94,86,85,50,91,86,93,86,65,80,46,31,48,36,62,31,33,37,40,37,21,30,16,36,13,33,28,89,83,74,86,67,92,84,94,72,72,92,74,65,61,74,69,48,45,33,33,38,43,42,34,24,44,31,36,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380289,Christian Benford,CB,CB,87,1,1313380289,553386182,MEGA,Bills,2026-04-16 20:25:06.042958,False,False,519,False,,False,False,27,21,9,2000,Villanova,6,6,Christian,Christian Benford,Christian Benford,6723,73,19,Randallstown,0,97,True,False,False,False,47,Benford,784,2684,22487,87,87,24,2024,15,0,86,205,6,20150000,18650000,3000000,8140000,5,61900000,2,0,0,0,0,86,87,0,97,[],[],92,82,90,50,90,87,88,90,65,84,52,17,35,35,35,35,35,35,15,6,6,35,6,6,30,10,6,57,52,76,61,60,70,45,63,40,37,81,38,24,27,32,66,41,57,49,88,88,35,89,75,73,91,12,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313381740,Justin Reid,FS,S,87,1,1313381740,553388194,MEGA,Bills,2026-04-16 20:25:06.058625,False,False,381,False,,False,False,31,15,2,1997,Stanford,4,3,Justin,Justin Reid,Justin Reid,40524,73,17,Prairieville,0,97,True,False,False,False,21,Reid,5074,9035,13167,87,87,24,2020,11,0,86,207,10,12330000,3830000,25500000,25500000,4,22750000,3,0,0,0,0,86,87,0,98,[],[],91,90,87,50,90,87,91,93,66,87,66,20,35,35,35,35,35,35,13,10,10,33,15,15,26,16,15,57,24,73,63,63,71,55,61,47,31,86,22,10,10,20,61,46,85,62,77,87,39,71,87,78,82,78,93,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380266,Maxwell Hairston,CB,CB,86,1,1313380266,553386999,MEGA,Bills,2026-04-16 20:25:06.048931,False,False,730,False,,False,False,25,6,8,2003,Kentucky,30,1,Maxwell,Maxwell Hairston,Maxwell Hairston,5253,72,21,West Bloomfield,0,97,True,False,False,False,31,Hairston,1477,10570,15328,86,86,0,2025,0,0,86,183,3,3810000,2380000,1430000,5720000,4,6270000,1,0,0,0,0,86,92,0,98,[],[],93,94,74,50,88,94,96,83,59,86,46,22,35,25,25,35,25,35,22,21,15,30,15,22,20,23,13,77,50,74,63,61,79,47,69,34,27,95,43,38,35,37,68,31,51,46,90,79,26,82,73,65,80,19,20,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380333,Dre Greenlaw,MIKE,LB,84,2,1313380333,553386977,MEGA,Bills,2026-04-16 20:25:06.048580,False,False,270,False,,False,False,31,25,5,1997,Arkansas,10,5,Dre,Dre Greenlaw,Dre Greenlaw,10152,72,3,Fayetteville,0,97,True,False,False,False,45,Greenlaw,3703,9480,20475,84,84,24,2021,1,0,84,230,9,11920000,4860000,14120000,14120000,2,10420000,2,0,0,0,0,84,82,0,85,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,82,91,50,84,80,82,89,71,84,77,27,45,45,45,45,45,45,12,6,6,14,6,6,20,15,6,53,37,71,55,35,51,10,47,30,46,73,28,20,25,33,55,61,89,73,76,89,54,47,90,89,77,12,18,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380270,Ed Oliver,DT,DT,84,1,1313380270,553387993,MEGA,Bills,2026-04-16 20:25:06.056698,False,False,261,False,,False,False,30,12,12,1997,Houston,9,1,Ed,Ed Oliver,Ed Oliver,15731,73,42,Houston,0,97,True,False,False,False,91,Oliver,2868,9589,20548,84,84,24,2021,12,0,84,287,9,16790000,8090000,17400000,24810000,3,36830000,2,0,0,0,0,84,87,0,90,[],[],85,84,85,50,92,86,82,85,89,89,90,30,45,45,45,45,45,45,12,6,6,22,6,6,25,14,6,31,20,31,32,24,39,10,29,30,31,70,20,4,8,15,20,74,81,84,19,83,81,16,81,87,32,12,15,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,Bills,1313380263,Landon Jackson,REDGE,DE,83,1,1313380263,553387275,MEGA,Bills,2026-04-16 20:25:06.052634,False,False,550,False,,False,False,25,2,1,2003,Arkansas,8,3,Landon,Landon Jackson,Landon Jackson,1113,78,42,Texarkana,0,97,True,False,False,False,94,Jackson,219,10608,15174,83,83,0,2025,0,0,81,264,3,1800000,1520000,280000,1120000,4,4530000,1,0,0,0,0,81,83,0,99,[],[],85,79,78,50,83,90,83,81,81,84,80,28,45,45,45,45,45,45,18,9,14,30,16,25,17,27,25,29,26,35,41,21,31,25,28,29,29,64,12,7,8,15,21,81,86,90,26,78,80,27,87,90,35,16,21,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
