team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CAR,Panthers,1313381435,Derrick Brown,DT,DT,96,2,1313381435,553386313,MEGA,Panthers,2026-04-16 20:25:10.482338,False,False,1079,False,,False,False,30,15,4,1998,Auburn,7,1,Derrick,Derrick Brown,Derrick Brown,5837,77,9,Sugar Hill,0,97,True,False,False,False,95,Brown,1319,189,21286,96,96,0,2022,11,0,96,320,8,39870000,24000000,15870000,61100000,5,45750000,1,0,0,0,0,96,87,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Stuff', 'startActivated': False, 'signatureLogoId': 1248, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against inside run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Or Nothing', 'startActivated': False, 'signatureLogoId': 1323, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability must spend twice as much stamina to perform a move but are granted dominant wins', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",76,70,98,50,95,68,73,87,98,95,93,42,44,48,48,46,50,50,33,27,30,14,35,36,41,31,25,53,38,53,56,47,52,30,50,52,60,58,39,33,38,42,49,69,87,95,24,97,85,23,88,95,30,14,22,0,2,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381419,Tetairoa McMillan,WR,WR,95,3,1313381419,553387760,MEGA,Panthers,2026-04-16 20:25:10.494582,False,False,2315,False,,False,False,25,5,4,2003,Arizona,8,1,Tetairoa,Tetairoa McMillan,Tetairoa McMillan,7783,76,10,Waimanalo,0,97,True,False,False,False,4,McMillan,282,10657,15097,95,95,24,2025,0,0,93,213,3,6090000,2850000,42260000,51980000,5,7670000,2,0,0,0,0,93,90,0,94,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Red Zone Threat', 'startActivated': False, 'signatureLogoId': 1180, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When in the red zone, receivers with this ability have a better chance to win contested catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,89,96,50,92,95,90,94,76,89,49,34,17,24,26,38,38,48,52,54,56,28,62,69,79,53,36,93,89,97,82,96,92,71,80,70,59,89,95,95,98,93,98,34,41,39,27,28,31,22,46,44,26,17,27,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381422,Nic Scourton,REDGE,DE,92,3,1313381422,553388353,MEGA,Panthers,2026-04-16 20:25:10.499588,False,False,2198,False,,False,False,24,25,8,2004,Texas A&M,19,2,Nic,Nic Scourton,Nic Scourton,3469,75,42,Bryan,0,97,True,False,False,False,11,Scourton,900,10725,15203,92,92,0,2025,0,0,92,257,3,2250000,1670000,580000,2320000,4,4750000,1,0,0,0,0,92,85,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spinner', 'startActivated': False, 'signatureLogoId': 1349, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting spin pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,81,87,50,89,84,82,81,83,86,83,25,45,45,45,45,45,45,19,9,10,19,15,9,28,32,25,35,29,33,39,20,41,33,37,41,33,73,13,7,8,15,22,93,91,96,42,85,96,29,96,91,49,23,26,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381441,Chuba Hubbard,HB,RB,90,2,1313381441,553387203,MEGA,Panthers,2026-04-16 20:25:10.490135,False,False,602,False,,False,False,29,11,6,1999,Oklahoma State,21,4,Chuba,Chuba Hubbard,Chuba Hubbard,20068,73,50,Sherwood Park,0,97,True,False,False,False,30,Hubbard,14009,1234,21574,90,90,0,2023,4,0,90,210,7,10700000,1500000,9200000,24180000,5,12300000,1,0,0,0,0,90,90,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,88,92,50,90,86,92,88,74,83,41,39,32,37,54,33,29,42,40,15,20,31,25,16,31,14,18,93,94,73,92,57,91,76,80,87,80,88,47,48,58,64,55,11,23,27,11,19,11,16,36,32,18,17,22,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1388354214,Ben Morales,MIKE,LB,89,2,1388354214,553387727,MEGA,Panthers,2026-04-16 20:25:10.494181,False,False,1541,False,,False,False,24,2,4,1942,Colorado,12,2,Ben,Ben Morales,Ben Morales,9894,75,0,PLACEHOLDER,0,97,True,False,False,False,49,Morales,717,3917,2243,89,89,24,2026,9,0,89,232,2,2600000,1600000,2000000,4000000,4,6160000,2,0,0,0,0,89,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Crusher', 'startActivated': False, 'signatureLogoId': 1386, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause heavy fatigue penalties when tackling a ballcarrier with a hit-stick tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,80,81,50,88,76,87,92,78,81,74,44,37,28,45,34,44,42,38,22,22,32,10,21,11,38,47,27,25,58,58,31,33,41,26,24,39,72,42,27,30,45,36,52,83,90,75,93,57,36,88,93,82,41,41,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381454,Christian Wilkins,DT,DT,89,1,1313381454,553388868,MEGA,Panthers,2026-04-16 20:25:10.501197,False,False,324,False,,False,False,32,20,12,1995,Clemson,13,1,Christian,Christian Wilkins,Christian Wilkins,44551,76,20,Springfield,0,97,True,False,False,False,90,Wilkins,2618,9673,20550,89,89,24,2021,13,0,89,310,9,24680000,11010000,27340000,68350000,7,78950000,4,0,0,0,0,89,84,0,99,[],[],78,73,89,50,96,73,79,89,90,89,85,38,45,45,45,45,45,45,12,6,6,24,6,6,24,10,6,52,26,47,43,36,31,25,27,47,51,62,24,21,25,31,42,70,82,91,23,89,81,16,84,94,34,11,15,0,1,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381438,Jaycee Horn,CB,CB,89,2,1313381438,553387189,MEGA,Panthers,2026-04-16 20:25:10.489771,False,False,622,False,,False,False,28,26,11,1999,South Carolina,8,1,Jaycee,Jaycee Horn,Jaycee Horn,11499,73,9,Alpharetta,0,97,True,False,False,False,8,Horn,1281,1352,21451,89,89,24,2023,12,0,89,200,7,23700000,14430000,18540000,46350000,5,66070000,2,0,0,0,0,89,90,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Chuck Out', 'startActivated': False, 'signatureLogoId': 1314, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability apply bonus fatigue to their target after a successful zone chuck', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Shade', 'startActivated': False, 'signatureLogoId': 1396, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,88,86,50,84,94,92,90,65,85,50,19,35,35,35,35,35,35,17,8,12,29,18,29,30,17,6,71,54,77,65,63,74,55,67,47,36,89,27,17,24,34,70,41,68,48,91,87,30,88,78,75,91,14,23,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381439,Tre'von Moehrig,SS,S,87,1,1313381439,553387828,MEGA,Panthers,2026-04-16 20:25:10.494945,False,False,549,False,,False,False,29,16,6,1999,TCU,11,2,Tre'von,Tre'von Moehrig,Trevon Moehrig,19916,74,42,Spring Branch,0,97,True,False,False,False,7,Moehrig,2473,1212,21490,87,87,24,2023,11,0,87,202,7,11060000,3260000,39000000,45000000,7,44700000,6,0,0,0,0,87,83,0,94,[],[],90,83,91,50,92,80,90,92,64,85,54,29,35,35,35,35,35,35,10,6,6,22,6,6,22,20,6,64,51,75,64,68,70,65,63,55,42,81,45,32,36,38,69,44,89,58,68,89,38,72,89,84,80,21,21,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381449,Ikem Ekwonu,LG,OL,85,0,1313381449,553386725,MEGA,Panthers,2026-04-16 20:25:10.486110,False,False,285,False,,False,False,27,31,10,2000,N.C. State,6,1,Ikem,Ikem Ekwonu,Ikem Ekwonu,11745,76,32,Charlotte,0,97,True,False,False,False,79,Ekwonu,1244,1560,22439,85,85,0,2024,4,0,78,320,6,13870000,7550000,6320000,25280000,4,25480000,1,0,0,0,0,78,90,0,95,[],[],78,57,83,50,93,72,75,88,93,97,93,87,74,87,81,89,84,86,14,6,6,25,6,6,23,11,6,16,17,32,40,14,10,10,10,30,28,56,12,5,5,10,15,35,55,44,12,35,42,10,45,45,14,23,27,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313380512,Trey Benson,HB,RB,85,1,1313380512,553386186,MEGA,Panthers,2026-04-16 20:25:10.481747,False,False,489,False,,False,False,26,23,7,2002,Florida State,2,3,Trey,Trey Benson,Trey Benson,2120,73,23,Greenville,0,97,True,False,False,False,39,Benson,8,10011,14622,85,85,0,2023,0,0,85,223,4,5600000,2100000,3500000,3500000,1,2100000,1,0,0,0,0,85,91,0,84,[],[],95,86,70,50,86,83,93,86,77,82,40,36,30,33,54,30,27,43,32,15,20,25,25,24,29,20,20,88,85,70,96,52,90,77,89,79,80,88,56,55,59,65,53,31,47,42,27,37,26,29,47,49,34,14,18,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
