team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CAR,Panthers,1313381419,Tetairoa McMillan,WR,WR,95,3,1313381419,553387760,MEGA,Panthers,2026-04-16 20:25:10.494582,False,False,2315,False,,False,False,25,5,4,2003,Arizona,8,1,Tetairoa,Tetairoa McMillan,Tetairoa McMillan,7783,76,10,Waimanalo,0,97,True,False,False,False,4,McMillan,282,10657,15097,95,95,24,2025,0,0,93,213,3,6090000,2850000,42260000,51980000,5,7670000,2,0,0,0,0,93,90,0,94,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Red Zone Threat', 'startActivated': False, 'signatureLogoId': 1180, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When in the red zone, receivers with this ability have a better chance to win contested catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,89,96,50,92,95,90,94,76,89,49,34,17,24,26,38,38,48,52,54,56,28,62,69,79,53,36,93,89,97,82,96,92,71,80,70,59,89,95,95,98,93,98,34,41,39,27,28,31,22,46,44,26,17,27,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381441,Chuba Hubbard,HB,RB,90,2,1313381441,553387203,MEGA,Panthers,2026-04-16 20:25:10.490135,False,False,602,False,,False,False,29,11,6,1999,Oklahoma State,21,4,Chuba,Chuba Hubbard,Chuba Hubbard,20068,73,50,Sherwood Park,0,97,True,False,False,False,30,Hubbard,14009,1234,21574,90,90,0,2023,4,0,90,210,7,10700000,1500000,9200000,24180000,5,12300000,1,0,0,0,0,90,90,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,88,92,50,90,86,92,88,74,83,41,39,32,37,54,33,29,42,40,15,20,31,25,16,31,14,18,93,94,73,92,57,91,76,80,87,80,88,47,48,58,64,55,11,23,27,11,19,11,16,36,32,18,17,22,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381449,Ikem Ekwonu,LG,OL,85,0,1313381449,553386725,MEGA,Panthers,2026-04-16 20:25:10.486110,False,False,285,False,,False,False,27,31,10,2000,N.C. State,6,1,Ikem,Ikem Ekwonu,Ikem Ekwonu,11745,76,32,Charlotte,0,97,True,False,False,False,79,Ekwonu,1244,1560,22439,85,85,0,2024,4,0,78,320,6,13870000,7550000,6320000,25280000,4,25480000,1,0,0,0,0,78,90,0,95,[],[],78,57,83,50,93,72,75,88,93,97,93,87,74,87,81,89,84,86,14,6,6,25,6,6,23,11,6,16,17,32,40,14,10,10,10,30,28,56,12,5,5,10,15,35,55,44,12,35,42,10,45,45,14,23,27,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313380512,Trey Benson,HB,RB,85,1,1313380512,553386186,MEGA,Panthers,2026-04-16 20:25:10.481747,False,False,489,False,,False,False,26,23,7,2002,Florida State,2,3,Trey,Trey Benson,Trey Benson,2120,73,23,Greenville,0,97,True,False,False,False,39,Benson,8,10011,14622,85,85,0,2023,0,0,85,223,4,5600000,2100000,3500000,3500000,1,2100000,1,0,0,0,0,85,91,0,84,[],[],95,86,70,50,86,83,93,86,77,82,40,36,30,33,54,30,27,43,32,15,20,25,25,24,29,20,20,88,85,70,96,52,90,77,89,79,80,88,56,55,59,65,53,31,47,42,27,37,26,29,47,49,34,14,18,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313380143,Cole Kmet,TE,TE,85,1,1313380143,553387486,MEGA,Panthers,2026-04-16 20:25:10.491992,False,False,288,False,,False,False,29,10,3,1999,Notre Dame,11,2,Cole,Cole Kmet,Cole Kmet,6918,78,12,Lake Barrington,0,97,True,False,False,False,86,Kmet,118,711,20952,85,85,0,2022,5,0,85,260,8,16500000,7000000,9500000,9500000,1,7000000,1,0,0,0,0,85,77,0,99,[],[],85,73,84,50,95,86,85,93,76,90,69,57,58,61,62,65,63,64,15,14,17,35,19,16,39,15,15,71,62,98,73,88,65,15,53,72,76,71,76,71,74,76,86,51,48,56,27,38,42,27,58,48,33,15,24,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381411,Taylor Moton,RT,OL,84,1,1313381411,553387869,MEGA,Panthers,2026-04-16 20:25:10.495668,False,False,36,False,Broken Tibia,True,False,34,18,8,1994,W. Michigan,32,2,Taylor,Taylor Moton,Taylor Moton,1097,77,21,Lansing,29,79,True,False,False,False,72,Moton,3125,8669,12636,84,84,24,2019,6,0,81,325,11,20620000,11620000,18000000,49840000,5,61900000,2,0,0,0,0,81,85,0,99,[],[],65,62,95,50,99,75,68,96,88,96,89,78,86,88,82,81,78,81,12,6,13,30,18,12,20,7,6,23,10,28,23,15,15,10,10,14,29,56,12,5,5,13,29,10,36,34,12,10,10,10,28,31,12,21,22,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313382664,J.J. Washington,QB,QB,83,1,1313382664,553387843,MEGA,Panthers,2026-04-16 20:25:10.495306,False,False,1417,False,,False,False,23,28,1,1950,Georgia,30,1,J.J.,J.J. Washington,JJ Washington,3810,72,5,PLACEHOLDER,0,97,True,False,False,False,9,Washington,237,10353,2428,83,83,24,2027,1,0,83,218,1,3680000,1750000,5790000,7720000,4,7520000,3,0,0,0,0,83,0,0,81,[],[],90,88,80,50,95,82,90,92,60,86,33,36,27,32,25,34,33,36,79,88,84,27,92,86,94,86,85,81,79,44,71,46,87,24,70,67,39,85,42,45,32,27,34,29,35,45,24,27,28,42,46,35,39,43,31,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381372,Romeo Doubs,WR,WR,82,1,1313381372,553386663,MEGA,Panthers,2026-04-16 20:25:10.485037,False,False,276,False,,False,False,28,13,4,2000,Nevada,27,4,Romeo,Romeo Doubs,Romeo Doubs,1526,74,4,Los Angeles,0,97,True,False,False,False,87,Doubs,164,1471,22076,82,82,0,2024,5,0,77,204,6,10300000,5300000,5000000,5000000,1,5300000,1,0,0,0,0,77,87,0,84,[],[],94,85,84,50,89,83,92,86,60,86,38,19,23,20,26,25,20,38,19,10,15,30,20,12,24,17,15,82,71,84,67,85,76,79,72,43,35,83,86,87,82,78,86,22,26,33,19,32,18,22,39,35,31,17,22,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1313381436,Robert Hunt,C,OL,82,1,1313381436,553387222,MEGA,Panthers,2026-04-16 20:25:10.490509,False,False,73,False,,False,False,32,25,8,1996,UL Lafayette,7,2,Robert,Robert Hunt,Robert Hunt,28524,78,42,Burkeville,0,97,True,False,False,False,50,Hunt,844,372,21291,82,82,0,2022,3,0,77,335,8,22030000,16410000,5620000,28100000,5,71860000,1,0,0,0,0,77,85,0,99,[],[],58,60,90,50,90,68,66,92,89,87,87,88,77,82,80,88,84,86,12,6,6,25,6,6,25,14,6,28,27,41,38,19,30,10,10,15,36,51,12,5,5,12,26,10,39,30,12,26,29,10,25,39,15,20,20,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Panthers,1388354213,Brenton Riddle,RG,OL,82,1,1388354213,553386697,MEGA,Panthers,2026-04-16 20:25:10.485383,False,False,665,False,Broken Collarbone,True,False,24,20,7,1998,Michigan State,12,1,Brenton,Brenton Riddle,Brenton Riddle,1123,76,28,PLACEHOLDER,6,86,True,False,False,False,75,Riddle,649,4193,2292,82,82,22,2026,2,0,80,317,2,5760000,2510000,6500000,13000000,4,9520000,2,0,0,0,0,80,85,0,95,[],[],81,71,89,50,78,80,66,98,85,86,93,91,83,78,87,81,81,85,37,31,29,13,34,12,36,24,36,48,28,44,59,28,30,40,48,46,45,60,48,42,34,33,42,31,47,37,25,24,39,40,25,26,36,27,45,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
