team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CHI,Bears,1388353103,Terrell Sullivan,REDGE,DE,97,3,1388353103,553389105,MEGA,Bears,2026-04-16 20:25:12.358784,False,False,5857,False,,False,False,23,12,12,2025,Tennessee,16,1,Terrell,Terrell Sullivan,Terrell Sullivan,3564,73,42,PLACEHOLDER,0,97,True,False,False,False,97,Sullivan,2151,3950,2095,97,97,22,2026,6,0,96,263,2,4960000,2280000,5360000,10720000,4,8640000,2,0,0,0,0,96,84,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Relentless', 'startActivated': False, 'signatureLogoId': 1310, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most tenacious defenders beat their blocks by sheer force of will. When they enter the zone, their rush move attempts are free.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Make sacks or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Swim Club', 'startActivated': False, 'signatureLogoId': 1351, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting swim/club pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Interior Threat', 'startActivated': False, 'signatureLogoId': 1925, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster; more dominant pass rush moves while rushing from the interior of the defensive line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,81,94,50,85,85,82,75,81,85,78,30,25,32,34,26,30,32,46,17,34,12,27,13,16,43,24,40,35,24,55,32,44,38,35,36,30,72,43,38,32,24,30,99,94,98,50,97,97,42,98,97,44,25,34,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380144,Jaylon Johnson,CB,CB,93,1,1313380144,553387347,MEGA,Bears,2026-04-16 20:25:12.346499,False,False,906,False,,False,False,29,19,4,1999,Utah,18,2,Jaylon,Jaylon Johnson,Jaylon Johnson,19766,72,4,Fresno,0,97,True,False,False,False,1,Johnson,890,398,21009,93,93,24,2022,20,0,93,196,8,22080000,7980000,28200000,44200000,3,22200000,2,0,0,0,0,93,89,0,98,[],[],92,86,95,50,87,88,90,92,67,95,57,12,35,35,35,35,35,41,13,6,6,25,6,6,27,13,6,68,60,74,60,57,74,40,68,46,40,92,31,11,16,26,65,35,65,51,97,95,27,92,74,63,96,14,15,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380505,Budda Baker,SS,S,90,1,1313380505,553386111,MEGA,Bears,2026-04-16 20:25:12.336347,False,False,214,False,,False,False,32,10,1,1996,Washington,4,2,Budda,Budda Baker,Budda Baker,32595,70,46,Bellevue,0,97,True,False,False,False,3,Baker,9422,8472,12549,90,90,0,2019,20,0,90,195,11,25000000,13000000,12000000,12000000,1,13000000,1,0,0,0,0,90,86,0,63,[],[],90,91,92,50,91,85,90,96,72,93,68,23,35,35,35,35,35,35,27,10,10,30,15,15,25,17,15,76,57,75,72,71,81,66,72,36,36,87,47,36,41,51,75,49,88,61,81,90,40,77,92,78,84,20,20,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1388353104,Steven Forbes,MIKE,LB,89,2,1388353104,553386619,MEGA,Bears,2026-04-16 20:25:12.340745,False,False,2012,False,,False,False,23,4,12,1957,Ohio State,16,2,Steven,Steven Forbes,Steven Forbes,1,75,25,PLACEHOLDER,0,97,True,False,False,False,54,Forbes,161,3491,2193,89,89,24,2026,0,0,89,234,2,2350000,1520000,1660000,3320000,4,5880000,2,0,0,0,0,89,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Stuff', 'startActivated': False, 'signatureLogoId': 1248, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against inside run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,88,83,50,78,76,91,91,73,83,78,27,47,29,25,27,36,40,48,16,14,34,33,11,17,25,25,29,44,70,56,39,47,32,37,45,43,82,40,46,43,42,44,62,78,84,74,92,66,28,88,93,79,43,40,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380132,Shemar Turner,DT,DT,88,2,1313380132,553388711,MEGA,Bears,2026-04-16 20:25:12.355653,False,False,937,False,,False,False,25,14,1,2003,Texas A&M,30,2,Shemar,Shemar Turner,Shemar Turner,2743,75,42,DeSoto,0,97,True,False,False,False,95,Turner,424,10761,15205,88,88,0,2025,0,0,88,290,3,1940000,1580000,360000,1440000,4,4660000,1,0,0,0,0,88,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,72,84,50,86,79,80,84,88,93,76,25,45,45,45,45,45,45,17,8,10,30,15,15,27,13,14,34,29,29,41,22,30,27,25,31,39,62,12,10,13,15,24,75,85,91,15,83,78,20,84,95,20,19,27,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380158,Gervon Dexter Sr,DT,DT,88,1,1313380158,553386631,MEGA,Bears,2026-04-16 20:25:12.341168,False,False,589,False,,False,False,26,5,10,2001,Florida,22,2,Gervon,Gervon Dexter Sr,Gervon Dexter Sr,9474,78,8,Lake Wales,0,97,True,False,False,False,99,Dexter Sr,378,2108,22921,88,88,24,2022,11,0,88,312,5,23940000,11940000,24000000,36500000,4,37600000,2,0,0,0,0,88,81,0,99,[],[],80,67,90,50,92,76,76,81,85,83,89,41,40,40,40,45,45,45,12,6,6,13,6,6,14,11,6,35,24,52,45,45,24,10,17,42,44,57,14,5,8,13,46,68,87,90,10,88,81,14,87,96,12,9,12,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380154,Jaquan Brisker,SS,S,87,1,1313380154,553386285,MEGA,Bears,2026-04-16 20:25:12.339016,False,False,402,False,,False,False,29,20,4,1999,Penn State,16,2,Jaquan,Jaquan Brisker,Jaquan Brisker,7166,73,37,Pittsburgh,0,97,True,False,False,False,9,Brisker,1834,1194,22228,87,87,0,2024,11,0,87,204,6,11640000,5140000,6500000,20130000,4,16900000,1,0,0,0,0,87,85,0,93,[],[],91,86,84,50,87,91,89,92,68,89,67,23,35,35,35,35,35,35,19,6,6,30,6,6,29,11,6,69,58,71,60,53,74,68,65,47,44,84,31,26,29,34,68,45,88,64,69,86,40,64,87,87,80,17,19,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313382376,Jimmy Downing,CB,CB,85,1,1313382376,553387851,MEGA,Bears,2026-04-16 20:25:12.350885,False,False,1287,False,Forearm Fracture,True,False,23,29,16,2032,Tennessee,20,1,Jimmy,Jimmy Downing,Jimmy Downing,6546,70,32,PLACEHOLDER,4,12,True,False,False,False,26,Downing,35,3757,2473,85,85,24,2027,10,0,81,198,1,4360000,1920000,7320000,9760000,4,8280000,3,0,0,0,0,81,91,0,99,[],[],93,89,80,50,91,90,94,83,75,79,45,42,36,45,28,42,46,36,35,23,26,28,26,33,22,39,27,70,31,67,58,26,80,76,71,38,27,91,49,35,24,26,45,24,65,61,78,81,48,74,75,70,92,42,29,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380155,Kyler Gordon,CB,CB,85,1,1313380155,553386944,MEGA,Bears,2026-04-16 20:25:12.343444,False,False,382,False,,False,False,28,17,12,1999,Washington,7,2,Kyler,Kyler Gordon,Kyler Gordon,407,72,46,Mukilteo,0,97,True,False,False,False,6,Gordon,762,1738,22261,85,85,0,2024,20,0,84,200,6,13300000,10800000,2500000,21920000,4,22600000,1,0,0,0,0,84,89,0,98,[],[],92,93,88,50,92,93,88,90,66,79,50,22,35,35,35,35,35,35,20,12,15,24,20,22,23,16,18,61,55,71,58,50,75,50,68,32,35,92,39,34,37,42,69,47,66,46,86,89,38,77,77,65,86,20,17,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313381123,Deonte Banks,CB,CB,84,1,1313381123,553386119,MEGA,Bears,2026-04-16 20:25:12.336783,False,False,462,False,,False,False,27,3,3,2001,Maryland,24,1,Deonte,Deonte Banks,Deonte Banks,1766,74,19,Baltimore,0,97,True,False,False,False,39,Banks,348,1120,23052,84,84,24,2022,20,0,84,205,5,7940000,2840000,15300000,21300000,4,14900000,3,0,0,0,0,84,93,0,96,[],[],97,90,75,50,89,97,94,91,60,85,51,24,29,29,29,34,34,34,20,12,14,26,17,19,25,14,6,67,64,67,55,57,77,54,69,53,48,91,41,32,36,39,61,41,69,55,84,73,33,84,76,73,79,17,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
