team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CHI,Bears,1313380130,Colston Loveland,TE,TE,99,3,1313380130,553387613,MEGA,Bears,2026-04-16 20:25:12.348667,False,False,6215,False,,False,False,24,9,4,2004,Michigan,10,1,Colston,Colston Loveland,Colston Loveland,1703,78,11,Gooding,0,97,True,False,False,False,84,Loveland,3862,10639,15117,99,99,0,2025,0,0,99,248,3,8470000,4470000,4000000,16000000,4,10620000,1,0,0,0,0,99,81,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab and Smash', 'startActivated': False, 'signatureLogoId': 1358, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Not all receivers need fancy footwork. When they enter the zone, they have increased success chance on stiff arm and truck attempts following the catch.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 10+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,82,80,50,88,85,86,84,78,93,68,59,55,55,60,75,73,77,16,10,27,14,15,23,23,34,26,83,87,94,72,95,73,25,72,81,88,73,93,91,93,83,97,41,43,36,35,36,35,21,41,38,36,31,23,0,3,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380124,Caleb Williams,QB,QB,98,3,1313380124,553388871,MEGA,Bears,2026-04-16 20:25:12.356962,False,False,4834,False,,False,False,26,18,11,2001,USC,1,1,Caleb,Caleb Williams,Caleb Williams,12510,73,19,"Washington, DC",0,97,True,False,False,False,18,Williams,4699,10296,14500,98,98,0,2023,0,0,97,214,4,55840000,1100000,54740000,80260000,5,15000000,1,0,0,0,0,97,91,0,89,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Gambit', 'startActivated': False, 'signatureLogoId': 1111, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The best quarterbacks learn to take calculated risks. When they enter the zone, they can't be intercepted (by AI defenders) and have increased throw speed."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make consecutive passes for 5+ yards in air', 'signatureDeactivationDescription': ""Don't throw incompletions""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pocket Deadeye', 'startActivated': False, 'signatureLogoId': 1167, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all unpressured throws while their feet are set in the pocket (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Comeback', 'startActivated': False, 'signatureLogoId': 1316, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing from behind, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Anchored Extender', 'startActivated': False, 'signatureLogoId': 1172, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to break the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Clutch', 'startActivated': False, 'signatureLogoId': 1124, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Midway through the fourth quarter in close games, players with this ability can easily enter (and remain in) the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,84,91,50,94,83,86,91,65,91,20,15,19,25,12,15,24,17,98,95,99,88,98,98,93,96,90,88,69,41,60,15,73,28,67,50,55,82,15,15,15,15,15,10,19,23,13,27,10,10,31,23,18,23,20,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380125,Rome Odunze,WR,WR,92,3,1313380125,553387964,MEGA,Bears,2026-04-16 20:25:12.351749,False,False,1227,False,,False,False,26,3,6,2002,Washington,9,1,Rome,Rome Odunze,Rome Odunze,6115,75,27,Las Vegas,0,97,True,False,False,False,15,Odunze,32,10199,14645,92,92,24,2023,0,0,92,212,4,24810000,12110000,63500000,66830000,6,79900000,5,0,0,0,0,92,90,0,88,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': ""YAC 'Em Up"", 'startActivated': False, 'signatureLogoId': 1309, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The best physical receivers don't just come down with the ball, they carry it home. When they enter the zone, they are nearly guaranteed to break their first post-catch tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,87,87,50,87,94,91,89,65,86,45,23,20,22,28,35,30,50,24,10,14,25,17,10,24,15,6,97,79,95,88,94,90,79,80,61,51,89,94,94,93,90,95,10,24,27,11,14,10,21,33,30,17,17,18,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380129,Luther Burden III,WR,WR,91,1,1313380129,553386352,MEGA,Bears,2026-04-16 20:25:12.339879,False,False,1872,False,,False,False,24,12,12,2003,Missouri,7,2,Luther,Luther Burden III,Luther Burden III,6829,72,24,St. Louis,0,97,True,False,False,False,10,Burden III,32,10510,15095,91,91,0,2025,0,0,91,210,3,2800000,1900000,900000,3600000,4,5200000,1,0,0,0,0,91,91,0,93,[],[],92,93,82,50,91,88,92,87,69,87,44,30,21,28,27,30,32,51,28,10,10,16,12,17,11,24,31,94,86,94,85,93,91,82,82,70,64,93,90,94,91,88,97,25,32,24,30,35,23,25,39,35,41,30,25,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380121,DJ Moore,WR,WR,88,1,1313380121,553387844,MEGA,Bears,2026-04-16 20:25:12.350427,False,False,357,False,,False,False,31,14,4,1997,Maryland,24,1,DJ,DJ Moore,DJ Moore,15588,72,37,Philadelphia,0,97,True,False,False,False,2,Moore,4473,8995,13184,88,88,24,2020,6,0,88,210,10,28500000,24500000,5020000,44120000,6,97980000,2,0,0,0,0,88,91,0,93,[],[],92,93,87,50,95,95,91,93,66,92,41,20,25,22,30,24,30,56,23,20,27,40,33,23,43,22,15,96,89,93,78,91,94,80,82,82,71,88,91,86,84,82,94,10,18,22,18,22,10,29,36,30,24,13,18,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313382609,Anthony Hall,HB,RB,87,1,1313382609,553387617,MEGA,Bears,2026-04-16 20:25:12.349093,False,False,1995,False,,False,False,22,7,14,2057,Georgia,20,2,Anthony,Anthony Hall,Anthony Hall,5190,71,25,PLACEHOLDER,0,97,True,False,False,False,22,Hall,274,3842,2585,87,87,24,2027,2,0,73,198,1,2040000,1350000,2070000,2760000,4,5640000,3,0,0,0,0,73,90,0,77,[],[],95,91,76,50,89,79,95,84,71,82,38,27,26,43,56,45,38,40,40,30,34,10,17,26,33,34,35,94,80,71,88,58,86,79,87,73,76,94,52,48,56,57,62,41,32,37,38,40,33,36,44,43,28,33,25,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380157,Darnell Wright,LG,OL,86,1,1313380157,553388986,MEGA,Bears,2026-04-16 20:25:12.357401,False,False,376,False,,False,False,27,10,8,2001,Tennessee,10,1,Darnell,Darnell Wright,Darnell Wright,3837,78,47,Huntington,0,97,True,False,False,False,58,Wright,583,2487,22861,86,86,0,2022,2,0,84,335,5,15430000,9430000,6000000,17530000,3,19140000,1,0,0,0,0,84,91,0,99,[],[],75,56,87,50,93,72,72,85,94,90,93,86,84,82,84,89,82,89,12,5,5,11,5,5,11,10,5,35,27,38,35,23,23,10,17,27,32,51,15,11,15,21,36,45,59,52,10,45,57,10,51,48,15,14,16,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380131,Ozzy Trapilo,RG,OL,86,1,1313380131,553388677,MEGA,Bears,2026-04-16 20:25:12.355230,False,False,602,False,,False,False,26,17,10,2001,Boston College,24,2,Ozzy,Ozzy Trapilo,Ozzy Trapilo,7958,80,20,Norwell,0,97,True,False,False,False,75,Trapilo,483,10757,15125,86,86,0,2025,0,0,77,316,3,1770000,1300000,470000,1880000,4,4150000,1,0,0,0,0,77,86,0,99,[],[],74,61,82,50,84,74,65,86,87,83,92,87,91,78,92,91,75,82,13,6,6,15,6,6,14,14,6,10,6,24,34,17,15,10,10,12,29,57,21,5,5,15,20,23,24,28,14,22,29,10,26,21,16,27,22,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313380449,Graham Barton,C,OL,85,1,1313380449,553386143,MEGA,Bears,2026-04-16 20:25:12.337210,False,False,368,False,,False,False,26,1,6,2002,Duke,26,1,Graham,Graham Barton,Graham Barton,5873,77,41,Brentwood,0,97,True,False,False,False,77,Barton,658,10008,14703,85,85,0,2023,0,0,77,311,4,20000000,10000000,10000000,10000000,1,10000000,1,0,0,0,0,77,86,0,99,[],[],83,74,83,50,89,72,74,85,86,88,91,89,91,77,86,87,75,86,7,5,6,22,9,11,21,8,6,28,10,32,28,13,14,10,10,25,32,62,18,5,11,16,15,22,44,33,12,30,24,12,39,37,11,24,25,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Bears,1313382595,Manny Jimenez,RT,OL,81,2,1313382595,553386102,MEGA,Bears,2026-04-16 20:25:12.335926,False,False,1147,False,,False,False,21,1,5,1959,Auburn,11,1,Manny,Manny Jimenez,Manny Jimenez,750,77,8,PLACEHOLDER,0,97,True,False,False,False,72,Jimenez,0,3912,3142,81,81,24,2028,5,0,81,318,0,5730000,2040000,14760000,14760000,4,10160000,4,0,0,0,0,81,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tough Nut', 'startActivated': False, 'signatureLogoId': 1354, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability have an increased number of blocker resistance points', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",76,75,79,50,82,66,67,94,91,83,89,74,86,86,85,81,76,82,47,34,10,17,36,26,14,32,36,24,45,26,57,25,39,45,34,28,32,58,41,27,38,48,45,44,31,43,27,47,34,33,42,28,26,48,48,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
