team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CIN,Bengals,1313380200,Shemar Stewart,LEDGE,DE,94,3,1313380200,553388507,MEGA,Bengals,2026-04-16 20:25:02.577642,False,False,2858,False,,False,False,24,12,11,2003,Texas A&M,17,1,Shemar,Shemar Stewart,Shemar Stewart,7721,77,8,Miami,0,97,True,False,False,False,97,Stewart,2705,10742,15201,94,94,0,2025,0,0,94,267,3,4720000,2750000,1970000,7880000,4,6820000,1,0,0,0,0,94,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Momentum Shift', 'startActivated': False, 'signatureLogoId': 1100, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Momentum Shift players demoralize their opponents. When they enter the zone, all on field opponents are knocked out of the zone or lose any progress towards entering the zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Instant Rebate', 'startActivated': False, 'signatureLogoId': 1329, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are refunded stamina when they successfully shed blocks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,86,88,50,88,93,86,88,87,88,85,23,45,45,45,45,45,45,12,5,6,24,7,6,19,13,6,31,30,40,42,21,42,20,40,37,34,74,15,7,8,15,21,93,91,91,17,90,97,29,96,88,24,20,21,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313381674,Roquan Smith,MIKE,LB,93,3,1313381674,553388449,MEGA,Bengals,2026-04-16 20:25:02.577179,False,False,871,False,,False,False,31,8,4,1997,Georgia,8,1,Roquan,Roquan Smith,Roquan Smith,31350,73,9,Montezuma,0,97,True,False,False,False,0,Smith,10295,9061,13082,93,93,24,2020,12,0,93,232,10,26000000,12300000,41100000,41100000,4,50410000,3,0,0,0,0,93,85,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tackle Supreme', 'startActivated': False, 'signatureLogoId': 1200, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have better conservative/dive tackling, are rarely faked out by ballcarrier moves, and cannot be faked out when user-controlled.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deflator', 'startActivated': False, 'signatureLogoId': 1382, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause increased fatigue penalties when tackling a ballcarrier with a non-conservative tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,85,92,50,95,81,85,98,79,95,87,22,45,45,45,45,45,45,12,6,8,25,10,13,25,10,10,41,36,72,54,40,47,10,31,35,39,82,22,11,12,13,39,58,89,80,76,93,68,56,96,97,76,22,14,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380184,Trey Hendrickson,REDGE,DE,91,3,1313380184,553387111,MEGA,Bengals,2026-04-16 20:25:02.567273,False,False,258,False,,False,False,33,5,12,1994,FAU,39,3,Trey,Trey Hendrickson,Trey Hendrickson,26221,76,8,Apopka,0,97,True,False,False,False,91,Hendrickson,12148,8581,12692,91,91,0,2019,11,0,91,270,11,34250000,18550000,15700000,59760000,4,58800000,1,0,0,0,0,91,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stuffer', 'startActivated': False, 'signatureLogoId': 1220, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Run Stuffers can singlehandedly disrupt an offense. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one run blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make tackles for loss', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Committed', 'startActivated': False, 'signatureLogoId': 1381, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will win pass blocks when they correctly use the Guess Play adjustment to predict a pass. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,81,95,50,91,81,84,88,80,84,83,18,45,44,45,45,45,45,12,6,6,21,6,6,23,14,6,45,28,44,41,30,39,10,28,42,43,65,16,6,10,17,27,96,90,89,36,95,92,37,95,87,41,17,17,0,3,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380219,Cam Taylor-Britt,CB,CB,87,2,1313380219,553388589,MEGA,Bengals,2026-04-16 20:25:02.579898,False,False,540,False,,False,False,28,15,10,1999,Nebraska,28,2,Cam,Cam Taylor-Britt,Cam TaylorBritt,7594,71,0,Montgomery,0,97,True,False,False,False,29,Taylor-Britt,2394,1964,22220,87,87,24,2024,11,0,85,202,6,10750000,4650000,12200000,24780000,5,21250000,2,0,0,0,0,85,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,86,85,50,90,81,93,91,64,83,55,18,34,33,33,34,33,34,48,41,44,26,46,42,48,32,35,60,52,78,64,50,73,55,65,28,33,85,29,24,27,32,77,46,72,56,83,87,39,83,73,82,86,15,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380768,Da'Ron Payne,DT,DT,86,1,1313380768,553388055,MEGA,Bengals,2026-04-16 20:25:02.575230,False,False,233,False,,False,False,31,27,5,1997,Alabama,13,1,Da'Ron,Da'Ron Payne,DaRon Payne,15454,75,0,Birmingham,0,97,True,False,False,False,96,Payne,4037,9016,13104,86,86,0,2020,15,0,86,320,10,25530000,13030000,12500000,25000000,2,24600000,1,0,0,0,0,86,86,0,99,[],[],81,63,84,50,97,71,77,83,95,92,90,34,45,45,45,45,45,45,12,6,6,19,6,6,26,17,6,37,32,46,46,23,27,10,23,39,43,55,25,3,7,15,20,73,81,89,23,86,78,13,83,85,29,14,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380227,DJ Turner II,CB,CB,86,1,1313380227,553388703,MEGA,Bengals,2026-04-16 20:25:02.581479,False,False,561,False,,False,False,27,9,11,2000,Michigan,29,2,DJ,DJ Turner II,DJ Turner II,3011,72,9,Suwanee,0,97,True,False,False,False,20,Turner II,1106,2438,23031,86,86,24,2022,11,0,86,180,5,11750000,4450000,29200000,36870000,6,27590000,4,0,0,0,0,86,92,0,98,[],[],97,92,77,50,88,91,96,90,43,83,33,15,35,35,35,35,35,35,15,10,15,26,22,11,27,10,15,65,60,69,53,48,77,65,65,25,28,93,27,11,16,22,65,35,44,40,87,80,25,72,65,65,87,15,18,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380201,Demetrius Knight Jr.,SAM,LB,86,2,1313380201,553387488,MEGA,Bengals,2026-04-16 20:25:02.570056,False,False,546,False,,False,False,28,4,1,2000,South Carolina,17,2,Demetrius,Demetrius Knight Jr.,Demetrius Knight Jr,6250,74,9,Locust Grove,0,97,True,False,False,False,44,Knight Jr.,195,10627,15245,86,86,0,2025,0,0,86,235,3,2330000,1700000,630000,2520000,4,4810000,1,0,0,0,0,86,82,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Demoralizer', 'startActivated': False, 'signatureLogoId': 1387, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability will clear a ballcarrier's progress towards entering the zone with a hit-stick tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,80,82,50,90,77,86,89,72,90,76,24,45,45,45,45,45,45,38,25,28,22,31,36,35,25,22,51,37,65,63,57,55,10,51,45,43,75,32,26,31,34,59,65,86,89,62,80,62,47,88,93,78,20,22,0,2,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380211,Geno Stone,FS,S,84,1,1313380211,553388522,MEGA,Bengals,2026-04-16 20:25:02.578021,False,False,348,False,,False,False,29,19,4,1999,Iowa,5,7,Geno,Geno Stone,Geno Stone,3243,70,37,New Castle,0,97,True,False,False,False,22,Stone,1129,590,21018,84,84,0,2022,12,0,84,209,8,6240000,2540000,3700000,14100000,4,10000000,1,0,0,0,0,84,83,0,75,[],[],89,86,87,50,88,82,87,91,58,89,55,14,35,35,12,35,35,16,26,21,25,30,29,33,42,26,20,65,49,82,65,48,67,55,62,55,48,84,34,11,15,30,63,37,86,56,67,88,32,60,79,80,85,22,17,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380226,Jordan Battle,SS,S,84,1,1313380226,553386157,MEGA,Bengals,2026-04-16 20:25:02.561826,False,False,483,False,,False,False,27,14,12,2000,Alabama,32,3,Jordan,Jordan Battle,Jordan Battle,2017,73,8,Fort Lauderdale,0,97,True,False,False,False,27,Battle,603,1298,23025,84,84,24,2022,11,0,84,206,5,6940000,2940000,16000000,20220000,6,18470000,4,0,0,0,0,84,81,0,94,[],[],92,77,81,50,93,75,88,90,63,91,64,23,35,35,25,35,35,35,19,14,21,22,27,22,34,10,6,81,70,73,65,60,70,70,64,50,47,79,35,25,33,38,71,40,85,67,69,85,34,70,87,86,84,15,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,Bengals,1313380220,Dax Hill,CB,CB,83,1,1313380220,553387145,MEGA,Bengals,2026-04-16 20:25:02.568061,False,False,402,False,,False,False,27,29,9,2000,Michigan,31,1,Dax,Dax Hill,Dax Hill,1800,72,35,Tulsa,0,97,True,False,False,False,23,Hill,561,1766,22263,83,83,24,2024,12,0,83,191,6,10370000,3530000,20520000,35620000,7,25690000,4,0,0,0,0,83,91,0,98,[],[],94,96,80,50,92,89,93,88,56,87,56,15,35,35,35,35,35,35,21,8,10,20,12,19,22,12,6,65,55,71,63,60,73,40,64,35,45,92,30,27,30,33,66,53,78,52,81,76,40,79,75,70,81,15,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
