team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
CLE,Browns,1313380378,Myles Garrett,REDGE,DE,98,3,1313380378,553386889,MEGA,Browns,2026-04-16 20:25:01.221554,False,False,1414,False,,False,False,32,29,12,1995,Texas A&M,1,1,Myles,Myles Garrett,Myles Garrett,39850,76,42,Arlington,0,97,True,False,False,False,95,Garrett,15655,8560,12520,98,98,24,2019,11,0,96,272,11,29490000,21400000,12390000,69110000,6,155450000,3,0,0,0,0,96,90,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unstoppable Force', 'startActivated': False, 'signatureLogoId': 1102, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Elite pass rushers are a mix of strength, speed, and tenacity. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one pass blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'El Toro', 'startActivated': False, 'signatureLogoId': 1324, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a chance to receive dominant bull rush wins when their stamina is full. This consumes additional stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Under Pressure', 'startActivated': False, 'signatureLogoId': 1204, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can apply pressure to the quarterback from a greater distance.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,86,97,50,92,94,87,89,96,87,90,17,45,45,45,45,45,45,12,27,30,20,31,23,55,16,10,39,34,52,55,21,36,10,40,48,36,71,31,4,8,15,25,94,84,96,51,94,96,44,96,92,51,20,20,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380390,Quinshon Judkins,HB,RB,92,1,1313380390,553387429,MEGA,Browns,2026-04-16 20:25:01.225058,False,False,2029,False,,False,False,24,29,10,2003,Ohio State,4,2,Quinshon,Quinshon Judkins,Quinshon Judkins,8739,72,0,Pike Road,0,97,True,False,False,False,10,Judkins,1092,10618,14811,92,92,0,2025,0,0,92,221,3,2910000,1950000,960000,3840000,4,5310000,1,0,0,0,0,92,90,0,85,[],[],92,85,91,50,91,92,91,91,77,92,43,37,38,40,52,29,31,39,20,14,27,66,27,7,29,24,19,93,90,73,95,55,94,45,91,84,86,88,58,47,55,66,47,28,36,36,25,35,27,25,40,39,35,22,22,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313381962,Nico Collins,WR,WR,92,1,1313381962,553386488,MEGA,Browns,2026-04-16 20:25:01.217015,False,False,676,False,,False,False,29,19,3,1999,Michigan,26,3,Nico,Nico Collins,Nico Collins,28966,76,0,Birmingham,0,97,True,False,False,False,80,Collins,854,1148,21587,92,92,0,2023,6,0,88,215,7,29000000,15800000,13200000,13200000,1,15800000,1,0,0,0,0,88,90,0,96,[],[],92,89,94,50,90,93,94,86,67,83,46,28,27,30,35,29,33,49,28,20,25,22,30,33,39,26,25,90,87,97,77,90,84,40,76,73,64,82,93,91,91,86,91,10,20,30,13,16,10,19,32,26,19,15,22,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380383,Denzel Ward,CB,CB,91,3,1313380383,553388787,MEGA,Browns,2026-04-16 20:25:01.234130,False,False,690,False,,False,False,31,28,4,1997,Ohio State,4,1,Denzel,Denzel Ward,Denzel Ward,21657,71,34,Macedonia,0,97,True,False,False,False,21,Ward,5289,9100,13101,91,91,24,2020,12,0,91,190,10,19400000,6700000,38100000,40940000,4,47580000,3,0,0,0,0,91,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Zone Hawk', 'startActivated': False, 'signatureLogoId': 1178, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Zone Hawk defenders lock down a part of the field. When they enter the zone, this ability increases the rate of interceptions while in zone coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Route KO', 'startActivated': False, 'signatureLogoId': 1321, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus deep routes 20+ yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,94,90,50,88,92,93,92,61,86,51,17,35,35,35,35,35,35,18,8,10,32,15,6,31,15,6,66,60,78,66,48,80,67,66,28,19,95,26,20,26,30,66,33,72,50,92,89,26,88,72,54,91,13,18,0,3,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1388353334,Jordan Durham,WR,WR,90,2,1388353334,553388721,MEGA,Browns,2026-04-16 20:25:01.233341,False,False,1712,False,,False,False,24,14,2,1964,Washington State,10,1,Jordan,Jordan Durham,Jordan Durham,7931,76,9,PLACEHOLDER,0,97,True,False,False,False,18,Durham,440,10329,2408,90,90,22,2026,0,0,87,227,2,6800000,2800000,8000000,16000000,4,10600000,2,0,0,0,0,87,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Runoff Elite', 'startActivated': False, 'signatureLogoId': 1392, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will distract defenders for longer with their runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,90,86,50,31,91,94,98,76,84,60,42,38,30,34,40,36,53,30,31,24,21,30,26,18,37,41,83,86,95,80,87,85,69,84,82,72,93,93,87,92,89,96,25,29,37,33,32,29,45,32,31,48,27,45,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380396,Mason Graham,DT,DT,89,1,1313380396,553386952,MEGA,Browns,2026-04-16 20:25:01.222869,False,False,1291,False,,False,False,24,2,9,2003,Michigan,5,1,Mason,Mason Graham,Mason Graham,5417,76,4,Mission Viejo,0,97,True,False,False,False,94,Graham,239,10564,15237,89,89,0,2025,0,0,89,306,3,13000000,500000,12500000,38850000,4,2000000,1,0,0,0,0,89,86,0,99,[],[],87,74,85,50,92,71,78,80,91,94,88,31,45,45,45,45,45,45,18,7,8,30,10,11,24,14,15,28,30,28,38,20,24,31,20,36,31,65,28,18,18,18,20,71,79,93,17,82,83,17,83,92,24,18,30,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380391,Mike Hall Jr,LEDGE,DE,88,1,1313380391,553387001,MEGA,Browns,2026-04-16 20:25:01.223296,False,False,876,False,,False,False,25,13,6,2003,Ohio State,22,2,Mike,Mike Hall Jr,Mike Hall Jr,7335,74,34,Streetsboro,0,97,True,False,False,False,51,Hall Jr,580,10095,14865,88,88,24,2023,0,0,86,300,4,14460000,6560000,31600000,32100000,5,33200000,4,0,0,0,0,86,80,0,75,[],[],85,67,86,50,88,80,81,77,80,87,83,18,45,45,45,45,45,45,12,6,6,30,6,6,30,17,6,33,24,33,36,28,34,10,34,46,49,58,12,3,5,10,27,92,90,96,21,87,92,13,87,92,27,12,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380405,Jeremiah Owusu-Koramoah,WILL,LB,88,1,1313380405,553388024,MEGA,Browns,2026-04-16 20:25:01.229822,False,False,626,False,,False,False,28,4,11,1999,Notre Dame,20,2,Jeremiah,Jeremiah Owusu-Koramoah,Jeremiah OwusuKoramoah,5491,74,45,Hampton,0,97,True,False,False,False,6,Owusu-Koramoah,1752,1060,21500,88,88,24,2023,20,0,88,221,7,13350000,3780000,38280000,39670000,5,26290000,4,0,0,0,0,88,84,0,99,[],[],91,88,88,50,88,87,88,88,65,88,76,18,45,45,45,45,45,45,41,30,36,26,40,47,43,32,29,61,48,72,57,53,55,35,53,40,38,79,31,23,29,34,56,65,85,70,73,87,51,48,93,90,81,17,18,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1313380359,Braden Fiske,DT,DT,87,2,1313380359,553386805,MEGA,Browns,2026-04-16 20:25:01.220240,False,False,427,False,,False,False,28,18,1,2000,Florida State,7,2,Braden,Braden Fiske,Braden Fiske,12031,77,13,Michigan City,0,97,True,False,False,False,55,Fiske,1382,10072,14855,87,87,0,2023,0,0,87,297,4,28000000,14000000,14000000,14000000,1,14000000,1,0,0,0,0,87,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unpredictable', 'startActivated': False, 'signatureLogoId': 1355, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability are less likely to increase their blocker's resistance bars when performing shed wins"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,67,90,50,89,81,80,83,93,89,83,12,45,45,45,45,44,45,12,6,6,20,6,6,22,14,6,50,40,45,33,17,51,9,39,41,49,69,17,3,7,14,17,77,81,87,39,90,81,22,81,89,51,19,20,0,2,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,Browns,1388353339,Phillip McQueen,LG,OL,87,1,1388353339,553386945,MEGA,Browns,2026-04-16 20:25:01.222416,False,False,1593,False,,False,False,23,1,12,2015,Florida,10,3,Phillip,Phillip McQueen,Phillip McQueen,3743,76,15,PLACEHOLDER,0,97,True,False,False,False,58,McQueen,227,3854,2221,87,87,24,2026,5,0,87,318,2,1670000,1310000,720000,1440000,4,5120000,2,0,0,0,0,87,90,0,99,[],[],82,71,87,50,93,81,69,97,91,86,95,90,83,73,92,89,78,93,34,11,16,25,12,26,20,35,37,28,33,38,54,37,34,40,34,34,42,57,49,30,24,39,35,29,46,38,43,31,30,35,41,29,43,42,28,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
