team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DAL,Cowboys,1313380845,CeeDee Lamb,WR,WR,97,1,1313380845,553387519,MEGA,Cowboys,2026-04-16 20:25:08.854979,True,False,1385,False,,False,False,29,8,4,1999,Oklahoma,17,1,CeeDee,CeeDee Lamb,CeeDee Lamb,19121,74,42,Richmond,0,97,True,False,False,False,88,Lamb,6462,418,20932,97,97,0,2022,6,0,95,200,8,42700000,7790000,34910000,114440000,5,11210000,1,0,0,0,0,95,90,0,80,[],[],91,94,97,50,93,97,90,93,70,91,46,33,25,27,39,22,27,54,35,21,26,30,31,32,37,25,21,97,86,97,77,95,95,80,87,81,71,93,98,97,95,96,98,10,29,30,18,16,10,17,31,38,25,33,48,0,1,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353734,Jonathan Elias,FS,S,92,2,1388353734,553388237,MEGA,Cowboys,2026-04-16 20:25:08.857359,False,False,1918,False,,False,False,24,24,11,2001,Alabama,3,1,Jonathan,Jonathan Elias,Jonathan Elias,10471,69,28,PLACEHOLDER,0,97,True,False,False,False,28,Elias,499,10323,2318,92,92,22,2026,6,0,92,207,2,11500000,4130000,14740000,29480000,4,15560000,2,0,0,0,0,92,87,0,75,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Out My Way', 'startActivated': False, 'signatureLogoId': 1301, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently attempt and win impact blocks against receivers, tight ends, and running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,94,82,50,90,84,94,80,64,81,58,31,32,39,27,30,37,45,27,20,36,18,26,10,12,38,27,80,24,73,72,46,58,53,66,45,39,83,47,26,37,42,39,32,76,51,74,87,44,70,89,84,95,42,41,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353735,Jordan Carvajal,SS,S,91,1,1388353735,553388064,MEGA,Cowboys,2026-04-16 20:25:08.856415,False,False,1700,False,,False,False,24,9,14,1992,Oregon,4,1,Jordan,Jordan Carvajal,Jordan Carvajal,3428,71,26,PLACEHOLDER,0,97,True,False,False,False,22,Carvajal,732,3945,2324,91,91,22,2026,10,0,91,197,2,11140000,4050000,14180000,28360000,4,15240000,2,0,0,0,0,91,88,0,90,[],[],94,92,85,50,87,91,93,79,66,83,56,39,37,36,27,41,43,29,27,13,16,26,16,18,26,41,34,83,40,72,70,27,58,65,66,41,39,87,44,45,38,29,46,28,80,59,70,86,34,64,87,81,92,24,26,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380867,Brandon Aubrey,K,K,90,2,1313380867,553386084,MEGA,Cowboys,2026-04-16 20:25:08.847541,False,False,0,False,,False,False,33,14,3,1995,Notre Dame,-1,63,Brandon,Brandon Aubrey,Brandon Aubrey,60669,75,24,St. Louis,0,97,True,False,False,False,17,Aubrey,2214,10362,23329,90,90,24,2024,2,0,90,200,6,6470000,950000,16560000,27600000,7,7630000,4,0,0,0,0,90,99,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Zen Kicker', 'startActivated': False, 'signatureLogoId': 1211, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Kickers with this ability experience a slower kicking meter for better power and accuracy on kicks over 45 yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Focused Kicker', 'startActivated': False, 'signatureLogoId': 1211, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Kickers with this ability experience a slower kicking meter for better power and accuracy on kicks up to 45 yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Precision Kicker', 'startActivated': False, 'signatureLogoId': 1391, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Kickers with this ability can see the entirety of the kicking arc', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",77,74,78,50,88,72,82,82,49,76,21,17,13,14,17,12,12,15,15,21,26,33,31,21,37,16,15,31,15,30,28,15,34,10,30,10,10,62,15,12,14,15,15,10,29,15,15,13,10,10,40,28,18,98,99,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380861,DaRon Bland,CB,CB,89,1,1313380861,553386212,MEGA,Cowboys,2026-04-16 20:25:08.848118,False,False,543,False,,False,False,29,12,7,1999,Fresno State,24,5,DaRon,DaRon Bland,DaRon Bland,19419,72,4,Modesto,0,97,True,False,False,False,26,Bland,1128,2689,22485,89,89,24,2024,20,0,89,197,6,15980000,1170000,29620000,56240000,5,39170000,2,0,0,0,0,89,87,0,98,[],[],92,84,87,50,91,86,90,91,60,86,58,15,35,35,35,35,35,35,16,6,6,19,6,6,22,10,6,81,62,85,58,54,82,40,69,36,26,86,15,10,11,15,59,40,57,54,88,90,33,86,75,69,97,19,18,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380860,Tyler Smith,LT,OL,89,1,1313380860,553388458,MEGA,Cowboys,2026-04-16 20:25:08.859540,False,False,689,False,,False,False,27,3,4,2001,Tulsa,24,1,Tyler,Tyler Smith,Tyler Smith,11876,78,42,Fort Worth,0,97,True,False,False,False,73,Smith,1290,1946,22445,89,89,24,2024,3,0,86,332,6,19560000,6360000,52800000,86770000,7,48500000,5,0,0,0,0,86,93,0,99,[],[],80,59,88,50,94,69,72,90,97,89,94,89,86,91,89,87,89,88,10,6,6,30,6,8,24,6,6,15,9,35,39,15,10,10,10,30,25,59,12,5,10,15,15,10,32,20,10,20,10,10,25,30,12,18,20,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380869,James Williams Sr,WILL,LB,88,2,1313380869,553388884,MEGA,Cowboys,2026-04-16 20:25:08.861888,False,False,927,False,,False,False,25,15,2,2003,Miami,22,7,James,James Williams Sr,James Williams Sr,1193,76,8,Fort Lauderdale,0,97,True,False,False,False,42,Williams Sr,479,10299,14959,88,88,24,2023,0,0,88,231,4,11070000,2670000,42000000,42000000,7,25010000,6,0,0,0,0,88,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,79,86,50,89,74,84,81,71,87,67,34,35,35,35,35,35,35,39,24,27,25,34,29,35,14,15,67,62,69,65,65,66,50,63,68,65,73,42,23,28,33,71,47,88,57,88,87,54,81,88,80,93,14,15,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353736,Dennis Burnett,WR,WR,87,3,1388353736,553389108,MEGA,Cowboys,2026-04-16 20:25:08.862608,False,False,867,False,,False,False,25,27,9,2034,Georgia,21,1,Dennis,Dennis Burnett,Dennis Burnett,3865,77,0,PLACEHOLDER,0,97,True,False,False,False,82,Burnett,128,4067,2414,87,87,22,2026,4,0,80,230,2,4600000,2180000,4840000,9680000,4,8280000,2,0,0,0,0,80,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 10+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bruiser', 'startActivated': False, 'signatureLogoId': 1122, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck and stiff arm animations and a larger timing window for perfect attempts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,87,84,50,77,95,90,83,71,82,58,35,28,37,34,28,33,50,30,34,37,33,31,25,14,25,39,72,87,92,73,91,79,69,78,78,58,84,90,78,89,87,94,40,31,45,38,29,25,33,30,43,26,46,43,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353737,Cameron Yancey,HB,RB,87,2,1388353737,553388521,MEGA,Cowboys,2026-04-16 20:25:08.860266,False,False,842,False,,False,False,25,9,14,2012,Texas Tech,22,2,Cameron,Cameron Yancey,Cameron Yancey,4231,70,24,PLACEHOLDER,0,97,True,False,False,False,24,Yancey,3079,3842,2163,87,87,24,2026,0,0,85,232,2,2040000,1420000,1240000,2480000,4,5520000,2,0,0,0,0,85,89,0,73,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,90,81,50,79,78,91,92,84,82,25,27,34,39,63,32,34,24,31,32,27,29,37,26,38,33,38,88,94,82,95,62,86,53,81,87,88,83,46,47,53,69,53,30,33,36,31,31,46,35,29,29,40,44,42,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313381479,Carlton Davis III,CB,CB,85,1,1313381479,553386576,MEGA,Cowboys,2026-04-16 20:25:08.851316,False,False,264,False,,False,False,31,31,12,1996,Auburn,31,2,Carlton,Carlton Davis III,Carlton Davis III,18153,73,8,Miami,0,97,True,False,False,False,7,Davis III,3128,8864,13171,85,85,0,2020,11,0,85,206,10,11600000,5000000,6600000,6600000,1,5000000,1,0,0,0,0,85,86,0,97,[],[],90,81,89,50,86,82,90,89,65,88,55,19,35,35,35,35,35,35,15,6,6,30,6,6,26,13,6,56,48,72,65,62,67,40,58,27,29,81,23,10,15,20,64,35,68,52,87,89,24,93,75,66,89,15,19,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
