team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DAL,Cowboys,1388353734,Jonathan Elias,FS,S,92,2,1388353734,553388237,MEGA,Cowboys,2026-04-16 20:25:08.857359,False,False,1918,False,,False,False,24,24,11,2001,Alabama,3,1,Jonathan,Jonathan Elias,Jonathan Elias,10471,69,28,PLACEHOLDER,0,97,True,False,False,False,28,Elias,499,10323,2318,92,92,22,2026,6,0,92,207,2,11500000,4130000,14740000,29480000,4,15560000,2,0,0,0,0,92,87,0,75,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Out My Way', 'startActivated': False, 'signatureLogoId': 1301, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently attempt and win impact blocks against receivers, tight ends, and running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,94,82,50,90,84,94,80,64,81,58,31,32,39,27,30,37,45,27,20,36,18,26,10,12,38,27,80,24,73,72,46,58,53,66,45,39,83,47,26,37,42,39,32,76,51,74,87,44,70,89,84,95,42,41,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353735,Jordan Carvajal,SS,S,91,1,1388353735,553388064,MEGA,Cowboys,2026-04-16 20:25:08.856415,False,False,1700,False,,False,False,24,9,14,1992,Oregon,4,1,Jordan,Jordan Carvajal,Jordan Carvajal,3428,71,26,PLACEHOLDER,0,97,True,False,False,False,22,Carvajal,732,3945,2324,91,91,22,2026,10,0,91,197,2,11140000,4050000,14180000,28360000,4,15240000,2,0,0,0,0,91,88,0,90,[],[],94,92,85,50,87,91,93,79,66,83,56,39,37,36,27,41,43,29,27,13,16,26,16,18,26,41,34,83,40,72,70,27,58,65,66,41,39,87,44,45,38,29,46,28,80,59,70,86,34,64,87,81,92,24,26,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380861,DaRon Bland,CB,CB,89,1,1313380861,553386212,MEGA,Cowboys,2026-04-16 20:25:08.848118,False,False,543,False,,False,False,29,12,7,1999,Fresno State,24,5,DaRon,DaRon Bland,DaRon Bland,19419,72,4,Modesto,0,97,True,False,False,False,26,Bland,1128,2689,22485,89,89,24,2024,20,0,89,197,6,15980000,1170000,29620000,56240000,5,39170000,2,0,0,0,0,89,87,0,98,[],[],92,84,87,50,91,86,90,91,60,86,58,15,35,35,35,35,35,35,16,6,6,19,6,6,22,10,6,81,62,85,58,54,82,40,69,36,26,86,15,10,11,15,59,40,57,54,88,90,33,86,75,69,97,19,18,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380869,James Williams Sr,WILL,LB,88,2,1313380869,553388884,MEGA,Cowboys,2026-04-16 20:25:08.861888,False,False,927,False,,False,False,25,15,2,2003,Miami,22,7,James,James Williams Sr,James Williams Sr,1193,76,8,Fort Lauderdale,0,97,True,False,False,False,42,Williams Sr,479,10299,14959,88,88,24,2023,0,0,88,231,4,11070000,2670000,42000000,42000000,7,25010000,6,0,0,0,0,88,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,79,86,50,89,74,84,81,71,87,67,34,35,35,35,35,35,35,39,24,27,25,34,29,35,14,15,67,62,69,65,65,66,50,63,68,65,73,42,23,28,33,71,47,88,57,88,87,54,81,88,80,93,14,15,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313381479,Carlton Davis III,CB,CB,85,1,1313381479,553386576,MEGA,Cowboys,2026-04-16 20:25:08.851316,False,False,264,False,,False,False,31,31,12,1996,Auburn,31,2,Carlton,Carlton Davis III,Carlton Davis III,18153,73,8,Miami,0,97,True,False,False,False,7,Davis III,3128,8864,13171,85,85,0,2020,11,0,85,206,10,11600000,5000000,6600000,6600000,1,5000000,1,0,0,0,0,85,86,0,97,[],[],90,81,89,50,86,82,90,89,65,88,55,19,35,35,35,35,35,35,15,6,6,30,6,6,26,13,6,56,48,72,65,62,67,40,58,27,29,81,23,10,15,20,64,35,68,52,87,89,24,93,75,66,89,15,19,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313382195,Tony Ventura,DT,DT,85,3,1313382195,553386891,MEGA,Cowboys,2026-04-16 20:25:08.852676,False,False,979,False,,False,False,24,28,10,2060,Arizona State,7,1,Tony,Tony Ventura,Tony Ventura,3496,73,25,PLACEHOLDER,0,97,True,False,False,False,68,Ventura,31,3938,2538,85,85,24,2027,6,0,85,298,1,7720000,2770000,14850000,19800000,4,12080000,3,0,0,0,0,85,88,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stuffer', 'startActivated': False, 'signatureLogoId': 1220, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Run Stuffers can singlehandedly disrupt an offense. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one run blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make tackles for loss', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spinner', 'startActivated': False, 'signatureLogoId': 1349, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting spin pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,81,81,50,94,83,80,72,93,86,78,44,42,44,24,40,45,25,40,19,14,32,15,37,17,40,33,38,47,48,51,43,34,48,38,45,44,76,41,31,38,28,27,82,81,78,26,83,88,45,88,86,43,45,31,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313382066,Dallas Turner,REDGE,DE,85,1,1313382066,553388706,MEGA,Cowboys,2026-04-16 20:25:08.861141,False,False,516,False,,False,False,25,2,2,2003,Alabama,17,1,Dallas,Dallas Turner,Dallas Turner,4531,75,8,Fort Lauderdale,0,97,True,False,False,False,15,Turner,48,10273,14894,85,85,0,2023,0,0,85,247,4,24700000,11100000,13600000,13600000,1,11100000,1,0,0,0,0,85,88,0,98,[],[],92,84,71,50,90,94,90,84,76,85,81,21,45,45,45,45,45,45,12,6,6,20,6,6,18,13,6,32,29,45,35,10,36,10,30,25,35,69,18,4,8,15,15,89,83,95,49,71,91,29,91,88,54,15,14,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380841,Shavon Revel Jr.,CB,CB,84,2,1313380841,553388199,MEGA,Cowboys,2026-04-16 20:25:08.856686,False,False,507,False,,False,False,27,8,4,2001,East Carolina,12,3,Shavon,Shavon Revel Jr.,Shavon Revel Jr,7651,74,32,Winston-Salem,0,97,True,False,False,False,34,Revel Jr.,1306,10705,15282,84,84,0,2025,0,0,81,202,3,1770000,1510000,260000,1040000,4,4310000,1,0,0,0,0,81,91,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,90,67,50,80,92,93,82,66,77,59,23,35,25,35,35,25,35,13,6,6,9,6,6,29,10,6,77,49,72,58,67,78,77,70,40,34,88,26,19,22,25,71,34,70,56,86,78,33,84,79,77,83,24,25,0,2,0,0,0,0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313381617,Omar Speights,SAM,LB,84,2,1313381617,553388482,MEGA,Cowboys,2026-04-16 20:25:08.860029,False,False,405,False,,False,False,27,2,3,2001,LSU,-1,63,Omar,Omar Speights,Omar Speights,8045,73,37,Philadelphia,0,97,True,False,False,False,48,Speights,1323,10959,14917,84,84,0,2023,0,0,84,225,4,7210000,3710000,3500000,7000000,2,7000000,1,0,0,0,0,84,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,81,83,50,88,77,84,86,78,78,72,35,23,21,35,20,21,35,34,5,10,49,15,20,29,11,15,68,63,50,50,46,63,11,60,61,60,79,21,5,5,15,41,49,83,69,79,81,47,57,87,87,82,12,24,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313382647,Deionte Galloway,REDGE,DE,83,1,1313382647,553388252,MEGA,Cowboys,2026-04-16 20:25:08.857650,False,False,847,False,,False,False,24,15,14,1997,Ohio State,31,2,Deionte,Deionte Galloway,Deionte Galloway,6942,77,36,PLACEHOLDER,0,97,True,False,False,False,90,Galloway,197,3611,2503,83,83,24,2027,6,0,83,254,1,1750000,1280000,1410000,1880000,4,5320000,3,0,0,0,0,83,84,0,99,[],[],88,81,83,50,94,79,84,77,81,82,77,33,30,33,38,42,42,32,44,17,13,22,34,21,23,39,31,40,35,25,59,36,34,46,46,32,43,74,45,40,24,37,48,86,78,82,47,77,78,31,85,87,53,29,33,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
