team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DAL,Cowboys,1313380845,CeeDee Lamb,WR,WR,97,1,1313380845,553387519,MEGA,Cowboys,2026-04-16 20:25:08.854979,True,False,1385,False,,False,False,29,8,4,1999,Oklahoma,17,1,CeeDee,CeeDee Lamb,CeeDee Lamb,19121,74,42,Richmond,0,97,True,False,False,False,88,Lamb,6462,418,20932,97,97,0,2022,6,0,95,200,8,42700000,7790000,34910000,114440000,5,11210000,1,0,0,0,0,95,90,0,80,[],[],91,94,97,50,93,97,90,93,70,91,46,33,25,27,39,22,27,54,35,21,26,30,31,32,37,25,21,97,86,97,77,95,95,80,87,81,71,93,98,97,95,96,98,10,29,30,18,16,10,17,31,38,25,33,48,0,1,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380860,Tyler Smith,LT,OL,89,1,1313380860,553388458,MEGA,Cowboys,2026-04-16 20:25:08.859540,False,False,689,False,,False,False,27,3,4,2001,Tulsa,24,1,Tyler,Tyler Smith,Tyler Smith,11876,78,42,Fort Worth,0,97,True,False,False,False,73,Smith,1290,1946,22445,89,89,24,2024,3,0,86,332,6,19560000,6360000,52800000,86770000,7,48500000,5,0,0,0,0,86,93,0,99,[],[],80,59,88,50,94,69,72,90,97,89,94,89,86,91,89,87,89,88,10,6,6,30,6,8,24,6,6,15,9,35,39,15,10,10,10,30,25,59,12,5,10,15,15,10,32,20,10,20,10,10,25,30,12,18,20,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353736,Dennis Burnett,WR,WR,87,3,1388353736,553389108,MEGA,Cowboys,2026-04-16 20:25:08.862608,False,False,867,False,,False,False,25,27,9,2034,Georgia,21,1,Dennis,Dennis Burnett,Dennis Burnett,3865,77,0,PLACEHOLDER,0,97,True,False,False,False,82,Burnett,128,4067,2414,87,87,22,2026,4,0,80,230,2,4600000,2180000,4840000,9680000,4,8280000,2,0,0,0,0,80,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 10+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bruiser', 'startActivated': False, 'signatureLogoId': 1122, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck and stiff arm animations and a larger timing window for perfect attempts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,87,84,50,77,95,90,83,71,82,58,35,28,37,34,28,33,50,30,34,37,33,31,25,14,25,39,72,87,92,73,91,79,69,78,78,58,84,90,78,89,87,94,40,31,45,38,29,25,33,30,43,26,46,43,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1388353737,Cameron Yancey,HB,RB,87,2,1388353737,553388521,MEGA,Cowboys,2026-04-16 20:25:08.860266,False,False,842,False,,False,False,25,9,14,2012,Texas Tech,22,2,Cameron,Cameron Yancey,Cameron Yancey,4231,70,24,PLACEHOLDER,0,97,True,False,False,False,24,Yancey,3079,3842,2163,87,87,24,2026,0,0,85,232,2,2040000,1420000,1240000,2480000,4,5520000,2,0,0,0,0,85,89,0,73,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,90,81,50,79,78,91,92,84,82,25,27,34,39,63,32,34,24,31,32,27,29,37,26,38,33,38,88,94,82,95,62,86,53,81,87,88,83,46,47,53,69,53,30,33,36,31,31,46,35,29,29,40,44,42,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380853,Jake Ferguson,TE,TE,85,2,1313380853,553386794,MEGA,Cowboys,2026-04-16 20:25:08.851793,False,False,372,False,,False,False,29,18,1,1999,Wisconsin,24,4,Jake,Jake Ferguson,Jake Ferguson,6692,77,48,Madison,0,97,True,False,False,False,87,Ferguson,388,1577,22094,85,85,24,2024,5,0,85,255,6,10020000,7620000,4800000,20580000,5,32990000,2,0,0,0,0,85,78,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,81,80,50,92,93,81,85,69,84,67,61,63,57,63,65,61,68,21,14,20,29,25,14,30,10,20,82,76,91,74,86,75,10,66,75,75,73,76,67,72,82,84,24,35,36,14,36,31,12,40,37,21,19,21,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313382665,Dave Burrell,QB,QB,85,1,1313382665,553387997,MEGA,Cowboys,2026-04-16 20:25:08.856169,False,False,1458,False,,False,False,24,22,1,2062,Fresno State,1,2,Dave,Dave Burrell,Dave Burrell,2730,73,10,PLACEHOLDER,0,97,True,False,False,False,1,Burrell,393,3362,2424,85,85,24,2027,1,0,84,206,1,2850000,1550000,3900000,5200000,4,6600000,3,0,0,0,0,84,0,0,89,[],[],89,88,81,50,87,80,85,81,63,78,24,43,40,47,39,24,26,37,85,86,92,22,88,90,92,89,89,80,74,45,62,27,83,41,74,60,38,91,44,48,42,42,35,45,29,30,47,45,43,32,31,45,48,34,38,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380838,Tyler Booker,C,OL,84,1,1313380838,553386234,MEGA,Cowboys,2026-04-16 20:25:08.848599,False,False,781,False,,False,False,24,12,4,2004,Alabama,12,1,Tyler,Tyler Booker,Tyler Booker,7973,77,6,New Haven,0,97,True,False,False,False,52,Booker,679,10495,15162,84,84,24,2025,0,0,80,321,3,7170000,3910000,13950000,23730000,5,10600000,2,0,0,0,0,80,90,0,99,[],[],60,53,90,50,89,68,60,88,94,91,96,90,79,83,89,77,83,85,12,6,6,30,6,6,21,13,6,12,5,23,20,21,10,10,10,16,29,53,15,5,5,10,21,46,52,43,11,21,48,10,41,54,13,13,14,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313380829,Tyler Guyton,RG,OL,83,1,1313380829,553386991,MEGA,Cowboys,2026-04-16 20:25:08.852900,False,False,296,False,,False,False,26,11,6,2002,Oklahoma,29,1,Tyler,Tyler Guyton,Tyler Guyton,628,79,42,Manor,0,97,True,False,False,False,60,Guyton,991,10092,14701,83,83,0,2023,0,0,79,327,4,18350000,1100000,17250000,23170000,5,7430000,1,0,0,0,0,79,85,0,99,[],[],75,72,84,50,91,83,67,85,85,84,90,85,82,88,88,78,82,82,12,7,9,9,12,5,25,7,7,19,18,33,39,22,41,10,35,32,25,59,15,15,17,21,25,24,33,29,16,33,23,13,39,28,14,8,9,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313381733,Manuel Castillo,LG,OL,83,2,1313381733,553387420,MEGA,Cowboys,2026-04-16 20:25:08.854432,False,False,1255,False,,False,False,22,11,10,2000,Washington,18,1,Manuel,Manuel Castillo,Manuel Castillo,5516,75,44,PLACEHOLDER,0,97,True,False,False,False,77,Castillo,165,3937,2665,83,83,24,2027,4,0,83,325,1,4460000,1950000,7530000,10040000,4,8400000,3,0,0,0,0,83,90,0,92,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lifeguard', 'startActivated': False, 'signatureLogoId': 1330, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against swim/club pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",78,76,82,50,83,78,70,95,91,83,96,90,83,79,85,83,77,81,40,35,19,11,23,33,26,39,28,36,29,35,51,35,32,35,32,48,30,57,50,43,36,25,43,48,33,44,47,33,35,35,45,24,24,38,26,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAL,Cowboys,1313381680,Roger Rosengarten,RT,OL,83,0,1313381680,553388278,MEGA,Cowboys,2026-04-16 20:25:08.857961,False,False,234,False,,False,False,26,3,6,2002,Washington,30,2,Roger,Roger Rosengarten,Roger Rosengarten,9612,78,5,Highlands Ranch,0,97,True,False,False,False,70,Rosengarten,1163,10236,14733,83,83,0,2023,0,0,83,300,4,24600000,10100000,14500000,14500000,1,10100000,1,0,0,0,0,83,83,0,99,[],[],77,69,84,50,92,74,75,87,83,79,88,87,87,78,92,85,79,88,12,5,6,17,9,5,17,8,5,10,25,12,32,11,33,10,32,15,25,61,12,8,10,10,14,10,29,28,15,22,10,10,33,28,10,11,16,0,0,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
