team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DEN,Broncos,1313380328,Jahdae Barron,CB,CB,88,3,1313380328,553386138,MEGA,Broncos,2026-04-16 20:25:03.225639,False,False,783,False,,False,False,26,4,12,2001,Texas,20,1,Jahdae,Jahdae Barron,Jahdae Barron,3474,71,42,Austin,0,97,True,False,False,False,23,Barron,984,10485,15277,88,88,0,2025,0,0,86,194,3,4510000,2650000,1860000,7440000,4,6280000,1,0,0,0,0,86,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ironman', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability avoid any ratings penalties associated with playing outside of their primary position', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,88,84,50,89,86,93,93,54,91,44,18,35,25,25,35,25,25,9,6,6,33,6,6,24,8,6,75,48,76,62,63,76,55,69,37,32,91,34,31,30,33,69,45,47,50,91,87,27,86,76,66,88,15,18,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380332,Zach Allen,DT,DT,87,1,1313380332,553386038,MEGA,Broncos,2026-04-16 20:25:03.224798,True,False,301,False,,False,False,31,20,8,1997,Boston College,1,3,Zach,Zach Allen,Zach Allen,11919,77,6,New Canaan,0,97,True,False,False,False,99,Allen,611,9366,20419,87,87,24,2021,20,0,81,285,9,30120000,22500000,12420000,62000000,5,72000000,2,0,0,0,0,81,86,0,99,[],[],79,74,93,50,89,78,76,92,94,87,84,34,45,45,49,45,45,50,12,6,6,19,6,6,22,10,6,46,36,50,42,49,40,10,32,46,47,65,28,20,25,30,46,73,84,85,35,95,84,20,84,85,47,12,15,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381827,Tariq Woolen,CB,CB,87,2,1313381827,553388971,MEGA,Broncos,2026-04-16 20:25:03.245350,False,False,498,False,,False,False,29,2,5,1999,UTSA,10,5,Tariq,Tariq Woolen,Tariq Woolen,14326,76,42,Fort Worth,0,97,True,False,False,False,27,Woolen,2148,2054,22247,87,87,0,2024,0,0,87,210,6,7380000,7380000,0,0,4,24840000,1,0,0,0,0,87,91,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outside Shade', 'startActivated': False, 'signatureLogoId': 1398, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,87,84,50,89,94,95,92,60,75,53,15,35,35,35,35,35,35,16,6,10,31,15,17,27,9,6,62,53,82,62,62,71,45,63,33,39,84,44,40,42,44,71,34,61,50,80,83,29,86,71,60,89,18,24,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1388353274,Earl Little,DT,DT,84,1,1388353274,553386078,MEGA,Broncos,2026-04-16 20:25:03.225128,False,False,1132,False,,False,False,23,25,8,1977,Wisconsin,30,1,Earl,Earl Little,Earl Little,12,76,22,PLACEHOLDER,0,97,True,False,False,False,66,Little,55,4076,2134,84,84,22,2026,10,0,72,302,2,3900000,1970000,3860000,7720000,4,7520000,2,0,0,0,0,72,84,0,99,[],[],82,73,72,50,98,77,71,70,91,79,75,25,41,34,42,47,33,24,45,24,23,14,22,36,23,34,32,37,30,48,50,37,47,28,24,30,32,60,39,46,47,48,24,64,84,86,38,87,81,37,85,87,32,40,40,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381360,Rashan Gary,LEDGE,DE,83,1,1313381360,553386892,MEGA,Broncos,2026-04-16 20:25:03.232217,False,False,253,False,,False,False,30,3,12,1997,Michigan,12,1,Rashan,Rashan Gary,Rashan Gary,24948,77,29,Plainfield,0,97,True,False,False,False,92,Gary,3432,9467,20551,83,83,0,2021,20,0,79,277,9,11840000,5840000,6000000,12000000,2,11000000,1,0,0,0,0,79,85,0,99,[],[],88,78,87,50,90,89,85,82,83,84,86,15,45,45,45,45,45,45,12,6,6,19,6,6,23,14,6,27,20,30,32,18,33,10,24,30,24,71,14,6,10,14,16,69,79,83,39,84,82,30,87,89,49,10,10,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381696,Ar'Darius Washington,FS,S,83,0,1313381696,553388800,MEGA,Broncos,2026-04-16 20:25:03.243863,False,False,245,False,,False,False,28,2,11,1999,TCU,-1,63,Ar'Darius,Ar'Darius Washington,ArDarius Washington,11688,68,17,Shreveport,0,97,True,False,False,False,29,Washington,632,1082,21493,83,83,0,2023,20,0,81,176,7,8460000,3460000,5000000,15000000,3,9000000,1,0,0,0,0,81,78,0,50,[],[],87,81,86,50,85,89,84,86,57,85,52,10,35,35,35,35,35,35,15,15,20,25,24,21,27,10,15,67,50,71,59,63,73,40,68,33,30,84,12,15,25,30,71,30,74,48,79,87,25,62,85,73,86,11,10,0,0,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380352,Drew Sanders,SAM,LB,83,1,1313380352,553388318,MEGA,Broncos,2026-04-16 20:25:03.241619,True,False,513,False,,False,False,26,31,12,2001,Arkansas,4,3,Drew,Drew Sanders,Drew Sanders,1508,77,42,Dallas,0,97,True,False,False,False,41,Sanders,440,2382,22975,83,83,24,2022,20,0,83,233,5,1950000,1550000,1200000,1890000,5,7930000,3,0,0,0,0,83,83,0,99,[],[],91,81,80,50,88,88,84,89,72,84,85,34,35,35,35,40,40,40,52,40,45,10,51,47,52,33,44,53,52,64,67,58,51,10,43,51,51,74,12,4,8,10,59,71,85,85,75,83,73,69,87,88,66,15,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381209,Pete Polk,DT,DT,82,3,1313381209,553388822,MEGA,Broncos,2026-04-16 20:25:03.244609,False,False,1225,False,,False,False,22,10,1,2055,North Carolina,26,1,Pete,Pete Polk,Pete Polk,750,77,47,PLACEHOLDER,0,97,True,False,False,False,98,Polk,0,3915,2981,82,82,24,2028,6,0,82,296,0,3830000,1620000,8840000,8840000,4,7920000,4,0,0,0,0,82,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Blitz', 'startActivated': False, 'signatureLogoId': 1114, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Effective D-Line captains aren't just examples to follow, they are motivators. When they enter the zone, all opposing blockers have their resistance bars wiped out."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Make sacks or TFL's"", 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,80,84,50,95,75,85,84,87,83,84,47,41,24,35,45,32,46,31,30,16,15,33,20,13,43,31,47,36,32,51,46,44,40,25,36,25,77,40,26,48,31,34,86,95,77,38,79,79,43,80,82,48,33,24,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381520,Marte Mapu,WILL,LB,80,2,1313381520,553387652,MEGA,Broncos,2026-04-16 20:25:03.237844,False,False,341,False,,False,False,28,8,11,1999,Sacramento State,13,3,Marte,Marte Mapu,Marte Mapu,1960,75,4,Hawthorne,0,97,True,False,False,False,43,Mapu,593,4670,23262,80,80,24,2022,11,0,80,230,5,1690000,1690000,0,0,4,6550000,2,0,0,0,0,80,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,83,73,50,88,82,88,87,70,84,64,34,35,35,35,35,35,35,50,39,41,30,46,46,54,31,35,72,62,73,63,62,67,45,63,55,55,80,44,34,38,42,64,58,85,64,79,76,41,66,83,85,84,21,22,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1388353277,Jamal Rudd,CB,CB,79,0,1388353277,553388675,MEGA,Broncos,2026-04-16 20:25:03.243134,False,False,537,False,,False,False,24,1,10,1942,Stanford,23,4,Jamal,Jamal Rudd,Jamal Rudd,1790,70,4,PLACEHOLDER,0,97,True,False,False,False,7,Rudd,58,3884,2023,79,79,24,2026,6,0,75,210,2,1320000,1070000,500000,1000000,4,4200000,2,0,0,0,0,75,88,0,99,[],[],95,82,64,50,97,87,93,83,51,82,55,45,43,42,24,41,48,33,26,18,11,31,25,12,18,31,42,59,32,67,58,43,73,82,76,31,35,85,48,43,42,35,36,34,62,51,86,73,42,77,69,64,76,29,40,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
