team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DEN,Broncos,1313380361,Amon-Ra St. Brown,WR,WR,97,3,1313380361,553388490,MEGA,Broncos,2026-04-16 20:25:03.242367,True,False,1761,False,,False,False,28,24,10,1999,USC,7,4,Amon-Ra,Amon-Ra St. Brown,AmonRa St Brown,14486,72,4,Anaheim Hills,0,97,True,False,False,False,15,St. Brown,6226,1313,21606,97,97,0,2023,4,0,93,195,7,37710000,37710000,0,0,5,95020000,1,0,0,0,0,93,89,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Me', 'startActivated': False, 'signatureLogoId': 1103, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard catches', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Slot-O-Matic', 'startActivated': False, 'signatureLogoId': 1197, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When lined up in the slot, receivers with this ability make faster cuts and have better hands when catching passes less than 10 yards from the LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Out Elite', 'startActivated': False, 'signatureLogoId': 1334, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,92,98,50,90,91,90,93,67,85,48,26,23,27,30,28,36,47,27,25,34,30,40,35,48,32,24,95,80,99,81,95,90,74,81,62,58,88,95,94,97,97,93,10,23,33,12,19,10,20,36,34,19,14,20,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380324,RJ Harvey,HB,RB,91,3,1313380324,553387072,MEGA,Broncos,2026-04-16 20:25:03.234077,False,False,1135,False,,False,False,27,4,2,2001,UCF,28,2,RJ,RJ Harvey,RJ Harvey,7554,68,8,Orlando,0,97,True,False,False,False,12,Harvey,5465,10579,15037,91,91,0,2025,0,0,91,205,3,1980000,1600000,380000,1520000,4,4690000,1,0,0,0,0,91,92,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 10+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,85,83,50,85,88,92,88,73,81,36,32,38,39,45,25,28,37,49,48,50,30,54,54,68,43,45,94,83,78,92,66,96,79,97,78,81,88,65,50,54,76,59,29,34,35,26,36,27,25,42,39,28,26,21,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381362,Jordan Love,QB,QB,90,2,1313381362,553387611,MEGA,Broncos,2026-04-16 20:25:03.237457,False,False,1372,False,,False,False,29,2,11,1998,Utah State,26,1,Jordan,Jordan Love,Jordan Love,7397,76,4,Bakersfield,0,97,True,False,False,False,10,Love,3480,433,20915,90,90,0,2022,0,0,90,219,8,59200000,59200000,0,0,5,94900000,1,0,0,0,0,90,0,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Deadeye', 'startActivated': False, 'signatureLogoId': 1146, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws inside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Red Zone Deadeye', 'startActivated': False, 'signatureLogoId': 1179, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all unpressured throws inside the red zone (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,77,90,50,88,85,84,89,62,89,21,16,17,15,18,15,18,19,79,91,91,78,94,88,92,94,91,77,53,21,67,15,65,12,49,61,51,71,14,13,14,15,16,10,23,26,16,16,10,12,31,26,20,27,42,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313381359,Josh Jacobs,HB,RB,90,2,1313381359,553387286,MEGA,Broncos,2026-04-16 20:25:03.234445,False,False,602,False,,False,False,30,11,2,1998,Alabama,24,1,Josh,Josh Jacobs,Josh Jacobs,19541,70,35,Tulsa,0,97,True,False,False,False,31,Jacobs,5594,9520,20488,90,90,0,2021,4,0,88,220,9,9000000,3000000,6000000,6000000,1,3000000,1,0,0,0,0,88,88,0,86,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bruiser', 'startActivated': False, 'signatureLogoId': 1122, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck and stiff arm animations and a larger timing window for perfect attempts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,86,92,50,93,84,89,92,82,95,54,38,36,40,59,27,33,39,39,23,31,20,37,27,36,19,19,95,95,72,89,53,93,77,83,91,91,83,51,41,55,62,55,10,25,28,22,20,10,20,36,34,30,10,15,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1388353272,Sheldon Jowers,TE,TE,89,2,1388353272,553387294,MEGA,Broncos,2026-04-16 20:25:03.234823,False,False,1939,False,,False,False,23,8,16,1961,Oregon,20,1,Sheldon,Sheldon Jowers,Sheldon Jowers,8601,78,19,PLACEHOLDER,0,97,True,False,False,False,85,Jowers,532,3761,2363,89,89,22,2026,0,0,87,235,2,4620000,2180000,4880000,9760000,4,8280000,2,0,0,0,0,87,80,0,93,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,87,80,50,92,78,90,94,71,81,65,62,60,62,65,57,64,67,28,13,16,31,18,12,26,26,48,81,82,88,82,88,77,47,71,73,74,82,82,67,85,80,85,27,26,40,37,42,29,38,25,32,37,45,27,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380082,Brandon Aiyuk,WR,WR,88,1,1313380082,553386014,MEGA,Broncos,2026-04-16 20:25:03.224451,True,False,380,False,,False,False,30,17,3,1998,Arizona State,25,1,Brandon,Brandon Aiyuk,Brandon Aiyuk,15662,72,27,Reno,0,97,True,False,False,False,86,Aiyuk,3142,71,21069,88,88,0,2022,4,0,87,200,8,39560000,39560000,0,0,5,96140000,1,0,0,0,0,87,90,0,79,[],[],92,92,88,50,92,95,91,89,65,87,45,29,14,19,36,32,28,48,28,15,20,30,25,24,33,23,10,89,82,91,74,89,86,79,82,70,62,89,85,86,90,90,90,34,50,50,48,38,29,43,58,49,53,13,19,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1388353275,Ben Alexander,RG,OL,84,1,1388353275,553387374,MEGA,Broncos,2026-04-16 20:25:03.235563,False,False,1111,False,,False,False,23,0,1,2041,Ole Miss,31,1,Ben,Ben Alexander,Ben Alexander,2427,77,40,PLACEHOLDER,0,97,True,False,False,False,67,Alexander,798,10310,2237,84,84,22,2026,4,0,83,305,2,3810000,1940000,3740000,7480000,4,7400000,2,0,0,0,0,83,83,0,99,[],[],77,70,85,50,88,64,65,92,83,83,89,75,90,80,95,84,67,89,37,21,34,26,24,30,22,24,41,46,36,48,59,39,34,27,29,38,42,55,38,42,29,27,39,39,39,32,43,37,35,45,30,27,32,47,43,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380186,Orlando Brown Jr,LT,OL,81,1,1313380186,553386304,MEGA,Broncos,2026-04-16 20:25:03.226444,False,False,71,False,,False,False,32,2,5,1996,Oklahoma,19,3,Orlando,Orlando Brown Jr,Orlando Brown Jr,11190,80,9,Suwanee,0,97,True,False,False,False,74,Brown Jr,6979,8826,13083,81,81,0,2020,4,0,74,345,10,17500000,8500000,9000000,18000000,2,16000000,1,0,0,0,0,74,89,0,99,[],[],57,58,87,50,95,53,59,94,94,87,90,76,76,85,81,75,83,79,12,6,6,25,6,6,25,15,6,15,14,23,28,12,11,10,10,27,39,41,12,12,12,12,12,10,36,32,12,15,10,10,18,33,15,13,19,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1526715200,Gordon Jackson,TE,TE,80,1,1526715200,553386272,MEGA,Broncos,2026-04-16 20:25:03.226035,False,False,1006,False,,False,False,22,21,14,2046,Penn State,27,2,Gordon,Gordon Jackson,Gordon Jackson,9,76,48,PLACEHOLDER,0,97,True,False,False,False,87,Jackson,0,4207,2779,80,80,24,2027,3,0,80,247,1,1800000,1290000,1530000,2040000,4,5360000,3,0,0,0,0,80,77,0,94,[],[],87,84,76,50,94,75,82,82,71,78,68,61,57,51,62,64,59,63,47,13,18,16,33,32,23,40,24,80,74,88,80,82,69,28,64,77,68,81,73,63,73,78,88,37,46,31,35,39,39,35,41,43,41,35,32,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,Broncos,1313380528,Hjalte Froholdt,C,OL,80,1,1313380528,553386859,MEGA,Broncos,2026-04-16 20:25:03.231852,False,False,103,False,,False,False,32,20,8,1996,Arkansas,16,4,Hjalte,Hjalte Froholdt,Hjalte Froholdt,1172,77,34,Cleveland,0,97,True,False,False,False,72,Froholdt,472,9461,20377,80,80,0,2021,4,0,77,310,9,9060000,4460000,4600000,9200000,2,8400000,1,0,0,0,0,77,86,0,99,[],[],66,66,86,50,89,69,71,81,91,86,82,86,76,77,76,82,85,83,12,6,6,10,6,6,10,10,6,21,14,42,30,25,19,10,10,21,28,55,22,12,16,21,30,21,30,42,11,45,28,10,39,44,12,20,30,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
