team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DET,Lions,1313381310,Aidan Hutchinson,LEDGE,DE,98,3,1313381310,553387230,MEGA,Lions,2026-04-16 20:25:11.518641,False,False,2578,False,,False,False,28,9,8,2000,Michigan,2,1,Aidan,Aidan Hutchinson,Aidan Hutchinson,5082,78,21,Plymouth,0,97,True,False,False,False,97,Hutchinson,2464,1771,22145,98,98,24,2024,20,0,98,265,6,27870000,14370000,54000000,67500000,6,100870000,4,0,0,0,0,98,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unstoppable Force', 'startActivated': False, 'signatureLogoId': 1102, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Elite pass rushers are a mix of strength, speed, and tenacity. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one pass blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,85,98,50,91,85,82,87,88,92,89,30,45,45,45,45,45,45,12,6,8,17,10,6,24,18,6,46,33,64,59,56,52,10,46,50,48,70,52,38,44,50,62,99,91,97,43,95,97,31,99,96,53,12,14,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381319,Brian Branch,SS,S,97,2,1313381319,553386266,MEGA,Lions,2026-04-16 20:25:11.513956,False,False,2198,False,,False,False,26,22,10,2001,Alabama,14,2,Brian,Brian Branch,Brian Branch,4180,72,9,Fayetteville,0,97,True,False,False,False,32,Branch,2084,1719,23024,97,97,24,2022,13,0,97,190,5,17670000,6870000,43200000,54730000,6,41780000,4,0,0,0,0,97,84,0,63,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lumberjack', 'startActivated': False, 'signatureLogoId': 1249, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability allow fewer broken tackles and cause more fumbles when cut-sticking ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,86,92,50,92,89,88,91,60,91,65,22,34,33,30,34,33,35,20,16,21,26,25,15,27,15,16,78,65,77,67,63,72,76,65,42,45,83,45,37,41,46,66,55,90,71,90,98,44,74,98,87,90,17,18,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381312,Kerby Joseph,FS,S,93,1,1313381312,553387426,MEGA,Lions,2026-04-16 20:25:11.519534,False,False,1097,False,,False,False,27,14,11,2000,Illinois,33,3,Kerby,Kerby Joseph,Kerby Joseph,14302,73,8,Orlando,0,97,True,False,False,False,31,Joseph,3216,1792,22227,93,93,24,2024,20,0,93,200,6,13010000,11010000,4000000,14650000,5,35090000,2,0,0,0,0,93,84,0,98,[],[],91,86,92,50,90,91,88,93,64,70,49,23,25,25,25,24,24,24,15,6,6,19,6,6,25,9,6,74,65,85,63,63,77,44,65,42,50,84,27,29,31,33,70,29,77,52,78,94,23,65,90,85,94,20,21,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381317,Jack Campbell,MIKE,LB,87,1,1313381317,553386396,MEGA,Lions,2026-04-16 20:25:11.514418,False,False,524,False,,False,False,28,22,8,2000,Iowa,18,1,Jack,Jack Campbell,Jack Campbell,13584,77,14,Cedar Falls,0,97,True,False,False,False,46,Campbell,2292,1907,22705,87,87,24,2022,12,0,87,249,5,15150000,5450000,38800000,50430000,6,34750000,4,0,0,0,0,87,85,0,99,[],[],90,88,86,50,92,89,85,90,76,96,76,35,45,45,45,45,45,45,12,6,6,24,6,6,25,16,6,57,52,69,58,64,46,14,40,64,54,77,19,7,12,19,66,49,87,84,66,88,57,66,90,92,74,18,16,0,1,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381295,Tyleik Williams,DT,DT,87,1,1313381295,553388909,MEGA,Lions,2026-04-16 20:25:11.525083,False,False,742,False,,False,False,25,25,2,2003,Ohio State,28,1,Tyleik,Tyleik Williams,Tyleik Williams,1061,75,45,Manassas,0,97,True,False,False,False,91,Williams,256,10785,15204,87,87,0,2025,0,0,87,329,3,4010000,2470000,1540000,6160000,4,6470000,1,0,0,0,0,87,84,0,99,[],[],78,68,88,50,86,82,75,70,91,87,87,27,45,45,45,45,45,45,18,7,10,13,15,11,18,13,14,26,26,28,39,20,24,26,20,35,32,60,18,10,14,18,20,69,79,91,13,81,72,18,85,94,19,18,18,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381303,Alim McNeill,DT,DT,86,1,1313381303,553387764,MEGA,Lions,2026-04-16 20:25:11.520446,False,False,365,False,,False,False,28,11,5,2000,N.C. State,8,3,Alim,Alim McNeill,Alim McNeill,13097,74,32,Raleigh,0,97,True,False,False,False,54,McNeill,308,943,21522,86,86,0,2023,20,0,86,315,7,29210000,27210000,2000000,16510000,5,80880000,1,0,0,0,0,86,85,0,97,[],[],81,64,89,50,90,75,75,80,93,88,86,38,45,45,47,49,47,50,12,6,6,25,6,6,21,10,6,43,33,48,46,30,36,15,32,50,56,55,29,17,22,27,33,73,81,88,19,90,82,19,81,86,27,19,23,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381288,Terrion Arnold,CB,CB,84,1,1313381288,553386079,MEGA,Lions,2026-04-16 20:25:11.512475,False,False,432,False,,False,False,26,22,3,2002,Alabama,24,1,Terrion,Terrion Arnold,Terrion Arnold,2315,72,8,Tallahasse,0,97,True,False,False,False,6,Arnold,389,10001,14927,84,84,0,2023,0,0,84,189,4,9700000,3800000,5900000,5900000,1,3800000,1,0,0,0,0,84,90,0,98,[],[],94,93,77,50,93,89,90,92,58,90,46,19,23,24,35,26,25,35,21,19,22,25,24,25,35,13,15,71,66,78,64,67,78,55,73,40,35,90,39,41,46,51,70,34,73,45,86,84,30,85,73,73,77,17,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1388354100,Joey Ventura,SAM,LB,83,1,1388354100,553387969,MEGA,Lions,2026-04-16 20:25:11.521110,False,False,810,False,,False,False,24,26,8,2021,Colorado,32,2,Joey,Joey Ventura,Joey Ventura,5603,72,12,PLACEHOLDER,0,97,True,False,False,False,23,Ventura,65,3909,2245,83,83,24,2026,8,0,83,245,2,1820000,1360000,920000,1840000,4,5320000,2,0,0,0,0,83,83,0,75,[],[],88,82,80,50,79,79,87,98,75,78,84,41,42,36,39,48,28,27,45,36,36,14,30,27,21,39,30,44,46,51,52,39,41,30,24,48,29,76,48,47,28,46,47,52,81,87,54,85,59,38,82,93,65,41,28,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313380411,Ronnie Hickman,FS,S,81,1,1313380411,553387133,MEGA,Lions,2026-04-16 20:25:11.517928,False,False,349,False,,False,False,26,11,10,2001,Ohio State,-1,63,Ronnie,Ronnie Hickman,Ronnie Hickman,1490,73,29,South Orange,0,97,True,False,False,False,20,Hickman,68,2208,22710,81,81,0,2022,11,0,78,209,5,3930000,1930000,2000000,6000000,3,5100000,1,0,0,0,0,78,83,0,98,[],[],89,81,78,50,90,84,86,83,65,85,62,24,25,25,30,35,35,35,27,21,23,18,27,23,32,12,15,58,49,64,60,54,68,45,62,56,54,78,17,10,11,21,60,37,86,60,78,86,47,70,82,77,80,12,14,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381289,Ennis Rakestraw Jr,CB,CB,81,0,1313381289,553388160,MEGA,Lions,2026-04-16 20:25:11.521590,False,False,289,False,,False,False,26,5,6,2002,Missouri,29,2,Ennis,Ennis Rakestraw Jr,Ennis Rakestraw Jr,7731,72,42,West Dallas,0,97,True,False,False,False,9,Rakestraw Jr,751,10218,14934,81,81,0,2023,0,0,81,183,4,5900000,2600000,3300000,3300000,1,2600000,1,0,0,0,0,81,88,0,98,[],[],94,88,77,50,83,86,89,87,57,79,44,15,23,21,35,25,27,35,18,11,14,21,21,6,26,10,7,66,65,58,53,51,72,55,68,40,32,85,25,10,14,16,54,37,61,45,85,81,29,82,68,69,78,10,11,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
