team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
DET,Lions,1313381305,Penei Sewell,RG,OL,99,3,1313381305,553388362,MEGA,Lions,2026-04-16 20:25:11.522795,False,False,2866,False,,False,False,27,9,10,2000,Oregon,7,1,Penei,Penei Sewell,Penei Sewell,15136,78,50,Malaeimi,0,97,True,False,False,False,58,Sewell,6238,963,21540,99,99,24,2023,4,0,99,325,7,34000000,31000000,3000000,25700000,6,113000000,2,0,0,0,0,99,95,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Screen Protector', 'startActivated': False, 'signatureLogoId': 1343, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will dominantly win impact blocks on screen plays', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tear Proof', 'startActivated': False, 'signatureLogoId': 1352, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against rip pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Threat Detector', 'startActivated': False, 'signatureLogoId': 1241, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'During preplay, players with this ability will highlight any oncoming blitzers on 3rd and 4th downs. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Protector', 'startActivated': False, 'signatureLogoId': 1943, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while pass blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",74,61,97,50,94,70,73,95,98,91,99,97,90,94,91,99,98,98,13,6,6,56,6,6,18,14,6,20,15,44,35,17,10,10,10,25,30,58,15,5,17,28,15,16,33,35,12,19,24,10,37,32,12,20,23,0,3,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1388354099,Nick Nava,HB,RB,88,0,1388354099,553388960,MEGA,Lions,2026-04-16 20:25:11.525587,False,False,1674,False,,False,False,23,30,10,1988,Texas Tech,31,2,Nick,Nick Nava,Nick Nava,4076,73,3,PLACEHOLDER,0,97,True,False,False,False,26,Nava,521,10326,2180,88,88,24,2026,2,0,88,229,2,1830000,1360000,940000,1880000,4,5320000,2,0,0,0,0,88,85,0,94,[],[],93,85,79,50,84,84,88,95,82,86,38,29,37,45,61,24,34,29,30,19,31,33,26,33,12,40,25,89,93,70,96,60,79,51,73,90,94,81,45,43,42,50,62,24,24,45,24,35,35,45,38,43,28,48,26,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1388354098,Luke Bragg,WR,WR,83,1,1388354098,553387039,MEGA,Lions,2026-04-16 20:25:11.517145,False,False,1058,False,,False,False,23,8,16,2010,Ole Miss,28,2,Luke,Luke Bragg,Luke Bragg,6072,71,4,PLACEHOLDER,0,97,True,False,False,False,29,Bragg,54,3384,2410,83,83,24,2026,0,0,83,197,2,1880000,1380000,1000000,2000000,4,5360000,2,0,0,0,0,83,90,0,96,[],[],92,89,85,50,80,83,91,91,67,86,55,24,37,40,35,29,45,49,42,16,29,31,18,25,24,36,38,83,80,85,73,87,84,96,82,69,49,92,83,84,87,78,92,47,47,36,24,33,38,28,30,38,45,48,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381292,Isaac TeSlaa,WR,WR,83,1,1313381292,553388602,MEGA,Lions,2026-04-16 20:25:11.524157,False,False,464,False,,False,False,26,20,2,2002,Arkansas,6,3,Isaac,Isaac TeSlaa,Isaac TeSlaa,2722,76,21,Hudsonville,0,97,True,False,False,False,18,TeSlaa,18,10752,15067,83,83,0,2025,0,0,83,214,3,1420000,1140000,280000,1120000,4,3930000,1,0,0,0,0,83,89,0,82,[],[],91,88,78,50,87,92,91,80,65,85,39,25,12,21,23,31,30,47,32,47,48,35,48,46,69,37,32,81,69,89,69,88,78,81,73,48,54,89,88,85,86,74,91,35,43,41,23,29,31,21,43,28,30,32,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381296,Jared Goff,QB,QB,83,1,1313381296,553386931,MEGA,Lions,2026-04-16 20:25:11.516655,False,False,418,False,,False,False,33,14,10,1994,California,1,1,Jared,Jared Goff,Jared Goff,68938,76,4,Novato,0,97,True,False,False,False,16,Goff,9550,8021,17540,83,83,0,2018,6,0,81,223,12,61600000,39000000,22600000,91000000,5,154610000,1,0,0,0,0,81,87,0,98,[],[],80,73,85,50,96,68,74,89,64,93,21,19,18,14,17,10,10,16,75,81,89,82,91,85,91,82,97,61,51,43,58,21,48,11,44,34,34,70,19,15,17,27,24,9,17,21,12,21,9,9,28,27,18,20,21,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1526716761,Quincy McElroy,WR,WR,83,1,1526716761,553388203,MEGA,Lions,2026-04-16 20:25:11.522039,False,False,1274,False,,False,False,22,5,3,1967,Ole Miss,17,1,Quincy,Quincy McElroy,Quincy McElroy,6070,72,1,PLACEHOLDER,0,97,True,False,False,False,85,McElroy,8,3657,2837,83,83,24,2027,5,0,83,180,1,4580000,1980000,7800000,10400000,4,8560000,3,0,0,0,0,83,93,0,98,[],[],97,91,78,50,87,84,96,93,62,85,46,27,42,30,34,41,48,62,24,13,18,33,35,30,16,45,37,75,75,89,73,86,81,87,86,53,47,94,81,84,73,69,91,24,26,39,40,35,36,26,30,47,32,44,24,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1526716763,Ben Herrera,TE,TE,81,1,1526716763,553386373,MEGA,Lions,2026-04-16 20:25:11.514192,False,False,865,False,,False,False,23,6,15,1990,Clemson,17,2,Ben,Ben Herrera,Ben Herrera,7994,75,39,PLACEHOLDER,0,97,True,False,False,False,84,Herrera,372,3917,2783,81,81,24,2027,3,0,81,244,1,2180000,1380000,2400000,3200000,4,5800000,3,0,0,0,0,81,78,0,90,[],[],91,84,73,50,91,79,86,87,73,84,58,58,54,52,61,56,65,64,41,20,18,26,22,31,34,39,33,84,64,92,75,83,70,47,70,70,71,80,71,74,76,72,79,31,48,37,39,34,25,48,40,38,38,45,31,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313381293,Tate Ratledge,RT,OL,80,1,1313381293,553388169,MEGA,Lions,2026-04-16 20:25:11.521818,False,False,294,False,,False,False,27,26,4,2001,Georgia,25,2,Tate,Tate Ratledge,Tate Ratledge,8218,79,9,Rome,0,97,True,False,False,False,69,Ratledge,528,10701,15126,80,80,0,2025,0,0,74,308,3,2050000,1550000,500000,2000000,4,4510000,1,0,0,0,0,74,86,0,99,[],[],78,71,82,50,82,78,73,82,88,80,86,85,74,82,85,76,85,80,13,6,6,30,6,6,10,10,6,31,27,42,41,30,23,10,22,33,40,61,26,13,19,26,29,30,37,35,20,35,35,15,34,38,27,56,59,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313380163,Rahim Coleman,LT,OL,78,1,1313380163,553388967,MEGA,Lions,2026-04-16 20:25:11.525812,False,False,667,False,,False,False,23,16,6,1956,Oklahoma,23,1,Rahim,Rahim Coleman,Rahim Coleman,142,76,51,PLACEHOLDER,0,97,True,False,False,False,60,Coleman,39,10334,2718,78,78,24,2027,5,0,78,316,1,4240000,1890000,7050000,9400000,4,8160000,3,0,0,0,0,78,82,0,95,[],[],76,65,83,50,90,70,66,79,86,83,78,69,82,84,84,68,69,71,48,18,12,27,29,13,10,35,43,28,44,32,52,45,25,40,39,39,48,56,39,31,24,30,46,44,38,41,31,32,26,25,32,48,29,29,28,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DET,Lions,1313382221,Donovan Thornton,LG,OL,77,2,1313382221,553387107,MEGA,Lions,2026-04-16 20:25:11.517692,False,False,819,False,,False,False,22,30,14,1995,Notre Dame,27,5,Donovan,Donovan Thornton,Donovan Thornton,0,75,30,PLACEHOLDER,0,97,True,False,False,False,62,Thornton,0,10352,3060,77,77,24,2028,5,0,71,327,0,1080000,970000,440000,440000,4,4200000,4,0,0,0,0,71,90,0,85,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",83,73,71,50,90,67,68,82,93,86,89,86,75,69,72,85,68,79,36,32,28,16,20,25,29,45,45,40,40,34,54,28,31,33,35,34,27,57,38,44,26,27,48,31,48,43,40,32,24,43,47,26,29,47,42,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
