team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
GB,Packers,1313381484,TreVeyon Henderson,HB,RB,94,2,1313381484,553387109,MEGA,Packers,2026-04-16 20:25:23.211761,False,False,1988,False,,False,False,25,22,10,2002,Ohio State,6,2,TreVeyon,TreVeyon Henderson,TreVeyon Henderson,1445,70,45,Hopewell,0,97,True,False,False,False,36,Henderson,2047,10584,14810,94,94,0,2025,0,0,94,202,3,1920000,1920000,0,0,4,5250000,1,0,0,0,0,94,91,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,87,92,50,82,89,91,86,71,83,46,40,42,38,56,28,31,42,31,10,15,30,24,20,18,32,25,97,83,67,98,50,97,71,97,75,81,87,51,56,61,66,47,28,31,32,28,46,25,29,39,33,24,18,27,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313380320,Bo Nix,QB,QB,92,3,1313380320,553387936,MEGA,Packers,2026-04-16 20:25:23.214994,False,False,1838,False,,False,False,28,25,2,2000,Oregon,12,1,Bo,Bo Nix,Bo Nix,2266,74,0,Pinson,0,97,True,False,False,False,10,Nix,3195,10195,14609,92,92,0,2023,0,0,92,214,4,52950000,1100000,51850000,51850000,5,9380000,1,0,0,0,0,92,0,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Blitz Radar', 'startActivated': False, 'signatureLogoId': 1114, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Successful quarterbacks stay cool and stand confidently against the blitz. When they enter the zone, all blitzing linebackers and defensive backs are highlighted. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Scramble for 10+ yards', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tight Out', 'startActivated': False, 'signatureLogoId': 1353, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all tight ends who are open on pass plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Clutch', 'startActivated': False, 'signatureLogoId': 1124, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Midway through the fourth quarter in close games, players with this ability can easily enter (and remain in) the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Sleight of Hand', 'startActivated': False, 'signatureLogoId': 1195, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have an increased success rate when using pump fakes on double-move routes against zone coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,76,88,50,95,74,88,90,60,96,14,10,13,13,13,14,14,16,76,94,92,89,96,88,93,95,94,77,55,67,67,59,64,10,42,37,32,73,21,10,19,41,62,10,12,12,12,10,10,10,27,21,13,42,50,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381379,Zach Tom,RT,OL,89,1,1313381379,553388656,MEGA,Packers,2026-04-16 20:25:23.217171,False,False,428,False,,False,False,29,26,3,1999,Wake Forest,35,4,Zach,Zach Tom,Zach Tom,784,76,17,Prairieville,0,97,True,False,False,False,50,Tom,167,1988,22434,89,89,0,2024,4,0,89,304,6,22260000,11760000,10500000,31620000,4,34910000,1,0,0,0,0,89,81,0,99,[],[],84,75,93,50,92,80,74,87,81,75,84,88,95,79,91,91,78,88,13,6,6,22,6,6,19,11,6,24,20,26,24,19,10,10,10,21,23,60,15,5,10,15,23,10,24,28,9,25,12,10,27,28,9,14,13,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381383,Jayden Reed,WR,WR,85,1,1313381383,553388187,MEGA,Packers,2026-04-16 20:25:23.216069,False,False,409,False,,False,False,28,28,4,2000,Michigan State,19,2,Jayden,Jayden Reed,Jayden Reed,1295,71,12,Naperville,0,97,True,False,False,False,11,Reed,134,2365,22786,85,85,24,2022,5,0,85,187,5,11170000,5170000,12000000,18580000,4,17270000,2,0,0,0,0,85,88,0,79,[],[],94,89,85,50,86,83,94,88,58,86,41,21,18,13,22,29,20,49,28,31,35,35,39,39,52,32,26,89,76,84,76,89,89,82,78,48,36,91,77,90,87,86,86,25,18,26,29,30,14,26,49,31,35,14,19,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381385,Tucker Kraft,TE,TE,83,1,1313381385,553387501,MEGA,Packers,2026-04-16 20:25:23.213649,False,False,367,False,,False,False,27,3,11,2000,South Dakota State,15,3,Tucker,Tucker Kraft,Tucker Kraft,4483,77,40,Timber Lake,0,97,True,False,False,False,85,Kraft,528,2279,22828,83,83,24,2022,3,0,82,259,5,9170000,3670000,11000000,16760000,4,12600000,2,0,0,0,0,82,80,0,99,[],[],89,82,81,50,85,82,88,86,76,82,68,59,56,60,59,62,66,63,41,35,39,22,44,43,52,38,44,82,75,92,72,80,68,10,63,72,74,76,76,64,74,76,84,41,52,49,26,37,35,27,53,53,35,18,29,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381354,Matthew Golden,WR,WR,83,1,1313381354,553386932,MEGA,Packers,2026-04-16 20:25:23.210933,False,False,518,False,,False,False,25,1,8,2003,Texas,23,1,Matthew,Matthew Golden,Matthew Golden,1922,71,42,Houston,0,97,True,False,False,False,0,Golden,22,10562,15096,83,83,24,2025,0,0,81,191,3,4370000,2620000,35620000,40870000,5,7840000,2,0,0,0,0,81,89,0,79,[],[],97,92,77,50,89,85,91,89,61,86,47,33,15,22,24,26,24,54,25,30,31,18,38,32,52,31,26,84,74,88,76,82,85,83,81,42,40,91,84,85,81,83,89,28,30,35,31,32,24,24,36,24,26,24,30,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381125,Riley Leach,RG,OL,80,1,1313381125,553386880,MEGA,Packers,2026-04-16 20:25:23.210230,False,False,787,False,,False,False,23,2,11,2007,LSU,7,2,Riley,Riley Leach,Riley Leach,3556,76,33,PLACEHOLDER,0,97,True,False,False,False,72,Leach,55,3351,2675,80,80,24,2027,4,0,80,311,1,2650000,1500000,3450000,4600000,4,6360000,3,0,0,0,0,80,90,0,99,[],[],83,71,76,50,85,57,70,86,93,82,88,89,78,66,79,85,70,80,45,25,36,35,36,33,31,36,38,28,33,31,58,37,37,32,47,38,48,53,48,25,45,28,40,44,42,37,34,26,31,34,31,38,26,32,31,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381265,Bryan Molden,HB,RB,80,0,1313381265,553386885,MEGA,Packers,2026-04-16 20:25:23.210442,False,False,955,False,,False,False,22,26,1,1979,West Virginia,7,5,Bryan,Bryan Molden,Bryan Molden,4427,69,2,PLACEHOLDER,0,97,True,False,False,False,24,Molden,10,3402,2593,80,80,24,2027,0,0,80,209,1,1190000,1020000,510000,680000,4,4200000,3,0,0,0,0,80,91,0,96,[],[],92,89,69,50,95,82,94,86,71,84,25,24,38,31,65,37,41,29,44,27,18,21,34,31,11,42,39,87,75,65,82,59,96,85,83,71,70,89,68,44,55,55,57,36,37,40,34,40,27,35,26,39,40,40,36,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313382648,Chandler Starkey,WR,WR,79,1,1313382648,553387271,MEGA,Packers,2026-04-16 20:25:23.212803,False,False,900,False,,False,False,22,0,9,2030,Vanderbilt,7,1,Chandler,Chandler Starkey,Chandler Starkey,0,72,32,PLACEHOLDER,0,97,True,False,False,False,25,Starkey,0,3380,3217,79,79,24,2028,5,0,78,215,0,7350000,2400000,19800000,19800000,4,12080000,4,0,0,0,0,78,88,0,94,[],[],92,91,77,50,96,88,90,98,63,81,47,39,33,30,40,29,46,47,25,33,32,31,15,31,31,35,39,85,77,86,71,86,87,97,80,66,58,92,76,65,77,82,85,43,24,43,48,46,38,24,46,25,42,29,38,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,Packers,1313381382,Dontayvion Wicks,WR,WR,78,0,1313381382,553388862,MEGA,Packers,2026-04-16 20:25:23.217817,False,False,209,False,,False,False,27,16,6,2001,Virginia,24,5,Dontayvion,Dontayvion Wicks,Dontayvion Wicks,10338,73,17,Plaquemine,0,97,True,False,False,False,13,Wicks,16,2476,22772,78,78,0,2022,0,0,78,206,5,6490000,3590000,2900000,5880000,3,7940000,1,0,0,0,0,78,87,0,86,[],[],88,87,79,50,86,90,90,80,60,85,43,22,18,24,23,27,21,45,36,35,39,31,45,44,53,40,31,86,76,83,71,81,84,40,75,50,48,86,75,84,82,82,85,10,21,20,10,16,10,16,31,29,10,20,24,0,0,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
