team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
HOU,Texans,1313381966,Derek Stingley Jr,CB,CB,97,3,1313381966,553388514,MEGA,Texans,2026-04-16 20:25:13.850779,False,False,2092,False,,False,False,27,20,6,2001,LSU,3,1,Derek,Derek Stingley Jr,Derek Stingley Jr,14389,72,17,Baton Rouge,0,97,True,False,False,False,24,Stingley Jr,3772,1956,22269,97,97,24,2024,20,0,96,190,6,26500000,21500000,10000000,53110000,5,65500000,2,0,0,0,0,96,91,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pick Artist', 'startActivated': False, 'signatureLogoId': 1165, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have higher chance to catch uncontested interceptions, and they have unlimited stamina on the return (until using a special move or breaking a tackle).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ironman', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability avoid any ratings penalties associated with playing outside of their primary position', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,94,96,50,88,93,93,96,63,75,47,18,34,33,25,34,33,25,25,18,21,26,26,22,36,12,10,78,65,85,63,71,84,72,74,40,45,92,44,30,35,45,80,44,69,49,98,96,36,94,75,70,97,19,20,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313380455,Jacob Parrish,CB,CB,91,1,1313380455,553388040,MEGA,Texans,2026-04-16 20:25:13.846772,False,False,1952,False,,False,False,24,29,2,2004,Kansas State,20,3,Jacob,Jacob Parrish,Jacob Parrish,2870,70,15,Olathe,0,97,True,False,False,False,25,Parrish,703,10687,15284,91,91,0,2025,0,0,88,191,3,1080000,0,0,0,4,3710000,1,0,0,0,0,88,90,0,99,[],[],93,89,84,50,91,90,94,86,65,90,56,24,35,25,35,35,25,35,20,10,13,29,15,15,29,18,12,76,53,74,56,59,77,55,70,44,40,89,38,39,37,38,69,40,64,53,95,84,32,92,76,74,89,32,21,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381929,Danielle Hunter,REDGE,DE,89,1,1313381929,553387223,MEGA,Texans,2026-04-16 20:25:13.842673,False,False,125,False,,False,False,33,29,10,1994,LSU,24,3,Danielle,Danielle Hunter,Danielle Hunter,34973,77,50,St. Catherine,0,97,True,False,False,False,55,Hunter,8936,7179,2540,89,89,0,2017,11,0,86,263,13,28310000,15310000,13000000,42500000,3,43800000,1,0,0,0,0,86,85,0,99,[],[],87,83,95,50,83,88,87,86,80,81,87,14,45,45,45,45,45,45,12,6,6,19,6,6,15,12,6,35,24,36,46,10,40,10,55,28,44,71,12,2,3,10,12,89,76,84,38,89,82,30,90,91,50,11,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381946,Calen Bullock,FS,S,87,2,1313381946,553386350,MEGA,Texans,2026-04-16 20:25:13.836427,False,False,800,False,,False,False,25,30,4,2003,USC,14,3,Calen,Calen Bullock,Calen Bullock,8915,74,4,Pasadena,0,97,True,False,False,False,2,Bullock,233,10025,14939,87,87,24,2023,0,0,87,188,4,8590000,2090000,19500000,19760000,4,8920000,3,0,0,0,0,87,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,87,84,50,92,80,90,90,54,84,52,15,24,25,30,27,29,32,17,6,10,34,15,13,35,10,6,76,70,78,64,69,75,60,70,52,41,88,40,20,27,37,71,35,81,53,70,86,25,67,86,77,91,22,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1388354679,Justice Fitzpatrick,SAM,LB,87,2,1388354679,553388608,MEGA,Texans,2026-04-16 20:25:13.851258,False,False,1236,False,,False,False,24,27,13,1994,Oregon,20,2,Justice,Justice Fitzpatrick,Justice Fitzpatrick,5235,72,27,PLACEHOLDER,0,97,True,False,False,False,44,Fitzpatrick,621,3711,2250,87,87,24,2026,6,0,84,244,2,2150000,1460000,1380000,2760000,4,5640000,2,0,0,0,0,84,84,0,87,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Stuff', 'startActivated': False, 'signatureLogoId': 1248, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against inside run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,81,86,50,82,84,85,81,74,81,81,40,48,40,39,25,27,33,40,29,31,22,12,21,20,33,36,41,29,57,51,35,32,39,48,35,34,78,40,42,42,28,30,53,86,86,62,88,61,38,88,94,76,34,24,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1388354678,Trey Chavez,DT,DT,87,2,1388354678,553386501,MEGA,Texans,2026-04-16 20:25:13.837646,False,False,1601,False,,False,False,23,30,1,1946,Vanderbilt,14,2,Trey,Trey Chavez,Trey Chavez,4515,75,12,PLACEHOLDER,0,97,True,False,False,False,90,Chavez,58,3853,2127,87,87,24,2026,9,0,82,305,2,2490000,1570000,1840000,3680000,4,6040000,2,0,0,0,0,82,81,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",80,64,84,50,98,72,77,93,85,83,82,43,37,41,43,40,42,26,33,31,19,28,32,14,13,47,46,30,39,39,59,45,37,35,38,35,48,68,49,42,32,35,28,89,89,93,36,90,79,43,87,90,46,32,25,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381965,Jalen Pitre,FS,S,86,1,1313381965,553388109,MEGA,Texans,2026-04-16 20:25:13.847040,False,False,361,False,,False,False,29,3,6,1999,Baylor,5,2,Jalen,Jalen Pitre,Jalen Pitre,20734,71,42,Stafford,0,97,True,False,False,False,5,Pitre,2055,1893,22230,86,86,0,2024,15,0,86,198,6,13000000,10500000,2500000,21430000,4,22000000,1,0,0,0,0,86,85,0,90,[],[],93,91,83,50,90,84,90,92,62,82,55,25,35,35,35,35,35,35,15,11,12,30,15,14,23,12,11,72,52,75,63,58,72,45,66,40,35,89,24,20,25,30,63,48,77,53,78,88,38,66,88,65,89,32,34,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381956,C.J. Gardner-Johnson,SS,S,85,1,1313381956,553386886,MEGA,Texans,2026-04-16 20:25:13.840696,False,False,389,False,,False,False,30,20,12,1997,Florida,3,4,C.J.,C.J. Gardner-Johnson,CJ GardnerJohnson,19441,71,8,Cocoa,0,97,True,False,False,False,8,Gardner-Johnson,4586,9466,20621,85,85,24,2021,11,0,84,208,9,9680000,3680000,18000000,24000000,5,19540000,3,0,0,0,0,84,85,0,90,[],[],90,84,87,50,85,86,90,91,68,83,61,19,35,35,35,35,35,35,12,10,10,30,15,15,25,20,15,68,53,84,64,61,74,64,65,25,38,85,26,15,21,28,66,48,76,53,83,85,31,77,78,68,88,50,65,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313380779,Mike Sainristil,CB,CB,85,2,1313380779,553388306,MEGA,Texans,2026-04-16 20:25:13.849696,False,False,432,False,,False,False,27,3,10,2000,Michigan,18,2,Mike,Mike Sainristil,Mike Sainristil,8222,70,20,Everett,0,97,True,False,False,False,33,Sainristil,74,10239,14947,85,85,0,2023,0,0,85,182,4,11700000,4700000,7000000,7000000,1,4700000,1,0,0,0,0,85,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,94,77,50,91,95,90,87,51,93,38,15,21,22,33,21,23,34,21,14,16,26,20,22,27,13,12,74,71,81,64,70,77,65,71,33,32,94,42,57,52,55,74,42,56,43,85,82,32,78,80,65,92,17,18,0,2,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313382532,Thomas Middleton,DT,DT,83,3,1313382532,553387178,MEGA,Texans,2026-04-16 20:25:13.842295,False,False,1314,False,,False,False,22,14,1,1955,Clemson,8,1,Thomas,Thomas Middleton,Thomas Middleton,1728,76,5,PLACEHOLDER,0,97,True,False,False,False,99,Middleton,0,4200,2974,83,83,24,2028,9,0,83,289,0,6410000,2180000,16920000,16920000,4,10960000,4,0,0,0,0,83,89,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fearmonger', 'startActivated': False, 'signatureLogoId': 1116, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Some pass rushers intimidate quarterbacks with their sheer presence. When they enter the zone, they can apply significant pressure on quarterbacks even while engaged with blockers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,77,77,50,97,76,84,82,93,81,84,43,44,25,48,43,25,25,26,33,16,24,35,17,36,44,41,26,28,26,57,43,34,38,26,35,40,65,42,37,26,24,26,75,91,75,37,78,88,28,82,82,26,44,31,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
