team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
HOU,Texans,1313381968,C.J. Stroud,QB,QB,96,3,1313381968,553388538,MEGA,Texans,2026-04-16 20:25:13.851015,False,False,3948,False,,False,False,26,3,10,2001,Ohio State,2,1,C.J.,C.J. Stroud,CJ Stroud,3903,75,4,Inland Empire,0,97,True,False,False,False,7,Stroud,6499,2417,22688,96,96,24,2022,0,0,96,218,5,51790000,22390000,117600000,157260000,7,163100000,5,0,0,0,0,96,0,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pro Reads', 'startActivated': False, 'signatureLogoId': 1112, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'For great quarterbacks, vision and anticipation are paramount. When they enter the zone, their first open receiver is highlighted and they ignore defensive pressure.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make consecutive passes for 5+ yards in air', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lofting Deadeye', 'startActivated': False, 'signatureLogoId': 1153, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all lob or touch passes (except high/low and cross-body throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Deadeye', 'startActivated': False, 'signatureLogoId': 1146, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws inside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fearless', 'startActivated': False, 'signatureLogoId': 1142, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have a reduced chance to be impacted by throw penalties caused by defensive pressure while their feet are set in the pocket', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Agile Extender', 'startActivated': False, 'signatureLogoId': 1171, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to evade the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Protected', 'startActivated': False, 'signatureLogoId': 1173, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better pass blocking from their offensive linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,80,95,50,88,78,82,85,61,88,17,13,15,13,12,15,12,12,78,97,97,78,93,94,91,97,98,76,54,21,61,13,58,12,45,37,31,75,14,10,11,12,10,10,16,19,9,14,10,9,29,24,10,19,20,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381947,Jayden Higgins,WR,WR,88,1,1313381947,553387140,MEGA,Texans,2026-04-16 20:25:13.841698,False,False,890,False,,False,False,25,15,12,2002,Iowa State,2,2,Jayden,Jayden Higgins,Jayden Higgins,3686,76,8,South Miami,0,97,True,False,False,False,81,Higgins,176,10587,15057,88,88,0,2025,0,0,83,214,3,2960000,1970000,990000,3960000,4,5350000,1,0,0,0,0,83,88,0,95,[],[],92,83,88,50,90,93,89,91,67,92,46,32,15,22,24,34,30,52,29,18,12,24,9,7,33,26,22,83,77,95,79,93,86,80,77,68,61,81,93,86,91,85,93,33,30,40,26,28,30,21,44,22,29,16,26,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381933,Joe Mixon,HB,RB,88,3,1313381933,553387825,MEGA,Texans,2026-04-16 20:25:13.845144,False,False,375,False,,False,False,32,24,7,1996,Oklahoma,16,2,Joe,Joe Mixon,Joe Mixon,3841,73,4,Oakley,0,97,True,False,False,False,28,Mixon,6742,9241,12625,88,88,24,2019,6,0,88,220,11,9970000,3470000,13000000,22000000,4,18500000,2,0,0,0,0,88,87,0,86,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 10+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bruiser', 'startActivated': False, 'signatureLogoId': 1122, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck and stiff arm animations and a larger timing window for perfect attempts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Backfield Mismatch', 'startActivated': False, 'signatureLogoId': 1120, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running backs with this ability have better catch in traffic and route running when coming out of the backfield against linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,87,91,50,87,84,88,94,82,91,43,46,26,31,55,35,36,58,22,29,33,32,38,36,46,17,28,92,91,78,96,64,90,76,83,92,86,89,52,56,58,65,72,14,38,34,10,15,11,12,38,37,20,16,24,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381948,Jaylin Noel,WR,WR,87,1,1313381948,553387942,MEGA,Texans,2026-04-16 20:25:13.845948,False,False,846,False,,False,False,25,4,9,2002,Iowa State,15,3,Jaylin,Jaylin Noel,Jaylin Noel,10330,70,24,Kansas City,0,97,True,False,False,False,14,Noel,20,10680,15059,87,87,0,2025,0,0,85,194,3,1640000,1380000,260000,1040000,4,4150000,1,0,0,0,0,85,89,0,79,[],[],94,89,82,50,93,86,93,90,66,88,51,35,24,30,29,25,27,55,38,56,59,30,63,55,68,47,35,89,75,90,78,86,84,80,78,55,48,86,92,90,91,86,88,33,39,39,25,35,28,25,42,25,37,30,29,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1388354680,Jayden Mobley,WR,WR,87,2,1388354680,553386150,MEGA,Texans,2026-04-16 20:25:13.835464,False,False,1287,False,,False,False,24,24,7,2014,Texas,26,2,Jayden,Jayden Mobley,Jayden Mobley,519,75,31,PLACEHOLDER,0,97,True,False,False,False,29,Mobley,8,3667,2382,87,87,24,2026,0,0,82,233,2,1930000,1400000,1060000,2120000,4,5440000,2,0,0,0,0,82,86,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep In Elite', 'startActivated': False, 'signatureLogoId': 1317, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 20+ yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,85,80,50,90,90,84,77,76,86,62,29,26,32,37,44,30,49,35,27,33,25,20,14,10,28,24,81,82,95,77,93,84,68,82,71,56,89,95,87,88,88,91,31,30,37,30,27,39,38,34,41,26,46,39,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1526717289,Marco Bush,TE,TE,84,1,1526717289,553386953,MEGA,Texans,2026-04-16 20:25:13.840930,False,False,1429,False,,False,False,22,29,6,1978,Stanford,13,2,Marco,Marco Bush,Marco Bush,6762,76,14,PLACEHOLDER,0,97,True,False,False,False,86,Bush,262,3410,2800,84,84,24,2027,4,0,82,237,1,2400000,1430000,2910000,3880000,4,6040000,3,0,0,0,0,82,79,0,91,[],[],87,85,77,50,97,83,90,94,74,85,59,55,56,49,68,59,59,63,40,19,24,25,22,28,26,37,37,81,71,87,73,92,65,33,71,64,73,84,71,71,81,74,83,27,45,35,38,29,33,37,26,30,34,32,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381949,Aireontae Ersery,LT,OL,82,1,1313381949,553386745,MEGA,Texans,2026-04-16 20:25:13.840146,False,False,374,False,,False,False,26,19,2,2002,Minnesota,16,2,Aireontae,Aireontae Ersery,Aireontae Ersery,9030,78,24,Kansas City,0,97,True,False,False,False,79,Ersery,889,10544,15128,82,82,0,2025,0,0,77,331,3,2390000,1730000,660000,2640000,4,4880000,1,0,0,0,0,77,83,0,99,[],[],76,58,80,50,89,73,72,88,85,88,86,82,87,88,87,76,78,79,11,6,6,30,6,6,18,10,6,19,16,19,30,18,10,10,10,36,31,50,13,5,5,15,18,26,32,45,11,20,31,10,21,32,12,28,15,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313380268,Dawson Knox,TE,TE,81,1,1313380268,553387492,MEGA,Texans,2026-04-16 20:25:13.843681,False,False,181,False,,False,False,31,14,11,1996,Ole Miss,32,3,Dawson,Dawson Knox,Dawson Knox,12074,76,41,Brentwood,0,97,True,False,False,False,88,Knox,1390,9546,20523,81,81,0,2021,0,0,80,254,9,8640000,3740000,4900000,9800000,2,7000000,1,0,0,0,0,80,79,0,95,[],[],90,84,77,50,89,90,86,90,72,85,65,53,62,61,63,65,61,67,21,17,23,29,28,25,41,20,21,74,57,85,71,87,62,25,56,77,72,75,72,66,73,72,87,10,21,28,13,14,10,13,31,31,16,12,14,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313380470,Cade Otton,TE,TE,81,1,1313380470,553388017,MEGA,Texans,2026-04-16 20:25:13.846217,False,False,282,False,,False,False,29,15,4,1999,Washington,1,4,Cade,Cade Otton,Cade Otton,3443,77,46,Tumater,0,97,True,False,False,False,80,Otton,85,1872,22091,81,81,0,2024,5,0,81,247,6,3080000,3080000,0,0,4,11750000,1,0,0,0,0,81,75,0,97,[],[],84,70,83,50,89,77,81,95,77,80,70,65,61,60,64,58,62,65,11,14,20,29,25,15,30,10,15,73,62,90,72,84,64,25,57,66,69,67,76,62,76,73,83,26,42,42,14,41,28,12,45,39,21,19,21,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,Texans,1313381935,Nick Chubb,HB,RB,81,1,1313381935,553386451,MEGA,Texans,2026-04-16 20:25:13.836666,False,False,125,False,,False,False,32,27,12,1995,Georgia,3,2,Nick,Nick Chubb,Nick Chubb,18685,71,9,Cedartown,0,97,True,False,False,False,21,Chubb,2716,8846,13129,81,81,0,2020,6,0,74,227,10,8200000,2700000,5500000,18000000,4,7670000,1,0,0,0,0,74,83,0,79,[],[],84,80,81,50,79,92,86,93,84,92,35,37,25,39,66,30,34,37,28,15,20,22,25,17,26,15,15,85,88,68,96,53,85,35,74,86,88,80,48,41,48,56,54,12,35,29,12,18,18,13,35,29,16,12,17,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
