team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
IND,Colts,1313380701,Quenton Nelson,LT,OL,91,2,1313380701,553387919,MEGA,Colts,2026-04-16 20:25:03.693752,False,False,378,False,,False,False,32,19,3,1996,Notre Dame,6,1,Quenton,Quenton Nelson,Quenton Nelson,33684,77,29,Holmdel,0,97,True,False,False,False,56,Nelson,9038,9002,13081,91,91,24,2020,4,0,90,330,10,28890000,9690000,57600000,71480000,4,47780000,3,0,0,0,0,90,92,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Protector', 'startActivated': False, 'signatureLogoId': 1943, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while pass blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tear Proof', 'startActivated': False, 'signatureLogoId': 1352, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against rip pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",68,67,99,50,95,67,70,90,95,91,95,94,91,89,90,89,91,90,12,6,6,21,6,6,27,15,6,16,11,19,35,10,12,10,10,10,37,57,12,10,10,10,12,10,28,27,9,18,10,10,36,34,10,15,21,0,2,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1388353625,Jameson Maxwell,LG,OL,89,2,1388353625,553388870,MEGA,Colts,2026-04-16 20:25:03.699630,False,False,1855,False,,False,False,23,3,3,2002,LSU,6,1,Jameson,Jameson Maxwell,Jameson Maxwell,7152,76,47,PLACEHOLDER,0,97,True,False,False,False,62,Maxwell,465,10350,2222,89,89,22,2026,1,0,81,330,2,9160000,3480000,11360000,22720000,4,13120000,2,0,0,0,0,81,92,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Puller Elite', 'startActivated': False, 'signatureLogoId': 1238, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win pull blocks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",79,65,87,50,79,60,65,96,95,82,97,93,74,87,90,75,85,91,36,33,12,36,22,17,35,36,31,37,32,25,51,27,37,32,40,36,35,55,46,32,24,36,38,37,47,37,47,45,46,27,48,38,47,24,47,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313380712,Tyler Warren,TE,TE,86,1,1313380712,553388797,MEGA,Colts,2026-04-16 20:25:03.699377,False,False,587,False,,False,False,26,24,5,2002,Penn State,14,1,Tyler,Tyler Warren,Tyler Warren,9078,78,45,Mechanicsville,0,97,True,False,False,False,84,Warren,526,10769,15102,86,86,24,2025,0,0,85,256,3,6660000,3690000,13990000,22900000,5,10160000,2,0,0,0,0,85,81,0,98,[],[],88,84,69,50,94,90,84,87,80,92,70,61,64,61,63,62,67,64,43,41,50,39,56,38,63,44,43,84,74,88,73,88,70,42,67,72,72,76,83,65,81,83,89,45,38,48,39,28,41,15,47,46,24,33,35,0,1,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313380731,Bernhard Raimann,RT,OL,86,1,1313380731,553388159,MEGA,Colts,2026-04-16 20:25:03.695808,False,False,308,False,,False,False,30,23,9,1997,Central Michigan,13,3,Bernhard,Bernhard Raimann,Bernhard Raimann,12192,78,50,Steinbrunn,0,97,True,False,False,False,79,Raimann,291,1903,22132,86,86,24,2024,0,0,83,303,6,22310000,1170000,42280000,76560000,5,27340000,2,0,0,0,0,83,89,0,99,[],[],80,72,86,50,90,75,71,87,91,83,92,87,84,92,92,85,85,84,17,9,10,30,12,15,22,12,6,46,33,46,50,45,29,10,24,37,34,60,33,21,26,32,43,10,23,27,14,15,10,10,34,33,16,31,33,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313382130,Jason Carroll,HB,RB,86,2,1313382130,553386071,MEGA,Colts,2026-04-16 20:25:03.685436,False,False,1171,False,,False,False,24,30,11,2060,Notre Dame,5,6,Jason,Jason Carroll,Jason Carroll,3379,72,43,PLACEHOLDER,0,97,True,False,False,False,16,Carroll,480,10329,2609,86,86,24,2027,4,0,86,209,1,1110000,1020000,270000,360000,4,4200000,3,0,0,0,0,86,91,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Balance Beam', 'startActivated': False, 'signatureLogoId': 1214, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Avoid stumbling when carrying the ball', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,91,86,50,84,87,92,91,68,81,43,46,47,26,59,29,43,26,45,25,18,30,19,18,26,34,24,87,77,78,87,69,94,86,86,68,70,91,55,39,60,69,64,41,41,41,47,43,37,38,45,31,27,24,35,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313382362,Walt Rutland,RG,OL,82,2,1313382362,553388973,MEGA,Colts,2026-04-16 20:25:03.700150,False,False,1208,False,,False,False,22,29,10,1987,Clemson,8,3,Walt,Walt Rutland,Walt Rutland,0,77,51,PLACEHOLDER,0,97,True,False,False,False,66,Rutland,0,3915,3073,82,82,24,2028,0,0,72,321,0,1540000,1180000,1440000,1440000,4,5160000,4,0,0,0,0,72,90,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Screen Protector', 'startActivated': False, 'signatureLogoId': 1343, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will dominantly win impact blocks on screen plays', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,74,81,50,78,78,73,95,92,84,92,86,82,68,77,85,70,79,42,29,16,13,26,31,32,36,46,30,47,29,57,32,36,31,45,47,30,60,41,33,43,38,34,48,30,45,28,38,34,46,26,24,30,31,33,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313380730,Alec Pierce,WR,WR,82,1,1313380730,553388099,MEGA,Colts,2026-04-16 20:25:03.695273,False,False,325,False,,False,False,28,2,5,2000,Cincinnati,21,2,Alec,Alec Pierce,Alec Pierce,3498,75,12,Glen Ellyn,0,97,True,False,False,False,14,Pierce,63,1890,22085,82,82,24,2024,4,0,76,211,6,10430000,5430000,15000000,25500000,6,31150000,3,0,0,0,0,76,89,0,91,[],[],94,80,81,50,87,92,93,83,67,84,45,26,28,24,35,32,25,44,20,10,10,30,15,15,26,19,15,77,70,91,75,85,75,65,68,50,40,83,82,86,82,78,86,10,24,29,23,26,10,20,35,29,27,16,19,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1313380737,Anthony Richardson Sr,QB,QB,80,0,1313380737,553388215,MEGA,Colts,2026-04-16 20:25:03.696057,False,False,528,False,,False,False,26,22,5,2002,Florida,4,1,Anthony,Anthony Richardson Sr,Anthony Richardson Sr,4966,76,8,Gainesville,0,97,True,False,False,False,5,Richardson Sr,1190,2609,22689,80,80,24,2022,3,0,80,250,5,29820000,15040000,59120000,83440000,6,72670000,4,0,0,0,0,80,0,0,99,[],[],92,88,75,50,81,93,91,73,73,90,34,28,15,20,16,23,20,25,84,84,82,82,90,80,96,84,90,91,80,39,57,17,78,20,75,79,78,87,17,13,16,20,19,10,26,27,11,17,10,10,29,33,17,17,22,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1526716173,Mike Adams,WR,WR,80,1,1526716173,553387043,MEGA,Colts,2026-04-16 20:25:03.690621,False,False,646,False,,False,False,24,1,7,1994,South Carolina,12,3,Mike,Mike Adams,Mike Adams,6112,77,16,PLACEHOLDER,0,97,True,False,False,False,28,Adams,8,4203,2802,80,80,24,2027,4,0,77,229,1,1590000,1250000,1020000,1360000,4,5160000,3,0,0,0,0,77,88,0,99,[],[],90,90,78,50,95,88,90,79,69,84,62,32,34,33,52,30,46,60,35,18,26,36,11,17,25,38,45,75,76,87,77,87,82,71,80,69,57,90,86,79,80,79,91,44,45,35,29,24,44,38,35,32,35,25,47,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,Colts,1388353628,Manuel Ruiz,WR,WR,78,0,1388353628,553387028,MEGA,Colts,2026-04-16 20:25:03.690328,False,False,335,False,,False,False,25,20,12,2048,Tennessee,32,3,Manuel,Manuel Ruiz,Manuel Ruiz,6520,70,46,PLACEHOLDER,0,97,True,False,False,False,9,Ruiz,180,3939,2399,78,78,24,2026,3,0,76,185,2,1570000,1290000,560000,1120000,4,5080000,2,0,0,0,0,76,89,0,79,[],[],91,92,64,50,79,89,94,91,57,81,42,32,29,44,52,45,34,43,39,33,30,33,18,27,35,40,48,75,66,88,72,79,80,91,81,45,63,88,80,81,82,73,89,33,31,35,43,42,31,47,39,39,27,29,32,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
