team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
JAX,Jaguars,1313381163,Travis Hunter,CB,CB,95,3,1313381163,553387225,MEGA,Jaguars,2026-04-16 20:25:10.168508,False,False,2225,False,,False,False,25,18,5,2003,Colorado,2,1,Travis,Travis Hunter,Travis Hunter,10436,73,9,Suwanee,0,97,True,False,False,False,12,Hunter,1648,10599,15101,95,95,24,2025,0,0,93,188,3,8980000,2980000,32970000,50970000,5,7940000,2,0,0,0,0,93,92,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ironman', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability avoid any ratings penalties associated with playing outside of their primary position', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'On The Ball', 'startActivated': False, 'signatureLogoId': 1390, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are much less likely to be fooled by WR runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'One Step Ahead', 'startActivated': False, 'signatureLogoId': 1338, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,95,84,50,89,96,93,99,61,93,58,32,35,35,35,31,33,43,33,24,26,30,31,31,41,24,21,86,76,88,70,82,86,78,82,59,50,96,80,83,82,84,86,44,71,55,93,90,35,90,77,84,95,23,26,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381168,Caleb Ransaw,FS,S,93,2,1313381168,553388166,MEGA,Jaguars,2026-04-16 20:25:10.173352,False,False,1751,False,,False,False,25,22,12,2002,Tulane,24,3,Caleb,Caleb Ransaw,Caleb Ransaw,11104,72,0,Harvest,0,97,True,False,False,False,27,Ransaw,4028,10699,15330,93,93,0,2025,0,0,87,197,3,1260000,1030000,230000,920000,4,3730000,1,0,0,0,0,87,88,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Flat Zone KO', 'startActivated': False, 'signatureLogoId': 1327, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any flat zone coverage, less than 10 yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,86,83,50,87,93,96,88,62,88,58,25,35,35,35,35,35,35,15,6,6,21,6,6,24,12,6,62,47,67,59,53,66,42,60,42,38,86,22,13,15,25,60,35,74,54,68,85,38,63,91,87,94,17,21,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381171,Josh Hines-Allen,REDGE,DE,91,1,1313381171,553386034,MEGA,Jaguars,2026-04-16 20:25:10.165987,False,False,458,False,,False,False,31,13,7,1997,Kentucky,7,1,Josh,Josh Hines-Allen,Josh HinesAllen,24985,77,29,Montclair,0,97,True,False,False,False,41,Hines-Allen,6298,9365,20410,91,91,0,2021,20,0,88,255,9,40900000,34500000,6400000,44720000,5,86250000,1,0,0,0,0,88,86,0,99,[],[],88,84,95,50,92,92,88,88,83,91,88,12,45,45,45,45,45,45,12,6,6,12,6,6,24,10,6,53,37,74,67,61,55,20,48,52,51,73,44,36,40,48,60,93,82,81,52,93,86,58,91,86,62,17,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381185,Devin Lloyd,SAM,LB,90,3,1313381185,553387590,MEGA,Jaguars,2026-04-16 20:25:10.170294,False,False,924,False,,False,False,29,30,9,1998,Utah,27,1,Devin,Devin Lloyd,Devin Lloyd,2220,75,4,Chula Vista,0,97,True,False,False,False,0,Lloyd,1732,1812,22183,90,90,24,2024,11,0,90,235,6,6840000,3040000,11400000,20650000,6,17970000,3,0,0,0,0,90,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Zone Hawk', 'startActivated': False, 'signatureLogoId': 1178, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Zone Hawk defenders lock down a part of the field. When they enter the zone, this ability increases the rate of interceptions while in zone coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stopper', 'startActivated': False, 'signatureLogoId': 1188, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend a point on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Demoralizer', 'startActivated': False, 'signatureLogoId': 1387, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability will clear a ballcarrier's progress towards entering the zone with a hit-stick tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,79,87,50,92,84,84,91,78,88,86,24,45,45,45,45,45,45,18,10,12,10,16,15,28,10,6,65,49,73,65,58,52,10,44,46,45,75,33,28,30,32,70,64,88,83,61,90,54,48,97,96,67,38,41,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381186,Travon Walker,LEDGE,DE,85,1,1313381186,553388773,MEGA,Jaguars,2026-04-16 20:25:10.176273,False,False,415,False,,False,False,27,18,12,2000,Georgia,1,1,Travon,Travon Walker,Travon Walker,8874,77,9,Thomaston,0,97,True,False,False,False,44,Walker,919,2008,22305,85,85,0,2024,11,0,80,272,6,14420000,7820000,6600000,27450000,3,15300000,1,0,0,0,0,80,89,0,99,[],[],93,83,82,50,92,88,88,83,88,89,96,21,45,45,45,45,45,45,12,6,6,20,6,6,18,13,6,47,29,60,54,46,46,10,40,49,48,73,27,14,19,25,49,73,90,81,44,82,89,29,84,79,54,15,14,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381166,Jack Kiser,MIKE,LB,84,2,1313381166,553387483,MEGA,Jaguars,2026-04-16 20:25:10.169176,False,False,495,False,,False,False,27,10,9,2000,Notre Dame,5,4,Jack,Jack Kiser,Jack Kiser,539,74,13,Royal Center,0,97,True,False,False,False,54,Kiser,1208,10626,15253,84,84,0,2025,0,0,83,229,3,1340000,1140000,200000,800000,4,3830000,1,0,0,0,0,83,81,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stopper', 'startActivated': False, 'signatureLogoId': 1188, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend a point on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,79,85,50,88,83,83,87,70,88,71,26,45,45,45,45,45,45,35,22,25,31,28,33,26,22,19,48,42,55,67,44,46,10,40,42,48,76,22,15,18,23,48,61,83,90,61,87,57,45,87,93,65,18,22,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381183,Tyson Campbell,CB,CB,80,1,1313381183,553386400,MEGA,Jaguars,2026-04-16 20:25:10.166708,False,False,277,False,,False,False,28,17,3,2000,Georgia,1,2,Tyson,Tyson Campbell,Tyson Campbell,4684,73,8,Plantation,0,97,True,False,False,False,3,Campbell,931,1355,21696,80,80,0,2023,0,0,78,195,7,6590000,2890000,3700000,7400000,2,5400000,1,0,0,0,0,78,89,0,97,[],[],93,86,78,50,90,85,92,93,58,78,44,11,22,22,28,35,34,34,12,6,10,31,15,10,31,10,6,54,29,71,44,50,63,47,55,35,26,86,22,12,15,21,56,33,55,49,73,78,28,86,72,63,84,17,20,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313380516,Darius Robinson,DT,DT,79,0,1313380516,553388247,MEGA,Jaguars,2026-04-16 20:25:10.174017,False,False,235,False,,False,False,26,13,9,2001,Missouri,27,1,Darius,Darius Robinson,Darius Robinson,7801,77,21,Southfield,0,97,True,False,False,False,56,Robinson,43,10230,14872,79,79,0,2023,0,0,73,285,4,6150000,6150000,0,0,1,6150000,1,0,0,0,0,73,82,0,99,[],[],77,77,76,50,87,84,74,79,87,85,81,23,35,35,35,40,40,40,23,27,19,13,12,13,17,16,11,24,23,25,29,25,17,8,14,28,16,58,10,6,8,10,21,71,81,86,32,76,76,25,76,87,33,21,24,0,0,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381246,Jamien Sherwood,MIKE,LB,79,1,1313381246,553388381,MEGA,Jaguars,2026-04-16 20:25:10.174712,False,False,250,False,,False,False,28,12,1,2000,Auburn,2,5,Jamien,Jamien Sherwood,Jamien Sherwood,4619,74,8,Jensen Beach,0,97,True,False,False,False,48,Sherwood,182,1587,21924,79,79,0,2023,11,0,78,216,7,5550000,5550000,0,0,1,5550000,1,0,0,0,0,78,81,0,99,[],[],88,78,80,50,85,86,86,90,67,87,73,29,35,35,35,35,35,35,45,29,33,30,37,32,43,29,28,67,54,63,64,57,68,45,61,57,55,75,34,29,31,35,60,49,85,67,72,80,50,74,87,85,78,20,25,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,Jaguars,1313381154,Foyesade Oluokun,WILL,LB,78,2,1313381154,553387999,MEGA,Jaguars,2026-04-16 20:25:10.172267,False,False,98,False,,False,False,33,2,8,1995,Yale,26,6,Foyesade,Foyesade Oluokun,Foyesade Oluokun,16877,74,24,St. Louis,0,97,True,False,False,False,23,Oluokun,4498,9347,13468,78,78,0,2020,20,0,77,230,10,5300000,2200000,3100000,3100000,1,2200000,1,0,0,0,0,77,80,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,79,88,50,87,88,85,94,66,86,81,17,35,35,35,35,35,35,15,10,10,30,15,6,28,10,6,41,26,73,62,49,42,40,32,36,34,75,15,10,10,20,47,42,87,72,65,83,55,63,89,84,71,14,20,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
