team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
KC,Chiefs,1313380669,Trent McDuffie,CB,CB,98,2,1313380669,553387724,MEGA,Chiefs,2026-04-16 20:25:04.298243,False,False,2578,False,,False,False,27,13,9,2000,Washington,21,1,Trent,Trent McDuffie,Trent McDuffie,7293,71,4,Westminster,0,97,True,False,False,False,22,McDuffie,1985,1844,22265,98,98,24,2024,11,0,98,193,6,23970000,4770000,76800000,89790000,5,38190000,4,0,0,0,0,98,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bench Press', 'startActivated': False, 'signatureLogoId': 1312, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability apply bonus fatigue to their man coverage target after a successful press win', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Shade', 'startActivated': False, 'signatureLogoId': 1396, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Route KO', 'startActivated': False, 'signatureLogoId': 1321, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus deep routes 20+ yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,94,97,50,91,93,92,91,61,86,46,15,34,33,33,34,33,34,15,6,6,26,6,6,27,10,6,63,53,70,59,52,73,68,66,23,26,91,17,11,16,26,61,38,67,55,99,99,29,97,83,74,96,21,22,0,2,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380665,George Karlaftis,LEDGE,DE,90,1,1313380665,553387443,MEGA,Chiefs,2026-04-16 20:25:04.295253,False,False,799,False,,False,False,27,3,4,2001,Purdue,30,1,George,George Karlaftis,George Karlaftis,14104,76,13,West Lafayette,0,97,True,False,False,False,56,Karlaftis,468,1795,22140,90,90,24,2024,20,0,90,263,6,23000000,19000000,8000000,32710000,6,52270000,3,0,0,0,0,90,83,0,97,[],[],86,80,93,50,93,86,80,84,85,91,86,16,45,45,45,45,45,45,12,6,6,30,6,6,20,10,6,35,22,47,42,28,33,10,29,40,38,68,14,3,5,13,34,76,88,79,17,93,92,17,96,91,23,14,18,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380673,Leo Chenal,SAM,LB,88,1,1313380673,553386441,MEGA,Chiefs,2026-04-16 20:25:04.286719,False,False,695,False,,False,False,27,26,10,2000,Wisconsin,39,3,Leo,Leo Chenal,Leo Chenal,9564,75,48,Grantsburg,0,97,True,False,False,False,54,Chenal,138,1269,22458,88,88,24,2024,11,0,88,250,6,7340000,3240000,12300000,20500000,5,16500000,3,0,0,0,0,88,87,0,99,[],[],94,82,85,50,91,94,88,85,82,90,90,34,45,45,45,45,45,45,25,15,18,30,21,21,25,18,15,72,67,52,68,44,62,25,54,63,55,75,32,19,24,28,45,54,89,85,65,86,63,53,89,91,71,21,24,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380658,Nick Bolton,MIKE,LB,88,2,1313380658,553386228,MEGA,Chiefs,2026-04-16 20:25:04.285927,False,False,487,False,,False,False,28,10,3,2000,Missouri,26,2,Nick,Nick Bolton,Nick Bolton,14351,71,42,Frisco,0,97,True,False,False,False,32,Bolton,5374,977,21474,88,88,0,2023,11,0,88,237,7,19240000,9620000,9620000,9620000,1,9620000,1,0,0,0,0,88,82,0,85,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Crusher', 'startActivated': False, 'signatureLogoId': 1386, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause heavy fatigue penalties when tackling a ballcarrier with a hit-stick tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lumberjack', 'startActivated': False, 'signatureLogoId': 1249, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability allow fewer broken tackles and cause more fumbles when cut-sticking ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,74,90,50,94,78,87,95,74,89,81,17,45,45,45,45,45,45,17,6,6,35,6,6,13,16,6,32,21,64,54,34,42,10,38,31,29,72,15,6,10,20,37,50,87,84,70,93,61,48,96,92,72,11,20,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380472,Zyon McCollum,CB,CB,87,2,1313380472,553387709,MEGA,Chiefs,2026-04-16 20:25:04.297505,False,False,540,False,,False,False,29,3,5,1999,Sam Houston,14,5,Zyon,Zyon McCollum,Zyon McCollum,1485,74,42,Galveston,0,97,True,False,False,False,29,McCollum,1133,1840,22285,87,87,0,2024,13,0,87,199,6,4540000,4540000,0,0,4,13100000,1,0,0,0,0,87,92,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'On The Ball', 'startActivated': False, 'signatureLogoId': 1390, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are much less likely to be fooled by WR runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,97,84,50,93,93,93,89,60,75,45,15,29,29,29,33,33,33,22,8,10,25,15,21,26,13,15,62,48,72,63,54,71,45,62,38,40,93,25,19,24,28,64,40,64,51,89,82,30,78,68,55,83,20,20,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313382247,Ethan Brown,LEDGE,DE,86,3,1313382247,553387404,MEGA,Chiefs,2026-04-16 20:25:04.294516,False,False,1879,False,,False,False,22,15,11,1941,Florida,29,1,Ethan,Ethan Brown,Ethan Brown,3917,77,0,PLACEHOLDER,0,97,True,False,False,False,91,Brown,205,3455,2493,86,86,24,2027,6,0,84,261,1,3790000,1780000,6030000,8040000,4,7640000,3,0,0,0,0,84,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Relentless', 'startActivated': False, 'signatureLogoId': 1310, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most tenacious defenders beat their blocks by sheer force of will. When they enter the zone, their rush move attempts are free.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Make sacks or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,82,82,50,79,85,84,79,81,82,74,47,41,24,40,39,36,36,39,16,17,33,35,28,27,29,30,25,30,31,55,46,29,26,25,45,30,79,40,26,38,27,45,90,79,83,43,77,85,35,87,89,45,38,37,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380648,Nohl Williams,CB,CB,85,1,1313380648,553388899,MEGA,Chiefs,2026-04-16 20:25:04.306152,False,False,684,False,,False,False,25,23,9,2002,California,21,3,Nohl,Nohl Williams,Nohl Williams,4053,72,4,Oxnard,0,97,True,False,False,False,20,Williams,365,10783,15293,85,85,0,2025,0,0,85,199,3,1290000,1050000,240000,960000,4,3650000,1,0,0,0,0,85,86,0,98,[],[],89,85,82,50,92,85,89,94,63,92,57,24,35,25,35,35,25,35,19,6,6,9,6,6,25,7,6,75,52,82,68,68,72,79,65,38,38,83,37,34,36,39,74,32,69,56,91,88,31,86,77,72,81,18,30,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313380640,Jaden Hicks,SS,S,82,1,1313380640,553387136,MEGA,Chiefs,2026-04-16 20:25:04.291577,False,False,409,False,,False,False,26,16,8,2002,Washington State,33,4,Jaden,Jaden Hicks,Jaden Hicks,1586,74,27,Las Vegas,0,97,True,False,False,False,21,Hicks,1122,10107,14951,82,82,24,2023,0,0,82,215,4,6320000,2620000,11100000,11230000,4,10140000,3,0,0,0,0,82,85,0,98,[],[],91,87,74,50,95,89,89,83,67,88,65,31,26,27,30,35,35,35,11,24,31,40,35,15,40,14,16,63,59,71,68,57,70,50,63,55,60,85,40,17,22,26,67,53,88,68,74,81,45,71,86,76,83,15,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313382245,Kurt Watson,DT,DT,80,1,1313382245,553387382,MEGA,Chiefs,2026-04-16 20:25:04.294098,False,False,615,False,,False,False,24,31,11,1962,Miami,15,2,Kurt,Kurt Watson,Kurt Watson,3141,75,43,PLACEHOLDER,0,97,True,False,False,False,90,Watson,24,3811,2526,80,80,24,2027,9,0,78,290,1,2270000,1400000,2610000,3480000,4,5920000,3,0,0,0,0,78,85,0,99,[],[],83,83,81,50,88,80,80,77,87,85,75,46,43,46,46,47,37,48,25,31,23,29,37,17,30,33,47,36,35,34,54,25,30,38,36,40,30,72,49,39,35,29,24,81,77,75,25,80,73,28,86,85,50,40,25,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,Chiefs,1313382178,Sam Mitchell,FS,S,80,3,1313382178,553386727,MEGA,Chiefs,2026-04-16 20:25:04.288602,False,False,1089,False,,False,False,21,11,15,2062,Alabama,13,1,Sam,Sam Mitchell,Sam Mitchell,0,71,39,PLACEHOLDER,0,97,True,False,False,False,30,Mitchell,0,10318,3157,80,80,24,2028,11,0,80,197,0,5030000,1880000,12600000,12600000,4,9320000,4,0,0,0,0,80,86,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,92,76,50,94,86,87,96,67,82,57,29,46,48,28,41,34,24,47,13,33,32,29,18,32,40,41,81,43,76,64,43,64,49,65,42,38,86,42,43,28,38,42,43,77,61,75,74,32,72,81,66,86,27,40,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
