team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LAC,Chargers,1313380594,Rashawn Slater,LT,OL,93,2,1313380594,553388415,MEGA,Chargers,2026-04-16 20:25:04.762993,False,False,845,False,,False,False,29,26,3,1999,Northwestern,13,1,Rashawn,Rashawn Slater,Rashawn Slater,21323,76,42,Sugar Land,0,97,True,False,False,False,70,Slater,840,768,21541,93,93,24,2023,3,0,88,315,7,37360000,23290000,28140000,79810000,5,53210000,2,0,0,0,0,88,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Protector', 'startActivated': False, 'signatureLogoId': 1216, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'All Day', 'startActivated': False, 'signatureLogoId': 1227, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will allow less frequent shed attempts by their block target', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,68,88,50,88,80,75,89,93,88,94,82,92,97,95,87,81,87,12,6,6,12,6,6,10,15,6,12,12,25,24,15,10,10,10,15,25,60,12,5,10,12,15,24,21,25,12,24,30,10,29,35,9,15,11,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380590,Justin Herbert,QB,QB,91,2,1313380590,553387119,MEGA,Chargers,2026-04-16 20:25:04.757643,False,False,1527,False,,False,False,30,10,3,1998,Oregon,6,1,Justin,Justin Herbert,Justin Herbert,4548,78,36,Eugene,0,97,True,False,False,False,10,Herbert,6059,346,21034,91,91,24,2022,6,0,91,236,8,50240000,1250000,78860000,176850000,7,123600000,2,0,0,0,0,91,92,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Lead Elite', 'startActivated': False, 'signatureLogoId': 1162, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have increased throw power on bullet precision passes (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Sideline Deadeye', 'startActivated': False, 'signatureLogoId': 1193, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws outside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'High Point Deadeye', 'startActivated': False, 'signatureLogoId': 1395, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on any high point throws under 20 yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,80,89,50,92,84,86,93,71,95,23,18,17,12,17,13,19,24,82,90,88,75,92,95,96,95,92,80,59,39,68,12,67,12,58,63,58,72,14,10,13,17,18,10,33,26,11,16,10,14,41,36,18,16,20,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380569,Derwin James Jr,FS,S,91,2,1313380569,553387288,MEGA,Chargers,2026-04-16 20:25:04.758843,False,False,405,False,Torn Pectoral,True,False,32,3,8,1996,Florida State,17,1,Derwin,Derwin James Jr,Derwin James Jr,15520,74,8,Haines City,28,87,True,False,False,False,3,James Jr,4185,8943,13080,91,91,24,2020,11,0,91,215,10,16250000,8050000,24600000,39910000,5,51890000,3,0,0,0,0,91,88,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep In Zone KO', 'startActivated': False, 'signatureLogoId': 1318, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and inside the numbers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,88,94,50,89,89,90,95,78,91,73,20,35,35,35,35,35,35,24,10,13,30,18,22,34,10,15,73,59,78,72,56,77,78,67,47,46,84,24,17,22,27,67,67,92,66,83,91,69,81,89,78,86,15,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380581,Omarion Hampton,HB,RB,89,1,1313380581,553387024,MEGA,Chargers,2026-04-16 20:25:04.756668,False,False,972,False,,False,False,25,16,3,2003,North Carolina,22,1,Omarion,Omarion Hampton,Omarion Hampton,2280,72,32,Clayton,0,97,True,False,False,False,8,Hampton,250,10572,15045,89,89,24,2025,0,0,87,221,3,4410000,2600000,10820000,16250000,5,7730000,2,0,0,0,0,87,88,0,86,[],[],93,83,86,50,92,90,90,89,78,94,47,45,42,39,55,28,29,43,19,12,24,36,15,24,25,21,23,94,92,73,96,61,91,76,94,86,88,79,54,51,54,61,58,31,37,38,28,44,30,30,44,43,36,18,31,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1526716060,Avery Vinson,SS,S,89,3,1526716060,553386233,MEGA,Chargers,2026-04-16 20:25:04.753675,False,False,2461,False,,False,False,22,7,8,2009,USC,6,1,Avery,Avery Vinson,Avery Vinson,6218,72,37,PLACEHOLDER,0,97,True,False,False,False,40,Vinson,333,3761,2777,89,89,24,2027,12,0,87,214,1,8680000,3000000,17040000,22720000,4,13120000,3,0,0,0,0,87,87,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,87,79,50,91,81,88,96,74,78,61,42,25,34,30,35,37,48,30,21,18,12,26,11,19,41,32,66,46,76,61,48,52,57,58,65,65,89,42,24,42,42,44,39,99,71,66,82,45,68,89,92,89,36,43,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353511,Brian Jennings,CB,CB,88,1,1388353511,553388123,MEGA,Chargers,2026-04-16 20:25:04.762228,False,False,1734,False,,False,False,23,28,1,2025,Baylor,19,1,Brian,Brian Jennings,Brian Jennings,9770,72,29,PLACEHOLDER,0,97,True,False,False,False,1,Jennings,361,3372,2052,88,88,22,2026,10,0,88,183,2,4650000,2190000,4920000,9840000,4,8320000,2,0,0,0,0,88,89,0,98,[],[],94,87,83,50,79,84,92,80,70,78,46,41,45,46,45,37,39,45,30,14,17,35,28,27,27,40,36,56,25,64,63,29,80,72,70,26,32,91,39,43,26,43,31,37,74,58,81,90,46,83,73,76,92,25,34,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353512,Tremaine Burris,REDGE,DE,88,2,1388353512,553388555,MEGA,Chargers,2026-04-16 20:25:04.764247,False,False,969,False,,False,False,25,30,5,2022,Colorado State,15,2,Tremaine,Tremaine Burris,Tremaine Burris,6245,73,16,PLACEHOLDER,0,97,True,False,False,False,90,Burris,1661,3473,2064,88,88,24,2026,6,0,88,268,2,2400000,1530000,1740000,3480000,4,5920000,2,0,0,0,0,88,82,0,90,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,77,87,50,95,78,81,83,82,84,72,39,28,24,31,40,27,31,42,14,32,18,24,32,11,41,32,46,28,40,55,36,36,42,37,37,28,73,43,47,35,38,47,96,83,94,50,80,88,35,91,90,50,43,31,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380601,Tuli Tuipulotu,LEDGE,DE,87,1,1313380601,553388697,MEGA,Chargers,2026-04-16 20:25:04.765029,False,False,729,False,,False,False,25,3,9,2002,USC,23,2,Tuli,Tuli Tuipulotu,Tuli Tuipulotu,4829,75,4,Hawthorne,0,97,True,False,False,False,45,Tuipulotu,453,2634,22922,87,87,24,2022,20,0,85,266,5,15470000,7470000,24000000,32470000,5,33600000,3,0,0,0,0,85,80,0,98,[],[],83,73,85,50,92,72,77,81,88,90,82,32,40,40,40,45,45,45,12,6,7,30,9,6,20,17,9,36,24,35,33,27,31,10,21,39,40,65,15,6,8,15,32,92,88,92,43,83,88,38,95,89,55,28,31,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353513,Dorian Carroll,DT,DT,87,2,1388353513,553386144,MEGA,Chargers,2026-04-16 20:25:04.752828,False,False,1601,False,,False,False,23,6,12,2017,USC,19,2,Dorian,Dorian Carroll,Dorian Carroll,4886,76,46,PLACEHOLDER,0,97,True,False,False,False,51,Carroll,336,4077,2138,87,87,24,2026,13,0,80,346,2,2200000,1480000,1440000,2880000,4,5720000,2,0,0,0,0,80,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,72,85,50,91,68,71,88,91,79,81,36,38,35,36,48,31,28,33,18,33,31,13,13,37,25,36,43,27,34,58,48,47,42,36,24,35,57,46,39,38,37,38,76,77,90,25,88,77,25,82,89,30,35,31,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380584,Oronde Gadsden II,TE,TE,87,1,1313380584,553386871,MEGA,Chargers,2026-04-16 20:25:04.756195,False,False,821,False,,False,False,25,25,6,2003,Syracuse,29,5,Oronde,Oronde Gadsden II,Oronde Gadsden II,4812,77,8,Fort Lauderdale,0,97,True,False,False,False,86,Gadsden II,538,10558,15122,87,87,0,2025,0,0,84,241,3,1030000,1010000,20000,80000,4,3300000,1,0,0,0,0,84,78,0,96,[],[],88,80,70,50,82,84,86,86,73,84,62,47,59,57,58,62,56,59,32,18,23,7,24,31,37,24,28,75,74,86,77,96,73,33,71,70,80,75,89,76,87,80,92,31,25,33,22,35,28,19,33,29,26,16,28,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
