team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LAC,Chargers,1313380569,Derwin James Jr,FS,S,91,2,1313380569,553387288,MEGA,Chargers,2026-04-16 20:25:04.758843,False,False,405,False,Torn Pectoral,True,False,32,3,8,1996,Florida State,17,1,Derwin,Derwin James Jr,Derwin James Jr,15520,74,8,Haines City,28,87,True,False,False,False,3,James Jr,4185,8943,13080,91,91,24,2020,11,0,91,215,10,16250000,8050000,24600000,39910000,5,51890000,3,0,0,0,0,91,88,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep In Zone KO', 'startActivated': False, 'signatureLogoId': 1318, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and inside the numbers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,88,94,50,89,89,90,95,78,91,73,20,35,35,35,35,35,35,24,10,13,30,18,22,34,10,15,73,59,78,72,56,77,78,67,47,46,84,24,17,22,27,67,67,92,66,83,91,69,81,89,78,86,15,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1526716060,Avery Vinson,SS,S,89,3,1526716060,553386233,MEGA,Chargers,2026-04-16 20:25:04.753675,False,False,2461,False,,False,False,22,7,8,2009,USC,6,1,Avery,Avery Vinson,Avery Vinson,6218,72,37,PLACEHOLDER,0,97,True,False,False,False,40,Vinson,333,3761,2777,89,89,24,2027,12,0,87,214,1,8680000,3000000,17040000,22720000,4,13120000,3,0,0,0,0,87,87,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,87,79,50,91,81,88,96,74,78,61,42,25,34,30,35,37,48,30,21,18,12,26,11,19,41,32,66,46,76,61,48,52,57,58,65,65,89,42,24,42,42,44,39,99,71,66,82,45,68,89,92,89,36,43,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353511,Brian Jennings,CB,CB,88,1,1388353511,553388123,MEGA,Chargers,2026-04-16 20:25:04.762228,False,False,1734,False,,False,False,23,28,1,2025,Baylor,19,1,Brian,Brian Jennings,Brian Jennings,9770,72,29,PLACEHOLDER,0,97,True,False,False,False,1,Jennings,361,3372,2052,88,88,22,2026,10,0,88,183,2,4650000,2190000,4920000,9840000,4,8320000,2,0,0,0,0,88,89,0,98,[],[],94,87,83,50,79,84,92,80,70,78,46,41,45,46,45,37,39,45,30,14,17,35,28,27,27,40,36,56,25,64,63,29,80,72,70,26,32,91,39,43,26,43,31,37,74,58,81,90,46,83,73,76,92,25,34,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353512,Tremaine Burris,REDGE,DE,88,2,1388353512,553388555,MEGA,Chargers,2026-04-16 20:25:04.764247,False,False,969,False,,False,False,25,30,5,2022,Colorado State,15,2,Tremaine,Tremaine Burris,Tremaine Burris,6245,73,16,PLACEHOLDER,0,97,True,False,False,False,90,Burris,1661,3473,2064,88,88,24,2026,6,0,88,268,2,2400000,1530000,1740000,3480000,4,5920000,2,0,0,0,0,88,82,0,90,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,77,87,50,95,78,81,83,82,84,72,39,28,24,31,40,27,31,42,14,32,18,24,32,11,41,32,46,28,40,55,36,36,42,37,37,28,73,43,47,35,38,47,96,83,94,50,80,88,35,91,90,50,43,31,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380601,Tuli Tuipulotu,LEDGE,DE,87,1,1313380601,553388697,MEGA,Chargers,2026-04-16 20:25:04.765029,False,False,729,False,,False,False,25,3,9,2002,USC,23,2,Tuli,Tuli Tuipulotu,Tuli Tuipulotu,4829,75,4,Hawthorne,0,97,True,False,False,False,45,Tuipulotu,453,2634,22922,87,87,24,2022,20,0,85,266,5,15470000,7470000,24000000,32470000,5,33600000,3,0,0,0,0,85,80,0,98,[],[],83,73,85,50,92,72,77,81,88,90,82,32,40,40,40,45,45,45,12,6,7,30,9,6,20,17,9,36,24,35,33,27,31,10,21,39,40,65,15,6,8,15,32,92,88,92,43,83,88,38,95,89,55,28,31,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353513,Dorian Carroll,DT,DT,87,2,1388353513,553386144,MEGA,Chargers,2026-04-16 20:25:04.752828,False,False,1601,False,,False,False,23,6,12,2017,USC,19,2,Dorian,Dorian Carroll,Dorian Carroll,4886,76,46,PLACEHOLDER,0,97,True,False,False,False,51,Carroll,336,4077,2138,87,87,24,2026,13,0,80,346,2,2200000,1480000,1440000,2880000,4,5720000,2,0,0,0,0,80,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,72,85,50,91,68,71,88,91,79,81,36,38,35,36,48,31,28,33,18,33,31,13,13,37,25,36,43,27,34,58,48,47,42,36,24,35,57,46,39,38,37,38,76,77,90,25,88,77,25,82,89,30,35,31,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380602,Daiyan Henley,MIKE,LB,86,2,1313380602,553387112,MEGA,Chargers,2026-04-16 20:25:04.757381,False,False,564,False,,False,False,28,18,11,1999,Washington State,22,3,Daiyan,Daiyan Henley,Daiyan Henley,6524,73,4,Los Angeles,0,97,True,False,False,False,0,Henley,2725,2186,23000,86,86,24,2022,12,0,86,225,5,9030000,3330000,22800000,28740000,6,20990000,4,0,0,0,0,86,82,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Stonewall', 'startActivated': False, 'signatureLogoId': 1350, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently prevent additional yardage gains while tackling', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Crusher', 'startActivated': False, 'signatureLogoId': 1386, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause heavy fatigue penalties when tackling a ballcarrier with a hit-stick tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,82,85,50,90,89,89,91,65,85,68,26,40,40,40,45,45,45,12,6,6,25,6,6,24,10,6,75,62,72,64,68,71,60,64,61,60,78,62,45,51,53,71,59,79,73,76,91,49,72,89,89,81,44,51,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380564,Tarheeb Still,CB,CB,86,0,1313380564,553388511,MEGA,Chargers,2026-04-16 20:25:04.764014,False,False,523,False,,False,False,26,9,6,2002,Maryland,2,5,Tarheeb,Tarheeb Still,Tarheeb Still,13320,73,29,Sicklerville,0,97,True,False,False,False,29,Still,416,10255,1087,86,86,24,2023,11,0,86,196,4,13850000,4950000,44500000,44590000,6,34140000,5,0,0,0,0,86,87,0,97,[],[],93,85,85,50,91,90,89,85,56,76,57,15,8,9,10,13,14,15,10,6,10,26,11,11,27,11,6,61,66,79,60,64,72,80,66,32,26,88,27,11,16,26,66,31,55,43,82,86,26,80,71,71,92,17,18,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313381067,Matthew Watkins,DT,DT,85,1,1313381067,553387159,MEGA,Chargers,2026-04-16 20:25:04.757878,False,False,1331,False,,False,False,23,24,9,2051,Georgia,6,4,Matthew,Matthew Watkins,Matthew Watkins,359,75,21,PLACEHOLDER,0,97,True,False,False,False,91,Watkins,24,10335,2484,85,85,24,2027,9,0,74,304,1,1490000,1220000,810000,1080000,4,5040000,3,0,0,0,0,74,84,0,97,[],[],81,71,78,50,80,65,71,76,93,83,86,44,27,48,34,47,28,29,35,27,36,32,14,10,24,44,40,43,39,46,57,25,35,37,42,33,42,64,44,34,39,24,39,63,86,85,24,82,69,31,84,92,42,39,29,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313381348,Edgerrin Cooper,SAM,LB,85,2,1313381348,553386512,MEGA,Chargers,2026-04-16 20:25:04.754516,False,False,419,False,,False,False,26,17,11,2001,Texas A&M,13,2,Edgerrin,Edgerrin Cooper,Edgerrin Cooper,2584,74,17,Covington,0,97,True,False,False,False,56,Cooper,1739,10041,14902,85,85,0,2023,0,0,82,230,4,36900000,8400000,28500000,28500000,1,8400000,1,0,0,0,0,82,84,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pick Artist', 'startActivated': False, 'signatureLogoId': 1165, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have higher chance to catch uncontested interceptions, and they have unlimited stamina on the return (until using a special move or breaking a tackle).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,80,81,50,92,83,89,85,72,87,75,37,36,35,40,44,44,45,23,20,22,24,26,27,22,38,18,64,51,70,65,61,68,45,64,57,53,78,26,21,30,35,59,66,84,74,81,84,55,67,85,90,80,19,21,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
