team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LAC,Chargers,1313380594,Rashawn Slater,LT,OL,93,2,1313380594,553388415,MEGA,Chargers,2026-04-16 20:25:04.762993,False,False,845,False,,False,False,29,26,3,1999,Northwestern,13,1,Rashawn,Rashawn Slater,Rashawn Slater,21323,76,42,Sugar Land,0,97,True,False,False,False,70,Slater,840,768,21541,93,93,24,2023,3,0,88,315,7,37360000,23290000,28140000,79810000,5,53210000,2,0,0,0,0,88,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Protector', 'startActivated': False, 'signatureLogoId': 1216, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'All Day', 'startActivated': False, 'signatureLogoId': 1227, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will allow less frequent shed attempts by their block target', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,68,88,50,88,80,75,89,93,88,94,82,92,97,95,87,81,87,12,6,6,12,6,6,10,15,6,12,12,25,24,15,10,10,10,15,25,60,12,5,10,12,15,24,21,25,12,24,30,10,29,35,9,15,11,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380590,Justin Herbert,QB,QB,91,2,1313380590,553387119,MEGA,Chargers,2026-04-16 20:25:04.757643,False,False,1527,False,,False,False,30,10,3,1998,Oregon,6,1,Justin,Justin Herbert,Justin Herbert,4548,78,36,Eugene,0,97,True,False,False,False,10,Herbert,6059,346,21034,91,91,24,2022,6,0,91,236,8,50240000,1250000,78860000,176850000,7,123600000,2,0,0,0,0,91,92,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Lead Elite', 'startActivated': False, 'signatureLogoId': 1162, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have increased throw power on bullet precision passes (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Sideline Deadeye', 'startActivated': False, 'signatureLogoId': 1193, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws outside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'High Point Deadeye', 'startActivated': False, 'signatureLogoId': 1395, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on any high point throws under 20 yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,80,89,50,92,84,86,93,71,95,23,18,17,12,17,13,19,24,82,90,88,75,92,95,96,95,92,80,59,39,68,12,67,12,58,63,58,72,14,10,13,17,18,10,33,26,11,16,10,14,41,36,18,16,20,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380581,Omarion Hampton,HB,RB,89,1,1313380581,553387024,MEGA,Chargers,2026-04-16 20:25:04.756668,False,False,972,False,,False,False,25,16,3,2003,North Carolina,22,1,Omarion,Omarion Hampton,Omarion Hampton,2280,72,32,Clayton,0,97,True,False,False,False,8,Hampton,250,10572,15045,89,89,24,2025,0,0,87,221,3,4410000,2600000,10820000,16250000,5,7730000,2,0,0,0,0,87,88,0,86,[],[],93,83,86,50,92,90,90,89,78,94,47,45,42,39,55,28,29,43,19,12,24,36,15,24,25,21,23,94,92,73,96,61,91,76,94,86,88,79,54,51,54,61,58,31,37,38,28,44,30,30,44,43,36,18,31,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380584,Oronde Gadsden II,TE,TE,87,1,1313380584,553386871,MEGA,Chargers,2026-04-16 20:25:04.756195,False,False,821,False,,False,False,25,25,6,2003,Syracuse,29,5,Oronde,Oronde Gadsden II,Oronde Gadsden II,4812,77,8,Fort Lauderdale,0,97,True,False,False,False,86,Gadsden II,538,10558,15122,87,87,0,2025,0,0,84,241,3,1030000,1010000,20000,80000,4,3300000,1,0,0,0,0,84,78,0,96,[],[],88,80,70,50,82,84,86,86,73,84,62,47,59,57,58,62,56,59,32,18,23,7,24,31,37,24,28,75,74,86,77,96,73,33,71,70,80,75,89,76,87,80,92,31,25,33,22,35,28,19,33,29,26,16,28,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380582,Tre Harris,WR,WR,87,1,1313380582,553387060,MEGA,Chargers,2026-04-16 20:25:04.757148,False,False,679,False,,False,False,26,28,2,2002,Ole Miss,23,2,Tre,Tre Harris,Tre Harris,5665,74,17,Lafayette,0,97,True,False,False,False,9,Harris,354,10578,15058,87,87,0,2025,0,0,82,205,3,2070000,1600000,470000,1880000,4,4600000,1,0,0,0,0,82,87,0,85,[],[],91,83,86,50,87,93,88,87,68,89,45,31,14,21,21,33,30,52,36,40,44,33,51,43,64,33,32,83,74,94,71,94,87,69,78,54,46,84,88,90,89,77,92,33,30,38,24,36,31,25,37,21,27,25,33,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1388353514,Marco Manuel,RG,OL,84,1,1388353514,553387996,MEGA,Chargers,2026-04-16 20:25:04.761982,False,False,1141,False,,False,False,23,7,7,1976,TCU,19,3,Marco,Marco Manuel,Marco Manuel,6387,76,42,PLACEHOLDER,0,97,True,False,False,False,69,Manuel,78,10327,2227,84,84,24,2026,1,0,71,325,2,1610000,1290000,640000,1280000,4,5080000,2,0,0,0,0,71,87,0,99,[],[],79,72,77,50,98,74,70,86,87,82,93,85,87,65,80,90,69,84,28,18,12,17,31,26,31,37,32,24,31,33,58,27,27,32,34,41,40,54,47,26,28,42,28,26,30,42,45,35,28,45,43,34,43,28,36,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380588,Mekhi Becton Sr,C,OL,83,1,1313380588,553386167,MEGA,Chargers,2026-04-16 20:25:04.753070,False,False,270,False,,False,False,29,18,4,1999,Louisville,11,1,Mekhi,Mekhi Becton Sr,Mekhi Becton Sr,4513,79,45,Highland Springs,0,97,True,False,False,False,73,Becton Sr,881,90,20969,83,83,24,2022,4,0,83,363,8,20460000,6960000,40500000,56500000,5,40400000,3,0,0,0,0,83,90,0,99,[],[],73,54,88,50,74,80,71,73,93,85,92,82,67,81,78,88,85,90,12,6,6,25,6,6,25,15,6,15,25,35,40,12,10,10,10,25,39,54,12,5,5,12,12,10,20,31,12,15,10,10,12,42,15,20,20,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313381513,DeMario Douglas,WR,WR,83,1,1313381513,553386664,MEGA,Chargers,2026-04-16 20:25:04.755479,False,False,356,False,,False,False,27,8,12,2000,Liberty,33,6,DeMario,DeMario Douglas,DeMario Douglas,10653,68,8,Jacksonville,0,97,True,False,False,False,80,Douglas,386,3083,22797,83,83,0,2022,6,0,81,185,5,8860000,4560000,4300000,8600000,2,8600000,1,0,0,0,0,81,88,0,79,[],[],93,88,86,50,89,90,91,83,57,87,37,20,25,19,30,27,20,52,17,10,15,30,24,10,25,15,6,87,75,95,75,80,84,77,77,56,51,90,83,81,82,83,84,10,32,32,32,32,10,34,48,41,41,18,21,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380597,Najee Harris,HB,RB,83,1,1313380597,553387057,MEGA,Chargers,2026-04-16 20:25:04.756909,False,False,313,False,,False,False,30,9,3,1998,Alabama,24,1,Najee,Najee Harris,Najee Harris,24125,73,4,Antioch,0,97,True,False,False,False,22,Harris,712,1308,21829,83,83,24,2023,4,0,83,242,7,4890000,1590000,6600000,17950000,5,6500000,2,0,0,0,0,83,86,0,97,[],[],90,85,77,50,94,95,88,88,82,93,55,49,34,37,60,40,41,50,42,26,37,30,43,37,43,26,32,81,88,67,95,58,85,53,79,93,91,87,58,51,59,66,60,21,40,36,21,32,24,24,42,44,26,15,18,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,Chargers,1313380764,Jesse Galindo,LT,OL,82,2,1313380764,553386773,MEGA,Chargers,2026-04-16 20:25:04.755715,False,False,1237,False,,False,False,21,15,15,1977,Utah,6,1,Jesse,Jesse Galindo,Jesse Galindo,0,78,47,PLACEHOLDER,0,97,True,False,False,False,71,Galindo,0,3872,3116,82,82,24,2028,1,0,74,306,0,8270000,2590000,22720000,22720000,4,13120000,4,0,0,0,0,74,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",83,75,82,50,98,75,79,89,86,79,88,79,89,75,82,84,76,81,48,29,12,10,10,14,30,33,29,27,34,46,50,41,29,44,25,32,46,68,43,34,48,40,41,36,46,33,28,36,34,37,33,47,44,26,34,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
