team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LAR,Rams,1313381614,Jared Verse,LEDGE,DE,92,2,1313381614,553388744,MEGA,Rams,2026-04-16 20:25:16.882932,False,False,874,False,,False,False,27,4,11,2000,Florida State,19,1,Jared,Jared Verse,Jared Verse,2715,76,34,Dayton,0,97,True,False,False,False,8,Verse,399,10279,14752,92,92,0,2023,0,0,92,254,4,32430000,1100000,31330000,39130000,5,8310000,1,0,0,0,0,92,88,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Under Pressure', 'startActivated': False, 'signatureLogoId': 1204, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can apply pressure to the quarterback from a greater distance.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,82,90,50,90,84,89,84,90,86,85,24,45,45,45,45,45,45,17,5,6,20,7,6,17,14,6,38,37,67,62,60,38,10,32,36,42,70,39,32,39,44,61,82,85,81,45,89,97,33,92,84,49,17,18,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1388354384,Terrence Nixon,CB,CB,89,3,1388354384,553387693,MEGA,Rams,2026-04-16 20:25:16.877195,False,False,1092,False,,False,False,25,2,14,2014,West Virginia,11,1,Terrence,Terrence Nixon,Terrence Nixon,1195,72,13,PLACEHOLDER,0,97,True,False,False,False,28,Nixon,941,3770,2036,89,89,22,2026,6,0,89,197,2,6370000,2680000,7380000,14760000,4,10160000,2,0,0,0,0,89,91,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bottleneck', 'startActivated': False, 'signatureLogoId': 1307, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Bottleneck defenders realize that the best way to stop a route is to act early. When they enter the zone, they are highly likely to dominantly win any man press encounter.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ironman', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability avoid any ratings penalties associated with playing outside of their primary position', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,92,87,50,96,88,92,85,69,86,46,29,45,47,32,41,31,29,45,19,11,13,15,10,22,45,44,66,40,62,62,45,76,82,79,47,47,95,38,35,44,48,25,41,69,54,90,86,43,83,75,75,90,34,32,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381639,Kobie Turner,DT,DT,87,2,1313381639,553388708,MEGA,Rams,2026-04-16 20:25:16.882653,False,False,532,False,,False,False,29,26,4,1999,Wake Forest,26,3,Kobie,Kobie Turner,Kobie Turner,19387,74,45,Clifton,0,97,True,False,False,False,91,Turner,621,5178,22933,87,87,24,2022,14,0,87,288,5,14810000,1170000,54560000,66090000,6,51990000,4,0,0,0,0,87,84,0,97,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,80,89,50,90,72,74,84,89,91,77,55,45,52,49,50,50,55,12,6,7,19,8,7,24,10,7,46,35,33,34,24,37,10,33,35,44,64,15,5,9,17,31,73,87,93,27,90,81,15,80,85,34,15,15,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381623,Ty Hamilton,DT,DT,86,1,1313381623,553387018,MEGA,Rams,2026-04-16 20:25:16.875163,False,False,628,False,Fractured Elbow,True,False,26,15,4,2002,Ohio State,10,5,Ty,Ty Hamilton,Ty Hamilton,1777,75,34,Pickerington,22,25,True,False,False,False,57,Hamilton,250,10571,15210,86,86,0,2025,0,0,86,319,3,1350000,1240000,110000,1100000,4,3540000,1,0,0,0,0,86,82,0,99,[],[],80,61,81,50,91,79,75,82,89,89,84,25,45,45,45,45,45,45,11,7,8,30,13,11,17,14,11,23,26,25,36,15,21,26,21,28,28,57,15,10,13,16,16,70,83,90,11,81,78,14,82,95,17,17,20,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381622,Josaiah Stewart,REDGE,DE,86,2,1313381622,553388506,MEGA,Rams,2026-04-16 20:25:16.882284,False,False,787,False,,False,False,25,26,4,2003,Michigan,26,3,Josaiah,Josaiah Stewart,Josaiah Stewart,6381,73,31,Bronx,0,97,True,False,False,False,2,Stewart,874,10741,15176,86,86,0,2025,0,0,84,249,3,1260000,1030000,230000,920000,4,3610000,1,0,0,0,0,84,82,0,75,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Demoralizer', 'startActivated': False, 'signatureLogoId': 1387, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability will clear a ballcarrier's progress towards entering the zone with a hit-stick tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mr. Big Stop', 'startActivated': False, 'signatureLogoId': 1336, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will start 3rd or 4th down with increased fatigue replenishment', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,77,82,50,91,83,82,76,79,89,82,22,45,45,45,45,45,45,23,8,10,13,20,18,22,20,15,39,34,31,41,15,36,32,27,35,36,69,13,10,15,20,15,90,83,88,32,82,94,31,89,88,41,22,24,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313382100,Ivan Pace Jr,WILL,LB,84,1,1313382100,553388026,MEGA,Rams,2026-04-16 20:25:16.878541,False,False,330,False,,False,False,27,16,12,2000,Cincinnati,-1,63,Ivan,Ivan Pace Jr,Ivan Pace Jr,5265,71,34,Cincinnati,0,97,True,False,False,False,0,Pace Jr,707,2346,22977,84,84,0,2022,11,0,81,231,5,18350000,5850000,12500000,37500000,3,15000000,1,0,0,0,0,81,81,0,96,[],[],83,78,82,50,92,84,85,86,72,88,74,25,35,35,35,40,40,40,14,6,6,30,6,6,22,7,6,48,31,63,53,47,52,10,48,36,44,73,20,5,6,10,45,73,85,80,66,86,61,42,92,92,75,19,21,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381707,Trenton Simpson,MIKE,LB,83,1,1313381707,553388400,MEGA,Rams,2026-04-16 20:25:16.881609,False,False,350,False,,False,False,27,14,6,2001,Clemson,23,3,Trenton,Trenton Simpson,Trenton Simpson,2957,74,32,Charlotte,0,97,True,False,False,False,32,Simpson,727,2393,22704,83,83,0,2022,11,0,83,234,5,9240000,3240000,6000000,12000000,2,6000000,1,0,0,0,0,83,87,0,99,[],[],95,82,80,50,92,94,91,85,77,87,70,34,35,35,35,45,45,45,40,27,31,35,36,37,35,24,31,68,56,47,64,44,72,10,64,57,55,79,23,15,21,25,51,69,90,74,69,84,59,64,88,85,76,14,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313382053,Hunter Stevens,SS,S,81,3,1313382053,553386801,MEGA,Rams,2026-04-16 20:25:16.874821,False,False,1178,False,,False,False,21,7,16,2024,Oregon State,10,1,Hunter,Hunter Stevens,Hunter Stevens,0,75,39,PLACEHOLDER,0,97,True,False,False,False,24,Stevens,0,4189,3172,81,81,24,2028,9,0,79,210,0,6120000,2120000,16000000,16000000,4,10600000,4,0,0,0,0,79,87,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Selfless', 'startActivated': False, 'signatureLogoId': 1240, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When Selfless players are making plays their teammates are motivated to perform better. When they enter the zone, all on field teammates enter the zone as well.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make hit-stick tackles', 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Pop', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a greater chance of forcing fumbles when landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,89,76,50,88,90,93,88,67,81,67,45,45,43,37,39,31,47,34,21,37,30,16,35,22,27,48,69,36,69,70,27,61,75,66,60,39,91,41,30,26,43,47,47,92,62,81,74,26,73,78,73,72,24,43,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313380667,Bryan Cook,FS,S,81,0,1313380667,553386502,MEGA,Rams,2026-04-16 20:25:16.872458,False,False,203,False,,False,False,28,7,9,1999,Cincinnati,30,2,Bryan,Bryan Cook,Bryan Cook,1156,73,34,Cincinnati,0,97,True,False,False,False,21,Cook,619,1303,22234,81,81,0,2024,11,0,80,206,6,7930000,3430000,4500000,13500000,3,9000000,1,0,0,0,0,80,84,0,98,[],[],91,79,79,50,91,83,90,87,67,89,65,25,35,35,35,35,35,35,20,6,6,18,6,6,24,10,6,58,51,70,61,51,64,35,55,44,45,82,35,28,31,35,59,36,84,55,64,82,32,57,84,82,79,17,19,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313380668,Jaylen Watson,CB,CB,81,0,1313380668,553388813,MEGA,Rams,2026-04-16 20:25:16.883157,False,False,199,False,,False,False,29,17,9,1998,Washington State,22,7,Jaylen,Jaylen Watson,Jaylen Watson,539,74,9,Augusta,0,97,True,False,False,False,30,Watson,75,2014,22242,81,81,0,2024,20,0,80,197,6,9000000,4000000,5000000,15000000,3,10500000,1,0,0,0,0,80,89,0,96,[],[],92,82,78,50,91,90,93,89,66,80,53,24,29,29,29,34,34,34,20,12,14,26,17,19,25,14,6,64,52,64,59,57,73,45,66,35,40,86,41,32,36,39,55,41,64,55,81,79,33,80,72,62,86,17,16,0,0,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
