team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LAR,Rams,1313381636,Puka Nacua,WR,WR,99,3,1313381636,553387907,MEGA,Rams,2026-04-16 20:25:16.878253,False,False,3600,False,,False,False,27,29,5,2001,BYU,42,5,Puka,Puka Nacua,Puka Nacua,11334,73,43,Provo,0,97,True,False,False,False,12,Nacua,2655,4785,22811,99,99,24,2022,3,0,98,206,5,27230000,1170000,106900000,130360000,7,94630000,5,0,0,0,0,98,90,0,86,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': ""YAC 'Em Up"", 'startActivated': False, 'signatureLogoId': 1309, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The best physical receivers don't just come down with the ball, they carry it home. When they enter the zone, they are nearly guaranteed to break their first post-catch tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid In Elite', 'startActivated': False, 'signatureLogoId': 1333, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Elite', 'startActivated': False, 'signatureLogoId': 1929, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,88,98,50,86,95,93,98,65,80,55,35,20,25,30,33,36,59,21,6,10,32,15,33,25,29,29,99,97,99,99,99,99,35,86,66,61,91,99,99,99,98,99,10,21,20,10,15,10,15,29,28,16,25,29,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381648,Dylan Sampson,HB,RB,96,2,1313381648,553388312,MEGA,Rams,2026-04-16 20:25:16.880980,False,False,5015,False,,False,False,23,14,9,2004,Tennessee,24,4,Dylan,Dylan Sampson,Dylan Sampson,4345,68,17,Baton Rouge,0,97,True,False,False,False,25,Sampson,1265,10716,15044,96,96,0,2025,0,0,96,199,3,1140000,1140000,0,0,4,3830000,1,0,0,0,0,96,92,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,88,87,50,92,84,93,84,65,87,32,38,33,39,50,22,25,39,21,25,14,22,24,14,29,27,20,98,90,71,94,52,97,70,95,81,79,94,48,46,51,59,52,26,26,32,22,34,24,25,33,28,26,28,32,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1388354385,Dillon Overton,QB,QB,93,1,1388354385,553386358,MEGA,Rams,2026-04-16 20:25:16.872176,False,False,4400,False,,False,False,23,17,3,2042,Oregon State,18,1,Dillon,Dillon Overton,Dillon Overton,13968,75,4,PLACEHOLDER,0,97,True,False,False,False,10,Overton,694,3970,2015,93,93,22,2026,1,0,93,230,2,4720000,2210000,5020000,10040000,4,8400000,2,0,0,0,0,93,0,0,98,[],[],85,81,93,50,84,66,78,88,58,81,26,40,37,26,43,24,24,43,79,91,94,37,95,92,91,96,91,66,54,48,62,29,46,44,52,50,55,76,42,33,36,26,41,41,46,42,26,47,33,44,40,26,41,25,26,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381970,Tank Dell,WR,WR,88,1,1313381970,553386620,MEGA,Rams,2026-04-16 20:25:16.872892,False,False,612,False,,False,False,28,29,10,1999,Houston,6,3,Tank,Tank Dell,Tank Dell,14378,70,8,Daytona Beach,0,97,True,False,False,False,13,Dell,28,2090,22764,88,88,24,2022,6,0,87,165,5,13050000,6050000,21000000,28000000,5,27140000,3,0,0,0,0,87,87,0,79,[],[],94,90,86,50,82,82,92,93,50,87,33,22,21,16,27,24,14,51,17,10,15,35,20,10,27,17,6,93,74,91,79,90,89,79,82,35,29,93,84,93,87,90,89,10,13,18,10,16,10,15,29,21,10,13,19,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381629,Kevin Dotson,RG,OL,85,1,1313381629,553386662,MEGA,Rams,2026-04-16 20:25:16.873109,False,False,268,False,,False,False,31,18,9,1996,UL Lafayette,29,4,Kevin,Kevin Dotson,Kevin Dotson,28339,76,17,Plaquemine,0,97,True,False,False,False,69,Dotson,681,1423,21196,85,85,24,2022,0,0,81,321,8,20340000,5840000,58000000,88500000,6,36410000,4,0,0,0,0,81,86,0,99,[],[],69,59,88,50,87,78,70,85,90,92,87,92,74,79,75,89,92,90,12,6,6,24,6,6,25,11,6,15,9,30,28,15,10,10,10,10,25,51,15,5,5,15,15,10,25,30,12,22,10,10,28,34,12,11,11,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1526716998,Eric Neighbors,WR,WR,81,1,1526716998,553388175,MEGA,Rams,2026-04-16 20:25:16.879737,False,False,900,False,,False,False,23,15,7,1995,UCLA,10,4,Eric,Eric Neighbors,Eric Neighbors,3187,77,8,PLACEHOLDER,0,97,True,False,False,False,83,Neighbors,8,3939,2834,81,81,24,2027,0,0,77,216,1,1290000,1020000,810000,1080000,4,4200000,3,0,0,0,0,77,87,0,96,[],[],87,86,76,50,91,92,89,85,72,83,55,29,37,45,31,39,47,61,35,17,15,15,34,16,16,27,25,79,81,91,78,89,83,70,83,76,58,87,85,80,80,82,89,43,29,36,42,38,36,33,47,44,44,43,39,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313381638,Steve Avila,LT,OL,79,1,1313381638,553386093,MEGA,Rams,2026-04-16 20:25:16.871387,False,False,235,False,,False,False,28,16,10,1999,TCU,5,2,Steve,Steve Avila,Steve Avila,5359,75,42,Dallas,0,97,True,False,False,False,73,Avila,433,973,22859,79,79,24,2022,5,0,72,330,5,14030000,5530000,25500000,34930000,5,25930000,3,0,0,0,0,72,86,0,92,[],[],71,56,83,50,91,73,65,87,88,90,91,78,73,82,80,76,83,83,11,5,5,26,5,5,17,10,5,11,10,23,35,20,10,9,10,10,20,56,15,6,10,20,21,10,35,16,9,18,10,10,18,30,10,25,27,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313380939,Jedrick Wills Jr,RT,OL,78,1,1313380939,553388913,MEGA,Rams,2026-04-16 20:25:16.884606,False,False,165,False,,False,False,29,17,5,1999,Alabama,10,1,Jedrick,Jedrick Wills Jr,Jedrick Wills Jr,8997,76,16,Lexington,0,97,True,False,False,False,75,Wills Jr,477,670,20968,78,78,0,2022,3,0,74,307,8,11200000,4700000,6500000,19500000,3,12300000,1,0,0,0,0,74,88,0,99,[],[],69,66,86,50,88,83,72,88,92,92,88,77,78,87,81,73,71,72,12,6,6,17,6,6,21,13,6,14,8,33,27,26,18,8,14,26,27,54,18,7,13,23,22,10,25,28,11,26,10,12,27,29,17,28,19,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313382635,Sam Chambers,LG,OL,78,0,1313382635,553386335,MEGA,Rams,2026-04-16 20:25:16.871839,False,False,618,False,,False,False,23,6,6,1962,Alabama,19,1,Sam,Sam Chambers,Sam Chambers,3492,76,2,PLACEHOLDER,0,97,True,False,False,False,62,Chambers,187,10322,2707,78,78,24,2027,0,0,78,307,1,4390000,1930000,7380000,9840000,4,8320000,3,0,0,0,0,78,86,0,99,[],[],82,71,85,50,92,75,77,91,88,82,85,81,76,74,83,81,80,82,33,27,17,27,29,14,12,30,43,37,44,47,50,47,41,42,28,46,40,59,50,33,38,37,27,24,45,30,35,28,31,26,44,42,26,24,47,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,Rams,1313380207,Noah Fant,TE,TE,78,1,1313380207,553386774,MEGA,Rams,2026-04-16 20:25:16.874128,False,False,154,False,,False,False,30,20,11,1997,Iowa,20,1,Noah,Noah Fant,Noah Fant,19393,76,26,Omaha,0,97,True,False,False,False,80,Fant,1614,9452,20511,78,78,0,2021,4,0,75,249,9,10290000,4790000,5500000,11000000,2,9000000,1,0,0,0,0,75,79,0,95,[],[],91,87,75,50,90,87,87,87,72,82,60,47,58,56,59,59,58,59,18,10,15,22,20,10,28,14,10,80,67,88,76,80,74,10,64,64,64,76,73,64,67,71,85,19,26,38,16,28,16,19,38,41,22,12,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
