team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
LV,Raiders,1313381559,Maxx Crosby,LEDGE,DE,97,2,1313381559,553386536,MEGA,Raiders,2026-04-16 20:25:20.375533,False,False,1264,False,,False,False,31,22,8,1997,Eastern Michigan,4,4,Maxx,Maxx Crosby,Maxx Crosby,24929,77,42,Colleyville,0,97,True,False,False,False,98,Crosby,7488,9426,20571,97,97,24,2021,11,0,93,255,9,27280000,26500000,1560000,75370000,5,83930000,2,0,0,0,0,93,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Swim Club', 'startActivated': False, 'signatureLogoId': 1351, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting swim/club pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,83,96,50,94,85,86,98,85,86,86,20,45,44,45,45,46,45,12,6,6,21,6,6,22,10,6,41,27,41,41,29,34,20,30,39,34,71,25,16,20,25,31,99,88,90,40,94,90,25,98,96,48,12,17,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313380476,Calijah Kancey,REDGE,DE,91,2,1313380476,553387440,MEGA,Raiders,2026-04-16 20:25:20.378646,False,False,989,False,,False,False,27,1,3,2001,Pittsburgh,19,1,Calijah,Calijah Kancey,Calijah Kancey,6144,73,8,Miami,0,97,True,False,False,False,94,Kancey,1164,2275,22924,91,91,24,2022,12,0,88,281,5,18720000,7440000,45120000,56400000,7,57230000,5,0,0,0,0,88,86,0,88,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mr. Big Stop', 'startActivated': False, 'signatureLogoId': 1336, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will start 3rd or 4th down with increased fatigue replenishment', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,83,86,50,87,81,83,79,84,84,75,33,35,35,35,40,40,40,10,6,6,25,6,6,25,10,6,32,17,52,43,43,42,10,33,20,35,69,21,24,28,35,42,95,88,93,19,83,89,10,89,92,29,12,14,0,2,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313380445,Vita Vea,DT,DT,90,1,1313380445,553388741,MEGA,Raiders,2026-04-16 20:25:20.384683,False,False,101,False,,False,False,33,5,2,1995,Washington,12,1,Vita,Vita Vea,Vita Vea,38557,76,4,Milpitas,0,97,True,False,False,False,50,Vea,3911,9093,13091,90,90,0,2020,11,0,90,347,10,25710000,11110000,14600000,29200000,3,38800000,1,0,0,0,0,90,86,0,99,[],[],71,70,90,50,91,70,73,84,98,97,97,42,45,45,45,48,52,52,18,13,16,23,20,13,24,12,10,55,49,40,68,24,59,10,43,54,68,60,15,16,17,26,18,72,87,90,28,91,83,22,83,91,35,16,15,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381554,Darien Porter,CB,CB,86,2,1313381554,553388121,MEGA,Raiders,2026-04-16 20:25:20.382013,False,False,636,False,,False,False,27,6,1,2001,Iowa State,4,3,Darien,Darien Porter,Darien Porter,9081,75,14,Bettendorf,0,97,True,False,False,False,26,Porter,1261,10694,15291,86,86,0,2025,0,0,86,195,3,1820000,1530000,290000,1160000,4,4560000,1,0,0,0,0,86,92,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Flat Zone KO', 'startActivated': False, 'signatureLogoId': 1327, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any flat zone coverage, less than 10 yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,92,79,50,90,87,96,82,61,88,54,26,35,25,35,35,25,35,25,6,7,30,9,6,23,8,6,73,51,71,59,65,77,77,67,42,35,90,28,22,25,28,68,25,48,45,88,86,20,86,71,54,74,26,28,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381564,Jeremy Chinn,SS,S,85,3,1313381564,553386444,MEGA,Raiders,2026-04-16 20:25:20.374635,False,False,405,False,,False,False,30,26,2,1998,Southern Illinois,32,2,Jeremy,Jeremy Chinn,Jeremy Chinn,17797,75,13,Fishers,0,97,True,False,False,False,11,Chinn,5240,211,21151,85,85,24,2022,11,0,83,220,8,8970000,3570000,10800000,18200000,4,18420000,2,0,0,0,0,83,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tackle Supreme', 'startActivated': False, 'signatureLogoId': 1200, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have better conservative/dive tackling, are rarely faked out by ballcarrier moves, and cannot be faked out when user-controlled.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Out My Way', 'startActivated': False, 'signatureLogoId': 1301, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently attempt and win impact blocks against receivers, tight ends, and running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No Outsiders', 'startActivated': False, 'signatureLogoId': 1300, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks against outside zone plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,86,86,50,89,92,91,90,70,93,57,20,35,35,35,35,35,35,15,6,6,29,6,6,23,18,6,62,43,70,68,58,70,48,56,43,48,85,20,10,22,30,67,56,86,58,72,82,46,75,87,81,76,11,14,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1388354325,Josh Castro,DT,DT,84,1,1388354325,553387015,MEGA,Raiders,2026-04-16 20:25:20.376570,False,False,832,False,,False,False,24,20,11,1943,Texas,22,1,Josh,Josh Castro,Josh Castro,697,77,8,PLACEHOLDER,0,97,True,False,False,False,78,Castro,45,3902,2140,84,84,22,2026,9,0,84,298,2,4550000,2160000,4780000,9560000,4,8200000,2,0,0,0,0,84,87,0,99,[],[],82,72,78,50,98,80,79,73,94,82,79,44,43,26,27,48,27,46,37,15,24,30,27,28,20,27,27,39,25,34,55,29,26,33,45,42,38,63,47,46,42,25,34,76,80,80,26,84,81,47,88,89,48,30,40,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381112,Paulson Adebo,CB,CB,83,1,1313381112,553386002,MEGA,Raiders,2026-04-16 20:25:20.373256,False,False,307,False,,False,False,29,3,7,1999,Stanford,12,3,Paulson,Paulson Adebo,Paulson Adebo,5145,73,42,Mansfield,0,97,True,False,False,False,35,Adebo,675,1098,21445,83,83,0,2023,12,0,83,192,7,7200000,2900000,4300000,4300000,1,2900000,1,0,0,0,0,83,89,0,97,[],[],91,92,84,50,91,87,91,91,64,85,44,15,35,35,35,35,35,35,10,6,6,32,6,6,30,16,6,71,51,78,63,61,70,46,66,33,41,87,38,28,34,37,70,44,61,50,80,81,37,89,77,70,85,31,32,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381257,Tony Adams,SS,S,80,1,1313381257,553385998,MEGA,Raiders,2026-04-16 20:25:20.372935,False,False,240,False,Partial ACL Tear,True,False,29,24,1,1999,Illinois,-1,63,Tony,Tony Adams,Tony Adams,15326,72,12,Belleville,9,57,True,False,False,False,27,Adams,1182,2723,22642,80,80,0,2024,12,0,80,205,6,6360000,3060000,3300000,9900000,3,8100000,1,0,0,0,0,80,86,0,95,[],[],94,84,78,50,86,95,90,86,62,75,54,21,35,35,35,35,35,35,21,10,10,29,15,22,25,10,15,63,51,68,59,52,72,50,65,42,42,86,41,39,42,43,54,33,77,48,82,78,25,67,75,67,80,11,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1388355726,Brayden Farrell,LEDGE,DE,80,2,1388355726,553387903,MEGA,Raiders,2026-04-16 20:25:20.381050,False,False,443,False,,False,False,25,8,2,1979,Ohio,4,7,Brayden,Brayden Farrell,Brayden Farrell,2497,75,6,PLACEHOLDER,0,97,True,False,False,False,64,Farrell,21,10312,2092,80,80,24,2025,10,0,74,263,2,9540000,4140000,27000000,43340000,7,49340000,6,0,0,0,0,74,81,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,77,77,50,93,84,83,94,82,84,73,33,44,25,39,42,47,24,30,20,19,31,30,31,27,41,35,36,26,48,52,28,42,27,44,42,34,67,40,40,25,40,47,90,76,83,49,74,72,25,79,87,47,33,24,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Raiders,1313381584,Yahya Black,DT,DT,79,1,1313381584,553386204,MEGA,Raiders,2026-04-16 20:25:20.373948,False,False,331,False,,False,False,26,21,4,2002,Iowa,28,5,Yahya,Yahya Black,Yahya Black,5748,78,22,Marshall,0,97,True,False,False,False,99,Black,27,10492,15225,79,79,24,2025,0,0,79,336,3,5150000,2510000,7920000,13200000,7,18470000,4,0,0,0,0,79,76,0,99,[],[],66,64,78,50,87,65,60,82,87,87,83,25,45,45,45,45,45,45,14,8,10,30,11,15,15,14,12,30,22,22,37,18,21,27,16,37,30,55,12,10,13,16,18,62,83,85,9,75,70,12,81,95,14,21,22,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
