team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
MIA,Dolphins,1313380974,A.J. Brown,WR,WR,94,1,1313380974,553386305,MEGA,Dolphins,2026-04-16 20:25:09.214337,False,False,761,False,,False,False,31,30,6,1997,Ole Miss,19,2,A.J.,A.J. Brown,AJ Brown,33051,73,23,Starkville,0,97,True,False,False,False,11,Brown,6422,9397,20495,94,94,24,2021,6,0,90,226,9,19480000,1250000,36460000,36460000,6,104470000,2,0,0,0,0,90,90,0,97,[],[],92,86,91,50,86,96,91,92,79,90,53,33,19,24,41,31,37,57,40,25,29,31,34,40,41,30,16,92,87,97,73,96,91,72,82,87,77,88,94,91,92,93,97,10,17,26,18,15,10,16,33,23,27,16,17,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353454,Clyde Stackhouse,HB,RB,92,3,1388353454,553386146,MEGA,Dolphins,2026-04-16 20:25:09.211783,False,False,2212,False,,False,False,24,14,12,1946,Ohio State,8,1,Clyde,Clyde Stackhouse,Clyde Stackhouse,4784,72,34,PLACEHOLDER,0,97,True,False,False,False,25,Stackhouse,16,3402,2181,92,92,22,2026,3,0,92,233,2,2900000,2900000,0,0,4,10960000,2,0,0,0,0,92,94,0,72,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Truzz', 'startActivated': False, 'signatureLogoId': 1245, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most effective ball carriers prioritize maintaining possession over all else. When they enter the zone, no tackles made against them will result in a fumble.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 1+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,93,81,50,92,90,94,96,81,85,36,27,36,24,62,44,42,41,25,30,27,27,10,13,19,26,42,88,89,64,92,56,93,92,92,86,82,93,64,41,53,50,55,46,46,44,38,30,27,33,25,39,45,39,28,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313380907,Kenneth Grant,DT,DT,90,2,1313380907,553386959,MEGA,Dolphins,2026-04-16 20:25:09.217652,False,False,1682,False,,False,False,24,27,10,2003,Michigan,13,1,Kenneth,Kenneth Grant,Kenneth Grant,8683,76,13,Gary,0,97,True,False,False,False,90,Grant,351,10566,15238,90,90,24,2025,0,0,80,330,3,6980000,3830000,35540000,44990000,5,10440000,2,0,0,0,0,80,82,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",78,66,86,50,91,76,68,74,92,93,88,27,45,45,45,45,45,45,21,8,10,31,15,12,18,17,15,35,29,45,44,37,23,28,19,36,44,60,17,10,12,18,38,71,89,94,15,86,75,18,90,94,21,25,36,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313380350,Marvin Mims Jr,WR,WR,89,1,1313380350,553387811,MEGA,Dolphins,2026-04-16 20:25:09.220684,False,False,637,False,,False,False,26,19,3,2002,Oklahoma,32,2,Marvin,Marvin Mims Jr,Marvin Mims Jr,7585,71,42,Frisco,0,97,True,False,False,False,19,Mims Jr,500,2312,22767,89,89,0,2022,0,0,87,182,5,15450000,7750000,7700000,15400000,2,14600000,1,0,0,0,0,87,89,0,79,[],[],94,88,89,50,91,92,92,84,55,89,39,19,10,10,28,23,16,48,20,10,15,32,20,12,29,17,10,94,78,92,78,94,84,86,74,47,33,89,87,87,93,85,95,10,16,24,10,16,10,10,28,23,14,12,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381263,Fredrick McKinley,QB,QB,89,2,1313381263,553386437,MEGA,Dolphins,2026-04-16 20:25:09.215660,False,False,3083,False,,False,False,22,16,6,2018,Cincinnati,4,1,Fredrick,Fredrick McKinley,Fredrick McKinley,3188,74,1,PLACEHOLDER,0,97,True,False,False,False,3,McKinley,53,3384,2419,89,89,24,2027,3,0,89,231,1,10570000,3480000,21270000,28360000,4,15240000,3,0,0,0,0,89,0,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Safety Valve', 'startActivated': False, 'signatureLogoId': 1190, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all running backs who are open on pass plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,79,87,50,86,67,82,83,73,80,44,43,45,47,35,28,37,32,77,87,94,17,91,83,95,87,88,61,66,26,68,28,52,46,48,62,34,76,43,45,30,31,41,39,25,44,40,35,26,27,48,27,30,43,43,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353790,Khalid Thomas,FS,S,89,1,1388353790,553386788,MEGA,Dolphins,2026-04-16 20:25:09.216969,False,False,1547,False,,False,False,24,24,2,2055,Clemson,14,3,Khalid,Khalid Thomas,Khalid Thomas,1646,74,30,PLACEHOLDER,0,97,True,False,False,False,23,Thomas,634,3378,2317,89,89,24,2026,10,0,85,207,2,1650000,1310000,680000,1360000,4,5120000,2,0,0,0,0,85,82,0,95,[],[],89,87,87,50,97,86,91,93,65,82,58,32,24,32,40,47,37,28,45,20,21,10,12,25,18,37,42,61,34,67,68,48,64,54,74,48,39,85,40,33,43,44,44,31,73,54,63,83,28,66,87,83,89,28,37,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353788,Niles Austin,CB,CB,88,2,1388353788,553387719,MEGA,Dolphins,2026-04-16 20:25:09.220431,False,False,1433,False,,False,False,24,27,4,2025,California,24,2,Niles,Niles Austin,Niles Austin,8290,73,36,PLACEHOLDER,0,97,True,False,False,False,38,Austin,358,3946,2039,88,88,24,2026,10,0,88,183,2,1970000,1410000,1120000,2240000,4,5480000,2,0,0,0,0,88,91,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,85,81,50,97,90,93,88,73,84,51,36,27,24,37,44,37,47,37,12,12,37,30,34,15,30,37,61,46,64,61,37,74,66,80,37,40,92,43,47,27,38,27,32,67,59,80,81,25,76,73,79,95,48,28,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353786,Shaydon Shields,TE,TE,87,1,1388353786,553388865,MEGA,Dolphins,2026-04-16 20:25:09.223747,False,False,1157,False,,False,False,24,23,7,1969,Oklahoma State,13,1,Shaydon,Shaydon Shields,Shaydon Shields,1755,77,20,PLACEHOLDER,0,97,True,False,False,False,83,Shields,12,4222,2364,87,87,22,2026,0,0,87,269,2,5610000,2460000,6300000,12600000,4,9320000,2,0,0,0,0,87,80,0,99,[],[],83,83,77,50,83,76,86,84,78,83,74,65,54,65,64,59,66,63,25,22,28,19,21,26,30,48,44,75,76,88,78,90,68,42,72,76,78,76,77,64,81,81,83,39,45,41,24,26,26,28,27,26,33,40,42,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381618,Kamren Kinchens,SS,S,87,1,1313381618,553387470,MEGA,Dolphins,2026-04-16 20:25:09.219064,False,False,800,False,,False,False,25,29,9,2002,Miami,36,3,Kamren,Kamren Kinchens,Kamren Kinchens,6083,71,8,Miami,0,97,True,False,False,False,26,Kinchens,763,10141,14935,87,87,24,2023,0,0,87,202,4,11790000,3990000,39000000,39000000,7,35070000,6,0,0,0,0,87,82,0,90,[],[],88,84,86,50,90,84,86,80,59,83,56,42,34,35,40,39,40,45,25,14,17,25,21,23,31,11,10,55,45,80,63,68,66,10,64,43,49,80,22,11,15,24,67,43,88,59,74,88,38,72,86,83,91,15,20,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313380902,Chop Robinson,REDGE,DE,87,1,1313380902,553388245,MEGA,Dolphins,2026-04-16 20:25:09.222143,False,False,645,False,,False,False,25,2,1,2003,Penn State,21,1,Chop,Chop Robinson,Chop Robinson,3956,75,19,Gaithersburg,0,97,True,False,False,False,44,Robinson,412,10229,14753,87,87,0,2023,0,0,87,254,4,19730000,1100000,18630000,26310000,5,8380000,1,0,0,0,0,87,86,0,98,[],[],91,81,87,50,89,83,88,82,73,81,78,14,45,45,45,45,45,45,12,6,6,15,6,6,23,14,6,33,26,28,30,20,35,10,24,26,33,75,16,6,8,10,20,91,82,93,47,77,86,35,90,86,49,12,14,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
