team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
MIA,Dolphins,1313380974,A.J. Brown,WR,WR,94,1,1313380974,553386305,MEGA,Dolphins,2026-04-16 20:25:09.214337,False,False,761,False,,False,False,31,30,6,1997,Ole Miss,19,2,A.J.,A.J. Brown,AJ Brown,33051,73,23,Starkville,0,97,True,False,False,False,11,Brown,6422,9397,20495,94,94,24,2021,6,0,90,226,9,19480000,1250000,36460000,36460000,6,104470000,2,0,0,0,0,90,90,0,97,[],[],92,86,91,50,86,96,91,92,79,90,53,33,19,24,41,31,37,57,40,25,29,31,34,40,41,30,16,92,87,97,73,96,91,72,82,87,77,88,94,91,92,93,97,10,17,26,18,15,10,16,33,23,27,16,17,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353454,Clyde Stackhouse,HB,RB,92,3,1388353454,553386146,MEGA,Dolphins,2026-04-16 20:25:09.211783,False,False,2212,False,,False,False,24,14,12,1946,Ohio State,8,1,Clyde,Clyde Stackhouse,Clyde Stackhouse,4784,72,34,PLACEHOLDER,0,97,True,False,False,False,25,Stackhouse,16,3402,2181,92,92,22,2026,3,0,92,233,2,2900000,2900000,0,0,4,10960000,2,0,0,0,0,92,94,0,72,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Truzz', 'startActivated': False, 'signatureLogoId': 1245, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most effective ball carriers prioritize maintaining possession over all else. When they enter the zone, no tackles made against them will result in a fumble.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 1+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,93,81,50,92,90,94,96,81,85,36,27,36,24,62,44,42,41,25,30,27,27,10,13,19,26,42,88,89,64,92,56,93,92,92,86,82,93,64,41,53,50,55,46,46,44,38,30,27,33,25,39,45,39,28,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313380350,Marvin Mims Jr,WR,WR,89,1,1313380350,553387811,MEGA,Dolphins,2026-04-16 20:25:09.220684,False,False,637,False,,False,False,26,19,3,2002,Oklahoma,32,2,Marvin,Marvin Mims Jr,Marvin Mims Jr,7585,71,42,Frisco,0,97,True,False,False,False,19,Mims Jr,500,2312,22767,89,89,0,2022,0,0,87,182,5,15450000,7750000,7700000,15400000,2,14600000,1,0,0,0,0,87,89,0,79,[],[],94,88,89,50,91,92,92,84,55,89,39,19,10,10,28,23,16,48,20,10,15,32,20,12,29,17,10,94,78,92,78,94,84,86,74,47,33,89,87,87,93,85,95,10,16,24,10,16,10,10,28,23,14,12,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381263,Fredrick McKinley,QB,QB,89,2,1313381263,553386437,MEGA,Dolphins,2026-04-16 20:25:09.215660,False,False,3083,False,,False,False,22,16,6,2018,Cincinnati,4,1,Fredrick,Fredrick McKinley,Fredrick McKinley,3188,74,1,PLACEHOLDER,0,97,True,False,False,False,3,McKinley,53,3384,2419,89,89,24,2027,3,0,89,231,1,10570000,3480000,21270000,28360000,4,15240000,3,0,0,0,0,89,0,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Safety Valve', 'startActivated': False, 'signatureLogoId': 1190, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all running backs who are open on pass plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,79,87,50,86,67,82,83,73,80,44,43,45,47,35,28,37,32,77,87,94,17,91,83,95,87,88,61,66,26,68,28,52,46,48,62,34,76,43,45,30,31,41,39,25,44,40,35,26,27,48,27,30,43,43,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353786,Shaydon Shields,TE,TE,87,1,1388353786,553388865,MEGA,Dolphins,2026-04-16 20:25:09.223747,False,False,1157,False,,False,False,24,23,7,1969,Oklahoma State,13,1,Shaydon,Shaydon Shields,Shaydon Shields,1755,77,20,PLACEHOLDER,0,97,True,False,False,False,83,Shields,12,4222,2364,87,87,22,2026,0,0,87,269,2,5610000,2460000,6300000,12600000,4,9320000,2,0,0,0,0,87,80,0,99,[],[],83,83,77,50,83,76,86,84,78,83,74,65,54,65,64,59,66,63,25,22,28,19,21,26,30,48,44,75,76,88,78,90,68,42,72,76,78,76,77,64,81,81,83,39,45,41,24,26,26,28,27,26,33,40,42,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1388353787,Eric Baldwin,LG,OL,86,1,1388353787,553387158,MEGA,Dolphins,2026-04-16 20:25:09.218315,False,False,1054,False,,False,False,24,18,5,1969,Vanderbilt,13,2,Eric,Eric Baldwin,Eric Baldwin,1966,77,13,PLACEHOLDER,0,97,True,False,False,False,66,Baldwin,92,4197,2288,86,86,24,2026,0,0,74,338,2,2540000,1570000,1940000,3880000,4,6040000,2,0,0,0,0,74,91,0,99,[],[],81,71,79,50,81,66,65,83,95,83,89,92,73,85,84,64,87,89,44,12,10,36,14,23,15,24,48,25,37,31,53,34,36,40,27,47,30,55,43,41,26,38,43,46,42,35,38,41,28,29,30,36,43,26,32,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381502,Mike Onwenu,RG,OL,84,1,1313381502,553388004,MEGA,Dolphins,2026-04-16 20:25:09.221125,False,False,270,False,,False,False,30,10,12,1997,Michigan,3,6,Mike,Mike Onwenu,Mike Onwenu,15184,75,21,Detroit,0,97,True,False,False,False,71,Onwenu,627,500,21205,84,84,24,2022,11,0,77,350,8,17820000,6720000,33300000,44400000,5,36700000,3,0,0,0,0,77,88,0,92,[],[],54,55,88,50,91,65,66,86,91,85,93,83,76,87,83,78,85,82,12,6,6,23,6,6,21,12,8,24,20,26,29,24,18,10,20,30,29,47,15,6,10,18,18,12,30,22,17,22,22,15,31,25,22,16,15,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381260,Joe Tippmann,C,OL,84,1,1313381260,553388649,MEGA,Dolphins,2026-04-16 20:25:09.223506,False,False,300,False,,False,False,27,24,3,2001,Wisconsin,12,2,Joe,Joe Tippmann,Joe Tippmann,5439,78,13,Fort Wayne,0,97,True,False,False,False,65,Tippmann,644,2430,22876,84,84,0,2022,4,0,81,317,5,15450000,8150000,7300000,14600000,2,15400000,1,0,0,0,0,81,87,0,99,[],[],81,65,86,50,87,72,73,88,89,90,89,90,80,85,85,84,84,85,12,6,6,11,6,6,11,10,6,11,9,39,45,36,20,10,15,24,10,57,25,10,15,23,32,10,34,25,12,25,10,10,30,33,13,12,15,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313381473,Stefon Diggs,WR,WR,83,1,1313381473,553386642,MEGA,Dolphins,2026-04-16 20:25:09.215882,False,False,86,False,,False,False,34,29,11,1993,Maryland,10,5,Stefon,Stefon Diggs,Stefon Diggs,72731,72,19,Gaithersburg,0,97,True,False,False,False,84,Diggs,9620,7085,2454,83,83,0,2017,3,0,83,191,13,7200000,3400000,3800000,3800000,1,3400000,1,0,0,0,0,83,87,0,79,[],[],90,91,82,50,88,88,88,95,62,92,49,29,22,20,39,33,36,53,27,18,23,35,27,27,46,20,18,87,81,89,72,83,84,85,86,64,40,91,86,83,89,87,86,10,12,34,33,20,10,27,35,27,38,30,30,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,Dolphins,1313380906,Jonah Savaiinaea,LT,OL,82,0,1313380906,553388332,MEGA,Dolphins,2026-04-16 20:25:09.222604,False,False,609,False,,False,False,24,13,1,2004,Arizona,5,2,Jonah,Jonah Savaiinaea,Jonah Savaiinaea,1074,76,50,Tafuna,0,97,True,False,False,False,72,Savaiinaea,275,10722,15167,82,82,0,2025,0,0,82,324,3,2860000,1930000,930000,3720000,4,5260000,1,0,0,0,0,82,84,0,99,[],[],78,65,81,50,89,59,74,88,84,90,89,86,88,73,89,86,74,84,10,6,6,15,6,6,22,13,6,10,5,21,30,15,11,10,13,14,30,57,16,5,5,10,18,10,26,23,10,22,10,10,23,20,10,15,15,0,0,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
