team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
MIN,Vikings,1313382652,Josh Berry,DT,DT,89,3,1313382652,553387765,MEGA,Vikings,2026-04-16 20:25:16.302822,False,False,2048,False,,False,False,23,29,10,2007,UCLA,8,1,Josh,Josh Berry,Josh Berry,295,75,47,PLACEHOLDER,0,97,True,False,False,False,97,Berry,1,4074,2549,89,89,24,2027,6,0,89,295,1,6750000,2520000,12690000,16920000,4,10960000,3,0,0,0,0,89,87,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fearmonger', 'startActivated': False, 'signatureLogoId': 1116, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Some pass rushers intimidate quarterbacks with their sheer presence. When they enter the zone, they can apply significant pressure on quarterbacks even while engaged with blockers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spinner', 'startActivated': False, 'signatureLogoId': 1349, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting spin pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Credit', 'startActivated': False, 'signatureLogoId': 1359, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability pay a reduced stamina cost for each move they attempt', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,80,85,50,84,74,82,93,91,82,72,44,31,46,30,32,26,45,24,22,25,21,25,37,27,36,45,45,31,40,58,42,39,36,25,34,24,74,44,44,34,44,40,91,90,80,25,86,78,48,89,94,44,28,32,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1388354789,Jared Shelton,DT,DT,88,3,1388354789,553387110,MEGA,Vikings,2026-04-16 20:25:16.298730,False,False,1308,False,Achilles Tear,True,False,24,6,9,2016,California,9,1,Jared,Jared Shelton,Jared Shelton,4242,75,46,PLACEHOLDER,49,5,False,False,False,False,93,Shelton,316,4200,2124,88,88,22,2026,6,0,77,300,2,7080000,2890000,8380000,16760000,4,10920000,2,0,0,0,0,77,87,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Blitz', 'startActivated': False, 'signatureLogoId': 1114, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Effective D-Line captains aren't just examples to follow, they are motivators. When they enter the zone, all opposing blockers have their resistance bars wiped out."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Make sacks or TFL's"", 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",84,72,77,50,87,81,76,82,95,83,80,46,47,44,32,46,29,26,24,13,32,34,26,16,36,46,24,48,48,34,51,39,40,30,30,46,42,63,42,25,26,26,39,66,78,89,35,87,82,47,87,89,47,30,26,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382081,Byron Murphy Jr,CB,CB,86,1,1313382081,553387886,MEGA,Vikings,2026-04-16 20:25:16.303489,False,False,316,False,,False,False,30,18,1,1998,Washington,1,2,Byron,Byron Murphy Jr,Byron Murphy Jr,12789,71,2,Scottsdale,0,97,True,False,False,False,7,Murphy Jr,1966,9582,20599,86,86,0,2021,20,0,86,190,9,19000000,8500000,10500000,10500000,1,8500000,1,0,0,0,0,86,89,0,99,[],[],93,89,87,50,91,87,92,92,60,81,54,15,35,35,10,35,35,18,10,6,6,25,6,6,25,10,6,67,56,78,61,63,75,70,65,34,30,92,39,26,33,43,66,32,76,47,80,90,26,83,79,58,88,11,10,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382088,Josh Metellus,SS,S,85,1,1313382088,553387786,MEGA,Vikings,2026-04-16 20:25:16.303042,False,False,288,False,,False,False,30,21,1,1998,Michigan,26,6,Josh,Josh Metellus,Josh Metellus,7056,71,8,Pembroke Pines,0,97,True,False,False,False,44,Metellus,673,458,21155,85,85,0,2022,20,0,82,207,8,14000000,12000000,2000000,13770000,4,25000000,1,0,0,0,0,82,84,0,90,[],[],88,83,84,50,91,87,89,91,66,87,62,15,35,35,35,35,35,35,10,10,10,14,15,15,20,17,15,53,44,68,62,52,72,50,59,40,25,80,12,10,13,15,58,47,87,66,68,85,40,64,90,88,74,15,25,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382087,Jonathan Greenard,LEDGE,DE,85,1,1313382087,553386975,MEGA,Vikings,2026-04-16 20:25:16.298509,False,False,264,False,,False,False,31,25,5,1997,Florida,26,3,Jonathan,Jonathan Greenard,Jonathan Greenard,33748,75,9,Hiram,0,97,True,False,False,False,58,Greenard,564,305,21131,85,85,0,2022,20,0,85,263,8,14800000,7800000,7000000,10300000,2,26800000,1,0,0,0,0,85,85,0,98,[],[],88,82,89,50,85,75,86,80,81,82,86,27,45,45,45,45,45,45,16,6,6,19,6,6,23,11,6,48,24,63,56,47,47,20,43,44,32,73,29,19,21,31,47,87,81,83,42,88,76,44,85,83,52,18,21,0,1,0,0,0,0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1388354790,Deron Everett,CB,CB,84,0,1388354790,553386099,MEGA,Vikings,2026-04-16 20:25:16.294520,False,False,1078,False,,False,False,23,2,2,2064,Oregon State,9,2,Deron,Deron Everett,Deron Everett,2177,71,36,PLACEHOLDER,0,97,True,False,False,False,10,Everett,595,10356,2034,84,84,24,2026,12,0,80,204,2,2720000,1630000,2180000,4360000,4,6280000,2,0,0,0,0,80,90,0,99,[],[],95,90,74,50,98,91,91,79,63,84,55,37,27,30,47,38,32,25,31,14,21,20,27,21,13,44,31,73,27,74,63,38,77,81,76,41,30,94,44,40,36,38,34,27,68,62,88,84,48,80,74,58,78,25,25,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382083,Andrew Van Ginkel,REDGE,DE,81,1,1313382083,553388730,MEGA,Vikings,2026-04-16 20:25:16.305054,False,False,53,False,,False,False,33,1,7,1995,Wisconsin,13,5,Andrew,Andrew Van Ginkel,Andrew Van Ginkel,19563,76,14,Rock Valley,0,97,True,False,False,False,43,Van Ginkel,3024,9661,20699,81,81,0,2021,11,0,81,242,9,20900000,10500000,10400000,36800000,3,23200000,1,0,0,0,0,81,83,0,99,[],[],87,79,88,50,88,90,86,86,72,93,77,18,45,45,45,45,45,45,12,6,6,22,6,6,25,10,6,46,12,70,58,37,30,13,37,51,51,72,33,5,5,15,43,84,79,80,64,86,72,46,84,82,72,19,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382174,Tremaine Reynolds,CB,CB,78,2,1313382174,553386689,MEGA,Vikings,2026-04-16 20:25:16.297153,False,False,886,False,,False,False,22,16,14,2027,Florida,4,2,Tremaine,Tremaine Reynolds,Tremaine Reynolds,0,71,8,PLACEHOLDER,0,97,True,False,False,False,42,Reynolds,0,3760,2884,78,78,24,2028,9,0,77,192,0,2610000,1380000,4920000,4920000,4,6480000,4,0,0,0,0,77,90,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,91,69,50,98,84,94,92,63,78,42,31,37,46,41,43,30,38,36,18,23,15,13,37,13,44,48,68,46,70,64,42,75,85,73,39,39,89,39,30,44,26,30,45,71,58,81,76,38,68,74,61,77,35,37,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382075,Kobe King,WILL,LB,78,1,1313382075,553387474,MEGA,Vikings,2026-04-16 20:25:16.301191,False,False,358,False,,False,False,25,28,1,2003,Penn State,25,6,Kobe,Kobe King,Kobe King,1755,73,21,Detroit,0,97,True,False,False,False,41,King,100,10625,15272,78,78,0,2025,0,0,71,243,3,1180000,1140000,40000,160000,4,3830000,1,0,0,0,0,71,83,0,93,[],[],91,77,75,50,88,80,83,87,76,88,78,22,45,45,45,45,45,45,22,6,6,21,6,6,23,12,6,46,37,49,60,42,46,10,43,41,40,73,21,17,20,23,48,51,82,84,59,75,52,45,81,88,62,18,22,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382386,Xavier Pickens,REDGE,DE,78,2,1313382386,553387934,MEGA,Vikings,2026-04-16 20:25:16.303725,False,False,904,False,,False,False,21,16,8,1940,Ohio State,4,1,Xavier,Xavier Pickens,Xavier Pickens,0,77,23,PLACEHOLDER,0,97,True,False,False,False,92,Pickens,0,3660,2926,78,78,24,2028,9,0,78,279,0,10080000,2990000,28360000,28360000,4,15240000,4,0,0,0,0,78,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,84,77,50,84,77,84,86,88,81,79,42,39,42,47,32,40,24,38,10,32,20,15,33,28,41,41,37,27,62,55,27,26,45,29,47,35,74,48,32,24,41,31,80,85,70,41,73,76,41,77,80,52,46,32,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
