team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
MIN,Vikings,1313382085,Justin Jefferson,WR,WR,99,3,1313382085,553387303,MEGA,Vikings,2026-04-16 20:25:16.300680,False,False,2454,False,,False,False,29,16,6,1999,LSU,22,1,Justin,Justin Jefferson,Justin Jefferson,4345,73,17,St. Rose,0,97,True,False,False,False,18,Jefferson,7090,385,20961,99,99,0,2022,3,0,99,195,8,47240000,33240000,14000000,63500000,5,89780000,1,0,0,0,0,99,91,0,80,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Double Me', 'startActivated': False, 'signatureLogoId': 1103, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard catches', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Route Technician', 'startActivated': False, 'signatureLogoId': 1186, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability have a high success rate when creating separation on the last cut of any route.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Elite', 'startActivated': False, 'signatureLogoId': 1319, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 20+ yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,96,99,50,95,99,91,98,64,93,52,34,13,18,25,27,29,51,23,24,30,46,35,33,43,29,24,98,92,99,83,99,97,61,84,79,69,98,99,98,99,98,99,24,43,24,18,19,18,18,41,36,26,12,18,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382089,Christian Darrisaw,LT,OL,94,2,1313382089,553386568,MEGA,Vikings,2026-04-16 20:25:16.296709,False,False,959,False,,False,False,29,2,6,1999,Virginia Tech,23,1,Christian,Christian Darrisaw,Christian Darrisaw,20971,77,19,Upper Marlboro,0,97,True,False,False,False,71,Darrisaw,758,773,21534,94,94,24,2023,3,0,90,315,7,31100000,27450000,3650000,26050000,6,97590000,2,0,0,0,0,90,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Post Up', 'startActivated': False, 'signatureLogoId': 1236, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability are almost guaranteed to win any double team block they are engaged in', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Omniscient', 'startActivated': False, 'signatureLogoId': 1937, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability can detect user-controlled defenders before the snap; as well as 3rd and 4th down blitzers. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",73,67,93,50,87,70,73,90,92,85,97,89,93,96,96,90,84,88,12,6,6,14,6,6,13,10,6,15,8,26,25,25,10,10,10,20,33,54,15,5,5,15,15,16,33,34,12,15,21,10,25,29,13,13,17,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382065,J.J. McCarthy,QB,QB,92,2,1313382065,553387701,MEGA,Vikings,2026-04-16 20:25:16.301960,False,False,2132,False,,False,False,25,20,1,2003,Michigan,10,1,J.J.,J.J. McCarthy,JJ McCarthy,7708,75,12,La Grange Park,0,97,True,False,False,False,9,McCarthy,1323,10167,14610,92,92,0,2023,0,0,92,219,4,49900000,26200000,23700000,23700000,1,26200000,1,0,0,0,0,92,0,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bulldozer', 'startActivated': False, 'signatureLogoId': 1123, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck animations and a larger timing window for perfect trucks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,88,83,50,90,81,85,91,68,95,27,16,14,18,15,16,22,23,76,94,97,76,97,95,91,96,92,81,67,36,63,10,69,14,65,51,56,83,15,12,14,15,12,10,23,24,12,15,10,10,33,29,14,29,31,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382080,T.J. Hockenson,TE,TE,88,1,1313382080,553387162,MEGA,Vikings,2026-04-16 20:25:16.299440,False,False,445,False,,False,False,31,3,7,1997,Iowa,8,1,T.J.,T.J. Hockenson,TJ Hockenson,29269,77,14,Chariton,0,97,True,False,False,False,87,Hockenson,3788,9503,20518,88,88,24,2021,4,0,87,248,9,13710000,3910000,39200000,44550000,5,38000000,4,0,0,0,0,87,79,0,97,[],[],86,81,92,50,87,89,83,90,80,89,66,57,55,57,59,63,61,65,17,10,15,52,20,10,28,15,10,79,71,92,79,88,70,10,71,77,68,79,84,72,77,79,89,46,51,47,27,34,37,26,56,46,36,34,38,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382072,Donovan Jackson,LG,OL,87,1,1313382072,553387262,MEGA,Vikings,2026-04-16 20:25:16.299878,False,False,712,False,,False,False,25,4,12,2002,Ohio State,24,1,Donovan,Donovan Jackson,Donovan Jackson,7916,76,42,Cypress,0,97,True,False,False,False,74,Jackson,210,10605,15123,87,87,0,2025,0,0,87,317,3,5460000,3180000,2280000,9120000,4,8040000,1,0,0,0,0,87,88,0,99,[],[],72,62,90,50,89,71,67,86,90,90,92,87,92,77,88,86,76,87,11,6,6,30,6,6,13,13,6,12,8,23,25,13,14,10,12,16,12,53,10,5,5,10,12,20,40,35,10,25,16,10,22,31,10,12,14,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382070,Tai Felton,WR,WR,86,1,1313382070,553386792,MEGA,Vikings,2026-04-16 20:25:16.297620,False,False,760,False,,False,False,25,15,3,2003,Maryland,38,3,Tai,Tai Felton,Tai Felton,9808,73,45,Ashburn,0,97,True,False,False,False,13,Felton,12,10551,15075,86,86,0,2025,0,0,82,183,3,1680000,1470000,210000,840000,4,4440000,1,0,0,0,0,82,89,0,80,[],[],93,85,79,50,86,91,93,91,59,89,35,21,17,24,26,20,22,40,18,22,15,24,24,23,22,33,27,88,74,92,73,89,85,71,81,60,54,87,85,91,85,77,92,25,24,28,33,36,23,25,30,49,46,27,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313382093,Jordan Mason,HB,RB,84,1,1313382093,553387665,MEGA,Vikings,2026-04-16 20:25:16.301737,False,False,378,False,,False,False,29,24,5,1999,Georgia Tech,-1,63,Jordan,Jordan Mason,Jordan Mason,5391,71,41,Gallatin,0,97,True,False,False,False,27,Mason,238,4679,22332,84,84,24,2024,4,0,77,223,6,4780000,1880000,5800000,9500000,4,10700000,2,0,0,0,0,77,85,0,84,[],[],92,77,84,50,89,80,89,77,78,89,43,40,37,35,47,39,35,48,35,14,21,22,28,24,36,11,13,89,91,60,92,54,86,65,74,87,91,75,56,35,42,50,55,20,48,37,30,24,17,33,45,42,35,11,12,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313381381,Rasheed Walker,LT,OL,83,1,1313381381,553388772,MEGA,Vikings,2026-04-16 20:25:16.305277,False,False,275,False,,False,False,28,13,2,2000,Penn State,28,7,Rasheed,Rasheed Walker,Rasheed Walker,9951,78,19,Waldorf,0,97,True,False,False,False,63,Walker,110,2007,22448,83,83,0,2024,3,0,76,324,6,14510000,6810000,7700000,23100000,3,18000000,1,0,0,0,0,76,85,0,99,[],[],73,62,86,50,89,69,64,86,87,77,89,76,84,89,89,76,67,71,12,6,6,25,6,6,22,11,6,25,15,30,36,15,27,10,24,31,30,57,12,5,5,10,20,39,42,46,10,33,49,10,38,43,12,14,15,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1526717407,Mike Erickson,WR,WR,83,1,1526717407,553388081,MEGA,Vikings,2026-04-16 20:25:16.303948,False,False,1409,False,,False,False,21,29,15,2048,Penn State,8,2,Mike,Mike Erickson,Mike Erickson,5364,73,4,PLACEHOLDER,0,97,True,False,False,False,88,Erickson,6,3380,2833,83,83,24,2027,3,0,83,209,1,2610000,1490000,3360000,4480000,4,6320000,3,0,0,0,0,83,89,0,88,[],[],91,93,85,50,97,90,92,89,65,79,46,47,28,43,44,34,42,55,42,18,11,24,12,20,33,41,42,85,81,88,68,86,84,93,80,72,47,92,77,78,89,81,91,40,25,39,24,38,36,41,28,28,31,40,41,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIN,Vikings,1313380653,Marquise Brown,WR,WR,82,1,1313380653,553386318,MEGA,Vikings,2026-04-16 20:25:16.295278,False,False,239,False,,False,False,31,4,6,1997,Oklahoma,25,1,Marquise,Marquise Brown,Marquise Brown,593,69,8,Hollywood,0,97,True,False,False,False,81,Brown,1190,9402,20497,82,82,24,2021,5,0,82,180,9,8540000,4340000,8400000,8400000,3,13750000,2,0,0,0,0,82,89,0,79,[],[],93,95,77,50,86,85,94,89,44,86,33,19,10,10,23,14,13,41,17,15,20,25,30,15,42,14,6,87,73,87,74,82,87,78,76,52,25,90,76,80,85,81,84,10,12,19,17,16,10,12,22,18,27,16,19,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
