team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NE,Patriots,1313381517,Christian Gonzalez,CB,CB,99,3,1313381517,553386936,MEGA,Patriots,2026-04-16 20:25:11.893217,False,False,3876,False,,False,False,26,28,6,2002,Oregon,17,1,Christian,Christian Gonzalez,Christian Gonzalez,13777,74,42,The Colony,0,97,True,False,False,False,0,Gonzalez,1492,2171,23026,99,99,24,2022,12,0,99,201,5,26610000,2610000,120000000,138340000,6,21100000,5,0,0,0,0,99,93,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Selfless', 'startActivated': False, 'signatureLogoId': 1240, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When Selfless players are making plays their teammates are motivated to perform better. When they enter the zone, all on field teammates enter the zone as well.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make hit-stick tackles', 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Route KO', 'startActivated': False, 'signatureLogoId': 1347, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus short routes less than 10 yards from LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outside Shade', 'startActivated': False, 'signatureLogoId': 1398, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Flat Zone KO', 'startActivated': False, 'signatureLogoId': 1327, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any flat zone coverage, less than 10 yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,93,97,50,90,98,96,90,59,78,48,15,24,25,30,27,32,32,10,6,10,34,15,10,35,10,6,75,67,77,60,62,74,55,66,57,42,91,40,20,27,37,73,37,49,51,99,97,28,93,72,87,99,42,46,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1388354266,Kahlil Johnson,REDGE,DE,89,3,1388354266,553386764,MEGA,Patriots,2026-04-16 20:25:11.891831,False,False,1667,False,,False,False,24,5,3,2026,SMU,24,3,Kahlil,Kahlil Johnson,Kahlil Johnson,3498,73,28,PLACEHOLDER,0,97,True,False,False,False,94,Johnson,928,4077,2096,89,89,24,2026,9,0,89,257,2,1590000,1290000,600000,1200000,4,5080000,2,0,0,0,0,89,83,0,75,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Momentum Shift', 'startActivated': False, 'signatureLogoId': 1100, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Momentum Shift players demoralize their opponents. When they enter the zone, all on field opponents are knocked out of the zone or lose any progress towards entering the zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Strip Specialist', 'startActivated': False, 'signatureLogoId': 1215, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can still tackle effectively while trying to strip the football.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,79,85,50,86,72,82,80,78,78,71,28,35,40,32,24,26,25,26,17,14,24,30,30,18,26,40,46,36,44,55,39,43,29,43,38,33,65,44,30,46,30,29,96,88,96,50,86,91,28,90,91,44,42,40,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313380340,Talanoa Hufanga,SS,S,88,1,1313380340,553387208,MEGA,Patriots,2026-04-16 20:25:11.894757,True,False,654,False,,False,False,28,1,2,2000,USC,36,5,Talanoa,Talanoa Hufanga,Talanoa Hufanga,2426,72,36,Corvallis,0,97,True,False,False,False,9,Hufanga,2413,1164,21488,88,88,24,2023,11,0,88,200,7,10510000,2950000,37800000,37800000,7,31000000,6,0,0,0,0,88,82,0,88,[],[],87,85,88,50,84,85,89,90,58,85,63,33,35,35,35,35,35,35,36,30,32,27,35,29,38,34,35,67,46,76,61,63,67,44,63,43,44,79,39,26,31,35,65,52,91,65,73,89,45,67,91,84,85,18,21,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381507,Milton Williams,DT,DT,88,1,1313381507,553388897,MEGA,Patriots,2026-04-16 20:25:11.903058,False,False,403,False,,False,False,29,6,4,1999,LA. Tech,9,3,Milton,Milton Williams,Milton Williams,3367,75,42,Crowley,0,97,True,False,False,False,97,Williams,983,1588,21920,88,88,0,2023,14,0,87,290,7,42410000,25000000,17410000,76820000,4,27170000,1,0,0,0,0,87,88,0,99,[],[],86,82,92,50,91,89,83,77,92,87,83,31,45,45,45,45,45,45,12,6,6,19,6,6,22,10,6,18,15,29,28,24,23,10,20,25,26,67,15,5,9,17,18,78,80,83,17,88,85,15,84,89,25,13,14,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381505,Christian Barmore,DT,DT,84,1,1313381505,553386126,MEGA,Patriots,2026-04-16 20:25:11.889913,False,False,261,False,,False,False,29,28,7,1999,Alabama,6,2,Christian,Christian Barmore,Christian Barmore,9630,77,37,Philadelphia,0,97,True,False,False,False,90,Barmore,521,780,21765,84,84,0,2023,11,0,84,305,7,27710000,20000000,7710000,43460000,5,42170000,1,0,0,0,0,84,82,0,99,[],[],75,64,86,50,91,81,74,78,90,89,89,31,45,45,45,45,45,45,12,6,6,14,6,6,24,16,6,25,20,37,41,23,24,10,23,30,32,56,16,9,12,15,25,85,82,84,17,87,82,13,84,90,25,12,11,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381509,Marcus Jones,CB,CB,84,3,1313381509,553387407,MEGA,Patriots,2026-04-16 20:25:11.896109,False,False,387,False,,False,False,29,22,10,1998,Houston,21,3,Marcus,Marcus Jones,Marcus Jones,9535,68,0,Enterprise,0,97,True,False,False,False,25,Jones,2407,1789,22224,84,84,0,2024,11,0,83,175,6,7820000,3320000,4500000,13740000,4,10110000,1,0,0,0,0,83,90,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Universal Coverage', 'startActivated': False, 'signatureLogoId': 1206, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most physical coverage defenders prevent catches from happening even when their target has hands on the ball. When they enter the zone, they are nearly guaranteed knockouts.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'On The Ball', 'startActivated': False, 'signatureLogoId': 1390, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are much less likely to be fooled by WR runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,92,79,50,87,87,92,93,48,84,41,15,27,29,30,30,31,31,24,8,12,22,16,21,24,10,6,88,74,77,65,48,87,88,83,31,26,93,29,42,45,54,66,36,60,42,82,82,25,72,76,72,84,13,14,0,3,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381489,Joshua Farmer,DT,DT,83,1,1313381489,553386778,MEGA,Patriots,2026-04-16 20:25:11.892058,False,False,531,False,,False,False,25,17,1,2003,Florida State,35,4,Joshua,Joshua Farmer,Joshua Farmer,4338,75,8,Port St. Joe,0,97,True,False,False,False,92,Farmer,410,10895,15240,83,83,0,2025,0,0,83,305,3,1240000,1140000,100000,400000,4,3800000,1,0,0,0,0,83,80,0,99,[],[],74,67,78,50,89,72,69,78,88,86,84,24,45,45,45,45,45,45,15,25,15,30,27,11,20,12,31,48,40,40,55,36,36,25,30,43,40,59,38,28,33,39,39,61,84,89,20,82,75,16,81,92,16,22,27,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381760,Chase Young,LEDGE,DE,82,1,1313381760,553389008,MEGA,Patriots,2026-04-16 20:25:11.904037,False,False,231,False,,False,False,29,1,1,1999,Ohio State,2,1,Chase,Chase Young,Chase Young,166,77,19,Hyattsville,0,97,True,False,False,False,99,Young,2195,687,20985,82,82,0,2022,11,0,79,264,8,16780000,8980000,7800000,15600000,2,17000000,1,0,0,0,0,79,85,0,99,[],[],87,84,74,50,83,84,83,79,86,89,88,17,45,45,45,45,45,45,27,20,25,20,28,33,32,23,15,36,23,33,43,25,38,10,36,39,34,71,17,5,10,14,24,87,82,82,34,74,77,27,85,86,47,22,14,0,1,0,0,0,0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313382338,Eric Parrish,SAM,LB,81,1,1313382338,553388658,MEGA,Patriots,2026-04-16 20:25:11.901667,False,False,694,False,,False,False,24,1,9,2021,Auburn,7,3,Eric,Eric Parrish,Eric Parrish,2007,72,48,PLACEHOLDER,0,97,True,False,False,False,29,Parrish,33,3370,2692,81,81,24,2027,9,0,73,224,1,1620000,1250000,1110000,1480000,4,5160000,3,0,0,0,0,73,82,0,75,[],[],91,90,83,50,97,80,89,98,66,85,75,40,38,40,40,36,35,45,28,36,21,19,15,34,15,47,44,27,34,50,57,48,36,41,32,42,36,80,45,32,47,29,37,56,71,67,69,73,55,38,81,83,84,32,26,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381481,Robert Spillane,MIKE,LB,80,3,1313381481,553388483,MEGA,Patriots,2026-04-16 20:25:11.900339,False,False,176,False,,False,False,32,14,12,1995,W. Michigan,-1,63,Robert,Robert Spillane,Robert Spillane,14670,73,12,Oak Park,0,97,True,False,False,False,14,Spillane,7574,9926,13875,80,80,24,2020,13,0,80,229,10,8070000,1250000,13640000,16640000,3,17760000,2,0,0,0,0,80,80,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stuffer', 'startActivated': False, 'signatureLogoId': 1220, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Run Stuffers can singlehandedly disrupt an offense. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one run blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make tackles for loss', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stopper', 'startActivated': False, 'signatureLogoId': 1188, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend a point on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,74,89,50,86,79,83,91,71,90,79,16,45,45,45,45,45,45,12,6,6,25,6,6,21,10,6,43,31,74,60,42,46,10,38,40,45,70,12,5,5,15,33,47,83,71,70,92,56,46,84,85,77,12,18,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
