team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NE,Patriots,1313381482,Drake Maye,QB,QB,97,2,1313381482,553387686,MEGA,Patriots,2026-04-16 20:25:11.897092,False,False,3914,False,,False,False,26,30,8,2002,North Carolina,3,1,Drake,Drake Maye,Drake Maye,5486,76,32,Huntersville,0,97,True,False,False,False,10,Maye,2410,10165,14501,97,97,0,2023,0,1,97,223,4,63660000,1100000,62560000,86000000,5,14180000,1,0,0,0,0,97,0,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bulldozer', 'startActivated': False, 'signatureLogoId': 1123, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck animations and a larger timing window for perfect trucks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Deadeye', 'startActivated': False, 'signatureLogoId': 1146, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws inside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Comeback', 'startActivated': False, 'signatureLogoId': 1316, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing from behind, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,82,95,50,92,72,89,87,62,90,12,10,15,15,15,12,12,12,84,95,95,86,96,93,94,96,95,85,67,34,66,15,73,10,62,55,43,78,15,12,14,15,15,10,16,18,12,17,10,10,32,20,15,46,55,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1388354264,Charles Stearn,WR,WR,96,3,1388354264,553388010,MEGA,Patriots,2026-04-16 20:25:11.898335,False,False,5094,False,,False,False,23,27,14,2049,Washington State,24,1,Charles,Charles Stearn,Charles Stearn,9546,72,35,PLACEHOLDER,0,97,True,False,False,False,5,Stearn,2566,3881,2401,96,96,22,2026,5,1,92,176,2,4390000,2110000,4560000,9120000,4,8040000,2,0,0,0,0,92,91,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': ""YAC 'Em Up"", 'startActivated': False, 'signatureLogoId': 1309, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The best physical receivers don't just come down with the ball, they carry it home. When they enter the zone, they are nearly guaranteed to break their first post-catch tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ironman', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability avoid any ratings penalties associated with playing outside of their primary position', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid In Elite', 'startActivated': False, 'signatureLogoId': 1333, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,92,93,50,83,90,97,78,62,87,45,28,32,40,49,44,40,51,29,24,15,18,34,19,15,48,28,85,82,97,80,97,93,83,88,54,66,88,98,91,95,84,96,30,32,32,43,30,36,26,35,29,36,30,36,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1388354267,Jahlil Howard,HB,RB,94,2,1388354267,553388815,MEGA,Patriots,2026-04-16 20:25:11.902601,False,False,2977,False,,False,False,24,28,7,1951,Buffalo,16,4,Jahlil,Jahlil Howard,Jahlil Howard,40,71,6,PLACEHOLDER,0,97,True,False,False,False,24,Howard,2418,3937,2184,94,94,24,2026,5,0,94,207,2,1330000,1070000,520000,1040000,4,4200000,2,0,0,0,0,94,94,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Playmaker', 'startActivated': False, 'signatureLogoId': 1217, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Receivers with this ability will immediately and precisely react to a user's playmaker inputs."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",96,91,87,50,79,82,94,78,68,84,41,47,31,48,59,38,31,38,30,10,18,29,13,32,25,36,30,91,85,76,93,70,95,82,96,80,79,89,66,62,64,70,72,30,26,36,30,42,24,47,35,31,38,46,30,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381487,Will Campbell,LT,OL,88,1,1313381487,553386401,MEGA,Patriots,2026-04-16 20:25:11.891134,False,False,1215,False,,False,False,24,6,1,2004,LSU,4,1,Will,Will Campbell,Will Campbell,9943,78,17,Monroe,0,97,True,False,False,False,66,Campbell,931,10515,15160,88,88,24,2025,0,0,82,319,3,8650000,2950000,25700000,42800000,5,7750000,2,0,0,0,0,82,86,0,99,[],[],78,71,80,50,90,78,73,89,87,90,91,85,90,94,90,83,79,80,12,6,6,30,6,6,11,11,6,11,13,21,30,21,10,10,10,18,28,58,29,5,5,16,21,11,34,22,12,30,22,10,22,29,12,15,16,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313380677,Rashee Rice,WR,WR,88,1,1313380677,553388213,MEGA,Patriots,2026-04-16 20:25:11.899348,False,False,473,False,,False,False,28,22,4,2000,SMU,24,2,Rashee,Rashee Rice,Rashee Rice,4798,74,42,North Richland Hills,0,97,True,False,False,False,4,Rice,248,2366,22765,88,88,0,2022,6,0,85,203,5,32900000,20900000,12000000,24000000,2,40000000,1,0,0,0,0,85,88,0,83,[],[],92,85,87,50,90,92,90,89,71,88,50,32,29,30,37,30,35,58,25,15,20,35,30,15,47,18,10,88,86,95,82,89,87,40,79,69,62,87,94,83,89,92,89,10,28,32,11,15,10,10,32,32,16,20,25,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1526716875,Mitch McKee,WR,WR,85,2,1526716875,553387270,MEGA,Patriots,2026-04-16 20:25:11.895418,False,False,1331,False,,False,False,23,17,15,1963,Notre Dame,32,1,Mitch,Mitch McKee,Mitch McKee,2797,72,14,PLACEHOLDER,0,97,True,False,False,False,84,McKee,128,4061,2808,85,85,24,2027,4,0,80,180,1,3540000,1720000,5460000,7280000,4,7360000,3,0,0,0,0,80,90,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,93,83,50,81,86,97,83,56,78,46,34,24,36,42,34,28,58,47,22,23,11,34,15,30,29,30,80,67,85,76,89,81,89,85,39,54,92,86,86,78,73,89,32,35,38,46,33,43,28,28,25,33,25,35,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381699,Isaiah Likely,TE,TE,85,1,1313381699,553387581,MEGA,Patriots,2026-04-16 20:25:11.896621,False,False,355,False,,False,False,28,18,4,2000,Coastal Carolina,34,4,Isaiah,Isaiah Likely,Isaiah Likely,6598,76,20,Cambridge,0,97,True,False,False,False,80,Likely,393,1807,22092,85,85,0,2024,3,0,82,241,6,10680000,4480000,6200000,18600000,3,11700000,1,0,0,0,0,82,76,0,93,[],[],87,81,84,50,90,86,83,87,66,88,55,54,53,50,53,65,63,67,28,11,15,20,21,24,24,13,15,83,70,91,74,87,78,35,74,76,71,76,79,68,75,77,84,30,31,33,25,36,20,34,36,36,30,12,18,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381358,Elgton Jenkins,RT,OL,85,1,1313381358,553387310,MEGA,Patriots,2026-04-16 20:25:11.895658,False,False,174,False,,False,False,32,26,12,1995,Mississippi State,12,2,Elgton,Elgton Jenkins,Elgton Jenkins,16463,77,23,Clarksdale,0,97,True,False,False,False,77,Jenkins,2863,9524,20376,85,85,24,2021,2,0,79,311,9,10800000,1250000,19100000,25700000,4,35690000,2,0,0,0,0,79,86,0,99,[],[],73,63,90,50,87,70,74,89,89,87,87,76,87,89,87,76,75,76,12,6,6,24,6,6,24,10,6,15,11,26,25,15,20,10,22,15,29,55,20,5,5,10,15,25,42,39,12,23,30,10,40,38,15,14,19,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1313381488,Jared Wilson,LG,OL,83,1,1313381488,553388922,MEGA,Patriots,2026-04-16 20:25:11.903310,False,False,513,False,,False,False,25,5,6,2003,Georgia,31,3,Jared,Jared Wilson,Jared Wilson,3922,75,32,Winston-Salem,0,97,True,False,False,False,58,Wilson,931,10786,15170,83,83,0,2025,0,0,83,310,3,1700000,1480000,220000,880000,4,4460000,1,0,0,0,0,83,86,0,92,[],[],79,70,79,50,89,78,78,81,86,86,91,90,87,76,84,83,83,88,10,6,6,30,6,6,18,8,6,12,6,28,34,16,13,10,11,13,20,62,14,5,5,11,18,14,16,25,11,24,13,10,20,28,14,13,16,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Patriots,1388354265,Bret Farley,RG,OL,82,1,1388354265,553387210,MEGA,Patriots,2026-04-16 20:25:11.894996,False,False,912,False,,False,False,23,22,2,2058,LSU,8,2,Bret,Bret Farley,Bret Farley,1116,78,32,PLACEHOLDER,0,97,True,False,False,False,73,Farley,610,10338,2284,82,82,24,2026,1,0,81,317,2,2760000,1640000,2240000,4480000,4,6320000,2,0,0,0,0,81,88,0,99,[],[],81,71,84,50,80,77,71,90,88,86,93,82,80,87,90,81,70,86,43,35,37,30,30,28,14,39,25,37,28,39,53,28,39,42,36,27,44,59,38,32,31,28,24,32,26,45,28,35,30,45,38,39,39,48,41,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
