team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NO,Saints,1388354488,Emmett Newby,QB,QB,98,3,1388354488,553387768,MEGA,Saints,2026-04-16 20:25:15.279267,False,False,10565,False,,False,False,22,20,9,1944,Wyoming,2,1,Emmett,Emmett Newby,Emmett Newby,2694,75,10,PLACEHOLDER,0,97,True,False,False,False,7,Newby,1357,4203,2005,98,98,22,2026,3,0,98,232,2,11890000,4260000,15260000,30520000,4,16040000,2,0,0,0,0,98,0,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bazooka', 'startActivated': False, 'signatureLogoId': 1106, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Quarterbacks with generational arms have the power to stretch any defense to its breaking point. When they enter the zone, their maximum throw distance is increased by 15+ yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Complete 30+ yard in air passes', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Closer', 'startActivated': False, 'signatureLogoId': 1315, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Locker room pep talks go a long way. Players with this ability can easily enter the Zone in the 2nd half.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'High Point Deadeye', 'startActivated': False, 'signatureLogoId': 1395, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on any high point throws under 20 yards.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No-Look Deadeye', 'startActivated': False, 'signatureLogoId': 1158, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all cross-body throws up to 20 yards (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,80,91,50,94,64,78,84,61,81,42,28,28,28,31,39,46,29,72,97,99,32,98,95,93,99,99,56,58,37,63,24,48,41,52,42,58,85,42,39,31,28,36,48,26,30,29,39,36,25,30,41,34,36,39,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313380284,James Cook III,HB,RB,96,2,1313380284,553386505,MEGA,Saints,2026-04-16 20:25:15.270792,False,False,1461,False,,False,False,28,25,9,1999,Georgia,31,2,James,James Cook III,James Cook III,1562,71,8,Miami,0,97,True,False,False,False,31,Cook III,4774,1304,22054,96,96,0,2024,6,0,96,190,6,14900000,5900000,9000000,18000000,2,11000000,1,0,0,0,0,96,93,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Backfield Mismatch', 'startActivated': False, 'signatureLogoId': 1120, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running backs with this ability have better catch in traffic and route running when coming out of the backfield against linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,95,95,50,89,81,92,85,67,84,38,43,26,21,50,29,24,42,20,10,14,30,20,10,27,17,10,93,88,70,93,52,97,74,88,71,64,92,62,57,65,69,54,10,37,35,24,31,10,17,47,40,34,14,19,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381750,Kelvin Banks Jr.,LT,OL,92,2,1313381750,553386117,MEGA,Saints,2026-04-16 20:25:15.267549,False,False,1962,False,,False,False,24,10,3,2004,Texas,9,1,Kelvin,Kelvin Banks Jr.,Kelvin Banks Jr,8215,77,42,Humble,0,97,True,False,False,False,71,Banks Jr.,550,10483,15161,92,92,0,2025,0,0,83,315,3,6010000,2800000,3210000,12840000,4,6510000,1,0,0,0,0,83,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Protector', 'startActivated': False, 'signatureLogoId': 1943, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while pass blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",72,58,88,50,89,78,67,88,86,90,94,83,92,97,96,81,79,79,15,17,18,30,20,14,14,12,15,11,11,25,30,13,18,10,16,12,30,59,18,5,5,14,12,10,38,23,13,34,33,11,24,30,14,11,14,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381093,Cam Skattebo,HB,RB,92,3,1313381093,553388407,MEGA,Saints,2026-04-16 20:25:15.284102,False,False,1330,False,,False,False,26,5,2,2002,Arizona State,3,4,Cam,Cam Skattebo,Cam Skattebo,9217,70,4,Rio Linda,0,97,True,False,False,False,38,Skattebo,495,10732,14807,92,92,0,2025,0,1,88,216,3,1140000,1140000,0,0,4,3830000,1,0,0,0,0,88,87,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Truzz', 'startActivated': False, 'signatureLogoId': 1245, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most effective ball carriers prioritize maintaining possession over all else. When they enter the zone, no tackles made against them will result in a fumble.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 1+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,88,85,50,94,92,85,94,82,95,51,47,42,46,55,34,33,48,57,52,55,15,58,59,63,50,51,95,96,72,97,56,91,83,84,91,97,90,61,52,55,62,57,35,43,40,19,18,32,17,47,45,22,58,66,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381757,Erik McCoy,C,OL,90,2,1313381757,553387714,MEGA,Saints,2026-04-16 20:25:15.278149,False,False,477,False,,False,False,31,27,8,1997,Texas A&M,16,2,Erik,Erik McCoy,Erik McCoy,28093,76,42,Lufkin,0,97,True,False,False,False,78,McCoy,2767,9563,20437,90,90,24,2021,4,0,90,303,9,15360000,8360000,21000000,26580000,4,39900000,3,0,0,0,0,90,86,0,99,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",77,62,96,50,87,76,74,88,89,88,87,92,85,82,86,95,91,94,12,6,6,22,6,6,22,15,6,10,9,30,30,10,10,10,10,10,20,58,12,5,5,10,12,12,22,23,11,28,15,10,25,35,13,21,22,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381891,Alex Highsmith,LEDGE,DE,90,2,1313381891,553387142,MEGA,Saints,2026-04-16 20:25:15.275929,False,False,441,False,Broken Collarbone,True,False,31,7,8,1997,Charlotte,38,3,Alex,Alex Highsmith,Alex Highsmith,26930,76,32,Wilmington,7,86,True,False,False,False,56,Highsmith,2351,352,21234,90,90,0,2022,12,0,87,242,8,25400000,13400000,12000000,12000000,1,13400000,1,0,0,0,0,87,85,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,82,91,50,92,81,85,91,85,88,83,12,45,45,45,45,45,45,12,6,6,19,6,6,24,10,6,31,16,56,46,24,32,10,27,32,32,74,14,5,5,10,27,92,81,87,55,90,83,45,90,92,63,10,14,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381766,Chris Olave,WR,WR,89,2,1313381766,553387990,MEGA,Saints,2026-04-16 20:25:15.281533,False,False,689,False,,False,False,28,27,6,2000,Ohio State,11,1,Chris,Chris Olave,Chris Olave,6015,72,4,San Ysidro,0,97,True,False,False,False,12,Olave,2302,1870,22072,89,89,24,2024,3,0,84,187,6,23500000,13400000,40400000,65490000,6,75000000,4,0,0,0,0,84,89,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matchup Nightmare', 'startActivated': False, 'signatureLogoId': 1157, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability make sharper cuts and frequently win contested catches when covered by linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Elite', 'startActivated': False, 'signatureLogoId': 1929, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Slot-O-Matic', 'startActivated': False, 'signatureLogoId': 1197, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When lined up in the slot, receivers with this ability make faster cuts and have better hands when catching passes less than 10 yards from the LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,91,84,50,86,82,93,87,59,85,39,21,18,13,28,24,18,40,22,6,10,18,15,10,25,19,6,82,70,95,74,90,78,75,73,42,34,92,87,89,91,91,87,10,16,20,21,29,10,20,38,17,29,19,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381773,Bryan Bresee,DT,DT,86,1,1313381773,553386275,MEGA,Saints,2026-04-16 20:25:15.268986,False,False,515,False,Torn Pectoral,True,False,26,6,10,2001,Clemson,29,1,Bryan,Bryan Bresee,Bryan Bresee,4900,77,19,Damascus,34,87,True,False,False,False,90,Bresee,232,1781,22915,86,86,24,2022,12,0,86,305,5,20310000,9810000,31500000,43480000,5,44420000,3,0,0,0,0,86,84,0,99,[],[],85,70,83,50,85,72,78,80,88,90,87,44,40,40,40,45,45,45,13,7,10,30,13,6,22,15,6,41,35,47,44,41,38,10,30,47,50,68,12,3,5,10,43,63,89,86,24,86,78,20,83,94,28,23,24,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381747,Kool-Aid McKinstry,CB,CB,86,1,1313381747,553387744,MEGA,Saints,2026-04-16 20:25:15.278913,False,False,768,False,,False,False,25,30,9,2002,Alabama,9,2,Kool-Aid,Kool-Aid McKinstry,KoolAid McKinstry,7032,72,0,Birmingham,0,97,True,False,False,False,4,McKinstry,130,10173,14925,86,86,24,2023,0,0,86,196,4,7890000,2590000,26500000,27350000,6,19370000,5,0,0,0,0,86,88,0,98,[],[],92,92,78,50,91,84,90,88,53,85,44,15,9,10,15,12,14,21,21,14,15,26,20,8,25,11,10,66,67,65,55,58,73,83,70,44,26,87,27,22,25,31,66,39,59,50,91,84,29,85,75,77,91,11,13,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313380146,Drew Dalman,LG,OL,84,1,1313380146,553386557,MEGA,Saints,2026-04-16 20:25:15.271484,False,False,270,False,,False,False,29,15,10,1998,Stanford,9,4,Drew,Drew Dalman,Drew Dalman,8552,75,4,Salinas,0,97,True,False,False,False,52,Dalman,483,803,21547,84,84,0,2023,6,0,84,300,7,11900000,5600000,6300000,6300000,1,5600000,1,0,0,0,0,84,84,0,92,[],[],75,68,89,50,92,80,70,81,87,82,83,90,80,69,75,91,84,91,12,6,6,12,6,6,15,10,6,10,5,25,34,15,10,10,10,10,25,53,15,5,5,15,15,10,25,27,9,31,10,10,31,32,11,14,15,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
