team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NO,Saints,1313381891,Alex Highsmith,LEDGE,DE,90,2,1313381891,553387142,MEGA,Saints,2026-04-16 20:25:15.275929,False,False,441,False,Broken Collarbone,True,False,31,7,8,1997,Charlotte,38,3,Alex,Alex Highsmith,Alex Highsmith,26930,76,32,Wilmington,7,86,True,False,False,False,56,Highsmith,2351,352,21234,90,90,0,2022,12,0,87,242,8,25400000,13400000,12000000,12000000,1,13400000,1,0,0,0,0,87,85,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outmatched', 'startActivated': False, 'signatureLogoId': 1339, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are highly likely to force catch knockouts against running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,82,91,50,92,81,85,91,85,88,83,12,45,45,45,45,45,45,12,6,6,19,6,6,24,10,6,31,16,56,46,24,32,10,27,32,32,74,14,5,5,10,27,92,81,87,55,90,83,45,90,92,63,10,14,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381773,Bryan Bresee,DT,DT,86,1,1313381773,553386275,MEGA,Saints,2026-04-16 20:25:15.268986,False,False,515,False,Torn Pectoral,True,False,26,6,10,2001,Clemson,29,1,Bryan,Bryan Bresee,Bryan Bresee,4900,77,19,Damascus,34,87,True,False,False,False,90,Bresee,232,1781,22915,86,86,24,2022,12,0,86,305,5,20310000,9810000,31500000,43480000,5,44420000,3,0,0,0,0,86,84,0,99,[],[],85,70,83,50,85,72,78,80,88,90,87,44,40,40,40,45,45,45,13,7,10,30,13,6,22,15,6,41,35,47,44,41,38,10,30,47,50,68,12,3,5,10,43,63,89,86,24,86,78,20,83,94,28,23,24,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381747,Kool-Aid McKinstry,CB,CB,86,1,1313381747,553387744,MEGA,Saints,2026-04-16 20:25:15.278913,False,False,768,False,,False,False,25,30,9,2002,Alabama,9,2,Kool-Aid,Kool-Aid McKinstry,KoolAid McKinstry,7032,72,0,Birmingham,0,97,True,False,False,False,4,McKinstry,130,10173,14925,86,86,24,2023,0,0,86,196,4,7890000,2590000,26500000,27350000,6,19370000,5,0,0,0,0,86,88,0,98,[],[],92,92,78,50,91,84,90,88,53,85,44,15,9,10,15,12,14,21,21,14,15,26,20,8,25,11,10,66,67,65,55,58,73,83,70,44,26,87,27,22,25,31,66,39,59,50,91,84,29,85,75,77,91,11,13,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313382379,Deionte Nance,CB,CB,83,1,1313382379,553387245,MEGA,Saints,2026-04-16 20:25:15.276284,False,False,1333,False,,False,False,22,30,13,2039,Toledo,25,5,Deionte,Deionte Nance,Deionte Nance,3596,72,39,PLACEHOLDER,0,97,True,False,False,False,21,Nance,19,3372,2445,83,83,24,2027,10,0,80,181,1,1130000,1020000,330000,440000,4,4200000,3,0,0,0,0,80,88,0,98,[],[],91,85,79,50,81,87,91,96,63,81,48,46,36,43,44,40,41,46,36,18,17,10,22,15,20,26,37,69,24,60,60,47,72,69,70,40,37,93,50,30,41,34,44,37,66,60,79,84,28,80,73,70,90,46,43,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313380993,Nakobe Dean,MIKE,LB,82,1,1313380993,553386609,MEGA,Saints,2026-04-16 20:25:15.272515,False,False,295,False,,False,False,27,13,12,2000,Georgia,19,3,Nakobe,Nakobe Dean,Nakobe Dean,3011,71,23,Horn Lake,0,97,True,False,False,False,57,Dean,886,1347,22402,82,82,0,2024,12,0,82,231,6,12720000,7720000,5000000,15000000,3,21000000,1,0,0,0,0,82,83,0,85,[],[],90,83,77,50,92,79,87,89,66,87,76,20,45,45,45,45,45,45,15,6,6,25,6,6,25,11,6,60,38,66,62,57,60,10,42,33,35,76,15,8,13,20,64,70,88,75,61,85,53,39,92,92,71,20,22,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313380360,Byron Young,REDGE,DE,81,1,1313380360,553389006,MEGA,Saints,2026-04-16 20:25:15.288262,True,False,210,False,,False,False,30,13,3,1998,Tennessee,14,3,Byron,Byron Young,Byron Young,395,74,39,Georgetown,0,97,True,False,False,False,92,Young,1151,2491,22938,81,81,0,2022,15,0,81,248,5,13800000,6800000,7000000,14000000,2,12800000,1,0,0,0,0,81,86,0,75,[],[],93,77,82,50,90,90,92,84,74,80,71,35,40,40,40,45,45,45,14,6,6,30,6,6,25,9,6,60,54,53,61,46,56,45,49,53,55,65,25,29,34,41,47,77,85,81,46,84,83,47,86,85,53,11,13,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313380680,Chamarri Conner,SS,S,81,2,1313380680,553386496,MEGA,Saints,2026-04-16 20:25:15.270430,False,False,271,False,,False,False,28,11,7,2000,Virginia Tech,17,4,Chamarri,Chamarri Conner,Chamarri Conner,5244,72,8,Jacksonville,0,97,True,False,False,False,35,Conner,1170,2062,23060,81,81,0,2022,12,0,80,206,5,8860000,4260000,4600000,9200000,2,8000000,1,0,0,0,0,80,84,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Out My Way', 'startActivated': False, 'signatureLogoId': 1301, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will frequently attempt and win impact blocks against receivers, tight ends, and running backs.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,86,77,50,94,94,89,89,66,87,62,31,35,35,35,35,35,35,21,10,10,29,15,22,25,10,15,64,61,69,59,58,69,55,65,53,54,81,41,39,42,43,59,45,83,58,81,81,35,75,79,73,81,14,15,0,2,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381753,Quincy Riley,CB,CB,81,1,1313381753,553388227,MEGA,Saints,2026-04-16 20:25:15.282260,False,False,367,False,,False,False,27,26,5,2001,Louisville,29,4,Quincy,Quincy Riley,Quincy Riley,9707,71,39,Columbia,0,97,True,False,False,False,29,Riley,104,10706,15313,81,81,0,2025,0,0,81,194,3,1310000,1140000,170000,680000,4,3830000,1,0,0,0,0,81,88,0,99,[],[],90,91,79,50,86,85,90,89,64,85,48,26,35,25,35,35,25,35,28,12,12,19,20,25,28,29,27,74,45,78,66,65,72,75,66,35,33,85,33,30,33,32,71,32,56,44,87,74,32,82,72,52,82,17,22,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313381754,Jonas Sanker,FS,S,81,2,1313381754,553388324,MEGA,Saints,2026-04-16 20:25:15.282650,False,False,450,False,,False,False,25,23,11,2002,Virginia,29,3,Jonas,Jonas Sanker,Jonas Sanker,3970,73,45,Charlottesville,0,97,True,False,False,False,33,Sanker,494,10720,15337,81,81,0,2025,0,0,81,206,3,1710000,1480000,230000,920000,4,4460000,1,0,0,0,0,81,83,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,82,78,50,89,87,90,91,58,89,59,25,35,35,35,35,35,35,28,17,20,23,25,25,31,22,19,69,59,69,61,56,70,82,62,49,48,87,28,20,24,31,61,34,81,56,68,73,39,65,87,76,85,17,20,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Saints,1313382105,Kendall Fuller,CB,CB,81,2,1313382105,553386866,MEGA,Saints,2026-04-16 20:25:15.274849,False,False,64,False,,False,False,33,13,2,1995,Virginia Tech,21,3,Kendall,Kendall Fuller,Kendall Fuller,27268,71,19,Baltimore,0,97,True,False,False,False,32,Fuller,2891,8013,17668,81,81,0,2018,13,0,81,198,12,20660000,10160000,10500000,31500000,3,27000000,1,0,0,0,0,81,86,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,85,85,50,85,86,88,92,67,87,50,10,34,33,10,34,33,17,17,6,6,26,6,6,27,12,6,70,57,75,63,61,78,60,63,29,28,87,27,11,16,26,68,37,58,61,85,82,30,81,79,64,89,17,18,0,2,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
