team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NYG,Giants,1313381316,Jahmyr Gibbs,HB,RB,99,3,1313381316,553386903,MEGA,Giants,2026-04-16 20:25:13.499633,False,False,3807,False,,False,False,26,20,3,2002,Alabama,12,1,Jahmyr,Jahmyr Gibbs,Jahmyr Gibbs,6964,69,9,Dalton,0,97,True,False,False,False,3,Gibbs,10828,2564,22691,99,99,24,2022,3,0,99,199,5,14670000,1170000,54000000,67500000,6,10130000,4,0,0,0,0,99,95,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Evasive', 'startActivated': False, 'signatureLogoId': 1222, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke and spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,93,93,50,91,81,95,85,72,86,32,29,29,34,52,24,16,30,25,13,17,20,21,15,26,14,10,95,94,76,96,66,98,80,98,86,90,92,69,61,65,73,64,10,28,30,12,16,10,16,37,30,15,10,14,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381107,Dexter Lawrence II,DT,DT,97,3,1313381107,553387541,MEGA,Giants,2026-04-16 20:25:13.501225,False,False,1385,False,,False,False,30,12,11,1997,Clemson,17,1,Dexter,Dexter Lawrence II,Dexter Lawrence II,22188,76,32,Wake Forest,0,97,True,False,False,False,97,Lawrence II,5077,9548,20552,97,97,0,2021,13,0,89,342,9,40000000,17000000,23000000,29950000,2,36500000,1,0,0,0,0,89,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Blitz', 'startActivated': False, 'signatureLogoId': 1114, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Effective D-Line captains aren't just examples to follow, they are motivators. When they enter the zone, all opposing blockers have their resistance bars wiped out."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Make sacks or TFL's"", 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Interior Threat', 'startActivated': False, 'signatureLogoId': 1925, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster; more dominant pass rush moves while rushing from the interior of the defensive line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'El Toro', 'startActivated': False, 'signatureLogoId': 1324, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a chance to receive dominant bull rush wins when their stamina is full. This consumes additional stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Enforcer Supreme', 'startActivated': False, 'signatureLogoId': 1935, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability allow fewer broken tackles; cause heavy fatigue penalties; and will clear a ballcarrier's progress towards entering the zone when landing a hit-stick."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stopper', 'startActivated': False, 'signatureLogoId': 1188, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend a point on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",79,70,96,50,93,74,76,89,99,91,96,43,45,45,45,45,45,45,12,6,6,20,6,6,19,10,6,26,17,36,42,23,23,40,19,31,46,56,12,12,14,18,22,79,82,97,13,96,94,14,91,94,24,15,15,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381100,Abdul Carter,LEDGE,DE,95,3,1313381100,553386412,MEGA,Giants,2026-04-16 20:25:13.498621,False,False,3008,False,,False,False,24,3,10,2003,Penn State,3,1,Abdul,Abdul Carter,Abdul Carter,3953,76,37,Philadelphia,0,97,True,False,False,False,51,Carter,2042,10516,15198,95,95,0,2025,0,0,95,250,3,14390000,14390000,0,27130000,4,18110000,1,0,0,0,0,95,87,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Momentum Shift', 'startActivated': False, 'signatureLogoId': 1100, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Momentum Shift players demoralize their opponents. When they enter the zone, all on field opponents are knocked out of the zone or lose any progress towards entering the zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': 'Downs played'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Tackler', 'startActivated': False, 'signatureLogoId': 1191, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have an increased success rate when using conservative or diving tackles.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Demoralizer', 'startActivated': False, 'signatureLogoId': 1387, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability will clear a ballcarrier's progress towards entering the zone with a hit-stick tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Threat', 'startActivated': False, 'signatureLogoId': 1132, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster, more dominant pass rush moves while rushing from the edge of the defense.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,86,92,50,87,86,88,85,80,93,84,20,45,45,45,40,40,40,25,18,18,30,18,16,22,27,25,52,39,43,46,33,53,25,45,45,44,78,23,10,15,20,33,97,91,96,50,88,96,44,92,95,55,20,23,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313380343,Quinn Meinerz,LG,OL,95,2,1313380343,553387774,MEGA,Giants,2026-04-16 20:25:13.502896,True,False,950,False,,False,False,29,15,11,1998,Wisc-Whitewater,35,3,Quinn,Quinn Meinerz,Quinn Meinerz,20279,75,48,Hartford,0,97,True,False,False,False,77,Meinerz,1818,841,21842,95,95,0,2023,12,0,91,320,7,20050000,20050000,0,0,5,58520000,1,0,0,0,0,91,91,0,80,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Protector', 'startActivated': False, 'signatureLogoId': 1943, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while pass blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matador', 'startActivated': False, 'signatureLogoId': 1331, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability have stronger protection against dominant bull rush moves attempted by defenders', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",79,67,95,50,90,78,76,85,95,92,87,96,90,90,90,99,95,97,12,6,6,22,6,6,21,15,6,18,33,25,22,10,18,10,20,31,35,55,15,3,7,15,12,27,41,33,12,26,30,10,27,32,17,13,19,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381092,Jaxson Dart,QB,QB,90,0,1313381092,553386569,MEGA,Giants,2026-04-16 20:25:13.498861,False,False,1730,False,,False,False,25,13,5,2003,Ole Miss,25,1,Jaxson,Jaxson Dart,Jaxson Dart,13010,74,43,Kaysville,0,97,True,False,False,False,6,Dart,2219,10533,14796,90,90,0,2025,0,1,90,221,3,4270000,2580000,1690000,6760000,4,6660000,1,0,0,0,0,90,0,0,96,[],[],85,82,89,50,92,74,84,90,63,93,26,26,30,32,25,30,31,30,77,90,96,76,95,89,88,94,95,79,71,44,64,25,66,30,62,48,48,80,25,20,20,23,21,18,24,15,8,28,16,9,19,25,9,30,27,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381110,Andrew Thomas,LT,OL,89,1,1313381110,553388610,MEGA,Giants,2026-04-16 20:25:13.507155,False,False,480,False,,False,False,29,22,1,1999,Georgia,4,1,Andrew,Andrew Thomas,Andrew Thomas,14527,77,9,Lithonia,0,97,True,False,False,False,78,Thomas,1742,611,20964,89,89,24,2022,4,0,83,315,8,23230000,22400000,830000,29070000,5,82600000,2,0,0,0,0,83,88,0,99,[],[],65,64,86,50,83,78,69,91,90,86,93,86,90,93,92,82,82,81,12,6,6,25,6,6,23,14,6,17,8,46,33,20,22,10,11,27,33,57,19,10,14,29,42,10,30,27,12,13,10,10,24,31,15,22,24,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381090,Malik Nabers,WR,WR,89,2,1313381090,553387906,MEGA,Giants,2026-04-16 20:25:13.503586,False,False,977,False,,False,False,25,28,7,2003,LSU,6,1,Malik,Malik Nabers,Malik Nabers,7429,72,17,Youngsville,0,97,True,False,False,False,1,Nabers,261,10192,14644,89,89,24,2023,0,0,89,199,4,21090000,11090000,50000000,54510000,6,73280000,5,0,0,0,0,89,92,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid In Elite', 'startActivated': False, 'signatureLogoId': 1333, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Out Elite', 'startActivated': False, 'signatureLogoId': 1334, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,92,89,50,92,96,96,93,63,89,42,20,10,10,23,17,22,41,27,6,10,30,15,10,31,15,6,92,82,90,76,87,89,72,82,61,53,94,84,90,88,89,92,11,20,27,12,19,11,15,31,30,18,25,28,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313380576,Ladd McConkey,WR,WR,89,2,1313380576,553387710,MEGA,Giants,2026-04-16 20:25:13.502401,False,False,820,False,,False,False,26,11,11,2001,Georgia,2,2,Ladd,Ladd McConkey,Ladd McConkey,4093,72,9,Chatsworth,0,97,True,False,False,False,9,McConkey,298,10169,14651,89,89,24,2023,0,0,87,186,4,15330000,1170000,70800000,70800000,6,66130000,5,0,0,0,0,87,89,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Slot-O-Matic', 'startActivated': False, 'signatureLogoId': 1197, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When lined up in the slot, receivers with this ability make faster cuts and have better hands when catching passes less than 10 yards from the LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,92,88,50,89,88,92,88,57,84,43,20,16,20,31,32,25,45,25,6,10,31,15,16,25,16,6,87,75,93,71,89,84,78,72,48,39,94,80,88,94,89,90,10,31,33,12,14,10,16,39,34,17,12,18,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381108,Brian Burns,REDGE,DE,86,1,1313381108,553386363,MEGA,Giants,2026-04-16 20:25:13.498093,False,False,316,False,Broken Collarbone,True,False,30,23,4,1998,Florida State,16,1,Brian,Brian Burns,Brian Burns,21901,77,8,Fort Lauderdale,6,86,True,False,False,False,0,Burns,5273,9406,20566,86,86,0,2021,20,0,86,250,9,44000000,25500000,18500000,87750000,5,53250000,1,0,0,0,0,86,86,0,99,[],[],90,86,87,50,93,85,87,84,76,87,78,13,45,45,45,45,45,45,12,6,6,12,6,6,24,10,6,33,21,48,41,28,42,10,39,32,28,71,17,5,10,15,34,87,79,78,45,85,75,22,89,86,56,17,15,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381113,Jevon Holland,FS,S,86,1,1313381113,553387172,MEGA,Giants,2026-04-16 20:25:13.500544,False,False,474,False,,False,False,28,3,3,2000,Oregon,4,2,Jevon,Jevon Holland,Jevon Holland,6212,73,50,Coquitlam,0,97,True,False,False,False,8,Holland,2987,1161,21470,86,86,24,2023,11,0,85,210,7,10510000,2510000,24000000,28000000,4,22800000,3,0,0,0,0,85,84,0,95,[],[],93,84,87,50,92,87,91,93,65,84,64,24,35,35,35,35,35,35,10,10,10,26,15,15,23,11,15,75,43,79,67,69,77,71,64,34,33,86,46,40,41,44,75,48,84,62,83,84,40,70,81,77,84,15,11,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
