team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NYG,Giants,1313381316,Jahmyr Gibbs,HB,RB,99,3,1313381316,553386903,MEGA,Giants,2026-04-16 20:25:13.499633,False,False,3807,False,,False,False,26,20,3,2002,Alabama,12,1,Jahmyr,Jahmyr Gibbs,Jahmyr Gibbs,6964,69,9,Dalton,0,97,True,False,False,False,3,Gibbs,10828,2564,22691,99,99,24,2022,3,0,99,199,5,14670000,1170000,54000000,67500000,6,10130000,4,0,0,0,0,99,95,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Evasive', 'startActivated': False, 'signatureLogoId': 1222, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke and spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,93,93,50,91,81,95,85,72,86,32,29,29,34,52,24,16,30,25,13,17,20,21,15,26,14,10,95,94,76,96,66,98,80,98,86,90,92,69,61,65,73,64,10,28,30,12,16,10,16,37,30,15,10,14,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313380343,Quinn Meinerz,LG,OL,95,2,1313380343,553387774,MEGA,Giants,2026-04-16 20:25:13.502896,True,False,950,False,,False,False,29,15,11,1998,Wisc-Whitewater,35,3,Quinn,Quinn Meinerz,Quinn Meinerz,20279,75,48,Hartford,0,97,True,False,False,False,77,Meinerz,1818,841,21842,95,95,0,2023,12,0,91,320,7,20050000,20050000,0,0,5,58520000,1,0,0,0,0,91,91,0,80,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pass Protector', 'startActivated': False, 'signatureLogoId': 1943, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while pass blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matador', 'startActivated': False, 'signatureLogoId': 1331, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability have stronger protection against dominant bull rush moves attempted by defenders', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",79,67,95,50,90,78,76,85,95,92,87,96,90,90,90,99,95,97,12,6,6,22,6,6,21,15,6,18,33,25,22,10,18,10,20,31,35,55,15,3,7,15,12,27,41,33,12,26,30,10,27,32,17,13,19,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381092,Jaxson Dart,QB,QB,90,0,1313381092,553386569,MEGA,Giants,2026-04-16 20:25:13.498861,False,False,1730,False,,False,False,25,13,5,2003,Ole Miss,25,1,Jaxson,Jaxson Dart,Jaxson Dart,13010,74,43,Kaysville,0,97,True,False,False,False,6,Dart,2219,10533,14796,90,90,0,2025,0,1,90,221,3,4270000,2580000,1690000,6760000,4,6660000,1,0,0,0,0,90,0,0,96,[],[],85,82,89,50,92,74,84,90,63,93,26,26,30,32,25,30,31,30,77,90,96,76,95,89,88,94,95,79,71,44,64,25,66,30,62,48,48,80,25,20,20,23,21,18,24,15,8,28,16,9,19,25,9,30,27,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381110,Andrew Thomas,LT,OL,89,1,1313381110,553388610,MEGA,Giants,2026-04-16 20:25:13.507155,False,False,480,False,,False,False,29,22,1,1999,Georgia,4,1,Andrew,Andrew Thomas,Andrew Thomas,14527,77,9,Lithonia,0,97,True,False,False,False,78,Thomas,1742,611,20964,89,89,24,2022,4,0,83,315,8,23230000,22400000,830000,29070000,5,82600000,2,0,0,0,0,83,88,0,99,[],[],65,64,86,50,83,78,69,91,90,86,93,86,90,93,92,82,82,81,12,6,6,25,6,6,23,14,6,17,8,46,33,20,22,10,11,27,33,57,19,10,14,29,42,10,30,27,12,13,10,10,24,31,15,22,24,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381090,Malik Nabers,WR,WR,89,2,1313381090,553387906,MEGA,Giants,2026-04-16 20:25:13.503586,False,False,977,False,,False,False,25,28,7,2003,LSU,6,1,Malik,Malik Nabers,Malik Nabers,7429,72,17,Youngsville,0,97,True,False,False,False,1,Nabers,261,10192,14644,89,89,24,2023,0,0,89,199,4,21090000,11090000,50000000,54510000,6,73280000,5,0,0,0,0,89,92,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid In Elite', 'startActivated': False, 'signatureLogoId': 1333, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Out Elite', 'startActivated': False, 'signatureLogoId': 1334, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 10-20 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,92,89,50,92,96,96,93,63,89,42,20,10,10,23,17,22,41,27,6,10,30,15,10,31,15,6,92,82,90,76,87,89,72,82,61,53,94,84,90,88,89,92,11,20,27,12,19,11,15,31,30,18,25,28,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313380576,Ladd McConkey,WR,WR,89,2,1313380576,553387710,MEGA,Giants,2026-04-16 20:25:13.502401,False,False,820,False,,False,False,26,11,11,2001,Georgia,2,2,Ladd,Ladd McConkey,Ladd McConkey,4093,72,9,Chatsworth,0,97,True,False,False,False,9,McConkey,298,10169,14651,89,89,24,2023,0,0,87,186,4,15330000,1170000,70800000,70800000,6,66130000,5,0,0,0,0,87,89,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Slot-O-Matic', 'startActivated': False, 'signatureLogoId': 1197, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When lined up in the slot, receivers with this ability make faster cuts and have better hands when catching passes less than 10 yards from the LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,92,88,50,89,88,92,88,57,84,43,20,16,20,31,32,25,45,25,6,10,31,15,16,25,16,6,87,75,93,71,89,84,78,72,48,39,94,80,88,94,89,90,10,31,33,12,14,10,16,39,34,17,12,18,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1526716531,Tim Mack,TE,TE,81,0,1526716531,553386256,MEGA,Giants,2026-04-16 20:25:13.497594,False,False,831,False,,False,False,23,18,11,1972,South Carolina,23,2,Tim,Tim Mack,Tim Mack,1557,75,6,PLACEHOLDER,0,97,True,False,False,False,86,Mack,10,3491,2778,81,81,24,2027,3,0,81,259,1,1890000,1310000,1740000,2320000,4,5480000,3,0,0,0,0,81,77,0,92,[],[],89,85,78,50,89,82,85,82,69,80,60,62,58,53,62,65,61,66,47,26,20,28,13,29,20,26,28,84,76,82,74,87,67,42,71,66,72,79,72,64,75,75,79,27,27,34,30,48,35,33,30,48,29,38,27,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381631,Alaric Jackson,RG,OL,80,0,1313381631,553387254,MEGA,Giants,2026-04-16 20:25:13.500776,False,False,134,False,Torn Pectoral,True,False,30,14,7,1998,Iowa,-1,63,Alaric,Alaric Jackson,Alaric Jackson,19171,79,50,Windsor,30,87,True,False,False,False,57,Jackson,235,911,21997,80,80,0,2023,4,0,79,345,7,10000000,5000000,5000000,5000000,1,5000000,1,0,0,0,0,79,82,0,99,[],[],67,61,86,50,92,64,63,82,85,86,85,85,81,84,82,84,81,84,12,6,6,22,6,6,26,16,6,30,29,22,34,25,21,10,14,24,33,50,21,10,15,20,27,34,43,47,10,21,46,10,45,42,12,11,13,0,0,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313380385,Wyatt Teller,C,OL,79,2,1313380385,553388599,MEGA,Giants,2026-04-16 20:25:13.506691,False,False,67,False,,False,False,33,21,11,1994,Virginia Tech,29,5,Wyatt,Wyatt Teller,Wyatt Teller,31289,76,45,Bealeton,0,97,True,False,False,False,79,Teller,1333,9076,13208,79,79,0,2020,4,0,73,315,10,8500000,4500000,4000000,4000000,1,4500000,1,0,0,0,0,73,88,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",65,66,88,50,91,72,72,92,93,90,84,84,72,79,79,84,79,81,35,19,24,21,27,26,40,27,22,27,28,36,40,29,28,10,26,19,44,51,18,12,18,22,27,37,43,45,9,31,42,10,40,50,10,12,18,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYG,Giants,1313381099,Marcus Mbow,RT,OL,78,0,1313381099,553387692,MEGA,Giants,2026-04-16 20:25:13.502176,False,False,299,False,,False,False,25,2,4,2003,Purdue,18,5,Marcus,Marcus Mbow,Marcus Mbow,1976,76,48,Milwaukee,0,97,True,False,False,False,71,Mbow,479,10652,15165,78,78,0,2025,0,0,76,302,3,1030000,1010000,20000,80000,4,3300000,1,0,0,0,0,76,83,0,99,[],[],74,68,73,50,86,73,71,87,85,87,82,86,86,84,84,76,78,85,12,6,6,21,6,6,22,13,6,16,15,23,44,21,13,10,11,19,24,57,20,5,5,21,23,24,37,28,11,32,37,10,23,32,14,14,11,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
