team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NYJ,Jets,1313381251,Sauce Gardner,CB,CB,97,2,1313381251,553386884,MEGA,Jets,2026-04-16 20:25:13.051100,False,False,1942,False,,False,False,28,31,8,2000,Cincinnati,4,1,Sauce,Sauce Gardner,Sauce Gardner,18295,75,21,Detroit,0,97,True,False,False,False,1,Gardner,1889,1712,22260,97,97,24,2024,11,0,97,200,6,28950000,26200000,5500000,28870000,6,120350000,3,0,0,0,0,97,92,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Shade', 'startActivated': False, 'signatureLogoId': 1396, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Out Zone KO', 'startActivated': False, 'signatureLogoId': 1320, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in deep zone coverage, 20+ yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,91,96,50,96,93,94,98,65,92,55,21,35,35,35,35,35,35,20,6,6,35,6,6,27,10,6,72,61,76,64,64,75,40,67,41,36,91,35,18,22,32,65,52,69,55,97,96,38,98,78,60,96,16,17,0,2,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313382016,Jeffery Simmons,DT,DT,92,1,1313382016,553388394,MEGA,Jets,2026-04-16 20:25:13.055716,False,False,529,False,,False,False,31,28,7,1997,Mississippi State,19,1,Jeffery,Jeffery Simmons,Jeffery Simmons,42487,76,23,Macon,0,97,True,False,False,False,93,Simmons,3990,156,20549,92,92,24,2021,11,0,92,305,9,29910000,12510000,34800000,34800000,3,50300000,2,0,0,0,0,92,89,0,99,[],[],82,75,91,50,90,78,78,87,97,89,87,20,45,45,45,45,45,45,12,6,6,23,6,6,20,10,6,23,16,27,29,21,32,48,28,23,26,63,15,6,10,18,19,80,89,92,29,90,84,17,90,86,39,16,15,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381236,Quinnen Williams,REDGE,DE,91,1,1313381236,553388901,MEGA,Jets,2026-04-16 20:25:13.058856,False,False,723,False,,False,False,30,20,12,1997,Alabama,3,1,Quinnen,Quinnen Williams,Quinnen Williams,36602,75,0,Birmingham,0,97,True,False,False,False,95,Williams,5505,9679,20547,91,91,24,2021,20,0,85,303,9,30780000,16580000,56800000,61700000,5,103100000,4,0,0,0,0,85,84,0,98,[],[],83,79,93,50,91,75,84,81,92,90,91,39,45,44,44,45,46,45,12,6,6,21,6,6,23,12,6,26,16,34,39,22,29,9,24,44,41,62,15,5,8,13,21,82,86,94,19,92,88,14,90,88,30,17,17,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381232,Azareye'h Thomas,CB,CB,83,1,1313381232,553388611,MEGA,Jets,2026-04-16 20:25:13.057437,False,False,793,False,,False,False,24,6,7,2004,Florida State,9,3,Azareye'h,Azareye'h Thomas,Azareyeh Thomas,5268,74,8,Niceville,0,97,True,False,False,False,23,Thomas,383,10753,15329,83,83,0,2025,0,0,81,196,3,1790000,1520000,270000,1080000,4,4530000,1,0,0,0,0,81,86,0,96,[],[],89,85,82,50,90,88,86,85,67,89,57,26,35,25,35,35,25,35,12,6,6,30,6,6,26,10,6,69,46,73,57,62,71,81,63,46,36,84,27,23,25,28,66,38,60,54,84,88,33,85,67,70,92,19,29,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313380225,Gabe Hawkins,LEDGE,DE,81,3,1313380225,553387132,MEGA,Jets,2026-04-16 20:25:13.051775,False,False,1062,False,,False,False,22,24,10,1975,Oklahoma,1,1,Gabe,Gabe Hawkins,Gabe Hawkins,0,76,17,PLACEHOLDER,0,97,True,False,False,False,92,Hawkins,0,10338,2921,81,81,24,2028,10,0,76,257,0,11290000,3260000,32120000,32120000,4,16640000,4,0,0,0,0,76,85,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stuffer', 'startActivated': False, 'signatureLogoId': 1220, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Run Stuffers can singlehandedly disrupt an offense. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one run blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make tackles for loss', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mr. Big Stop', 'startActivated': False, 'signatureLogoId': 1336, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will start 3rd or 4th down with increased fatigue replenishment', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mid Zone KO', 'startActivated': False, 'signatureLogoId': 1335, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any mid-field zone coverage, less than 20 yards from the LoS inside the numbers and 10-20 outside.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,84,77,50,78,86,84,92,82,80,72,47,30,43,31,28,30,36,28,31,28,34,25,14,11,25,47,41,28,29,58,39,24,25,39,28,40,73,39,45,41,34,48,89,72,72,48,70,79,24,81,78,47,30,26,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381255,Miles Harris,LEDGE,DE,80,1,1313381255,553387923,MEGA,Jets,2026-04-16 20:25:13.053537,False,False,1023,False,,False,False,22,0,6,2006,Wisconsin,19,3,Miles,Miles Harris,Miles Harris,1913,73,25,PLACEHOLDER,0,97,True,False,False,False,97,Harris,38,4070,2485,80,80,24,2027,6,0,70,266,1,1550000,1230000,960000,1280000,4,5080000,3,0,0,0,0,70,83,0,89,[],[],91,79,79,50,83,85,81,89,78,80,75,45,45,37,30,45,40,39,48,25,15,14,14,18,19,24,36,33,34,33,55,27,43,25,46,27,43,70,42,32,43,27,28,88,79,71,51,66,64,35,78,82,43,35,39,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313382229,Pat Richards,REDGE,DE,78,1,1313382229,553387173,MEGA,Jets,2026-04-16 20:25:13.052011,False,False,886,False,,False,False,22,14,13,2017,San Diego State,10,5,Pat,Pat Richards,Pat Richards,2945,78,2,PLACEHOLDER,0,97,True,False,False,False,57,Richards,23,10322,2505,78,78,24,2027,6,0,71,314,1,1190000,1020000,510000,680000,4,4200000,3,0,0,0,0,71,79,0,99,[],[],85,71,76,50,83,66,73,85,88,81,81,43,42,48,24,33,34,39,47,33,24,36,37,21,20,43,41,30,47,36,59,27,43,28,30,45,35,58,45,35,25,42,37,68,83,83,27,77,72,44,80,87,46,36,41,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1388354050,Will Osborne,FS,S,78,0,1388354050,553388097,MEGA,Jets,2026-04-16 20:25:13.054003,False,False,486,False,,False,False,24,9,15,1989,Virginia Tech,26,6,Will,Will Osborne,Will Osborne,5050,70,8,PLACEHOLDER,0,97,True,False,False,False,33,Osborne,600,3662,2323,78,78,24,2026,11,0,78,210,2,1130000,1070000,120000,240000,4,4200000,2,0,0,0,0,78,81,0,75,[],[],90,89,65,50,90,77,85,85,57,85,48,48,33,47,25,40,28,48,41,26,28,27,28,33,24,36,39,67,43,69,63,25,63,47,71,34,37,82,47,27,45,39,36,42,80,47,62,68,27,61,83,79,93,34,40,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381233,Malachi Moore,SS,S,76,0,1313381233,553387847,MEGA,Jets,2026-04-16 20:25:13.053286,False,False,219,False,,False,False,26,13,9,2001,Alabama,28,4,Malachi,Malachi Moore,Malachi Moore,492,71,0,Trussville,0,97,True,False,False,False,27,Moore,363,10669,15345,76,76,0,2025,0,0,72,197,3,1310000,1140000,170000,680000,4,3830000,1,0,0,0,0,72,80,0,68,[],[],89,80,74,50,88,82,87,89,62,86,58,25,35,35,35,35,35,35,14,6,6,30,6,6,25,12,6,65,53,71,61,58,64,42,57,43,46,83,33,26,30,35,61,33,78,51,64,72,35,66,78,70,84,16,20,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1388354388,Dennis Middleton,LEDGE,DE,76,2,1388354388,553388157,MEGA,Jets,2026-04-16 20:25:13.054568,False,False,480,False,,False,False,24,2,15,2009,Utah,30,5,Dennis,Dennis Middleton,Dennis Middleton,4343,77,34,PLACEHOLDER,0,97,True,False,False,False,98,Middleton,12,3915,2080,76,76,24,2026,9,0,72,309,2,1070000,1070000,0,0,4,4200000,2,0,0,0,0,72,75,0,85,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",79,68,69,50,78,63,67,83,91,79,70,26,46,40,31,48,28,38,36,24,24,22,13,29,25,39,37,32,48,37,55,37,30,44,25,42,38,63,49,39,35,34,25,67,79,81,24,77,73,24,81,89,27,32,36,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
