team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
NYJ,Jets,1313381228,Mason Taylor,TE,TE,92,3,1313381228,553388583,MEGA,Jets,2026-04-16 20:25:13.057186,False,False,2139,False,,False,False,24,8,5,2004,LSU,10,2,Mason,Mason Taylor,Mason Taylor,9901,77,8,Plantation,0,97,True,False,False,False,85,Taylor,4132,10750,15118,92,92,0,2025,0,0,92,246,3,2730000,1920000,810000,3240000,4,5340000,1,0,0,0,0,92,80,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Wrecking Ball', 'startActivated': False, 'signatureLogoId': 1183, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Wrecking Ball runners don't avoid contact. They create it. When they enter the zone, this ability increases their success rate on trucks and stiff arms."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 10+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bulldozer', 'startActivated': False, 'signatureLogoId': 1123, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful truck animations and a larger timing window for perfect trucks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",86,83,78,50,92,81,83,91,75,92,75,57,61,61,61,65,65,65,25,11,14,30,7,26,22,35,10,86,80,94,76,92,77,22,62,75,71,69,93,59,86,88,93,39,39,42,34,31,36,18,42,39,37,30,18,0,3,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381252,Breece Hall,HB,RB,91,1,1313381252,553387002,MEGA,Jets,2026-04-16 20:25:13.051548,False,False,903,False,,False,False,27,31,5,2001,Iowa State,4,2,Breece,Breece Hall,Breece Hall,5503,71,15,Wichita,0,97,True,False,False,False,20,Hall,2480,1747,22326,91,91,24,2024,4,0,91,220,6,7160000,2860000,8600000,18130000,5,14210000,2,0,0,0,0,91,93,0,86,[],[],93,92,87,50,89,92,93,90,76,90,44,45,33,37,57,35,32,43,31,12,15,41,20,24,32,19,19,89,87,69,86,61,96,42,93,80,80,92,59,50,57,68,59,10,24,29,13,17,10,16,33,29,17,15,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381254,Garrett Wilson,WR,WR,89,1,1313381254,553388921,MEGA,Jets,2026-04-16 20:25:13.059102,False,False,637,False,,False,False,28,22,7,2000,Ohio State,10,1,Garrett,Garrett Wilson,Garrett Wilson,18443,72,42,Austin,0,97,True,False,False,False,5,Wilson,1026,2040,22376,89,89,24,2024,6,0,89,192,6,35920000,33170000,5500000,24350000,6,126990000,3,0,0,0,0,89,89,0,79,[],[],93,93,84,50,94,89,92,92,56,81,41,23,21,18,30,26,22,47,19,12,15,31,19,22,26,15,6,91,84,93,73,92,92,78,86,64,39,93,83,92,88,84,92,10,19,20,14,17,10,14,30,22,21,13,17,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381229,Armand Membou,RT,OL,88,1,1313381229,553387780,MEGA,Jets,2026-04-16 20:25:13.053040,False,False,1122,False,,False,False,24,27,3,2004,Missouri,7,1,Armand,Armand Membou,Armand Membou,2417,76,24,Lee's Summit,0,97,True,False,False,False,70,Membou,741,10660,15159,88,88,0,2025,0,0,88,332,3,10150000,5190000,4960000,19840000,4,12060000,1,0,0,0,0,88,88,0,99,[],[],77,72,89,50,91,82,74,89,89,90,93,91,92,82,92,89,79,89,24,6,6,21,6,6,47,11,6,10,6,25,41,14,10,10,11,31,30,61,5,5,5,21,21,17,33,39,12,30,29,11,24,28,14,15,18,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1388353394,Zach Reese,QB,QB,88,1,1388353394,553388941,MEGA,Jets,2026-04-16 20:25:13.059354,False,False,1600,False,,False,False,25,6,1,2013,LSU,27,2,Zach,Zach Reese,Zach Reese,10878,76,27,PLACEHOLDER,0,97,True,False,False,False,9,Reese,677,3403,2011,88,88,24,2026,4,0,87,234,2,1380000,1380000,0,0,4,5360000,2,0,0,0,0,87,0,0,99,[],[],86,74,89,50,87,63,79,85,74,84,33,36,28,36,39,28,46,44,81,89,91,34,88,80,93,91,87,49,76,37,60,41,56,40,47,54,53,81,47,28,32,25,41,25,40,31,39,38,46,40,29,44,38,33,29,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381240,Alijah Vera-Tucker,RG,OL,87,1,1313381240,553388743,MEGA,Jets,2026-04-16 20:25:13.058131,False,False,419,False,,False,False,29,17,6,1999,USC,14,1,Alijah,Alijah Vera-Tucker,Alijah VeraTucker,14988,77,4,Oakland,0,97,True,False,False,False,75,Vera-Tucker,1098,776,21552,87,87,24,2023,4,0,85,308,7,21430000,5930000,46500000,92310000,6,31000000,3,0,0,0,0,85,89,0,99,[],[],74,61,86,50,78,78,75,88,91,90,94,91,81,91,85,88,81,89,12,6,6,20,6,6,25,16,6,10,5,25,35,10,10,10,10,10,15,56,12,5,5,10,12,10,24,25,12,10,10,10,30,36,12,20,20,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1388354046,Darren Stewart,LT,OL,86,2,1388354046,553388163,MEGA,Jets,2026-04-16 20:25:13.054804,False,False,628,False,,False,False,25,6,10,1983,Wisconsin,5,1,Darren,Darren Stewart,Darren Stewart,2553,79,36,PLACEHOLDER,0,97,True,False,False,False,79,Stewart,238,10327,2281,86,86,22,2026,3,0,86,307,2,10420000,3840000,13160000,26320000,4,14480000,2,0,0,0,0,86,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lifeguard', 'startActivated': False, 'signatureLogoId': 1330, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against swim/club pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Screen Protector', 'startActivated': False, 'signatureLogoId': 1343, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will dominantly win impact blocks on screen plays', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Post Up', 'startActivated': False, 'signatureLogoId': 1236, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability are almost guaranteed to win any double team block they are engaged in', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",73,71,84,50,83,72,72,97,93,78,88,82,89,84,89,89,76,87,40,17,27,13,33,36,16,47,38,24,45,24,59,41,45,29,41,35,48,60,42,32,34,41,47,43,44,33,28,43,24,31,34,35,47,41,33,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313381238,John Simpson,LG,OL,83,0,1313381238,553388399,MEGA,Jets,2026-04-16 20:25:13.055941,False,False,81,False,,False,False,31,19,8,1997,Clemson,3,4,John,John Simpson,John Simpson,34524,76,39,North Charleston,0,97,True,False,False,False,76,Simpson,742,571,21103,83,83,0,2022,4,0,79,324,8,15270000,8070000,7200000,25410000,4,24480000,1,0,0,0,0,79,87,0,99,[],[],67,51,86,50,89,74,70,89,92,90,87,83,79,84,84,80,85,83,12,6,6,16,6,6,14,15,6,22,12,32,42,15,10,10,20,35,25,49,15,6,10,20,15,10,38,27,12,17,27,10,27,31,12,22,35,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1388354047,Tom Beckham,WR,WR,82,1,1388354047,553388376,MEGA,Jets,2026-04-16 20:25:13.055490,False,False,942,False,,False,False,23,15,13,1956,Washington State,5,2,Tom,Tom Beckham,Tom Beckham,2295,75,1,PLACEHOLDER,0,97,True,False,False,False,15,Beckham,12,3370,2405,82,82,24,2026,4,0,79,223,2,2900000,1680000,2440000,4880000,4,6440000,2,0,0,0,0,79,90,0,98,[],[],91,90,77,50,91,95,89,93,75,83,62,26,45,44,45,29,44,55,40,15,15,31,33,17,17,47,27,81,82,84,72,85,82,74,80,78,66,87,90,75,85,87,90,44,44,34,48,40,35,48,28,33,37,40,44,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJ,Jets,1313382523,Adrian Haywood,HB,RB,81,1,1313382523,553387604,MEGA,Jets,2026-04-16 20:25:13.052488,False,False,887,False,,False,False,23,27,15,1977,Florida State,10,6,Adrian,Adrian Haywood,Adrian Haywood,635,69,43,PLACEHOLDER,0,97,True,False,False,False,17,Haywood,2,10329,2615,81,81,24,2027,0,0,81,198,1,1100000,1020000,240000,320000,4,4200000,3,0,0,0,0,81,91,0,97,[],[],94,92,78,50,89,78,92,80,74,82,44,25,36,44,61,31,37,47,26,34,14,12,19,17,38,31,31,83,78,74,81,67,89,81,84,76,80,91,65,57,58,74,70,42,45,44,28,28,47,28,34,37,29,40,35,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
