team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
PHI,Eagles,1313380959,Saquon Barkley,HB,RB,97,3,1313380959,553386125,MEGA,Eagles,2026-04-16 20:25:05.536993,False,False,1144,False,,False,False,31,9,2,1997,Penn State,2,1,Saquon,Saquon Barkley,Saquon Barkley,48283,72,37,Coplay,0,97,True,False,False,False,26,Barkley,13862,8813,13085,97,97,0,2020,6,0,97,227,10,17160000,14690000,2470000,20480000,4,26020000,1,0,0,0,0,97,93,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'First One Free', 'startActivated': False, 'signatureLogoId': 1109, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Some players thrive on making defenders look silly. When they enter the zone, this ability increases their fakeout rate on the next juke, spin or hurdle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 10+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Leap Frog', 'startActivated': False, 'signatureLogoId': 1152, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will hold onto the ball if tackled during a hurdle', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Human Joystick', 'startActivated': False, 'signatureLogoId': 1141, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,94,99,50,86,96,93,94,81,90,37,34,33,38,60,31,35,36,31,29,34,25,41,36,41,18,18,89,92,74,95,62,95,81,91,92,86,90,69,65,67,75,73,25,17,24,15,21,17,10,36,28,13,14,19,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380962,Jordan Mailata,LT,OL,97,2,1313380962,553387645,MEGA,Eagles,2026-04-16 20:25:05.544513,False,False,933,False,,False,False,31,31,3,1997,No College,15,7,Jordan,Jordan Mailata,Jordan Mailata,26984,80,37,Philadelphia,0,97,True,False,False,False,68,Mailata,3514,9342,13479,97,97,0,2020,4,0,95,365,10,19720000,15620000,4100000,43650000,5,37270000,1,0,0,0,0,95,93,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'All Day', 'startActivated': False, 'signatureLogoId': 1227, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will allow less frequent shed attempts by their block target', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Protector', 'startActivated': False, 'signatureLogoId': 1216, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",69,68,97,50,90,75,74,94,97,93,93,98,91,96,94,98,95,97,12,6,6,24,6,6,39,15,6,62,44,57,64,55,51,10,37,57,74,57,20,20,25,30,48,15,60,36,12,16,15,10,57,52,17,13,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380995,Jalen Carter,DT,DT,93,3,1313380995,553386416,MEGA,Eagles,2026-04-16 20:25:05.538668,False,False,1150,False,,False,False,27,4,4,2001,Georgia,9,1,Jalen,Jalen Carter,Jalen Carter,5140,75,8,Apopka,0,97,True,False,False,False,98,Carter,766,2563,22703,93,93,24,2022,12,0,90,314,5,21000000,1170000,39660000,57640000,4,27700000,2,0,0,0,0,90,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unstoppable Force', 'startActivated': False, 'signatureLogoId': 1102, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Elite pass rushers are a mix of strength, speed, and tenacity. When they enter the zone, this ability increases their win rate and block shed speed against one-on-one pass blocks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Sack the QB', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unpredictable', 'startActivated': False, 'signatureLogoId': 1355, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability are less likely to increase their blocker's resistance bars when performing shed wins"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mr. Big Stop', 'startActivated': False, 'signatureLogoId': 1336, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will start 3rd or 4th down with increased fatigue replenishment', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",88,78,94,50,88,80,82,86,94,89,90,58,45,45,45,51,56,55,12,6,6,14,6,6,21,17,6,46,25,50,48,44,44,10,40,48,51,69,38,29,34,37,40,78,91,83,22,92,91,25,85,92,28,43,51,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380984,DeVonta Smith,WR,WR,91,1,1313380984,553388435,MEGA,Eagles,2026-04-16 20:25:05.549066,False,False,610,False,,False,False,29,14,11,1998,Alabama,10,1,DeVonta,DeVonta Smith,DeVonta Smith,8683,72,17,Amite,0,97,True,False,False,False,6,Smith,3944,1369,21761,91,91,0,2023,4,0,88,170,7,20070000,16000000,4070000,26850000,5,33080000,1,0,0,0,0,88,89,0,79,[],[],94,92,93,50,89,89,92,92,49,87,38,24,19,21,31,28,22,45,19,14,19,31,25,17,31,19,19,92,75,96,74,88,84,82,77,58,47,93,88,91,88,92,89,14,31,38,29,24,11,19,52,36,36,15,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380965,Quinyon Mitchell,CB,CB,89,2,1313380965,553387824,MEGA,Eagles,2026-04-16 20:25:05.545699,False,False,622,False,,False,False,27,18,7,2001,Toledo,22,1,Quinyon,Quinyon Mitchell,Quinyon Mitchell,6650,72,8,Williston,0,97,True,False,False,False,27,Mitchell,424,10184,14932,89,89,0,2023,0,0,89,195,4,21660000,1100000,20560000,27800000,5,7730000,1,0,0,0,0,89,91,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Flat Zone KO', 'startActivated': False, 'signatureLogoId': 1327, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch knockouts and react quicker in any flat zone coverage, less than 10 yards from the LoS and outside the hash marks.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,90,85,50,92,90,94,91,66,87,55,29,14,13,26,19,21,25,28,11,21,32,23,28,31,16,19,77,66,79,75,72,75,66,74,47,45,89,44,23,26,28,74,30,70,49,90,85,25,84,75,72,88,19,21,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380964,Cooper DeJean,CB,CB,88,1,1313380964,553386617,MEGA,Eagles,2026-04-16 20:25:05.539969,False,False,853,False,,False,False,25,9,2,2003,Iowa,8,2,Cooper,Cooper DeJean,Cooper DeJean,7777,72,14,Odebolt,0,97,True,False,False,False,33,DeJean,919,10053,14923,88,88,24,2023,0,0,86,202,4,18500000,6600000,59500000,59500000,5,44000000,5,0,0,0,0,86,90,0,98,[],[],91,90,89,50,91,92,92,92,65,88,58,35,33,35,35,35,35,44,59,47,53,21,57,58,55,38,44,82,73,80,70,70,74,80,71,55,58,86,58,53,56,57,71,36,74,61,85,89,31,82,82,77,88,26,25,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380983,Landon Dickerson,LG,OL,88,1,1313380983,553386636,MEGA,Eagles,2026-04-16 20:25:05.540498,False,False,371,False,,False,False,29,30,9,1998,Alabama,5,2,Landon,Landon Dickerson,Landon Dickerson,24954,78,32,Hickory,0,97,True,False,False,False,69,Dickerson,1157,822,21642,88,88,0,2023,3,0,84,332,7,38070000,34050000,4020000,23700000,5,51980000,1,0,0,0,0,84,89,0,99,[],[],65,67,88,50,85,68,67,88,93,94,91,87,83,88,86,84,90,87,12,6,6,12,6,6,24,11,6,15,7,31,28,14,11,10,10,24,27,47,16,7,6,12,17,10,40,39,6,32,10,10,21,36,10,12,12,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380971,Jihaad Campbell,MIKE,LB,87,1,1313380971,553386397,MEGA,Eagles,2026-04-16 20:25:05.538401,False,False,1215,False,,False,False,24,24,2,2004,Alabama,31,1,Jihaad,Jihaad Campbell,Jihaad Campbell,7375,75,29,Erial,0,97,True,False,False,False,30,Campbell,1241,10514,15268,87,87,24,2025,0,0,87,235,3,3760000,2360000,13850000,18050000,5,7310000,2,0,0,0,0,87,85,0,99,[],[],92,87,83,50,88,85,89,87,72,89,74,26,45,45,45,45,45,45,23,6,6,29,6,6,25,12,6,52,38,66,62,56,56,10,50,46,42,81,32,27,30,35,60,62,84,79,74,84,56,54,91,90,80,20,22,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1526716352,Brandon Wagner,TE,TE,87,2,1526716352,553386717,MEGA,Eagles,2026-04-16 20:25:05.541544,False,False,2016,False,,False,False,22,28,9,2061,Iowa,11,1,Brandon,Brandon Wagner,Brandon Wagner,1559,75,0,PLACEHOLDER,0,97,True,False,False,False,80,Wagner,4,10337,2793,87,87,24,2027,2,0,87,245,1,2340000,2340000,0,0,4,10160000,3,0,0,0,0,87,78,0,91,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,87,75,50,92,87,86,93,66,86,64,53,63,58,61,60,62,65,26,17,37,20,15,10,13,32,41,85,75,83,77,91,71,36,64,81,79,84,83,73,83,81,89,31,35,42,46,34,37,38,31,36,37,42,24,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380138,Miguel Martinez,RG,OL,87,2,1313380138,553388642,MEGA,Eagles,2026-04-16 20:25:05.550125,False,False,1865,False,,False,False,22,30,1,1989,UCF,2,1,Miguel,Miguel Martinez,Miguel Martinez,2574,78,26,PLACEHOLDER,0,97,True,False,False,False,72,Martinez,313,10327,2719,87,87,24,2027,0,0,86,313,1,11290000,3660000,22890000,30520000,4,16040000,3,0,0,0,0,86,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Omniscient', 'startActivated': False, 'signatureLogoId': 1937, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability can detect user-controlled defenders before the snap; as well as 3rd and 4th down blitzers. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,78,86,50,91,81,78,90,90,79,86,92,90,83,93,86,81,80,32,30,22,20,31,30,18,32,34,45,25,26,59,26,46,25,35,26,37,65,49,48,42,39,47,40,36,34,25,48,36,31,40,28,27,27,30,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
