team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
PHI,Eagles,1313380959,Saquon Barkley,HB,RB,97,3,1313380959,553386125,MEGA,Eagles,2026-04-16 20:25:05.536993,False,False,1144,False,,False,False,31,9,2,1997,Penn State,2,1,Saquon,Saquon Barkley,Saquon Barkley,48283,72,37,Coplay,0,97,True,False,False,False,26,Barkley,13862,8813,13085,97,97,0,2020,6,0,97,227,10,17160000,14690000,2470000,20480000,4,26020000,1,0,0,0,0,97,93,0,79,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'First One Free', 'startActivated': False, 'signatureLogoId': 1109, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Some players thrive on making defenders look silly. When they enter the zone, this ability increases their fakeout rate on the next juke, spin or hurdle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 10+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Leap Frog', 'startActivated': False, 'signatureLogoId': 1152, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will hold onto the ball if tackled during a hurdle', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Human Joystick', 'startActivated': False, 'signatureLogoId': 1141, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,94,99,50,86,96,93,94,81,90,37,34,33,38,60,31,35,36,31,29,34,25,41,36,41,18,18,89,92,74,95,62,95,81,91,92,86,90,69,65,67,75,73,25,17,24,15,21,17,10,36,28,13,14,19,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380962,Jordan Mailata,LT,OL,97,2,1313380962,553387645,MEGA,Eagles,2026-04-16 20:25:05.544513,False,False,933,False,,False,False,31,31,3,1997,No College,15,7,Jordan,Jordan Mailata,Jordan Mailata,26984,80,37,Philadelphia,0,97,True,False,False,False,68,Mailata,3514,9342,13479,97,97,0,2020,4,0,95,365,10,19720000,15620000,4100000,43650000,5,37270000,1,0,0,0,0,95,93,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'All Day', 'startActivated': False, 'signatureLogoId': 1227, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will allow less frequent shed attempts by their block target', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Protector', 'startActivated': False, 'signatureLogoId': 1945, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move while run blocking."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Protector', 'startActivated': False, 'signatureLogoId': 1216, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",69,68,97,50,90,75,74,94,97,93,93,98,91,96,94,98,95,97,12,6,6,24,6,6,39,15,6,62,44,57,64,55,51,10,37,57,74,57,20,20,25,30,48,15,60,36,12,16,15,10,57,52,17,13,18,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380984,DeVonta Smith,WR,WR,91,1,1313380984,553388435,MEGA,Eagles,2026-04-16 20:25:05.549066,False,False,610,False,,False,False,29,14,11,1998,Alabama,10,1,DeVonta,DeVonta Smith,DeVonta Smith,8683,72,17,Amite,0,97,True,False,False,False,6,Smith,3944,1369,21761,91,91,0,2023,4,0,88,170,7,20070000,16000000,4070000,26850000,5,33080000,1,0,0,0,0,88,89,0,79,[],[],94,92,93,50,89,89,92,92,49,87,38,24,19,21,31,28,22,45,19,14,19,31,25,17,31,19,19,92,75,96,74,88,84,82,77,58,47,93,88,91,88,92,89,14,31,38,29,24,11,19,52,36,36,15,18,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380983,Landon Dickerson,LG,OL,88,1,1313380983,553386636,MEGA,Eagles,2026-04-16 20:25:05.540498,False,False,371,False,,False,False,29,30,9,1998,Alabama,5,2,Landon,Landon Dickerson,Landon Dickerson,24954,78,32,Hickory,0,97,True,False,False,False,69,Dickerson,1157,822,21642,88,88,0,2023,3,0,84,332,7,38070000,34050000,4020000,23700000,5,51980000,1,0,0,0,0,84,89,0,99,[],[],65,67,88,50,85,68,67,88,93,94,91,87,83,88,86,84,90,87,12,6,6,12,6,6,24,11,6,15,7,31,28,14,11,10,10,24,27,47,16,7,6,12,17,10,40,39,6,32,10,10,21,36,10,12,12,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1526716352,Brandon Wagner,TE,TE,87,2,1526716352,553386717,MEGA,Eagles,2026-04-16 20:25:05.541544,False,False,2016,False,,False,False,22,28,9,2061,Iowa,11,1,Brandon,Brandon Wagner,Brandon Wagner,1559,75,0,PLACEHOLDER,0,97,True,False,False,False,80,Wagner,4,10337,2793,87,87,24,2027,2,0,87,245,1,2340000,2340000,0,0,4,10160000,3,0,0,0,0,87,78,0,91,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tireless Runner', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability are effective at recovering from attempted tackles regardless of their current stamina.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Grab-N-Go', 'startActivated': False, 'signatureLogoId': 1137, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'After securing a RAC catch, ballcarriers with this ability can quickly shift momentum, change direction, and turn the corner without sacrificing speed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,87,75,50,92,87,86,93,66,86,64,53,63,58,61,60,62,65,26,17,37,20,15,10,13,32,41,85,75,83,77,91,71,36,64,81,79,84,83,73,83,81,89,31,35,42,46,34,37,38,31,36,37,42,24,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380138,Miguel Martinez,RG,OL,87,2,1313380138,553388642,MEGA,Eagles,2026-04-16 20:25:05.550125,False,False,1865,False,,False,False,22,30,1,1989,UCF,2,1,Miguel,Miguel Martinez,Miguel Martinez,2574,78,26,PLACEHOLDER,0,97,True,False,False,False,72,Martinez,313,10327,2719,87,87,24,2027,0,0,86,313,1,11290000,3660000,22890000,30520000,4,16040000,3,0,0,0,0,86,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Omniscient', 'startActivated': False, 'signatureLogoId': 1937, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability can detect user-controlled defenders before the snap; as well as 3rd and 4th down blitzers. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",82,78,86,50,91,81,78,90,90,79,86,92,90,83,93,86,81,80,32,30,22,20,31,30,18,32,34,45,25,26,59,26,46,25,35,26,37,65,49,48,42,39,47,40,36,34,25,48,36,31,40,28,27,27,30,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313381698,Rashod Bateman,WR,WR,84,1,1313381698,553386151,MEGA,Eagles,2026-04-16 20:25:05.537532,False,False,366,False,,False,False,28,29,11,1999,Minnesota,27,1,Rashod,Rashod Bateman,Rashod Bateman,10348,73,9,Tifton,0,97,True,False,False,False,88,Bateman,444,1236,21584,84,84,24,2023,4,0,82,197,7,11250000,11250000,0,0,5,34750000,2,0,0,0,0,82,88,0,80,[],[],92,88,85,50,84,89,92,87,60,90,46,23,24,21,36,34,30,47,22,10,10,28,15,10,28,18,15,85,77,87,74,86,82,50,72,60,48,86,88,85,90,85,88,10,25,29,12,17,10,17,34,29,16,20,22,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380335,J.K. Dobbins,HB,RB,84,1,1313380335,553386652,MEGA,Eagles,2026-04-16 20:25:05.540825,False,False,378,False,,False,False,29,17,12,1998,Ohio State,23,2,J.K.,J.K. Dobbins,JK Dobbins,16502,70,42,La Grange,0,97,True,False,False,False,23,Dobbins,930,257,20926,84,84,0,2022,4,0,84,212,8,2050000,1850000,200000,400000,2,3600000,1,0,0,0,0,84,89,0,94,[],[],92,86,81,50,78,90,90,87,74,84,42,39,34,31,58,26,33,41,27,15,25,20,30,19,32,16,15,86,85,66,91,56,93,60,86,84,79,87,54,43,56,63,52,12,31,29,13,14,11,17,35,30,17,16,19,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380151,Braxton Jones,RT,OL,83,1,1313380151,553387380,MEGA,Eagles,2026-04-16 20:25:05.543036,False,False,221,False,,False,False,29,27,3,1999,Southern Utah,25,5,Braxton,Braxton Jones,Braxton Jones,3238,78,43,Murray,0,97,True,False,False,False,70,Jones,508,1787,22135,83,83,0,2024,0,0,77,310,6,16000000,7100000,8900000,8900000,1,7100000,1,0,0,0,0,77,86,0,99,[],[],81,65,86,50,92,68,73,85,88,75,87,78,88,86,84,71,78,75,12,6,6,30,6,6,22,10,6,15,15,26,35,18,10,10,10,21,25,56,13,10,12,16,23,40,35,46,10,34,44,10,48,40,12,26,30,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
PHI,Eagles,1313380738,Josh Downs,WR,WR,83,1,1313380738,553386669,MEGA,Eagles,2026-04-16 20:25:05.541070,False,False,329,False,,False,False,27,12,8,2001,North Carolina,16,3,Josh,Josh Downs,Josh Downs,3425,70,9,Suwanee,0,97,True,False,False,False,81,Downs,16,2117,22763,83,83,0,2022,5,0,79,175,5,11840000,5840000,6000000,12000000,2,11000000,1,0,0,0,0,79,88,0,79,[],[],93,91,84,50,90,91,90,86,51,86,34,19,15,17,25,25,18,44,34,39,40,23,46,43,54,33,35,83,75,91,76,88,76,74,72,38,33,90,77,79,82,83,86,10,19,22,10,15,10,10,27,22,10,25,27,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
