team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
PIT,Steelers,1313381879,Derrick Harmon,DT,DT,93,2,1313381879,553387040,MEGA,Steelers,2026-04-16 20:25:18.373191,False,False,1672,False,Hamstring Tear,True,False,25,3,8,2003,Oregon,21,1,Derrick,Derrick Harmon,Derrick Harmon,7170,77,21,Detroit,6,75,True,False,False,False,99,Harmon,258,10574,15239,93,93,24,2025,0,0,93,313,3,4460000,2630000,27660000,33150000,5,7440000,2,0,0,0,0,93,85,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",76,77,85,50,94,77,74,85,93,95,87,25,45,45,45,45,45,45,18,7,10,19,15,21,27,12,15,29,27,27,35,18,25,25,24,38,41,66,20,10,13,16,18,69,88,94,14,88,79,16,89,99,18,18,33,0,2,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381881,Jalen Ramsey,CB,CB,88,2,1313381881,553388162,MEGA,Steelers,2026-04-16 20:25:18.377930,False,False,134,False,,False,False,33,24,10,1994,Florida State,5,1,Jalen,Jalen Ramsey,Jalen Ramsey,24643,73,41,Smyrna,0,97,True,False,False,False,5,Ramsey,11300,8185,17538,88,88,0,2018,20,0,88,208,12,24000000,500000,23500000,82700000,4,2000000,1,0,0,0,0,88,91,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Bench Press', 'startActivated': False, 'signatureLogoId': 1312, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability apply bonus fatigue to their man coverage target after a successful press win', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'One Step Ahead', 'startActivated': False, 'signatureLogoId': 1338, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,89,90,50,86,93,93,94,71,90,65,22,34,33,21,34,33,34,34,21,26,26,33,24,27,17,16,72,68,83,71,55,78,80,69,57,42,89,27,12,24,36,72,41,82,50,87,84,35,89,79,70,88,17,18,0,2,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381682,Nate Wiggins,CB,CB,88,1,1313381682,553388863,MEGA,Steelers,2026-04-16 20:25:18.381927,False,False,714,False,,False,False,25,28,8,2003,Clemson,30,1,Nate,Nate Wiggins,Nate Wiggins,8706,74,9,Atlanta,0,97,True,False,False,False,2,Wiggins,948,10293,14924,88,88,0,2023,0,0,88,173,4,18500000,8000000,10500000,10500000,2,10380000,1,0,0,0,0,88,91,0,96,[],[],95,92,80,50,86,86,96,86,49,78,32,20,13,11,21,21,21,28,32,21,23,21,27,29,33,16,18,79,71,73,58,59,77,72,76,30,21,90,37,42,45,47,70,29,54,40,91,81,25,76,75,75,91,16,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313380338,Brandon Jones,FS,S,86,1,1313380338,553387379,MEGA,Steelers,2026-04-16 20:25:18.375340,False,False,286,False,,False,False,30,2,4,1998,Texas,6,3,Brandon,Brandon Jones,Brandon Jones,27625,73,42,Nacogdoches,0,97,True,False,False,False,31,Jones,1689,404,21267,86,86,0,2022,11,0,85,191,8,15940000,6740000,9200000,18400000,3,19350000,1,0,0,0,0,85,84,0,98,[],[],92,87,86,50,89,88,89,90,58,93,60,19,35,35,35,35,35,40,12,10,10,30,15,15,25,20,15,60,46,72,60,52,71,45,62,47,20,84,20,10,13,15,63,46,81,60,73,87,39,71,87,81,81,20,20,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381878,Jack Sawyer,LEDGE,DE,79,1,1313381878,553388333,MEGA,Steelers,2026-04-16 20:25:18.379612,False,False,335,False,,False,False,26,6,5,2002,Ohio State,21,4,Jack,Jack Sawyer,Jack Sawyer,3624,76,34,Pickerington,0,97,True,False,False,False,33,Sawyer,8,10723,15172,79,79,0,2025,0,0,79,260,3,1320000,1140000,180000,720000,4,3830000,1,0,0,0,0,79,80,0,97,[],[],86,71,82,50,92,82,80,83,77,90,80,28,45,45,45,45,45,45,12,8,10,27,11,15,17,12,10,38,33,49,50,37,33,33,30,35,33,63,12,5,10,15,44,70,89,79,37,80,85,33,88,84,48,25,32,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313382082,Blake Cashman,MIKE,LB,79,1,1313382082,553386422,MEGA,Steelers,2026-04-16 20:25:18.358426,False,False,77,False,,False,False,32,10,5,1996,Minnesota,19,5,Blake,Blake Cashman,Blake Cashman,33407,73,22,Eden Prairie,0,97,True,False,False,False,51,Cashman,2543,9415,20693,79,79,0,2021,20,0,79,237,9,15650000,8650000,7000000,14000000,2,16400000,1,0,0,0,0,79,82,0,95,[],[],88,82,83,50,73,89,87,85,69,82,82,20,45,45,45,45,45,45,12,6,6,24,6,6,25,10,6,20,12,50,52,30,29,10,27,24,25,75,18,5,5,15,27,62,83,76,67,82,58,48,84,86,75,14,19,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313380854,Sam Williams,LEDGE,DE,78,0,1313380854,553388904,MEGA,Steelers,2026-04-16 20:25:18.382511,False,False,141,False,,False,False,29,31,3,1999,Ole Miss,24,2,Sam,Sam Williams,Sam Williams,9607,76,0,Montgomery,0,97,True,False,False,False,96,Williams,56,2037,22150,78,78,0,2024,14,0,78,261,6,11300000,6700000,4600000,4600000,1,6700000,1,0,0,0,0,78,87,0,97,[],[],91,82,74,50,88,86,89,74,79,78,85,21,45,45,45,45,45,45,19,6,6,19,6,6,20,14,6,27,19,42,35,34,27,10,23,33,33,70,13,5,7,10,30,67,81,76,30,71,79,24,84,84,40,14,12,0,0,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381909,Jordan Whitehead,SS,S,77,0,1313381909,553388857,MEGA,Steelers,2026-04-16 20:25:18.381685,False,False,110,False,,False,False,31,18,3,1997,Pittsburgh,17,4,Jordan,Jordan Whitehead,Jordan Whitehead,10313,70,37,Aliquippa,0,97,True,False,False,False,35,Whitehead,839,9110,13179,77,77,0,2020,11,0,76,198,10,6690000,3490000,3200000,9600000,4,11850000,1,0,0,0,0,76,82,0,70,[],[],87,81,86,50,88,81,86,94,66,84,60,18,35,35,45,35,35,35,15,6,6,25,6,6,24,18,6,79,50,76,65,57,76,40,68,50,48,79,35,40,48,56,68,36,88,57,67,83,30,70,83,64,77,11,13,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381967,Christian Harris,WILL,LB,76,0,1313381967,553387047,MEGA,Steelers,2026-04-16 20:25:18.373452,False,False,178,False,,False,False,27,16,1,2001,Alabama,11,3,Christian,Christian Harris,Christian Harris,8496,73,17,Baton Rouge,0,97,True,False,False,False,42,Harris,395,1756,22405,76,76,0,2024,11,0,76,226,6,6400000,3900000,2500000,2500000,1,3900000,1,0,0,0,0,76,86,0,99,[],[],94,84,73,50,90,83,90,84,69,80,81,26,45,45,45,45,45,45,15,6,6,25,6,6,25,10,6,51,37,69,55,50,57,39,46,44,45,82,37,29,31,35,62,62,86,66,70,73,55,58,84,80,74,24,22,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1388354618,Mario Manuel,DT,DT,76,0,1388354618,553386775,MEGA,Steelers,2026-04-16 20:25:18.359997,False,False,562,False,,False,False,23,3,3,1952,Texas A&M,21,3,Mario,Mario Manuel,Mario Manuel,5310,78,23,PLACEHOLDER,0,97,True,False,False,False,94,Manuel,26,3912,2108,76,76,24,2026,13,0,76,356,2,1600000,1290000,620000,1240000,4,5080000,2,0,0,0,0,76,84,0,99,[],[],82,73,67,50,93,76,71,80,91,85,78,37,34,32,41,31,31,33,36,21,20,20,10,20,35,36,26,30,38,40,57,38,28,44,47,48,39,58,41,33,40,40,28,67,78,79,38,75,73,30,82,80,35,33,46,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
