team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
PIT,Steelers,1313381877,Kaleb Johnson,HB,RB,94,2,1313381877,553387350,MEGA,Steelers,2026-04-16 20:25:18.375109,False,False,1988,False,,False,False,25,14,8,2003,Iowa,19,3,Kaleb,Kaleb Johnson,Kaleb Johnson,7368,73,34,Hamilton,0,97,True,False,False,False,20,Johnson,3490,10612,15046,94,94,0,2025,0,0,94,224,3,1320000,1070000,250000,1000000,4,3720000,1,0,0,0,0,94,91,0,82,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Energizer', 'startActivated': False, 'signatureLogoId': 1325, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will replenish a portion of their stamina upon successfully performing any skill move', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Return Man', 'startActivated': False, 'signatureLogoId': 1231, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have an increased chance to break the first tackle attempt on kick returns', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,93,83,50,89,72,89,82,76,91,39,34,44,45,51,33,35,38,18,9,13,30,10,20,24,19,15,97,92,66,97,57,94,77,92,87,91,95,45,44,50,58,54,34,32,34,33,36,32,25,37,38,29,17,32,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381892,Pat Freiermuth,TE,TE,92,1,1313381892,553386856,MEGA,Steelers,2026-04-16 20:25:18.366439,False,False,705,False,,False,False,29,25,10,1998,Penn State,23,2,Pat,Pat Freiermuth,Pat Freiermuth,25902,77,20,Merrimac,0,97,True,False,False,False,88,Freiermuth,986,1377,21561,92,92,0,2023,3,0,92,258,7,10490000,8390000,2100000,11530000,5,38770000,1,0,0,0,0,92,79,0,99,[],[],83,77,94,50,91,88,83,89,78,86,72,58,60,64,64,59,63,63,19,10,15,40,50,12,30,13,6,82,78,94,81,92,70,30,66,78,81,72,85,65,80,86,88,44,58,55,32,41,49,26,59,58,41,62,72,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381873,Zach Frazier,C,OL,92,2,1313381873,553386852,MEGA,Steelers,2026-04-16 20:25:18.360469,False,False,771,False,,False,False,27,29,8,2001,West Virginia,19,2,Zach,Zach Frazier,Zach Frazier,6707,75,47,Fairmont,0,97,True,False,False,False,54,Frazier,1044,10078,14706,92,92,0,2023,0,0,92,310,4,20800000,12300000,8500000,9080000,2,13970000,1,0,0,0,0,92,86,0,92,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",69,56,93,50,88,71,64,87,88,97,92,92,95,84,92,95,86,95,5,5,6,22,7,5,22,15,6,17,9,30,30,13,10,10,10,22,30,54,12,5,9,10,11,12,33,23,8,32,15,8,27,31,9,14,22,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1388354617,DeVonte Bullitt,QB,QB,91,1,1388354617,553388429,MEGA,Steelers,2026-04-16 20:25:18.379845,False,False,2623,False,,False,False,24,28,11,2026,San Diego State,1,1,DeVonte,DeVonte Bullitt,DeVonte Bullitt,8141,73,5,PLACEHOLDER,0,97,True,False,False,False,7,Bullitt,278,3358,2020,91,91,22,2026,0,0,90,224,2,12450000,4420000,16060000,32120000,4,16640000,2,0,0,0,0,90,0,0,90,[],[],87,85,84,50,98,66,82,86,59,85,28,45,32,42,41,38,43,47,92,95,91,23,96,97,94,87,70,65,72,34,65,25,60,30,72,67,56,87,38,29,42,32,29,44,29,39,35,42,31,43,27,47,47,40,48,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381883,D.K. Metcalf,WR,WR,87,1,1313381883,553387784,MEGA,Steelers,2026-04-16 20:25:18.376544,False,False,385,False,,False,False,30,14,12,1997,Ole Miss,32,2,D.K.,D.K. Metcalf,DK Metcalf,20946,76,23,Oxford,0,97,True,False,False,False,4,Metcalf,4214,9569,20353,87,87,24,2021,5,0,82,235,9,34000000,28000000,12000000,59000000,5,91000000,2,0,0,0,0,82,91,0,99,[],[],93,83,82,50,94,94,94,88,79,96,48,27,18,23,42,30,34,52,29,10,13,23,18,10,34,19,10,86,88,94,69,88,82,40,71,87,80,82,90,84,85,84,94,10,30,38,15,19,10,15,34,33,29,13,18,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1388354620,Chad Copeland,LG,OL,85,2,1388354620,553387340,MEGA,Steelers,2026-04-16 20:25:18.374882,False,False,989,False,,False,False,24,17,12,2038,Stanford,8,5,Chad,Chad Copeland,Chad Copeland,3540,77,27,PLACEHOLDER,0,97,True,False,False,False,52,Copeland,348,10311,2225,85,85,24,2026,2,0,73,330,2,1240000,1070000,340000,680000,4,4200000,2,0,0,0,0,73,88,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fool Me Once', 'startActivated': False, 'signatureLogoId': 1328, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability gain blocker resistance points as a faster rate', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tear Proof', 'startActivated': False, 'signatureLogoId': 1352, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against rip pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",80,72,79,50,90,69,68,84,89,86,92,94,69,85,81,69,90,83,25,35,20,24,22,18,36,37,48,48,48,29,53,42,33,35,42,27,27,57,46,36,26,25,38,39,41,42,36,43,48,31,40,32,46,25,24,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381899,Jaylen Warren,HB,RB,84,1,1313381899,553388796,MEGA,Steelers,2026-04-16 20:25:18.380975,False,False,348,False,,False,False,29,1,11,1998,Oklahoma State,-1,63,Jaylen,Jaylen Warren,Jaylen Warren,13337,68,43,Salt Lake City,0,97,True,False,False,False,30,Warren,106,2012,22471,84,84,0,2024,4,0,84,215,6,5400000,2300000,3100000,9300000,4,11340000,1,0,0,0,0,84,89,0,91,[],[],94,80,85,50,88,74,90,83,74,86,52,48,29,28,56,37,37,50,24,18,21,28,24,19,27,17,15,88,84,71,92,63,90,66,89,75,74,86,59,56,58,61,59,12,23,26,14,20,11,16,34,34,19,20,21,0,1,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313381432,Damien Lewis,LT,OL,83,0,1313381432,553387572,MEGA,Steelers,2026-04-16 20:25:18.376039,False,False,86,False,,False,False,31,21,3,1997,LSU,5,3,Damien,Damien Lewis,Damien Lewis,34607,74,23,Canton,0,97,True,False,False,False,68,Lewis,989,431,21101,83,83,0,2022,6,0,76,327,8,17900000,8700000,9200000,9200000,1,8700000,1,0,0,0,0,76,86,0,92,[],[],65,55,88,50,91,74,68,87,89,94,88,82,75,85,79,82,87,85,12,6,6,30,6,6,26,12,6,15,5,26,30,15,10,10,15,35,40,47,15,5,5,15,15,27,47,38,12,30,40,10,35,42,15,25,25,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313380475,Cody Mauch,RG,OL,83,1,1313380475,553387682,MEGA,Steelers,2026-04-16 20:25:18.376314,False,False,215,False,,False,False,29,15,1,1999,North Dakota State,17,2,Cody,Cody Mauch,Cody Mauch,17056,77,33,Hankinson,0,97,True,False,False,False,69,Mauch,1015,2298,22858,83,83,0,2022,4,0,77,302,5,17790000,7690000,10100000,20200000,3,16100000,1,0,0,0,0,77,86,0,99,[],[],77,74,82,50,93,72,70,85,87,95,89,87,77,86,87,77,86,82,53,41,43,30,45,43,46,41,35,44,39,50,55,49,41,10,35,47,41,62,49,33,37,42,48,34,51,44,10,44,51,10,51,45,11,15,15,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,Steelers,1313380788,Deebo Samuel Sr,WR,WR,81,1,1313380788,553388314,MEGA,Steelers,2026-04-16 20:25:18.379386,False,False,161,False,,False,False,32,15,1,1996,South Carolina,4,2,Deebo,Deebo Samuel Sr,Deebo Samuel Sr,12458,72,39,Inman,0,97,True,False,False,False,1,Samuel Sr,4336,9618,20348,81,81,0,2021,5,0,81,215,9,4400000,2000000,2400000,2400000,1,2000000,1,0,0,0,0,81,89,0,94,[],[],89,89,81,50,88,92,89,95,80,90,46,25,16,21,38,21,26,53,30,21,27,27,32,34,44,25,23,91,85,85,72,85,90,85,84,88,82,89,80,80,81,81,88,11,39,43,21,34,11,16,48,46,29,12,15,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
