team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
SEA,Seahawks,1313380342,Patrick Surtain II,CB,CB,99,3,1313380342,553388549,MEGA,Seahawks,2026-04-16 20:25:14.436527,False,False,2958,False,,False,False,28,14,4,2000,Alabama,9,1,Patrick,Patrick Surtain II,Patrick Surtain II,14985,74,8,Plantation,0,97,True,False,False,False,2,Surtain II,2263,1301,21764,99,99,24,2023,11,0,98,202,7,31470000,26200000,10540000,15810000,6,66200000,2,0,0,0,0,98,91,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outside Shade', 'startActivated': False, 'signatureLogoId': 1398, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Route KO', 'startActivated': False, 'signatureLogoId': 1347, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus short routes less than 10 yards from LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Route KO', 'startActivated': False, 'signatureLogoId': 1321, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus deep routes 20+ yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,90,99,50,92,94,94,96,63,86,55,19,35,35,35,35,35,35,15,6,6,30,6,6,28,13,6,75,55,76,64,63,73,55,62,46,32,91,31,20,24,30,72,48,67,54,99,99,36,99,81,81,98,11,19,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1388354553,Mac Thompson,QB,QB,97,3,1388354553,553386429,MEGA,Seahawks,2026-04-16 20:25:14.425796,False,False,6474,False,,False,False,24,2,2,1955,Penn State,29,1,Mac,Mac Thompson,Mac Thompson,7740,77,38,PLACEHOLDER,0,97,True,False,False,False,17,Thompson,5591,10317,2019,97,97,22,2026,2,0,97,233,2,4020000,2010000,4020000,8040000,4,7640000,2,0,0,0,0,97,0,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Escape Artist', 'startActivated': False, 'signatureLogoId': 1134, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The slipperiest quarterbacks are capable of exploding out of the pocket at the slightest sign of trouble. When they enter the zone, their scramble speed is increased.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Scramble for 10+ yards', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Anchored Extender', 'startActivated': False, 'signatureLogoId': 1172, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to break the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,77,90,50,80,68,70,80,72,84,24,42,48,34,38,36,38,31,81,92,97,12,97,86,99,93,94,54,67,43,62,48,65,39,55,55,59,85,45,31,45,26,42,44,35,39,45,35,37,42,36,42,28,38,31,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381828,Kenneth Walker III,HB,RB,96,3,1313381828,553388761,MEGA,Seahawks,2026-04-16 20:25:14.437496,False,False,1987,False,,False,False,27,20,10,2000,Michigan State,9,2,Kenneth,Kenneth Walker III,Kenneth Walker III,10079,69,41,Arlington,0,97,True,False,False,False,9,Walker III,4650,2005,22338,96,96,24,2024,0,0,96,211,6,9490000,3290000,12400000,25630000,5,14250000,2,0,0,0,0,96,93,0,94,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matchup Nightmare', 'startActivated': False, 'signatureLogoId': 1157, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability make sharper cuts and frequently win contested catches when covered by linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,92,90,50,84,83,94,90,81,92,35,31,30,34,54,30,23,33,28,11,15,35,20,18,27,11,22,95,91,67,95,46,95,73,87,82,90,93,48,41,47,54,45,10,32,33,12,15,10,15,38,36,18,12,15,0,3,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381837,Devon Witherspoon,CB,CB,91,1,1313381837,553388950,MEGA,Seahawks,2026-04-16 20:25:14.438402,False,False,956,False,,False,False,27,11,12,2000,Illinois,5,1,Devon,Devon Witherspoon,Devon Witherspoon,780,72,8,Pensacola,0,97,True,False,False,False,21,Witherspoon,829,2485,23023,91,91,24,2022,0,0,88,180,5,18340000,5140000,52800000,74870000,7,40700000,5,0,0,0,0,88,89,0,98,[],[],93,91,87,50,91,90,91,93,60,97,49,11,22,22,28,35,34,34,12,6,10,31,15,10,35,10,6,72,62,75,59,68,75,62,67,34,25,91,22,12,15,25,67,46,83,54,93,90,32,89,87,74,88,17,20,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381813,Nick Emmanwori,SS,S,91,3,1313381813,553386739,MEGA,Seahawks,2026-04-16 20:25:14.428080,False,False,1932,False,,False,False,24,7,2,2004,South Carolina,3,2,Nick,Nick Emmanwori,Nick Emmanwori,869,75,39,Irmo,0,97,True,False,False,False,3,Emmanwori,1327,10543,15359,91,91,0,2025,0,0,90,220,3,2930000,1960000,970000,3880000,4,5320000,1,0,0,0,0,90,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Pop', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a greater chance of forcing fumbles when landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lurker', 'startActivated': False, 'signatureLogoId': 1155, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can make jumping, 180-degree interceptions while lurking in a zone in the middle of the field.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,83,86,50,91,97,93,92,71,91,61,25,35,35,35,35,35,35,15,6,6,31,6,6,25,12,6,70,59,75,65,60,70,43,62,48,51,82,37,30,34,39,65,38,89,63,71,90,38,75,90,86,87,18,21,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381821,Ernest Jones IV,MIKE,LB,90,1,1313381821,553387371,MEGA,Seahawks,2026-04-16 20:25:14.431921,False,False,805,False,,False,False,28,22,11,1999,South Carolina,40,3,Ernest,Ernest Jones IV,Ernest Jones IV,13467,74,9,Waycross,0,97,True,False,False,False,13,Jones IV,4615,1595,21921,90,90,24,2023,11,0,83,230,7,19790000,4910000,74400000,76730000,7,54300000,6,0,0,0,0,83,82,0,99,[],[],87,72,86,50,89,91,86,88,74,86,91,36,46,46,46,49,47,49,12,6,6,35,6,6,22,15,6,47,35,66,62,47,60,10,39,46,46,76,38,27,32,38,53,45,87,89,67,92,65,44,93,97,71,13,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381830,Jaxon Smith-Njigba,WR,WR,90,1,1313381830,553388463,MEGA,Seahawks,2026-04-16 20:25:14.436292,False,False,906,False,,False,False,26,14,2,2002,Ohio State,20,1,Jaxon,Jaxon Smith-Njigba,Jaxon SmithNjigba,16112,73,42,Rockwall,0,97,True,False,False,False,11,Smith-Njigba,381,2401,22694,90,90,24,2022,3,0,85,200,5,22180000,9820000,49440000,63670000,7,73510000,5,0,0,0,0,85,89,0,75,[],[],92,94,92,50,87,86,91,85,63,82,48,31,22,24,31,27,30,53,18,6,10,27,15,10,29,16,6,87,83,96,79,89,84,70,74,61,48,92,87,86,90,88,93,10,20,25,16,17,10,10,27,24,14,11,16,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313382097,Jordan Addison,WR,WR,89,1,1313382097,553386000,MEGA,Seahawks,2026-04-16 20:25:14.423838,False,False,742,False,,False,False,26,27,1,2002,USC,23,1,Jordan,Jordan Addison,Jordan Addison,5450,71,19,Frederick,0,97,True,False,False,False,86,Addison,130,813,22693,89,89,0,2022,3,0,80,175,5,8300000,8300000,0,0,2,15600000,1,0,0,0,0,80,86,0,75,[],[],92,88,93,50,90,84,90,88,52,84,36,18,15,13,27,26,19,42,42,32,39,27,47,47,58,38,40,91,75,95,78,89,91,76,80,47,32,92,80,89,88,89,90,22,31,30,28,27,14,29,47,37,34,17,23,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381811,Elijah Arroyo,TE,TE,88,0,1313381811,553386080,MEGA,Seahawks,2026-04-16 20:25:14.424358,False,False,746,False,,False,False,25,5,4,2003,Miami,18,2,Elijah,Elijah Arroyo,Elijah Arroyo,8083,77,42,Frisco,0,97,True,False,False,False,18,Arroyo,408,10479,15119,88,88,0,2025,0,0,87,254,3,2290000,1690000,600000,2400000,4,4730000,1,0,0,0,0,87,80,0,98,[],[],90,80,68,50,83,83,87,81,77,85,68,53,60,61,64,63,65,64,39,38,49,14,59,45,50,42,47,85,78,93,74,94,76,36,68,69,73,70,83,73,88,78,88,29,33,32,46,37,29,23,30,30,40,18,35,0,0,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381818,Julian Love,FS,S,87,1,1313381818,553387612,MEGA,Seahawks,2026-04-16 20:25:14.432405,False,False,507,False,,False,False,30,19,3,1998,Notre Dame,6,4,Julian,Julian Love,Julian Love,28008,71,12,Westchester,0,97,True,False,False,False,20,Love,1780,9558,20602,87,87,24,2021,11,0,86,195,9,12730000,2530000,51000000,53620000,7,36010000,6,0,0,0,0,86,81,0,63,[],[],88,88,89,50,93,86,90,94,62,85,48,17,35,35,35,35,35,35,14,6,6,35,6,6,29,12,6,73,60,77,65,58,77,70,68,32,32,86,37,22,30,38,63,33,71,56,76,90,29,73,85,81,85,14,19,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
