team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
SEA,Seahawks,1313380342,Patrick Surtain II,CB,CB,99,3,1313380342,553388549,MEGA,Seahawks,2026-04-16 20:25:14.436527,False,False,2958,False,,False,False,28,14,4,2000,Alabama,9,1,Patrick,Patrick Surtain II,Patrick Surtain II,14985,74,8,Plantation,0,97,True,False,False,False,2,Surtain II,2263,1301,21764,99,99,24,2023,11,0,98,202,7,31470000,26200000,10540000,15810000,6,66200000,2,0,0,0,0,98,91,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Outside Shade', 'startActivated': False, 'signatureLogoId': 1398, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability generally react much faster to receiver cut moves when in man coverage and outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Route KO', 'startActivated': False, 'signatureLogoId': 1347, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus short routes less than 10 yards from LoS', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep Route KO', 'startActivated': False, 'signatureLogoId': 1321, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability force more catch tackle knockouts in man-to-man versus deep routes 20+ yards from the LoS.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,90,99,50,92,94,94,96,63,86,55,19,35,35,35,35,35,35,15,6,6,30,6,6,28,13,6,75,55,76,64,63,73,55,62,46,32,91,31,20,24,30,72,48,67,54,99,99,36,99,81,81,98,11,19,0,3,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381837,Devon Witherspoon,CB,CB,91,1,1313381837,553388950,MEGA,Seahawks,2026-04-16 20:25:14.438402,False,False,956,False,,False,False,27,11,12,2000,Illinois,5,1,Devon,Devon Witherspoon,Devon Witherspoon,780,72,8,Pensacola,0,97,True,False,False,False,21,Witherspoon,829,2485,23023,91,91,24,2022,0,0,88,180,5,18340000,5140000,52800000,74870000,7,40700000,5,0,0,0,0,88,89,0,98,[],[],93,91,87,50,91,90,91,93,60,97,49,11,22,22,28,35,34,34,12,6,10,31,15,10,35,10,6,72,62,75,59,68,75,62,67,34,25,91,22,12,15,25,67,46,83,54,93,90,32,89,87,74,88,17,20,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381813,Nick Emmanwori,SS,S,91,3,1313381813,553386739,MEGA,Seahawks,2026-04-16 20:25:14.428080,False,False,1932,False,,False,False,24,7,2,2004,South Carolina,3,2,Nick,Nick Emmanwori,Nick Emmanwori,869,75,39,Irmo,0,97,True,False,False,False,3,Emmanwori,1327,10543,15359,91,91,0,2025,0,0,90,220,3,2930000,1960000,970000,3880000,4,5320000,1,0,0,0,0,90,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Shutdown', 'startActivated': False, 'signatureLogoId': 1104, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Shutdown defenders have the talent to erase receivers from the game. When they enter the zone, their coverage is tighter and interceptions are more frequent on contested catches.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Force incompletions', 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Pop', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a greater chance of forcing fumbles when landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lurker', 'startActivated': False, 'signatureLogoId': 1155, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can make jumping, 180-degree interceptions while lurking in a zone in the middle of the field.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",93,83,86,50,91,97,93,92,71,91,61,25,35,35,35,35,35,35,15,6,6,31,6,6,25,12,6,70,59,75,65,60,70,43,62,48,51,82,37,30,34,39,65,38,89,63,71,90,38,75,90,86,87,18,21,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381821,Ernest Jones IV,MIKE,LB,90,1,1313381821,553387371,MEGA,Seahawks,2026-04-16 20:25:14.431921,False,False,805,False,,False,False,28,22,11,1999,South Carolina,40,3,Ernest,Ernest Jones IV,Ernest Jones IV,13467,74,9,Waycross,0,97,True,False,False,False,13,Jones IV,4615,1595,21921,90,90,24,2023,11,0,83,230,7,19790000,4910000,74400000,76730000,7,54300000,6,0,0,0,0,83,82,0,99,[],[],87,72,86,50,89,91,86,88,74,86,91,36,46,46,46,49,47,49,12,6,6,35,6,6,22,15,6,47,35,66,62,47,60,10,39,46,46,76,38,27,32,38,53,45,87,89,67,92,65,44,93,97,71,13,16,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381818,Julian Love,FS,S,87,1,1313381818,553387612,MEGA,Seahawks,2026-04-16 20:25:14.432405,False,False,507,False,,False,False,30,19,3,1998,Notre Dame,6,4,Julian,Julian Love,Julian Love,28008,71,12,Westchester,0,97,True,False,False,False,20,Love,1780,9558,20602,87,87,24,2021,11,0,86,195,9,12730000,2530000,51000000,53620000,7,36010000,6,0,0,0,0,86,81,0,63,[],[],88,88,89,50,93,86,90,94,62,85,48,17,35,35,35,35,35,35,14,6,6,35,6,6,29,12,6,73,60,77,65,58,77,70,68,32,32,86,37,22,30,38,63,33,71,56,76,90,29,73,85,81,85,14,19,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381805,Byron Murphy II,DT,DT,86,1,1313381805,553387885,MEGA,Seahawks,2026-04-16 20:25:14.434136,False,False,685,False,,False,False,25,8,9,2002,Texas,16,1,Byron,Byron Murphy II,Byron Murphy II,5969,73,42,DeSoto,0,97,True,False,False,False,91,Murphy II,458,10189,14758,86,86,24,2023,0,0,79,308,4,18620000,6620000,60000000,62120000,7,58190000,6,0,0,0,0,79,82,0,93,[],[],81,67,87,50,90,80,77,78,87,88,87,26,45,45,45,45,45,45,12,6,6,20,6,6,25,10,6,53,38,46,42,22,45,10,41,48,53,64,28,20,23,29,25,72,86,88,25,84,80,29,84,95,34,18,20,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313382169,Ezekiel Brooks,SS,S,86,2,1313382169,553386656,MEGA,Seahawks,2026-04-16 20:25:14.427630,False,False,1510,False,,False,False,23,6,14,2062,USF,27,3,Ezekiel,Ezekiel Brooks,Ezekiel Brooks,378,74,23,PLACEHOLDER,0,97,True,False,False,False,34,Brooks,419,3704,2762,86,86,24,2027,9,0,85,211,1,1530000,1230000,900000,1200000,4,5080000,3,0,0,0,0,85,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Extra Pop', 'startActivated': False, 'signatureLogoId': 1947, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a greater chance of forcing fumbles when landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deflator', 'startActivated': False, 'signatureLogoId': 1382, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause increased fatigue penalties when tackling a ballcarrier with a non-conservative tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,84,80,50,78,82,86,97,69,84,64,25,26,28,40,33,36,27,48,15,19,31,29,33,31,35,47,64,27,76,66,39,61,61,61,38,48,82,47,39,34,45,30,30,84,65,74,82,26,63,92,87,87,40,40,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313382293,Tre Morgan,REDGE,DE,85,2,1313382293,553386133,MEGA,Seahawks,2026-04-16 20:25:14.424808,False,False,1338,False,,False,False,23,30,12,1955,N.C. State,27,1,Tre,Tre Morgan,Tre Morgan,6226,76,11,PLACEHOLDER,0,97,True,False,False,False,97,Morgan,327,3480,2517,85,85,24,2027,9,0,85,256,1,4000000,1830000,6510000,8680000,4,7880000,3,0,0,0,0,85,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spinner', 'startActivated': False, 'signatureLogoId': 1349, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will ignore one bar of blocker resistance when attempting spin pass rush moves', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Demoralizer', 'startActivated': False, 'signatureLogoId': 1387, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Defenders with this ability will clear a ballcarrier's progress towards entering the zone with a hit-stick tackle."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,77,85,50,83,84,83,73,79,82,84,42,26,39,47,45,35,25,48,24,27,33,11,22,28,39,34,40,47,26,58,45,30,46,43,45,42,68,41,45,48,39,42,93,79,88,45,76,81,43,85,86,42,26,46,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381239,Andre Cisco,FS,S,83,1,1313381239,553386453,MEGA,Seahawks,2026-04-16 20:25:14.426244,False,False,313,False,,False,False,28,23,3,2000,Syracuse,1,3,Andre,Andre Cisco,Andre Cisco,10932,72,31,Valley Stream,0,97,True,False,False,False,8,Cisco,1182,1147,21466,83,83,0,2023,13,0,80,210,7,7730000,3430000,4300000,12900000,3,9000000,1,0,0,0,0,80,84,0,91,[],[],91,88,82,50,90,87,92,92,66,84,64,31,35,35,35,35,35,35,15,10,10,25,15,15,28,12,15,62,42,77,59,62,69,43,61,40,34,86,25,22,25,24,68,41,80,57,70,81,36,72,82,69,85,19,15,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381835,Derick Hall,LEDGE,DE,81,1,1313381835,553387005,MEGA,Seahawks,2026-04-16 20:25:14.429218,False,False,333,False,,False,False,27,19,3,2001,Auburn,6,2,Derick,Derick Hall,Derick Hall,5247,75,23,Gulfport,0,97,True,False,False,False,58,Hall,556,2179,22974,81,81,24,2022,14,0,79,252,5,10600000,5100000,22000000,28420000,6,30920000,4,0,0,0,0,79,85,0,98,[],[],92,76,82,50,92,81,87,84,76,87,81,25,40,40,40,45,45,45,22,15,21,19,26,23,30,12,14,52,34,52,49,45,48,29,45,45,44,78,44,35,37,42,47,75,84,76,47,76,85,42,88,85,55,12,14,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
